Date,Open,High,Low,Close,Volume,OpenInt
2015-11-16,53.52,53.52,53.52,53.52,2000,0
2016-01-11,49.2269,49.2269,49.2269,49.2269,312,0
2018-01-11,61.13,61.13,61.13,61.13,12400,0
2018-01-15,62.21,62.21,62.21,62.21,800,0
2018-01-16,62.02,62.02,62.02,62.02,0,0
2018-01-17,62.46,62.46,62.46,62.46,0,0
2018-01-23,64.49,64.49,64.49,64.49,1600,0
2018-01-25,63.87,63.88,63.87,63.88,1600,0
2018-01-26,64.29,64.29,64.29,64.29,900,0
2018-01-29,64.44,64.62,64.44,64.62,2500,0
2018-01-30,63.79,63.79,63.79,63.79,0,0
2018-02-01,63.51,63.866,63.51,63.866,5000,0
2018-02-06,62.6488,62.6488,62.6488,62.6488,800,0
2018-02-08,61.91,61.91,61.91,61.91,9,0
2018-02-09,61.4989,61.4989,61.4989,61.4989,1800,0
2018-02-21,62.32,62.51,62.32,62.51,2000,0
2018-02-23,62.07,62.07,62.07,62.07,1600,0
2018-02-26,62.47,62.47,62.47,62.47,3200,0
2018-02-27,64.21,64.21,64.21,64.21,6900,0
2018-02-28,65.17,65.17,65.17,65.17,1000,0
2018-03-01,63.54,63.54,63.54,63.54,0,0
2018-03-22,61.5,61.5,61.5,61.5,50600,0
