Date,Open,High,Low,Close,Volume,OpenInt
2015-03-04,955.92,959.6,933.96,936.7,225841,0
2015-03-05,935.78,948.6,934.87,941.28,236280,0
2015-03-06,931.22,943.11,922.95,933.96,134438,0
2015-03-09,937.62,937.62,920.23,920.23,108407,0
2015-03-10,929.37,929.37,893.67,893.67,124571,0
2015-03-11,903.74,903.74,881.76,887.25,115497,0
2015-03-12,889.86,900.11,876.35,894.52,74635,0
2015-03-13,899.18,899.18,885.67,896.85,114235,0
2015-03-16,885.21,908.03,878.22,878.22,58145,0
2015-03-17,892.19,892.19,869.36,872.15,91633,0
2015-03-18,875.89,886.6,872.62,882.42,98740,0
2015-03-19,888.46,902.44,886.15,899.18,124958,0
2015-03-20,902.44,932.71,899.64,924.34,249010,0
2015-03-23,912.23,931.78,912.23,915.02,91748,0
2015-03-24,909.42,927.14,909.42,917.82,81015,0
2015-03-25,926.21,927.6,904.78,912.69,146955,0
2015-03-26,908.49,911.76,898.71,904.78,68700,0
2015-03-27,900.57,910.82,897.32,901.04,83586,0
2015-03-30,906.16,918.75,888.46,896.38,146374,0
2015-03-31,902.9,902.9,881.48,883.81,115126,0
2015-04-01,885.21,891.73,874.02,878.67,143787,0
2015-04-02,878.22,888.93,877.74,883.81,101210,0
2015-04-07,878.67,912.69,878.67,895.45,75897,0
2015-04-08,886.6,911.76,886.6,910.36,217932,0
2015-04-09,898.71,942.04,898.71,933.65,158710,0
2015-04-10,926.78,934.59,924.34,930.4,98442,0
2015-04-13,934.59,937.38,918.75,937.38,132572,0
2015-04-14,941.11,942.97,922.01,941.11,95400,0
2015-04-15,944.83,953.22,936.45,948.56,118297,0
2015-04-16,956.95,956.95,936.45,950.42,246880,0
2015-04-17,952.29,952.29,937.38,946.7,95514,0
2015-04-20,956.02,957.88,941.11,949.49,71285,0
2015-04-21,943.9,961.61,937.38,959.74,97973,0
2015-04-22,964.41,964.41,943.9,953.22,163790,0
2015-04-23,945.76,959.74,945.4,957.88,125942,0
2015-04-24,952.29,967.2,952.29,967.2,117799,0
2015-04-27,960.67,978.39,960.67,969.99,84391,0
2015-04-28,974.65,983.98,951.35,957.88,153180,0
2015-04-29,955.09,955.09,928.07,930.85,101328,0
2015-04-30,938.31,938.31,920.61,931.78,147690,0
2015-05-01,941.11,947.64,926.67,938.31,127911,0
2015-05-05,943.9,943.9,925.27,932.71,259503,0
2015-05-06,923.86,939.23,922.48,925.74,78848,0
2015-05-07,928.07,938.31,908.49,935.52,144994,0
2015-05-08,957.88,980.24,957.88,973.71,109231,0
2015-05-11,975.58,980.24,965.8,973.71,146171,0
2015-05-12,962.54,969.06,956.02,966.27,47638,0
2015-05-13,970.93,973.71,955.09,958.81,52563,0
2015-05-14,937.38,937.38,910.36,919.68,261351,0
2015-05-15,929.93,934.59,922.01,933.65,120191,0
2015-05-18,927.6,952.29,927.6,950.42,382107,0
2015-05-19,943.9,964.41,942.04,964.41,76727,0
2015-05-20,957.88,957.88,935.52,935.52,98934,0
2015-05-21,931.78,938.31,908.49,911.76,109055,0
2015-05-22,907.1,934.59,907.1,930.85,259653,0
2015-05-26,930.85,956.95,918.75,956.95,161427,0
2015-05-27,961.61,991.43,956.02,989.56,421164,0
2015-05-28,987.7,1000.75,985.84,994.22,126198,0
2015-05-29,997.02,1002.61,987.7,993.29,204967,0
2015-06-01,1000.75,1000.75,986.77,996.09,67472,0
2015-06-02,1001.68,1001.68,988.64,994.22,51042,0
2015-06-03,1003.54,1010.99,995.16,997.02,101528,0
2015-06-04,996.09,1003.54,989.56,999.81,42637,0
2015-06-05,991.43,998.89,983.98,994.22,81758,0
2015-06-08,994.22,1006.34,986.58,997.02,72021,0
2015-06-09,988.64,1029.63,988.64,1024.03,117296,0
2015-06-10,1016.58,1028.7,994.22,997.96,160820,0
2015-06-11,1006.34,1006.34,995.16,999.81,77562,0
2015-06-12,1002.61,1002.61,983.04,985.84,168882,0
2015-06-15,993.29,993.29,969.99,973.71,109073,0
2015-06-16,979.31,983.04,962.54,982.1,102423,0
2015-06-17,988.64,988.64,968.13,971.86,68012,0
2015-06-18,974.65,974.65,955.09,969.06,109461,0
2015-06-19,963.47,977.46,959.74,959.74,260668,0
2015-06-22,970.93,982.1,966.27,976.53,105919,0
2015-06-23,985.84,987.7,972.78,973.71,65932,0
2015-06-24,983.98,984.91,970.93,982.1,66940,0
2015-06-25,984.91,990.5,973.71,978.39,94365,0
2015-06-26,969.99,980.24,966.27,977.46,62739,0
2015-06-29,959.74,968.13,930.85,948.56,47036,0
2015-06-30,951.35,960.67,941.11,953.22,52987,0
2015-07-01,948.56,978.39,948.56,967.2,38191,0
2015-07-02,962.54,999.81,962.54,996.09,126328,0
2015-07-03,993.29,1012.86,986.77,1003.54,50724,0
2015-07-06,1000.75,1009.14,992.36,996.09,75379,0
2015-07-07,989.56,997.96,974.65,974.65,109991,0
2015-07-08,981.17,981.17,962.54,967.2,42899,0
2015-07-09,970.22,986.77,965.34,978.39,90303,0
2015-07-10,988.64,1000.75,985.16,999.81,73056,0
