Date,Open,High,Low,Close,Volume,OpenInt
2015-03-04,740,800,740,798,15547,0
2015-03-05,776,806,772,784,8836,0
2015-03-06,758,802,758,782,8442,0
2015-03-09,810,820,796,814,7084,0
2015-03-10,824,838,804,832,6906,0
2015-03-11,810,880,810,850,8563,0
2015-03-12,800,978,800,860,21549,0
2015-03-13,850,880,810,820,8793,0
2015-03-16,800,844,796,804,9995,0
2015-03-17,818,862,810,830,2916,0
2015-03-18,898,898,834,840,10865,0
2015-03-19,800,900,800,840,3359,0
2015-03-20,898,898,720,740,207512,0
2015-03-23,796,828,770,800,7283,0
2015-03-24,838,838,770,772,4325,0
2015-03-25,762,820,762,800,9186,0
2015-03-26,820,820,760,766,8432,0
2015-03-27,752,768,720,720,13873,0
2015-03-30,700,762,700,762,22746,0
2015-03-31,720.42,752,714,730,12801,0
2015-04-01,738.46,740,716,718,8888,0
2015-04-02,711.2,724.4,612,644,54440,0
2015-04-07,666.12,738,660,700,14290,0
2015-04-08,695.66,758,687.6,742,13336,0
2015-04-09,773.04,780,713.5,726,10380,0
2015-04-10,728,764,650.44,692,20439,0
2015-04-13,712,741,700,734,8476,0
2015-04-14,724,748,688.98,720,10988,0
2015-04-15,738,738,680,728,15812,0
2015-04-16,682,717.4,661.4,674,6071,0
2015-04-17,702.72,712,655.2,660,19446,0
2015-04-20,704.5,704.5,620,622,21581,0
2015-04-21,650,658,632,644,18818,0
2015-04-22,650,650,622,622,18117,0
2015-04-23,642,642,604,606,16731,0
2015-04-24,624,630,577.6,590,57562,0
2015-04-27,608.4,640,583.96,630,83150,0
2015-04-28,610,652,610,618,13523,0
2015-04-29,603.94,630,590,620,9245,0
2015-04-30,850,858,714.2,756,662029,0
2015-05-01,768,770,730,758,135906,0
2015-05-05,784,800,714,740,22796,0
2015-05-06,778,778,720,740,73751,0
2015-05-07,734.4,756,720,730,37298,0
2015-05-08,728,730,720,724,13081,0
2015-05-11,720,728,720,720,25776,0
2015-05-12,649.5,724,644,720,16450,0
2015-05-13,727.2,776,720,764,13499,0
2015-05-14,732,785.2,732,766,17657,0
2015-05-15,772.5,794,764.8,782,16962,0
2015-05-18,734,826,734,800,34888,0
2015-05-19,818,820,770,790,18059,0
2015-05-20,806,807.4,790,796,8764,0
2015-05-21,799.6,800,790,790,13080,0
2015-05-22,791.6,817.14,786,800,13644,0
2015-05-26,780,822,775.2,794,14175,0
2015-05-27,800.4,816,793.02,800,5839,0
2015-05-28,792,800,755,780,8118,0
2015-05-29,776.4,798,757,790,10965,0
2015-06-01,782,782,760,760,3940,0
2015-06-02,789,790,756.16,766,8090,0
2015-06-03,759.5,804,759.5,802,38952,0
2015-06-04,780,804.5,770,804,5266,0
2015-06-05,771,818,757.16,800,14899,0
2015-06-08,781,820,781,804,13863,0
2015-06-09,810,810,798,810,17255,0
2015-06-10,807.5,816,800,800,17306,0
2015-06-11,812,814,784,800,11505,0
2015-06-12,801.2,808,780,790,7451,0
2015-06-15,772,806,772,794,14916,0
2015-06-16,795,795,771.54,774,7185,0
2015-06-17,791,808,782,800,5511,0
2015-06-18,780,780,760,764,15534,0
2015-06-19,777.5,782,744,748,39608,0
2015-06-22,755.94,788,740,780,3906,0
2015-06-23,732.4,774,731.8,760,6262,0
2015-06-24,700,758,690,714,18531,0
2015-06-25,750,777.96,716,738,7432,0
2015-06-26,732,770,700,720,14970,0
2015-06-29,680,734.2,680,694,7410,0
2015-06-30,690,722.4,686,700,5013,0
2015-07-01,724,814,714,760,12017,0
2015-07-02,776,786,754,760,3372,0
2015-07-03,702,780,702,742,5465,0
2015-07-06,756,780,753.8,760,3912,0
2015-07-07,745.6,764,736,756,1212,0
2015-07-08,762,788,718,788,3832,0
2015-07-09,744,801,724,750,11301,0
2015-07-10,740,764,720,720,2310,0
2015-07-13,702,760,702,720,4950,0
2015-07-14,706,758,705.8,732,7170,0
2015-07-15,724.8,750,712,738,7215,0
2015-07-16,724.4,756,712,750,11510,0
2015-07-17,714,782,714,740,10269,0
2015-07-20,732,766,710,720,5415,0
2015-07-21,730,758,682,682,4125,0
2015-07-22,705.5,740,696,710,5253,0
2015-07-23,720,754.5,710,710,9631,0
2015-07-24,702,738,692.24,714,8678,0
2015-07-27,730,730.5,680,680,6774,0
2015-07-28,682,718,680,716,2316,0
2015-07-29,635,720,635,714,1330,0
2015-07-30,686,720,686,720,1672,0
2015-07-31,706,718,700,700,822,0
2015-08-03,625.6,718.6,623.5,680,7880,0
2015-08-04,660,680,608.68,640,8744,0
2015-08-05,604.42,640,600,600,8475,0
2015-08-06,611.6,627.3,602,606.8,6155,0
2015-08-07,650,650,586,606.8,11736,0
2015-08-10,640,640,580,580,8889,0
2015-08-11,567.4,615.5,560,560,11702,0
2015-08-12,564,575.08,480,518,25090,0
2015-08-13,520,538,482,530,23882,0
2015-08-14,530.5,540,520,522,5665,0
2015-08-17,530.5,546,512,540,6150,0
2015-08-18,544,546,526,536,2307,0
2015-08-19,494,554,494,514,5140,0
