Date,Open,High,Low,Close,Volume,OpenInt
2015-03-30,48.381,48.381,48.381,48.381,10890,0
2015-03-31,51.809,51.809,48.381,48.381,27864,0
2015-04-01,49.187,49.187,49.187,49.187,13974,0
2015-04-02,49.591,49.591,49.187,49.187,34614,0
2015-04-07,51.607,51.607,48.381,50.792,36970,0
2015-04-13,51.406,51.406,51.406,51.406,9921,0
2015-04-15,49.591,51.406,49.591,51.406,4431,0
2015-04-16,49.591,49.591,49.591,49.591,5813,0
2015-04-20,49.187,49.187,49.187,49.187,5348,0
2015-04-27,51.203,51.203,51.203,51.203,4881,0
2015-04-28,49.187,49.187,49.187,49.187,6014,0
2015-04-29,49.591,52.01,49.591,52.01,15741,0
2015-04-30,49.591,49.591,49.591,49.591,14882,0
2015-05-01,51.598,51.598,51.598,51.598,6201,0
2015-05-07,48.785,52.01,48.785,52.01,20030,0
2015-05-08,49.591,49.591,49.591,49.591,6201,0
2015-05-13,49.591,51.406,49.591,51.406,7373,0
2015-05-18,51.598,51.598,51.598,51.598,6201,0
2015-05-26,52.615,52.615,52.615,52.615,9544,0
2015-06-01,50.398,50.398,50.398,50.398,12401,0
2015-06-03,49.994,49.994,49.994,49.994,14318,0
2015-06-04,51.809,51.809,49.994,49.994,17362,0
2015-06-05,49.994,49.994,49.994,49.994,558,0
2015-06-08,51.8,51.8,51.8,51.8,6201,0
2015-06-10,51.909,51.909,51.909,51.909,7441,0
2015-06-12,51.909,51.909,51.909,51.909,3774,0
2015-06-17,49.994,49.994,49.994,49.994,6201,0
2015-06-22,48.381,49.187,48.381,49.187,12401,0
2015-06-29,49.204,49.204,49.204,49.204,6201,0
2015-07-03,51.506,51.506,51.506,51.506,6201,0
2015-07-07,49.187,49.187,49.187,49.187,2479,0
2015-07-10,51.607,51.607,51.607,51.607,6201,0
2015-07-13,50.398,52.414,50.398,52.414,12401,0
2015-07-14,52.414,52.414,52.414,52.414,1240,0
2015-07-16,53.219,53.219,53.219,53.219,1861,0
2015-07-24,53.019,53.019,53.019,53.019,2479,0
2015-07-27,51.002,51.002,50.801,50.801,11584,0
2015-07-30,53.219,53.219,50.801,50.801,12938,0
2015-07-31,50.801,50.801,50.801,50.801,3101,0
2015-08-04,50.801,50.801,50.801,50.801,3101,0
2015-08-05,50.801,50.801,50.801,50.801,3101,0
2015-08-07,50.801,50.801,50.801,50.801,2789,0
2015-08-10,50.801,50.801,50.801,50.801,3101,0
2015-08-11,50.801,50.801,50.801,50.801,10261,0
2015-08-13,52.816,53.219,52.816,53.219,18603,0
2015-08-14,54.429,54.429,54.429,54.429,13641,0
2015-08-17,51.203,52.414,51.203,52.414,9301,0
2015-08-18,51.607,51.607,51.607,51.607,12401,0
2015-08-24,53.938,53.938,51.607,51.607,18603,0
2015-08-26,52.502,52.502,52.502,52.502,3486,0
2015-08-27,54.027,54.027,54.027,54.027,12401,0
2015-08-28,54.832,54.832,52.582,52.582,16122,0
2015-09-02,52.582,52.582,52.582,52.582,4962,0
2015-09-03,52.421,52.421,52.421,52.421,1240,0
2015-09-14,55.962,55.962,55.962,55.962,11576,0
2015-09-15,56.082,56.082,55.284,55.324,23620,0
2015-09-17,55.558,59.67,55.558,59.67,20890,0
2015-09-18,56.243,56.243,56.243,56.243,12401,0
2015-09-22,59.67,59.67,56.283,56.283,20555,0
2015-09-28,53.219,53.219,53.219,53.219,3517,0
2015-10-09,52.01,52.01,52.01,52.01,9503,0
2015-10-15,52.414,53.938,52.414,53.938,6173,0
2015-10-22,53.938,53.938,53.938,53.938,4962,0
2015-10-23,53.938,53.938,53.938,53.938,2021,0
2015-10-27,54.027,54.027,52.414,52.414,12401,0
2015-10-28,54.832,54.832,54.429,54.429,24803,0
2015-10-30,52.405,52.816,52.405,52.816,9932,0
2015-11-02,52.816,58.865,51.002,51.002,21291,0
2015-11-04,51.212,53.219,51.212,53.219,8029,0
2015-11-09,50.801,50.801,50.801,50.801,6769,0
2015-11-10,51.809,53.219,51.809,53.219,12401,0
2015-11-13,53.219,53.219,52.414,52.414,13641,0
2015-11-16,53.219,54.429,53.219,54.429,2458,0
2015-11-17,54.832,54.832,54.832,54.832,7441,0
2015-11-18,53.301,54.027,53.301,54.027,25939,0
2015-11-23,52.414,55.026,52.414,55.026,24146,0
2015-11-27,54.027,54.027,54.027,54.027,6201,0
2015-11-30,51.607,53.219,51.607,53.219,16558,0
2015-12-01,54.63,54.63,53.219,53.219,1988,0
2015-12-02,53.219,53.219,53.219,53.219,4962,0
2015-12-03,53.219,53.219,53.219,53.219,4340,0
2015-12-08,53.219,53.219,53.219,53.219,2479,0
2015-12-10,54.623,54.623,54.623,54.623,9154,0
2015-12-16,52.414,52.414,52.414,52.414,12401,0
2015-12-21,53.219,53.219,53.219,53.219,4569,0
2015-12-22,52.414,52.414,52.414,52.414,12401,0
2015-12-24,53.824,53.824,53.824,53.824,3567,0
2015-12-29,53.824,53.824,53.824,53.824,0,0
2015-12-30,53.824,53.824,53.824,53.824,0,0
2015-12-31,53.824,53.824,53.824,53.824,0,0
2016-01-04,53.824,53.824,53.824,53.824,0,0
2016-01-05,53.824,53.824,53.824,53.824,6201,0
