Date,Open,High,Low,Close,Volume,OpenInt
2014-12-10,30,30,30,30,0,0
2014-12-11,30.5,31,29.5,29.5,560939,0
2014-12-12,29.5,29.5,23,24,89080,0
2014-12-15,24,30,21.5,28.5,265417,0
2014-12-16,28.5,30.5,28,28,194032,0
2014-12-17,28,28,27.5,27.5,59046,0
2014-12-18,27.5,27.5,24.5,25,654186,0
2014-12-19,25,25,25,25,139379,0
2014-12-22,25,25,23.5,23.75,155880,0
2014-12-23,23.75,25,22,23,309247,0
2014-12-24,23,23,19.5,21.75,180473,0
2014-12-29,21.75,21.75,21.75,21.75,2246,0
2014-12-30,21.75,26.5,19,21.5,393164,0
2014-12-31,21.5,22,21.5,21.5,14193,0
2015-01-02,21.5,25,21.5,23.5,117600,0
2015-01-05,23.5,23.5,23,23.5,17124,0
2015-01-06,23.5,23.5,21.5,21.5,38082,0
2015-01-07,21.5,26.5,20.5,24.5,255427,0
2015-01-08,24.5,25,23,24.5,75605,0
2015-01-09,24.5,25.75,24.5,25,54114,0
2015-01-12,25,25.5,25,25.5,12729,0
2015-01-13,25.5,25.5,25.5,25.5,0,0
2015-01-14,25.5,25.75,24,24,66164,0
2015-01-15,24,24,22,22,59055,0
2015-01-16,22,24,22,24,101213,0
2015-01-19,24,24,24,24,11440,0
2015-01-20,24,24,22,23.5,42540,0
2015-01-21,23.5,25.5,23.5,25,126442,0
2015-01-22,25.5,25.5,24.5,24.5,31010,0
2015-01-23,24.5,24.5,22.5,23,166759,0
2015-01-26,23,23,21.5,21.5,89555,0
2015-01-27,21.5,22.5,21.5,22.5,80806,0
2015-01-28,22.5,22.5,21.5,22,44051,0
2015-01-29,22,22.5,14,15.75,1194377,0
2015-01-30,16,16,12.25,15.5,338694,0
2015-02-02,15.5,15.5,15,15,90524,0
2015-02-03,15,15,14.25,14.25,4867,0
2015-02-04,14.25,14.25,14.25,14.25,0,0
2015-02-05,14.25,15.25,14,15.25,119383,0
2015-02-06,15.25,15.25,14,15,161564,0
2015-02-09,15,15,15,15,0,0
2015-02-10,15,15,15,15,16176,0
2015-02-11,15,15,14.75,14.75,34000,0
2015-02-12,14.75,14.75,14.5,14.75,42500,0
2015-02-13,14.75,15,14.75,15,8586,0
2015-02-16,15,15.25,15,15.25,18218,0
2015-02-17,15.25,15.25,15,15,21500,0
2015-02-18,15,15,13,13,97718,0
2015-02-19,15,15,13,15,49544,0
2015-02-20,15,15,15,15,9300,0
2015-02-23,15,15,15,15,36189,0
2015-02-24,15,15,15,15,31562,0
2015-02-25,15,15,15,15,12045,0
2015-02-26,15,15,15,15,14071,0
2015-02-27,16.5,20.25,16.25,16.25,641015,0
2015-03-02,16.25,16.25,14.25,15.25,202045,0
2015-03-03,15.25,15.25,15.25,15.25,51787,0
2015-03-04,15.25,15.25,15.25,15.25,14188,0
2015-03-05,15.75,15.75,15.75,15.75,14500,0
2015-03-06,15.75,16,15.75,16,11913,0
2015-03-09,16,16.25,16,16,84894,0
2015-03-10,16,16,16,16,22868,0
2015-03-11,16,16,15.75,15.75,5000,0
2015-03-12,15.75,16,15.75,16,32938,0
2015-03-13,16,16,16,16,30000,0
2015-03-16,16,16,16,16,7463,0
2015-03-17,16,16,16,16,5925,0
2015-03-18,16,16,16,16,4594,0
2015-03-19,16,16,16,16,4000,0
2015-03-20,16,16,15,15,46258,0
2015-03-23,15,15,15,15,135709,0
2015-03-24,15,15,15,15,15858,0
2015-03-25,14.75,14.75,13.25,14.25,189107,0
2015-03-26,14.25,14.25,14.25,14.25,22422,0
2015-03-27,14.25,14.25,14.25,14.25,0,0
2015-03-30,14.25,14.25,14,14,34228,0
2015-03-31,14,14,14,14,10221,0
2015-04-01,14,14,14,14,57013,0
2015-04-02,14,14,13,13,344825,0
2015-04-07,13,13,13,13,3000,0
2015-04-08,13,13,13,13,62800,0
2015-06-15,11.5,11.5,7.5,9.5,466680,0
2015-06-16,9.5,9.5,9,9,190071,0
2015-06-17,8.75,8.75,7.25,7.5,81756,0
2015-06-18,7.5,7.5,5.875,7.125,218736,0
2015-06-19,7.125,7.875,7.125,7.875,105862,0
2015-06-22,7.875,7.875,7.5,7.5,68377,0
2015-06-23,7.5,7.5,7.5,7.5,0,0
2015-06-24,7.5,7.5,6.5,7.5,152529,0
2015-06-25,7.5,8.75,7.5,8.125,142215,0
2015-06-26,8.125,8.5,8.125,8.5,88935,0
2015-06-29,8,8,8,8,0,0
2015-06-30,8,8,8,8,0,0
2015-07-01,8,8,8,8,0,0
2015-07-02,8,8,8,8,24334,0
2015-07-03,8,8,7.5,7.5,10359,0
2015-07-06,7.5,7.5,6.5,6.625,129000,0
2015-07-07,6.625,6.625,6.5,6.5,0,0
2015-07-08,6.5,6.5,6.5,6.5,17500,0
2015-07-09,6.5,6.5,6.5,6.5,2085,0
2015-07-10,6.5,6.5,6.25,6.25,63375,0
2015-07-13,6.25,6.25,6.25,6.25,126804,0
2015-07-14,6.5,6.625,6.5,6.625,45000,0
2015-07-15,6.625,6.625,6.625,6.625,100000,0
2015-07-16,6.625,6.625,5.25,6.25,203072,0
2015-07-17,6.25,6.25,5.5,5.5,165872,0
2015-07-20,5.5,5.625,5.5,5.625,37395,0
2015-07-21,5.375,5.5,4.625,4.625,201985,0
2015-07-22,4.625,5.25,4.625,5.25,415476,0
2015-07-23,5.25,6,5,5.25,118000,0
2015-07-24,5.25,5.25,5,5,113000,0
2015-07-27,5,5,4.875,4.875,54000,0
2015-07-28,4.875,4.875,4.875,4.875,10000,0
2015-07-29,4.875,4.875,4.875,4.875,5500,0
2015-07-30,4.875,4.875,4.875,4.875,25000,0
2015-07-31,4.875,5.25,4.5,5.25,262443,0
2015-08-03,5.25,5.25,5.25,5.25,4128,0
2015-08-04,5.25,5.25,5.25,5.25,50000,0
2015-08-05,5.25,5.25,4.75,4.75,32500,0
2015-08-06,4.75,4.75,4.75,4.75,0,0
2015-08-07,4.75,4.75,4.75,4.75,12968,0
2015-08-10,4.75,4.75,4.75,4.75,0,0
2015-08-11,4.75,6.5,4.75,4.875,758378,0
2015-08-12,4.875,7.75,4.875,5.5,752921,0
2015-08-13,5.5,6.375,5.5,5.875,415000,0
2015-08-14,5.625,7.875,5.25,7.875,2170904,0
2015-08-17,7.875,8.125,6.625,7.75,672978,0
2015-08-18,7.75,7.75,7,7.25,448992,0
2015-08-19,7.25,10.375,6.75,9.75,2404805,0
2016-01-11,9.5,15.625,9.5,14.25,1411502,0
2016-01-12,14,15.25,11.75,12.25,1614638,0
2016-01-13,12.5,14.25,11.5,12.5,734405,0
2016-01-14,12.5,15.25,12.5,14,797169,0
2016-01-15,14.5,19.25,14,17.375,1235328,0
2016-01-18,17.375,22.375,17.375,19.875,2115549,0
2016-01-19,21.75,30.25,21.75,29.5,2844539,0
2016-01-20,32,32.5,24.25,24.25,2074110,0
2016-01-21,25.5,27.75,21.5,25.5,1263376,0
2016-01-22,25.5,26.75,23.25,23.75,828306,0
2016-01-25,23.75,24.5,21.75,22.75,533250,0
2016-01-26,21.75,27,21.75,23.75,550707,0
2016-01-27,23.5,28.25,23.5,24.25,604472,0
2016-01-28,24.25,28.5,24.25,25.5,917472,0
2016-01-29,25.25,28,24.75,25.25,1086575,0
2016-02-01,25.25,26.2,21.55,23,434374,0
2016-02-02,23,24.9998,21.5275,22.75,441315,0
2016-02-03,22.75,22.75,21.75,21.75,289568,0
2016-02-04,21.75,22.375,21.75,22.375,272639,0
2016-02-05,22.375,23.75,22.375,23.75,471219,0
2016-02-08,23.75,24.5,23.75,24.5,277284,0
2016-02-09,24.5,24.9,23.005,23.25,284304,0
2016-02-10,23.25,23.25,21.5,22,631130,0
2016-02-11,22,22.02,20,20,303078,0
2016-02-12,20.25,21.25,20.25,21.25,490956,0
2016-02-15,21.25,21.5,19.622,20,355099,0
2016-02-16,20,20.08,17.135,18.375,820607,0
2016-02-17,18.375,20.7,18.11,20,181700,0
2016-02-18,19.75,22,17.3,20.5,547589,0
2016-02-19,20.5,20.5,19,19,97753,0
2016-02-22,19,20.45,17.81,19.125,213342,0
2016-02-23,19,19.23,18.1,18.125,78640,0
2016-02-24,18.125,18.37,15.5,16.5,380777,0
2016-02-25,16.75,16.75,16.0102,16.125,179126,0
2016-02-26,16.125,16.5,16.01,16.375,106609,0
2016-02-29,16.375,16.375,13.5,13.75,244861,0
2016-03-01,13.75,18.9998,13.31,15.125,1415123,0
2016-03-02,15.125,15.89,14.461,14.875,101148,0
2016-03-03,14.875,15.75,14.875,15.75,90631,0
2016-03-04,15.75,16.4778,15.465,15.75,68519,0
2016-03-07,15.75,15.928,14.6,15,75735,0
2016-03-08,15,15,14.545,14.75,35259,0
2016-03-09,14.75,14.8,13.5,14.125,205079,0
2016-03-10,14.125,14.9,13.95,14.5,205064,0
2016-03-11,14.5,15.995,14.35,14.875,270235,0
2016-03-14,14.875,15,14.55,14.625,53791,0
2016-03-15,13.625,15.4998,11.75,14.5,643432,0
2016-03-16,14.5,17.25,14.5,16.125,353107,0
2016-03-17,16.125,17.9998,15.5202,16,163781,0
2016-03-18,16,16.625,16,16.625,265435,0
2016-03-21,16.625,16.625,15.625,15.625,119270,0
2016-03-22,15.625,15.8,13.5455,14.75,286001,0
2016-03-23,14.75,14.9,14.11,14.75,16258,0
2016-03-24,14.75,14.75,14.75,14.75,30000,0
2016-03-29,14.75,14.75,14.375,14.375,29552,0
2016-03-30,14,14,13.125,13.125,176617,0
2016-03-31,13.125,13.125,12.625,12.625,147498,0
2016-04-01,12.625,13.75,12.625,13.75,96546,0
2016-04-04,13.75,13.75,12.75,12.75,98650,0
2016-04-05,12.75,13,12.75,13,284737,0
2016-04-06,13,13,13,13,23885,0
2016-04-07,13,15.9,12.0002,14.625,284479,0
2016-04-08,14.625,14.625,14.55,14.625,33162,0
2016-04-11,14.625,14.625,13.375,13.375,70351,0
2016-04-12,13.375,13.375,13,13.125,34215,0
2016-04-13,13.125,13.25,13.0002,13.25,92795,0
2016-04-14,13.25,13.58,12.5,12.875,167398,0
2016-04-15,12.875,12.875,12.75,12.75,211807,0
2016-04-18,12.75,12.75,12.75,12.75,113846,0
2016-04-19,12.75,12.75,12.75,12.75,10000,0
