Date,Open,High,Low,Close,Volume,OpenInt
2015-03-27,56.186,56.186,56.186,56.186,3560,0
2015-03-30,54.816,56.774,54.816,56.774,18408,0
2015-03-31,54.855,56.579,54.816,55.598,37715,0
2015-04-01,55.031,56.579,54.816,56.579,13050,0
2015-04-02,54.816,54.816,54.816,54.816,3482,0
2015-04-07,54.816,56.579,52.5,56.285,37615,0
2015-04-08,55.06,56.46,55.06,56.46,26991,0
2015-04-09,56.162,58.731,56.162,58.731,29216,0
2015-04-10,58.731,58.731,55.794,55.794,55191,0
2015-04-13,56.285,57.215,56.285,57.165,30383,0
2015-04-14,55.794,55.824,54.816,54.816,15424,0
2015-04-15,56.186,56.774,54.816,54.816,31015,0
2015-04-16,54.816,56.235,53.837,54.816,31364,0
2015-04-17,53.837,54.816,52.859,54.571,26096,0
2015-04-20,52.369,54.523,52.369,52.49,47195,0
2015-04-21,54.523,54.523,52.49,52.49,20830,0
2015-04-22,54.523,54.523,51.977,51.977,34524,0
2015-04-23,52.074,54.816,51.879,51.879,8820,0
2015-04-24,51.879,54.326,51.879,54.326,51906,0
2015-04-27,54.816,55.697,54.816,54.816,26096,0
2015-04-28,55.697,55.697,54.816,54.816,15910,0
2015-04-29,54.816,55.648,54.816,55.648,19281,0
2015-04-30,55.794,58.731,55.794,58.731,32578,0
2015-05-01,57.752,57.752,56.529,57.017,17339,0
2015-05-05,57.253,57.263,57.253,57.263,5194,0
2015-05-06,56.822,57.752,55.794,55.794,36303,0
2015-05-07,56.285,56.285,54.816,54.816,7234,0
2015-05-08,55.794,57.263,54.816,57.215,26331,0
2015-05-11,56.285,57.263,54.846,56.285,47556,0
2015-05-12,54.962,55.11,54.816,55.11,37148,0
2015-05-13,56.799,57.401,54.962,57.401,21983,0
2015-05-14,54.962,54.962,54.962,54.962,1131,0
2015-05-15,54.816,54.816,54.816,54.816,1322,0
2015-05-18,57.263,57.263,55.158,55.158,16985,0
2015-05-19,55.158,57.136,55.158,57.136,5899,0
2015-05-20,57.116,57.116,55.305,55.305,16440,0
2015-05-21,56.774,56.774,56.138,56.138,7076,0
2015-05-22,55.355,57.136,55.355,55.355,29477,0
2015-05-26,57.067,57.067,54.816,54.816,38810,0
2015-05-27,54.816,56.724,54.816,54.816,14906,0
2015-05-28,54.816,56.724,54.816,54.816,18417,0
2015-05-29,54.816,56.48,53.837,56.186,31259,0
2015-06-01,53.837,56.303,53.746,55.794,28077,0
2015-06-02,56.303,56.303,54.13,54.13,18510,0
2015-06-03,56.148,56.148,53.495,53.495,18476,0
2015-06-04,56.088,56.088,53.327,53.495,30881,0
2015-06-05,55.794,55.794,53.102,53.2,10700,0
2015-06-08,53.2,53.2,53.2,53.2,6531,0
2015-06-09,55.794,55.794,55.794,55.794,2044,0
2015-06-10,63.332,69.48,61.815,69.48,267366,0
2015-06-11,67.844,69.498,65.093,65.828,130006,0
2015-06-12,68.471,68.471,65.828,68.422,35804,0
2015-06-15,68.813,68.813,65.828,68.606,30129,0
2015-06-16,68.696,68.696,65.583,65.583,15757,0
2015-06-17,67.678,68.52,64.849,64.849,42655,0
2015-06-18,67.443,67.443,67.443,67.443,7663,0
2015-06-19,68.52,68.52,64.605,67.423,22899,0
2015-06-22,64.605,67.443,64.605,67.423,20502,0
2015-06-23,67.307,68.52,64.849,65.093,38700,0
2015-06-24,65.172,68.05,65.172,68.05,512,0
2015-06-25,64.849,64.849,64.849,64.849,2624,0
2015-06-26,65.093,68.422,65.093,65.231,14538,0
2015-06-29,64.409,64.409,64.409,64.409,664,0
2015-06-30,66.953,66.953,63.87,66.024,19872,0
2015-07-01,66.318,66.318,64.179,65.093,136221,0
2015-07-02,63.626,66.209,63.626,66.209,1314,0
2015-07-03,63.626,63.626,63.626,63.626,9352,0
2015-07-06,63.626,66.19,63.626,66.024,19239,0
2015-07-07,66.024,66.024,66.024,66.024,444,0
2015-07-08,63.626,63.626,63.626,63.626,7951,0
2015-07-09,61.717,65.974,61.717,62.206,9448,0
2015-07-10,65.926,65.926,65.926,65.926,2272,0
2015-07-13,66.535,66.562,62.745,65.583,42532,0
2015-07-14,63.626,66.562,63.626,66.562,12688,0
2015-07-15,63.723,63.723,63.723,63.723,2886,0
2015-07-16,63.723,63.723,63.723,63.723,1471,0
2015-07-17,63.723,63.723,63.723,63.723,2555,0
2015-07-20,66.562,66.562,63.626,64.115,74539,0
2015-07-21,65.583,68.52,64.458,68.52,48907,0
2015-07-22,65.935,68.52,65.935,67.052,25728,0
2015-07-23,67.052,70.477,67.052,70.477,5786,0
2015-07-24,71.456,71.456,64.605,69.498,165108,0
2015-07-27,66.073,67.541,64.946,67.101,33022,0
2015-07-28,65.974,65.974,62.794,62.941,62316,0
2015-07-29,62.138,70.439,62.138,67.638,116837,0
2015-07-30,70.477,72.436,69.792,69.792,75214,0
2015-07-31,72.436,74.882,70.086,73.022,47712,0
2015-08-03,75.372,76.351,73.562,74.148,47357,0
2015-08-04,73.072,74.882,72.436,74.882,28528,0
2015-08-05,74.882,75.226,72.436,72.436,20552,0
2015-08-06,74.746,74.746,71.724,74.008,58928,0
2015-08-07,70.812,74.451,70.812,74.451,17582,0
2015-08-10,73.222,73.32,72.779,73.32,41698,0
2015-08-11,75.239,75.239,73.37,74.501,29489,0
2015-08-12,73.419,74.648,73.419,73.763,22399,0
2015-08-13,73.763,74.845,73.763,74.746,27308,0
2015-08-14,73.861,74.501,70.862,70.911,39018,0
2015-08-17,70.911,72.151,70.812,72.141,21471,0
2015-08-18,70.812,70.812,68.846,68.846,12013,0
2015-08-19,68.846,68.846,63.928,67.862,41439,0
2015-08-20,63.928,64.42,63.928,64.124,15991,0
2015-08-21,68.108,68.846,64.223,64.223,9541,0
2015-08-24,64.223,64.223,61.96,63.928,28551,0
2015-08-25,63.928,66.829,61.96,65.895,138297,0
2015-08-26,65.58,66.879,63.928,65.895,481566,0
2015-08-27,64.42,65.551,61.96,62.059,24723,0
2015-08-28,65.551,65.551,61.96,61.96,27744,0
2015-09-01,63.928,63.928,60.977,63.899,12309,0
2015-09-02,61.076,63.928,61.076,61.076,5556,0
2015-09-03,61.076,63.928,61.076,63.928,10858,0
2015-09-04,61.272,64.695,60.977,64.695,31562,0
2015-09-07,62.108,64.597,62.108,62.108,15613,0
2015-09-08,64.597,65.207,62.256,65.059,41210,0
2015-09-09,64.912,65.875,64.912,65.875,49355,0
2015-09-10,64.518,68.55,64.518,68.55,4745,0
2015-09-11,68.55,68.796,65.383,65.383,5132,0
2015-09-14,68.806,68.846,68.796,68.796,9853,0
2015-09-15,66.432,66.436,64.949,64.949,19736,0
2015-09-16,68.206,68.206,65.108,68.206,9972,0
2015-09-17,65.453,67.813,65.453,67.547,19633,0
2015-09-18,64.912,66.486,63.928,63.928,14848,0
2015-09-21,62.945,64.813,61.96,63.879,33895,0
2015-09-22,61.96,63.879,61.96,63.879,1309,0
2015-09-23,62.059,63.928,62.059,63.928,4894,0
2015-09-24,62.433,62.433,62.433,62.433,380,0
2015-09-25,62.502,64.518,61.567,64.37,26327,0
2015-09-28,61.332,62.453,60.977,62.453,23300,0
2015-09-29,63.239,63.239,56.06,62.945,103965,0
2015-09-30,65.846,65.895,61.96,65.895,16987,0
2015-10-01,65.856,65.895,63.141,64.439,23757,0
2015-10-02,66.879,70.695,65.895,68.846,82872,0
2015-10-05,68.846,68.846,65.895,68.729,12830,0
2015-10-06,66.19,69.141,66.19,69.141,9323,0
2015-10-07,66.239,66.239,66.239,66.239,503,0
2015-10-08,66.239,70.124,66.239,67.026,21266,0
2015-10-09,67.026,70.812,67.026,67.026,15113,0
