Date,Open,High,Low,Close,Volume,OpenInt
2015-03-04,225.13,228.13,220.45,221.6,339181,0
2015-03-05,222.66,228.3,222.05,227.51,278816,0
2015-03-06,223.98,224.69,214.91,217.98,558776,0
2015-03-09,219.68,220.1,214.91,216.49,322835,0
2015-03-10,214.54,215.26,203.25,208.65,507194,0
2015-03-11,206,212.87,203.17,206.53,490113,0
2015-03-12,203.25,211.73,203.25,211.63,295999,0
2015-03-13,208.38,209.25,202.02,204.24,284874,0
2015-03-16,202.29,205.55,201.15,204.05,176535,0
2015-03-17,202.48,204.15,199.83,203.71,137208,0
2015-03-18,199.83,212.26,199.83,210.23,234411,0
2015-03-19,208.11,213.31,208.11,211.63,281693,0
2015-03-20,209.44,223.55,209.44,223.55,598211,0
2015-03-23,222.91,222.91,218.16,219.68,568956,0
2015-03-24,218.34,223.98,217.81,219.39,247569,0
2015-03-25,217.98,218.69,206.62,209.44,373959,0
2015-03-26,206.43,208.65,203.71,208.11,217974,0
2015-03-27,207.48,210.58,200.71,203.71,262922,0
2015-03-30,203.71,204.15,196.74,200.71,425252,0
2015-03-31,202.91,204.05,196.31,198.67,293503,0
2015-04-01,199.38,203.35,196.83,199.11,144536,0
2015-04-02,202.91,202.91,196.64,200.43,175810,0
2015-04-07,203.79,209,201.23,206.35,301527,0
2015-04-08,211.29,219.68,206.78,215.96,417482,0
2015-04-09,219.68,219.68,206.84,209.87,143086,0
2015-04-10,214.38,215.16,207.14,210.14,468988,0
2015-04-13,214.63,214.63,205.72,212.17,268066,0
2015-04-14,215.26,215.43,209.52,212.97,191628,0
2015-04-15,215.7,215.7,207.76,212.34,310603,0
2015-04-16,216.05,216.05,208.73,214.03,270270,0
2015-04-17,218.16,218.16,208.55,210.85,3616994,0
2015-04-20,205.55,223.11,205.55,220.45,361307,0
2015-04-21,216.92,224.25,216.92,219.31,1281192,0
2015-04-22,219.92,220.81,212.69,216.22,298953,0
2015-04-23,215.52,220.65,208.79,218.57,1553000,0
2015-04-24,214.53,221.17,214.53,218.94,202785,0
2015-04-27,213.01,221.26,213.01,218.75,89630,0
2015-04-28,221.36,221.36,214.72,216.42,148069,0
2015-04-29,211.03,216.6,211.03,212.02,145713,0
2015-04-30,205.29,206.19,185.89,191.28,2376904,0
2015-05-01,190.38,191.82,183.19,183.82,1710187,0
2015-05-05,183.19,189.48,179.96,188.59,796183,0
2015-05-06,185.89,189.75,185.89,188.39,761494,0
2015-05-07,185.89,189.3,183.64,186.78,431055,0
2015-05-08,192.81,196.49,184.1,193.98,626317,0
2015-05-11,191.19,199.08,184.1,198.1,874604,0
2015-05-12,193.69,197.21,191.1,192.62,444580,0
2015-05-13,195.77,196.4,190.65,194.07,418350,0
2015-05-14,196.84,201.51,191.73,201.16,502683,0
2015-05-15,197.83,202.68,197.56,202.68,443225,0
2015-05-18,198.92,204.75,198.92,203.57,363183,0
2015-05-19,206.54,209.95,204.22,209.33,293841,0
2015-05-20,207.08,208.16,203.21,205.2,313496,0
2015-05-21,208.87,209.78,206.36,208.51,626153,0
2015-05-22,208.61,211.03,205.92,206.9,246264,0
2015-05-26,203.86,207.49,198.55,201.69,407816,0
2015-05-27,205.64,211.12,203.41,208.43,288727,0
2015-05-28,206.54,210.31,205.2,208.51,227647,0
2015-05-29,206.64,211.66,206.64,211.03,371428,0
2015-06-01,209.51,215.43,209.51,212.65,140618,0
2015-06-02,215.52,215.52,210.14,213.19,266274,0
2015-06-03,215.52,218.04,212.52,215.71,1028825,0
2015-06-04,212.37,215.35,205.29,206.54,1061512,0
2015-06-05,207.81,210.94,205.83,209.15,3525762,0
2015-06-08,211.03,211.03,208.43,209.23,1820697,0
2015-06-09,211.57,214.18,207.62,207.62,3547113,0
2015-06-10,209.78,213.45,207.88,212.3,2488638,0
2015-06-11,215.43,219.92,213.19,213.9,331527,0
2015-06-12,213.45,213.81,207.43,209.68,323645,0
2015-06-15,207.36,208.34,202.23,203.41,1054012,0
2015-06-16,203.41,206.54,199.36,206.54,645251,0
2015-06-17,208.07,208.07,203,203.49,478653,0
2015-06-18,205.83,205.83,197.65,200.43,1252647,0
