Date,Open,High,Low,Close,Volume,OpenInt
2015-03-23,2.25,2.25,2.25,2.25,8000,0
2015-03-27,1.9387,2.0325,1.875,2,1753827,0
2015-03-30,1.9275,2.4,1.75,2.0898,6158731,0
2015-03-31,2.0125,2.34,2.0125,2.1725,6885905,0
2015-04-01,2.075,2.3125,2.075,2.26,1559664,0
2015-04-02,2.2948,2.2948,1.9,2.0362,3827142,0
2015-04-07,2,2,1.8875,1.9475,2380320,0
2015-04-08,1.9475,2.0825,1.775,2,1390465,0
2015-04-09,1.9025,1.975,1.775,1.975,2544591,0
2015-04-10,1.8775,2.35,1.8775,2.2375,3058875,0
2015-04-13,2.2375,2.625,2.1652,2.525,7670613,0
2015-04-14,3.6725,3.6725,2.0025,2.1498,23903358,0
2015-04-15,2.0525,2.06,1.8525,2.015,7905470,0
2015-04-16,1.9525,2.235,1.875,2,7421895,0
2015-04-17,2.0475,2.095,1.875,2.05,2664486,0
2015-04-20,1.9775,2.1225,1.875,1.9625,5581078,0
2015-04-21,1.9625,2.3675,1.9625,2.25,16987931,0
2015-04-22,2.3,2.3362,2.1,2.2175,11452086,0
2015-04-23,2.97,2.97,1.875,1.875,12618644,0
2015-04-24,2.0362,2.1,1.9525,2,10356174,0
2015-04-27,2.025,2.4625,1.9625,2.3875,19828901,0
2015-04-28,2.325,2.4625,2.125,2.27,9384298,0
2015-04-29,2.3,2.325,2,2.025,12225462,0
2015-04-30,2.0625,2.175,1.875,2.0875,6419827,0
2015-05-01,2.22,2.2725,1.9375,2.125,4935021,0
2015-05-05,2.125,2.2,1.9775,2,2752819,0
2015-05-06,2,2.1975,1.9325,2.1975,2529343,0
2015-05-07,1.75,2.0475,1.5625,1.7528,18595992,0
2015-05-08,1.765,1.85,1.575,1.85,10553893,0
2015-05-11,1.75,1.85,1.575,1.75,8421061,0
2015-05-12,1.675,1.675,1.4025,1.675,6329909,0
2015-05-13,1.575,1.8362,1.4625,1.7925,5067973,0
2015-05-14,1.8125,1.85,1.6275,1.6925,1998439,0
2015-05-15,1.6925,2.25,1.6925,2.1,11880321,0
2015-05-18,2.1725,2.4747,1.79,1.8375,9114055,0
2015-05-19,1.7775,2,1.65,1.7975,5280792,0
2015-05-20,1.7275,1.8725,1.6525,1.71,2146237,0
2015-05-21,1.7362,1.8225,1.705,1.705,1712078,0
2015-05-22,1.735,1.75,1.625,1.7,3277795,0
2015-05-26,1.75,1.8,1.7,1.725,933655,0
2015-05-27,1.675,2.0612,1.6,1.8,5544237,0
2015-05-28,1.795,1.8,1.705,1.7425,2387215,0
2015-05-29,1.7425,1.7425,1.6,1.6675,2955415,0
2015-06-01,1.6625,1.6625,1.4525,1.645,3479225,0
2015-06-02,1.6825,1.6875,1.4625,1.6375,2824007,0
2015-06-03,1.525,1.675,1.5,1.575,1216098,0
2015-06-04,1.65,1.65,1.475,1.6,2093555,0
2015-06-05,1.5375,1.6225,1.445,1.4825,2849259,0
2015-06-08,1.4,1.7925,1.25,1.775,4554973,0
2015-06-09,1.735,1.87,1.65,1.7125,1653542,0
2015-06-10,1.7475,1.9225,1.6302,1.6302,2203041,0
2015-06-11,1.6325,1.7448,1.5275,1.575,2318518,0
2015-06-12,1.565,1.625,1.505,1.55,2639168,0
2015-06-15,1.57,1.825,1.515,1.7,1690214,0
2015-06-16,1.695,1.695,1.5,1.5,1750155,0
2015-06-17,1.5025,1.6872,1.4525,1.6872,1397299,0
2015-06-18,1.515,1.695,1.515,1.665,1299247,0
2015-06-19,1.54,1.675,1.455,1.525,1192039,0
2015-06-22,1.65,1.65,1.465,1.5025,850060,0
2015-06-23,1.585,1.6,1.5025,1.5325,374551,0
2015-06-24,1.5187,1.61,1.5187,1.5575,371205,0
2015-06-25,1.5575,1.62,1.45,1.4775,2330392,0
2015-06-26,1.675,1.85,1.4,1.525,4075291,0
2015-06-29,1.505,1.6,1.3375,1.425,1052145,0
2015-06-30,1.4275,1.5475,1.25,1.25,826498,0
2015-07-01,1.4975,1.5975,1.25,1.4525,959239,0
2015-07-02,1.5975,1.5975,1.34,1.4625,1300436,0
2015-07-03,1.4275,1.4625,1.4275,1.4625,346669,0
2015-07-06,1.4025,1.56,1.3625,1.475,1256763,0
2015-07-07,1.535,1.5975,1.4825,1.53,1333699,0
2015-07-08,1.4725,1.4725,1.225,1.2525,7813625,0
2015-07-09,1.2575,1.2975,1.1875,1.25,3381623,0
2015-07-10,1.26,1.26,0.9775,1.125,2895227,0
2015-07-13,1.195,1.3,1.155,1.2975,1660983,0
2015-07-14,1.2075,1.3,1.1875,1.24,1713640,0
2015-07-15,1,1.23,1,1.1925,1424424,0
2015-07-16,1.1925,1.2125,1.14,1.16,1538814,0
2015-07-17,1.14,1.1675,1.1175,1.14,1150565,0
2015-07-20,1.14,1.14,1.015,1.0625,3602132,0
2015-07-21,1.075,1.075,0.9025,0.9025,1458536,0
2015-07-22,0.9925,1.125,0.9,0.9525,4286904,0
2015-07-23,0.97,1.035,0.9125,0.935,1339912,0
2015-07-24,0.93,0.93,0.875,0.8925,1828516,0
2015-07-27,0.8875,0.8875,0.75,0.835,2473636,0
2015-07-28,0.7525,0.8225,0.715,0.7375,5988285,0
2015-07-29,0.7325,0.8048,0.7325,0.75,4504762,0
2015-07-30,0.6878,0.75,0.68,0.75,1460556,0
2015-07-31,0.7,0.7475,0.685,0.7475,905341,0
2015-08-03,0.7475,0.8125,0.7125,0.75,1485286,0
2015-08-04,0.7725,0.7725,0.69,0.7,3916455,0
2015-08-05,0.7325,0.7325,0.7,0.715,1265559,0
2015-08-06,0.7125,0.7125,0.625,0.6275,874768,0
2015-08-07,0.625,0.6872,0.565,0.625,3226453,0
2015-08-10,0.6275,0.7375,0.58,0.625,4595450,0
2015-08-11,0.7475,0.8488,0.6775,0.72,1962180,0
2015-08-12,0.8582,0.8582,0.775,0.825,1052409,0
2015-08-13,0.7275,0.7998,0.7275,0.7525,732839,0
2015-08-14,0.7775,1.05,0.7575,1,3492114,0
2015-08-17,1,1.075,0.775,0.86,1585484,0
2015-08-18,0.86,0.975,0.7875,0.975,885711,0
2015-08-19,1,1.0625,0.8775,0.925,3044987,0
2015-08-20,1,1,0.79,0.79,1213799,0
2015-08-21,0.895,0.895,0.6525,0.75,1161614,0
2015-08-24,0.7125,0.7425,0.625,0.675,3864508,0
2015-08-25,0.565,0.8,0.565,0.75,2252420,0
2015-08-26,0.7475,0.75,0.6752,0.72,580852,0
2015-08-27,0.7188,0.75,0.68,0.6838,1097498,0
2015-08-28,0.685,0.71,0.65,0.65,1641654,0
2015-09-01,0.6525,0.7425,0.6378,0.685,806638,0
2015-09-02,0.6275,0.7247,0.625,0.7247,1345950,0
2015-09-03,0.7125,0.7125,0.6252,0.67,1006072,0
2015-09-04,0.66,0.75,0.6275,0.645,792641,0
2015-09-07,0.61,0.66,0.55,0.65,4963642,0
2015-09-08,0.5775,0.6575,0.542,0.5925,1859412,0
2015-09-09,0.55,0.6175,0.55,0.555,779636,0
2015-09-10,0.555,0.555,0.5375,0.5375,1029754,0
2015-09-11,0.5875,0.625,0.5412,0.625,142543,0
2015-09-14,0.5625,0.625,0.5412,0.6125,1371387,0
2015-09-15,0.58,0.58,0.5275,0.5538,1183298,0
2015-09-16,0.5275,0.625,0.5125,0.5338,2819432,0
2015-09-17,0.535,0.535,0.5,0.5,1080872,0
2015-09-18,0.5,0.55,0.45,0.5,4298000,0
2015-09-21,0.505,0.5425,0.5,0.5,474962,0
2015-09-22,0.5225,0.5362,0.4375,0.5,2143714,0
2015-09-23,0.465,0.5225,0.45,0.45,1098696,0
2015-09-24,0.5,0.525,0.45,0.4925,879037,0
2015-09-25,0.495,0.825,0.415,0.725,11377181,0
2015-09-28,0.8125,0.8125,0.43,0.495,8498750,0
2015-09-29,0.475,0.575,0.4375,0.49975,2548704,0
2015-09-30,0.495,0.62,0.4425,0.4775,3665983,0
2015-10-01,0.465,0.5362,0.4575,0.4775,3120055,0
2015-10-02,0.4775,0.5,0.43,0.44,3489178,0
2015-10-05,0.475,0.5225,0.475,0.4925,1819143,0
2015-10-06,0.5,0.5625,0.465,0.475,1017792,0
2015-10-07,0.445,0.535,0.4375,0.5025,3488654,0
2015-10-08,0.5025,0.525,0.5,0.5225,287178,0
2015-10-09,0.55,0.5575,0.4375,0.45,2394097,0
2015-10-12,0.4975,0.5,0.415,0.455,4485237,0
2015-10-13,0.4525,0.61,0.45025,0.465,7822588,0
2015-10-14,0.47,0.52,0.45525,0.5125,398045,0
2015-10-15,0.5112,0.5112,0.47,0.5,1531253,0
2015-10-16,0.4975,0.5,0.4725,0.5,1041284,0
2015-10-19,0.55,0.55,0.4625,0.4625,2329964,0
2015-10-20,0.46875,0.525,0.445,0.5,3124870,0
2015-10-21,0.5,0.5625,0.48,0.48125,1420751,0
2015-10-22,0.5,0.545,0.485,0.5,563749,0
2015-10-23,0.49125,0.5,0.49125,0.5,672924,0
2015-10-26,0.49125,0.5,0.49125,0.5,940268,0
2015-10-27,0.625,0.625,0.49125,0.495,338859,0
2015-10-28,0.55,0.675,0.5,0.6,6583561,0
2015-10-29,0.55,0.595,0.525,0.5625,728850,0
