Date,Open,High,Low,Close,Volume,OpenInt
2015-03-04,644.55,649.84,641.02,644.55,493677,0
2015-03-05,635.74,639.7,623.38,633.09,528624,0
2015-03-06,629.57,635.74,624.71,626.93,699633,0
2015-03-09,622.5,626.93,620.3,620.3,309667,0
2015-03-10,617.65,628.25,613.25,614.14,304554,0
2015-03-11,609.27,616.78,599.15,608.4,833154,0
2015-03-12,611.92,617.21,603.11,614.56,416484,0
2015-03-13,615.02,626.47,613.69,615.45,425627,0
2015-03-16,615.45,623.82,615.02,618.98,519726,0
2015-03-17,617.65,622.06,610.6,617.65,413499,0
2015-03-18,630.01,630.01,611.92,612.8,426097,0
2015-03-19,610.15,617.21,602.66,615.89,534290,0
2015-03-20,615.45,617.65,609.73,614.14,2251026,0
2015-03-23,616.34,617.21,610.6,613.25,659296,0
2015-03-24,614.14,617.21,611.92,614.14,687995,0
2015-03-25,616.78,621.17,609.73,610.15,831967,0
2015-03-26,608.85,608.85,595.62,601.79,515461,0
2015-03-27,604.44,604.86,596.05,596.05,645188,0
2015-03-30,600.02,603.55,593.85,595.2,954207,0
2015-03-31,595.18,599.57,590.94,593.85,517126,0
2015-04-01,598.26,600.46,585.83,587.68,1185044,0
2015-04-02,590.33,591.65,587.68,591.21,1623429,0
2015-04-07,596.05,597.22,589.45,596.93,888688,0
2015-04-08,597.37,607.95,595.62,601.79,849363,0
2015-04-09,598.26,611.49,598.26,610.6,342763,0
2015-04-10,611.49,625.15,605.75,611.05,551927,0
2015-04-13,613.69,616.34,607.95,615.89,515313,0
2015-04-14,615.45,621.17,612.37,613.25,700052,0
2015-04-15,616.78,616.78,604.44,608.85,370632,0
2015-04-16,611.49,615.19,609.19,611.49,773091,0
2015-04-17,610.15,610.6,595.18,601.34,1098499,0
2015-04-20,601.34,607.51,598.26,600.91,1117901,0
2015-04-21,605.31,614.56,603.11,605.31,648378,0
2015-04-22,610.15,611.49,599.15,602.22,692292,0
2015-04-23,604.44,607.51,597.37,607.08,436066,0
2015-04-24,603.11,609.73,600.91,603.11,699569,0
2015-04-27,602.66,609.27,596.93,609.27,319641,0
2015-04-28,606.2,609.27,602.22,604.86,733808,0
2015-04-29,607.95,611.05,597.82,597.82,911142,0
2015-04-30,601.34,601.34,591.21,598.64,838926,0
2015-05-01,599.57,607.95,593.41,603.98,569820,0
2015-05-05,604.86,610.6,590.77,591.21,767178,0
2015-05-06,589,603.98,586.8,601.79,3107244,0
2015-05-07,601.79,614.14,599.15,611.05,1205307,0
2015-05-08,622.95,632.66,615.02,617.21,1867587,0
2015-05-11,619.85,630.01,615.02,625.6,1290850,0
2015-05-12,622.5,629.57,618.09,625.15,2187677,0
2015-05-13,629.12,639.26,623.82,634.41,1329429,0
2015-05-14,635.3,635.3,601.34,606.63,2685237,0
2015-05-15,608.4,629.57,607.51,627.8,2845908,0
2015-05-18,626.04,632.21,622.06,625.15,847737,0
2015-05-19,624.71,630.01,617.21,627.36,476844,0
2015-05-20,629.12,630.88,621.17,621.63,556637,0
2015-05-21,618.53,625.6,616.78,616.78,588930,0
2015-05-22,622.06,622.06,612.8,619.42,746399,0
2015-05-26,616.34,618.98,607.95,608.85,1023493,0
2015-05-27,607.08,614.14,607.08,612.8,710429,0
2015-05-28,609.27,615.45,608.63,610.15,281076,0
2015-05-29,609.27,616.34,606.2,608.4,739624,0
2015-06-01,606.63,615.02,606.63,612.37,661663,0
2015-06-02,615.45,617.21,610.6,613.25,767241,0
2015-06-03,611.05,619.85,611.05,613.25,536520,0
2015-06-04,611.49,611.92,603.11,608.4,569178,0
2015-06-05,604.44,604.86,597.82,601.34,963069,0
2015-06-08,598.69,608.85,598.69,607.08,1123058,0
2015-06-09,604.86,612.8,604.44,609.27,545550,0
2015-06-10,610.6,618.09,607.08,616.78,790663,0
2015-06-11,614.14,626.04,614.14,619.85,2246991,0
2015-06-12,621.63,622.06,614.14,620.74,556709,0
2015-06-15,615.02,616.34,609.73,614.14,584269,0
2015-06-16,611.49,614.75,607.08,613.69,867706,0
2015-06-17,613.69,616.34,606.2,611.49,807328,0
2015-06-18,612.65,614.88,604.6,613.55,723978,0
2015-06-19,621.59,622.48,613.55,613.55,1569750,0
