Date,Open,High,Low,Close,Volume,OpenInt
2017-03-01,94.729,95.997,92.945,93.762,505081,0
2017-03-02,92.312,95.454,91.345,92.796,312001,0
2017-03-03,91.345,93.52,90.862,93.037,2056054,0
2017-03-06,92.796,93.279,91.104,92.554,555899,0
2017-03-07,91.828,92.554,91.828,92.312,215853,0
2017-03-08,90.862,93.037,90.862,91.828,6901712,0
2017-03-09,91.345,91.828,90.591,91.104,291623,0
2017-03-10,92.796,93.279,89.895,90.379,443931,0
2017-03-13,89.895,90.862,89.654,90.137,368426,0
2017-03-14,90.137,90.137,88.928,89.412,327757,0
2017-03-15,89.17,89.895,88.688,88.928,455160,0
2017-03-16,92.554,92.554,89.654,91.104,225059,0
2017-03-17,88.928,93.037,88.928,91.587,1138012,0
2017-03-20,93.762,93.762,91.104,91.828,151857,0
2017-03-21,90.862,93.762,90.862,93.037,267543,0
2017-03-22,91.345,92.554,89.17,89.654,197224,0
2017-03-23,88.928,91.345,88.928,90.379,230133,0
2017-03-24,88.446,92.554,88.446,92.312,69281,0
2017-03-27,89.412,92.07,89.412,91.587,148716,0
2017-03-28,91.345,93.52,91.345,92.312,10174596,0
2017-03-29,94.729,94.729,92.312,92.554,2385211,0
2017-03-30,92.796,94.245,92.554,93.762,2533492,0
2017-03-31,94.729,94.729,90.621,92.312,5663427,0
2017-04-03,92.554,94.487,90.402,94.487,144003,0
2017-04-04,90.862,94.487,90.862,93.52,851828,0
2017-04-05,94.245,94.245,92.119,92.312,700995,0
2017-04-06,90.862,94.003,90.862,93.279,221172,0
2017-04-07,93.279,93.762,92.312,93.52,772144,0
2017-04-10,94.729,94.729,91.104,92.312,148782,0
2017-04-11,94.729,94.729,91.104,91.828,324603,0
2017-04-12,92.07,94.245,91.104,93.762,324804,0
2017-04-13,94.245,94.245,90.862,94.245,126551,0
2017-04-18,93.279,93.279,90.379,92.07,281735,0
2017-04-19,93.037,93.52,90.418,93.037,1670182,0
2017-04-20,94.245,94.245,92.42,92.796,642246,0
2017-04-21,90.379,92.07,89.895,92.07,225763,0
2017-04-24,91.587,93.279,91.587,93.279,204640,0
2017-04-25,93.52,94.729,91.587,94.245,12672301,0
2017-04-26,94.487,94.729,93.58,94.245,851042,0
2017-04-27,94.729,94.729,93.762,94.245,807454,0
2017-04-28,94.487,94.729,93.279,94.245,2024125,0
2017-05-02,93.279,95.454,93.279,95.212,2143592,0
2017-05-03,94.487,94.97,93.279,94.487,363008,0
2017-05-04,95.454,95.454,94.487,94.729,1553935,0
2017-05-05,94.729,95.696,94.245,95.696,2419903,0
2017-05-08,95.696,100.29,95.212,100.29,583134,0
2017-05-09,100.53,102.22,99.319,101.97,714300,0
2017-05-10,101.5,102.95,100.95,102.71,303036,0
2017-05-11,102.95,102.95,100.65,101.74,869679,0
2017-05-12,102.95,103.24,101.97,102.22,1534520,0
2017-05-15,103.43,103.43,101.01,101.74,872901,0
2017-05-16,103.43,103.43,101.01,101.74,1722469,0
2017-05-17,103.43,103.43,100.77,101.5,503628,0
2017-05-18,102.95,102.95,100.04,101.25,622285,0
2017-05-19,100.53,101.74,100.53,100.53,815260,0
2017-05-22,100.53,100.94,100.23,100.29,520878,0
2017-05-23,100.04,101.01,99.438,100.04,416709,0
2017-05-24,99.8,100.04,98.834,99.56,268541,0
2017-05-25,93.037,93.279,89.415,91.345,2035770,0
