Date,Open,High,Low,Close,Volume,OpenInt
2015-03-04,291.49,291.83,282.86,287.99,1658702,0
2015-03-05,290.2,291.65,286.1,289.69,1006180,0
2015-03-06,290.2,290.8,286.44,290.04,1084474,0
2015-03-09,290.47,293.71,287.91,292.42,1138478,0
2015-03-10,290.89,292.85,286.1,286.62,888704,0
2015-03-11,288.84,290.37,287.05,287.57,1104020,0
2015-03-12,285.6,291.99,285.6,290.04,967649,0
2015-03-13,290.97,292.34,289.86,292.34,834452,0
2015-03-16,294.39,294.39,291.23,291.99,578244,0
2015-03-17,291.14,294.3,288.24,290.89,844479,0
2015-03-18,291.65,296.95,289.09,296.44,1173481,0
2015-03-19,297.46,307.27,297.46,305.38,1826156,0
2015-03-20,305.9,307.01,304.36,306.58,2555977,0
2015-03-23,307.27,307.27,303.25,305.14,818636,0
2015-03-24,306.25,306.67,303.6,303.78,779488,0
2015-03-25,305.3,306.16,300.27,303.78,963563,0
2015-03-26,305.38,308.38,300.78,306.34,1630198,0
2015-03-27,305.38,308.8,298.48,299.07,1012518,0
2015-03-30,301.47,302.92,298.65,302.74,1506403,0
2015-03-31,301.03,305.3,296.34,297.88,1762649,0
2015-04-01,296.34,301.38,296.34,299.25,712944,0
2015-04-02,301.12,302.74,299.85,301.21,603564,0
2015-04-07,301.73,307.77,301.73,307.61,996424,0
2015-04-08,312.98,318.61,307.01,310.34,1877935,0
2015-04-09,313.06,313.06,308.3,309.92,638608,0
2015-04-10,311.46,316.48,310.42,316.48,1469508,0
2015-04-13,316.48,322.7,315.54,321.68,1455899,0
2015-04-14,320.91,323.04,317.93,320.32,1792808,0
2015-04-15,319.88,321.6,318.7,319.3,1114455,0
2015-04-16,317.76,319.46,314.09,319.46,2316027,0
2015-04-17,317.25,318.61,313.41,315.63,1526918,0
2015-04-20,317.93,318.1,314.34,316.48,1062504,0
2015-04-21,317.67,320.99,316.83,319.98,3416711,0
2015-04-22,321.42,322.37,317.76,319.88,1352737,0
2015-04-23,321.94,324.24,318.27,320.32,1931157,0
2015-04-24,322.7,322.7,319.95,319.98,1031980,0
2015-04-27,322.27,322.27,317.84,320.58,1134296,0
2015-04-28,321.26,321.6,309.99,312.64,2103528,0
2015-04-29,306.25,314.87,300.69,311.36,3842164,0
2015-04-30,312.04,312.19,305.81,309.73,1910100,0
2015-05-01,310.08,311.27,305.9,311.01,731807,0
2015-05-05,315.63,315.63,309.32,310.59,3803284,0
2015-05-06,309.22,315.11,308.55,314.87,2255824,0
2015-05-07,311.01,319.72,309.66,318.7,3116010,0
2015-05-08,352.13,373.54,329.19,339.76,4652079,0
2015-05-11,341.82,346.52,329.19,343.43,3668235,0
2015-05-12,341.39,341.73,336.78,341.21,3018777,0
2015-05-13,343.18,343.18,337.64,338.48,2310022,0
2015-05-14,339.09,340.11,335.43,339.85,1695382,0
2015-05-15,339.85,341.21,339.25,339.93,1275012,0
2015-05-18,340.7,344.12,339.09,343.86,1249670,0
2015-05-19,345.31,346.96,343.77,344.89,847408,0
2015-05-20,345.05,345.7,339.76,340.88,1134319,0
2015-05-21,337.89,341.89,337.89,340.02,886898,0
2015-05-22,340.61,342.41,340.19,341.14,924752,0
2015-05-26,339,343.1,339,341.04,592692,0
2015-05-27,340.61,346.94,340.61,345.56,733302,0
2015-05-28,343.86,345.91,342.57,343.43,722753,0
2015-05-29,342.84,346.43,342.24,345.05,1889182,0
2015-06-01,346.52,347.18,343.6,345.31,633914,0
2015-06-02,348.12,349.75,345.23,348.56,1102592,0
2015-06-03,349.75,352.9,347.79,350.68,1388264,0
2015-06-04,351.63,351.63,345.75,346.85,679121,0
2015-06-05,347.02,347.02,341.28,342.75,818939,0
2015-06-08,341.39,343.52,340.79,341.98,621354,0
2015-06-09,341.56,344.72,340.54,343.86,582717,0
2015-06-10,346.33,347.18,344.02,344.89,1637822,0
2015-06-11,346.58,346.58,341.82,343.26,1139325,0
2015-06-12,340.27,345.48,340.27,345.23,841696,0
2015-06-15,343.1,343.26,339.48,342.07,963234,0
2015-06-16,342.84,342.84,335.25,339.25,1394676,0
2015-06-17,338.9,344.72,338.9,343.77,1396167,0
2015-06-18,344.29,346.16,342.67,343.86,1507650,0
2015-06-19,344.8,348.38,344.8,346.85,1870584,0
2015-06-22,350.6,351.63,346.85,348.3,1323994,0
2015-06-23,350.77,350.77,346,346.85,1018145,0
2015-06-24,353.15,356.47,344.8,355.71,2589317,0
2015-06-25,357,358.45,353.76,357.95,1589767,0
2015-06-26,356.47,356.98,353.07,355.2,1397042,0
2015-06-29,348.12,351.79,346.16,348.99,1768964,0
2015-06-30,348.47,348.99,343.26,344.46,2388294,0
2015-07-01,341.21,343.43,338.48,341.21,1565333,0
2015-07-02,343.18,343.93,339.61,340.7,1681796,0
2015-07-03,341.46,345.05,338.65,344.54,1124278,0
2015-07-06,339.93,345.48,339.85,344.12,877723,0
2015-07-07,339.51,342.84,336.02,336.27,1711432,0
2015-07-08,338.74,338.74,332.08,333.62,947182,0
2015-07-09,333.98,336.27,333.54,335.42,867084,0
2015-07-10,340.02,340.02,336.02,336.78,746671,0
2015-07-13,332.69,340.02,329.11,337.98,2489876,0
