Date,Open,High,Low,Close,Volume,OpenInt
2017-12-21,1.02,1.02,1.02,1.02,299,0
2017-12-22,1.02,1.02,1.02,1.02,0,0
2017-12-27,1.02,1.02,1.02,1.02,0,0
2017-12-28,1.02,1.02,1.02,1.02,0,0
2017-12-29,1.02,1.02,1.02,1.02,1975,0
2018-01-02,1.02,1.02,1.02,1.02,0,0
2018-01-03,1.02,1.02,1.02,1.02,21119,0
2018-01-04,1.02,1.02,1.02,1.02,0,0
2018-01-05,1.02,1.03,1.02,1.03,19894,0
2018-01-08,1.03,1.04,1.03,1.04,47098,0
2018-01-09,1.05,1.05,1.05,1.05,0,0
2018-01-10,1.05,1.05,1.05,1.05,0,0
2018-01-11,1.05,1.05,1.05,1.05,11856,0
2018-01-12,1.05,1.05,1.05,1.05,20000,0
2018-01-15,1.05,1.05,1.05,1.05,1553,0
2018-01-16,1.05,1.05,1.05,1.05,0,0
2018-01-17,1.05,1.05,1.05,1.05,15000,0
2018-01-18,1.05,1.05,1.05,1.05,5000,0
2018-01-19,1.05,1.05,1.05,1.05,50000,0
2018-01-22,1.05,1.05,1.05,1.05,0,0
2018-01-23,1.05,1.05,1.05,1.05,0,0
2018-01-24,1.05,1.05,1.05,1.05,0,0
2018-01-25,1.05,1.05,1.05,1.05,0,0
2018-01-26,1.05,1.05,1.05,1.05,55685,0
2018-01-29,1.05,1.05,1.05,1.05,7632,0
2018-01-30,1.05,1.05,1.05,1.05,0,0
2018-01-31,1.05,1.05,1.05,1.05,12812,0
2018-02-01,1.05,1.05,1.05,1.05,3325,0
2018-02-02,1.05,1.05,1.05,1.05,0,0
2018-02-05,1.05,1.05,1.05,1.05,0,0
2018-02-06,1.05,1.05,1.05,1.05,0,0
2018-02-07,1.05,1.05,1.05,1.05,0,0
2018-02-08,1.05,1.05,1.05,1.05,0,0
2018-02-09,1.05,1.05,1.05,1.05,250000,0
2018-02-12,1.05,1.05,1.05,1.05,106514,0
2018-02-13,1.05,1.05,1.05,1.05,0,0
2018-02-14,1.05,1.05,1.05,1.05,0,0
2018-02-15,1.05,1.05,1.05,1.05,0,0
2018-02-16,1.05,1.05,1.05,1.05,10000,0
2018-02-19,1.05,1.05,1.05,1.05,0,0
2018-02-20,1.05,1.05,1.05,1.05,2662,0
2018-02-21,1.05,1.05,1.05,1.05,1294,0
2018-02-22,1.05,1.05,1.05,1.05,760,0
2018-02-23,1.05,1.05,1.05,1.05,0,0
2018-02-26,1.05,1.05,1.05,1.05,0,0
2018-02-27,1.05,1.055,1.05,1.055,3000,0
2018-02-28,1.055,1.055,1.055,1.055,0,0
2018-03-01,1.055,1.055,1.055,1.055,0,0
2018-03-02,1.055,1.055,1.055,1.055,0,0
2018-03-05,1.055,1.055,1.055,1.055,0,0
2018-03-06,1.055,1.055,1.055,1.055,0,0
2018-03-07,1.055,1.055,1.055,1.055,0,0
2018-03-08,1.055,1.055,1.055,1.055,0,0
2018-03-09,1.055,1.055,1.055,1.055,0,0
2018-03-12,1.055,1.055,1.055,1.055,0,0
2018-03-13,1.055,1.055,1.055,1.055,0,0
2018-03-14,1.06,1.06,1.06,1.06,0,0
2018-03-15,1.06,1.06,1.06,1.06,0,0
2018-03-16,1.06,1.06,1.06,1.06,0,0
2018-03-19,1.06,1.06,1.06,1.06,0,0
2018-03-20,1.06,1.06,1.06,1.06,1500,0
2018-03-21,1.06,1.06,1.06,1.06,0,0
2018-03-22,1.06,1.06,1.06,1.06,0,0
2018-03-23,1.06,1.06,1.06,1.06,0,0
2018-03-26,1.06,1.06,1.06,1.06,0,0
2018-03-27,1.06,1.06,1.06,1.06,0,0
2018-03-28,1.06,1.06,1.06,1.06,0,0
2018-03-29,1.06,1.06,1.06,1.06,0,0
