Date,Open,High,Low,Close,Volume,OpenInt
2015-04-02,212.91,213.4,211.82,213.4,194958,0
2015-04-07,213.2,221.17,213.2,218.12,122310,0
2015-04-08,216.46,222.87,216.46,222.87,444211,0
2015-04-09,220.01,234.49,220.01,234.49,914298,0
2015-04-10,235.38,244.68,233.15,241.83,186357,0
2015-04-13,235.67,241.83,235.67,241.83,22102,0
2015-04-14,237.09,241.83,236.53,241.83,61850,0
2015-04-15,241.83,241.83,237.09,241.83,10739,0
2015-04-16,236.62,236.62,236.62,236.62,3439,0
2015-04-17,237.09,237.09,237.09,237.09,52721,0
2015-04-22,237.09,237.09,235.19,237.09,413465,0
2015-04-23,237.09,239.7,236.14,236.14,89370,0
2015-04-24,237.09,239.92,236.84,237.09,5696,0
2015-04-27,236.62,238.99,236.62,237.09,1855213,0
2015-04-28,236.77,238.27,236.77,238.27,11060,0
2015-04-29,236.77,237.81,236.77,237.81,2395,0
2015-04-30,237.09,241.83,236.14,241.83,25271,0
2015-05-05,242.77,242.77,235.67,237.09,27616,0
2015-05-06,237.09,237.09,237.09,237.09,347966,0
2015-05-07,236.77,237.09,236.77,237.09,63477,0
2015-05-11,241.83,241.83,241.65,241.83,6471,0
2015-05-12,239.94,246.58,239.94,246.58,42378,0
2015-05-13,245.63,245.63,238.99,239.46,6582,0
2015-05-14,239.41,239.46,238.99,239.46,25536,0
2015-05-15,238.99,241.83,238.99,241.83,15665,0
2015-05-18,243.72,243.72,238.05,240.26,100741,0
2015-05-19,240.41,243.72,238.05,243.51,28353,0
2015-05-20,240.41,240.41,238.99,238.99,29091,0
2015-05-21,237.09,243.51,237.09,242.77,57822,0
2015-05-22,243.72,247.52,237.09,247.52,53580,0
2015-05-26,242.77,247.52,242.77,247.52,21159,0
2015-05-27,243.72,247.2,243.72,247.2,21779,0
2015-05-28,243.72,256.07,243.72,256.07,106327,0
2015-05-29,255.11,259.86,255.11,258.9,353904,0
2015-06-01,257.96,259.14,256.07,258.43,101785,0
2015-06-02,259.86,259.86,254.73,258.9,9219,0
2015-06-03,259.86,260.8,257.44,259.38,32073,0
2015-06-04,260.8,260.8,256.07,260.8,85218,0
2015-06-05,256.31,266.48,256.31,265.79,155275,0
2015-06-08,265.79,271.24,265.44,270.52,41593,0
2015-06-09,271.24,271.24,267.44,270.28,96824,0
2015-06-10,271.24,271.24,267.44,270.04,278161,0
2015-06-11,271.24,271.24,267.44,270.53,486564,0
2015-06-12,271.24,271.24,265.55,270.28,287087,0
2015-06-15,268.14,270.28,266.54,269.34,108994,0
2015-06-16,271.71,271.71,268.86,270.28,48613,0
2015-06-17,271.24,272.17,269.34,271.94,960897,0
2015-06-18,272.66,272.66,269.34,270.28,289287,0
2015-06-19,270.28,270.28,263.64,264.12,3928312,0
2015-06-22,267.44,268.38,262.7,264.12,74510,0
2015-06-23,265.73,265.73,264.12,264.12,18113,0
2015-06-24,268.38,268.38,261.28,263.64,16761,0
2015-06-26,265.55,265.55,262.48,265.55,1300,0
2015-06-29,256.07,259.86,256.07,257.96,53523,0
2015-06-30,260.8,261.76,252.27,252.74,24028,0
2015-07-01,257.96,257.96,252.27,252.27,4460,0
2015-07-02,256.07,256.07,252.27,256.07,120839,0
2015-07-03,255.83,256.07,255.35,256.07,3299,0
2015-07-06,257.96,257.96,256.07,256.07,154,0
2015-07-07,251.31,251.31,244.68,244.68,20053,0
2015-07-08,251.31,251.31,245.86,245.86,15479,0
2015-07-09,246.58,246.58,244.68,244.68,1937,0
2015-07-10,246.58,246.58,238.05,238.05,26591,0
2015-07-13,245.63,245.63,240.88,240.88,141973,0
2015-07-14,238.05,238.05,237.09,238.05,12426,0
2015-07-15,238.99,238.99,238.99,238.99,39541,0
2015-07-16,242.31,242.31,241.83,241.83,2957,0
2015-07-20,243.51,245.39,243.26,244.57,2573,0
2015-07-21,241.83,243.51,241.83,241.83,28824,0
2015-07-22,241.83,241.83,241.83,241.83,26451,0
2015-07-23,238.99,238.99,238.99,238.99,228,0
2015-07-24,239.23,242.77,238.99,242.77,7341,0
2015-07-27,242.77,246.35,242.77,246.1,9169,0
2015-07-29,246.58,248.48,246.58,248.48,7001,0
2015-07-31,246.41,251.08,246.41,251.08,5011,0
2015-08-04,246.58,251.31,246.58,251.31,6700,0
2015-08-05,250.37,253.21,247.56,253.21,5957,0
2015-08-10,253.69,256.07,251.31,256.07,4542,0
2015-08-11,256.07,256.07,249.42,252.27,23913,0
2015-08-12,256.07,256.07,256.07,256.07,1736,0
2015-08-13,248.48,248.48,248.48,248.48,2621,0
2015-08-14,256.07,256.07,255.58,256.07,17887,0
2015-08-17,254.64,254.74,254.64,254.74,1370,0
2015-08-18,254.64,256.07,251.31,256.07,85413,0
2015-08-19,256.07,256.07,251.31,255.11,6305,0
2015-08-20,252.23,267.44,252.23,263.42,477776,0
2015-08-21,258.9,258.9,246.58,246.58,37261193,0
2015-08-24,256.07,256.07,250.37,250.37,25708,0
2015-08-25,253.69,255.06,249.42,254.87,112361,0
2015-08-26,256.07,263.64,252.27,256.54,126990,0
2015-08-27,260.8,260.8,256.07,256.07,199,0
2015-08-28,265.55,265.55,259.32,265.3,9462,0
2015-09-01,259.67,267.44,259.67,267.21,2401,0
2015-09-02,267.44,272.89,267.21,272.89,50344,0
2015-09-03,264.45,273.04,264.45,273.04,1006,0
2015-09-04,273.51,273.51,271.7,273.28,3518,0
2015-09-07,272.61,272.61,266.84,266.84,27,0
2015-09-08,272.61,274.47,271.6,272.09,117179,0
2015-09-09,274.47,278.28,274.47,277.32,10229,0
2015-09-10,278.28,278.28,277.22,277.8,2064,0
2015-09-11,277.62,278.28,277.57,277.57,3224,0
2015-09-14,267.8,271.6,267.8,271.6,1797,0
2015-09-15,281.14,283.04,281.14,283.04,13615,0
2015-09-16,289.29,289.29,289.29,289.29,249,0
2015-09-17,284.95,284.95,284.71,284.71,2537,0
2015-09-18,290.67,290.67,285.9,285.9,57357,0
2015-09-21,284.47,284.47,277.32,277.32,962,0
2015-09-22,276.86,285.9,276.37,276.37,2958,0
2015-09-23,276.37,276.37,274.47,276.37,85062,0
2015-09-24,275.89,275.89,275.89,275.89,2,0
2015-09-28,280.19,280.19,280.19,280.19,463,0
2015-09-29,278.28,278.28,277.8,277.8,2411,0
2015-09-30,278.28,278.28,278.04,278.04,1234,0
2015-10-01,278.28,278.28,278.04,278.28,1985,0
2015-10-02,278.28,278.28,272.56,276.37,992117,0
2015-10-05,271.6,271.6,271.6,271.6,1017,0
2015-10-06,271.6,272.8,269.69,269.69,4175,0
2015-10-07,272.56,273.14,272.56,273.14,153877,0
2015-10-12,272.56,275.42,266.84,266.84,403719,0
2015-10-13,271.6,272.56,266.84,271.6,310546,0
2015-10-14,269.46,275.42,269.24,275.42,1053,0
2015-10-15,272.32,272.32,272.32,272.32,122,0
2015-10-16,272.56,272.56,272.56,272.56,314794,0
2015-10-19,273.51,273.51,272.56,272.56,174185,0
2015-10-20,273.28,273.28,273.24,273.24,2960,0
2015-10-21,276.37,276.37,272.56,273.51,551851,0
2015-10-22,276.37,280.19,275.42,279.71,9765,0
2015-10-23,278.28,291.14,276.37,291.14,41481,0
2015-10-26,284.56,295.43,283.5,295.43,11561,0
2015-10-27,295.43,295.66,290.19,295.66,3934,0
2015-10-28,295.66,300.2,295.43,300.2,156814,0
2015-10-29,300.2,300.2,292.57,292.57,5821,0
2015-10-30,300.2,300.2,292.57,292.57,271904,0
2015-11-02,292.4,292.4,290.67,290.67,6255,0
2015-11-03,290.66,290.66,287.81,287.81,4591,0
2015-11-04,287.81,289.72,285.9,285.9,172201,0
2015-11-05,295.43,295.43,285.9,286.15,460536,0
2015-11-06,292.44,293.29,287.64,293.29,9110,0
2015-11-09,290.67,304,290.67,304,13020,0
2015-11-10,304.95,314.49,296.38,313.54,45732,0
2015-11-11,319.26,331.65,319.26,324.5,956937,0
2015-11-12,336.17,347.84,330.22,347.84,566169,0
2015-11-13,338.31,347.84,336.4,339.75,9499,0
2015-11-16,347.84,347.84,333.54,334.5,2313,0
2015-11-17,345.94,345.94,341.18,341.18,7007,0
2015-11-18,339.27,341.18,338.31,341.18,9908,0
2015-11-19,340.22,346.41,339.75,341.65,10077,0
2015-11-20,347.84,347.84,338.31,344.98,2300,0
2015-11-23,347.28,347.28,338.31,338.79,7539,0
2015-11-24,340.46,346.89,338.31,346.89,271779,0
2015-11-25,344.98,344.98,340.69,344.98,2058,0
2015-11-26,345.94,345.94,336.4,341.18,4198,0
2015-11-27,344.03,346.89,344.03,346.66,4871,0
2015-11-30,337.36,344.03,337.36,344.03,14219,0
2015-12-01,346.89,347.84,338.31,338.31,145633,0
2015-12-02,341.18,343.09,335.46,343.09,46603,0
2015-12-03,342.69,342.69,335.46,338.31,5712,0
2015-12-04,342.55,342.55,335.46,338.31,3786,0
2015-12-07,339.65,340.69,335.46,335.46,3769,0
2015-12-08,340.22,366.91,340.22,366.91,324466,0
2015-12-09,357.38,365.97,357.38,361.18,9026,0
2015-12-10,366.91,366.91,362.14,366.91,28706,0
2015-12-11,357.62,366.91,347.84,347.84,11233,0
2015-12-14,356.43,357.14,347.84,347.84,1964,0
2015-12-15,347.84,357.38,341.18,342.12,14691,0
2015-12-16,346.89,346.89,341.18,341.65,114716,0
2015-12-17,352.13,352.13,349.28,352.13,2587,0
2015-12-18,344.02,351.66,341.18,351.66,7853,0
2015-12-21,346.89,351.66,341.18,351.66,214789,0
2015-12-22,341.18,348.32,341.18,348.32,3731,0
2015-12-23,342.77,352.13,342.77,346.66,4922,0
2015-12-24,343.09,347.38,343.09,347.38,170,0
2015-12-29,352.13,355.47,345.01,353.55,10946,0
2015-12-30,352.61,352.61,352.61,352.61,23,0
2015-12-31,347.38,347.38,347.38,347.38,0,0
2016-01-04,346.89,356.43,346.89,355.47,109009,0
2016-01-05,355.47,355.47,350.26,350.7,346697,0
2016-01-06,355.47,357.38,345.94,355.95,654016,0
2016-01-07,350.7,355.47,347.51,355.47,7946,0
2016-01-08,357.38,357.38,347.84,347.84,300,0
2016-01-11,352.61,357.38,343.09,346.89,6012,0
2016-01-12,357.38,357.38,350.57,357.38,105719,0
2016-01-13,357.38,366.91,354.52,361.43,12986,0
2016-01-14,366.91,366.91,354.52,366.67,8078,0
2016-01-15,366.91,368.81,358.85,362.14,47462,0
2016-01-18,354.52,358.33,349.08,354.52,183432,0
2016-01-19,354.52,354.52,349.27,352.61,9515,0
2016-01-20,347.84,347.84,332.61,333.54,1114165,0
2016-01-21,338.31,338.31,336.89,336.89,162,0
2016-01-22,344.03,352.61,343.09,352.61,17049,0
2016-01-25,352.61,357.14,352.61,357.14,7491,0
2016-01-26,352.61,352.61,352.61,352.61,253,0
2016-01-27,355.47,355.47,347.84,347.84,1440,0
2016-01-28,352.61,355.47,348.07,352.61,136530,0
2016-01-29,355.47,357.38,352.85,352.85,1425572,0
2016-02-01,356.89,356.89,344.03,347.84,39757,0
2016-02-02,356.89,356.89,344.98,347.84,13775,0
2016-02-03,356.89,356.89,348.32,352.61,14200,0
2016-02-04,356.89,356.89,345.56,350.23,499668,0
2016-02-05,356.43,356.43,343.56,345.94,11620,0
2016-02-08,343.56,343.56,333.54,340.22,48367,0
2016-02-09,344.03,344.03,323.07,324.02,30874,0
2016-02-10,336.4,336.4,303.05,304.95,470965,0
2016-02-11,300.2,312.58,297.56,312.58,27546,0
2016-02-12,312.82,314.49,304.95,304.95,156824,0
2016-02-15,314.49,314.49,304.79,314.49,11727,0
2016-02-16,314.49,314.49,312.58,314.49,247436,0
2016-02-17,314.73,322.12,312.03,322.12,8452,0
2016-02-18,324.02,342.12,317.45,342.12,27730,0
2016-02-19,342.12,342.12,324.02,333.54,13038,0
2016-02-22,324.02,333.54,320.82,333.54,15008,0
2016-02-23,329.74,336.4,327.83,336.4,13683,0
2016-02-24,336.4,343.09,325.77,333.54,58370,0
2016-02-25,337.36,342.6,331.4,333.79,75469,0
2016-02-26,338.31,338.31,329.02,329.02,1522,0
2016-02-29,329.02,329.02,329.02,329.02,520,0
2016-03-01,324.02,339.27,324.02,327.12,42401,0
2016-03-02,341.18,341.18,324.27,326.17,29349,0
2016-03-03,325.44,333.54,325.19,331.89,110879,0
2016-03-04,325.93,332.41,322.12,324.02,152893,0
2016-03-07,324.02,328.79,324.02,324.27,37419,0
2016-03-08,324.02,324.02,321.16,324.02,14746,0
2016-03-09,333.32,333.32,324.02,324.02,11026,0
2016-03-10,322.12,333.32,321.16,324.98,39107,0
2016-03-11,332.36,332.36,321.16,324.5,49488,0
2016-03-14,332.36,337.61,321.16,332.95,83119,0
2016-03-15,337.36,337.36,328.02,337.36,2093,0
2016-03-16,330.47,345.94,330.47,345.94,11084,0
2016-03-17,345.94,345.94,335.7,335.7,4228,0
2016-03-18,328.79,333.54,328.79,333.54,135062,0
2016-03-21,324.02,333.54,324.02,328.79,14033,0
2016-03-22,325.93,333.54,324.02,331.65,90202,0
2016-03-23,333.54,337.72,328.37,334.97,15674,0
2016-03-24,338.31,346.89,330.22,342.37,96090,0
2016-03-29,350.23,351.66,342.12,351.66,63674,0
2016-03-30,351.66,373.58,343.09,366.91,9087641,0
2016-03-31,358.33,372.55,358.33,370,87655,0
2016-04-01,359.28,384.53,359.28,384.53,96714,0
2016-04-04,371.66,397.42,371.66,390.72,46383,0
2016-04-05,381.2,395.19,381.2,381.68,6418,0
2016-04-06,385.97,397.42,385.6,395.26,53692,0
2016-04-07,392.2,405.74,392.2,404.79,56510,0
2016-04-08,393.18,410.57,393.18,410.34,76984,0
2016-04-11,405.74,431.83,405.74,429.65,1648988,0
2016-04-12,423.14,431.3,423.14,423.6,1839536,0
2016-04-13,415.4,425.59,415.4,416.37,513466,0
2016-04-14,430.67,430.67,415.98,415.98,17964,0
2016-04-15,415.98,422.38,415.98,418.42,133479,0
2016-04-18,417.92,425.76,417.92,418.92,2594,0
2016-04-19,417.92,425.08,417.92,419.65,227334,0
2016-04-20,418.17,425.08,418.17,418.67,505521,0
2016-04-21,417.92,424.19,417.92,417.92,4073,0
2016-04-22,417.92,428.7,417.92,418.42,232108,0
2016-04-25,417.92,427.73,417.92,420.87,36965,0
2016-04-26,417.92,419.89,417.92,417.92,17887,0
2016-04-27,417.92,423.72,417.92,417.92,642510,0
2016-04-28,425.76,432.62,425.76,432.62,795486,0
2016-04-29,432.62,432.62,425.34,431.88,1103745,0
