Date,Open,High,Low,Close,Volume,OpenInt
2015-03-27,15.925,16.25,15.9,15.95,594110,0
2015-03-30,16.115,16.25,15.313,15.625,2320217,0
2015-03-31,15.5,15.75,15.155,15.25,1127143,0
2015-04-01,15.033,15.3,15,15.1,1988743,0
2015-04-02,15.167,15.5,14.755,15.238,1827495,0
2015-04-07,15.238,15.5,15,15.5,1558143,0
2015-04-08,15.37,16.355,15.37,16,1962517,0
2015-04-09,16,17.645,15.75,17.42,4997262,0
2015-04-10,17.5,18.722,17.26,17.75,4227022,0
2015-04-13,17.8,19.145,17.69,18.75,3807077,0
2015-04-14,18.65,20.1,18.5,19.5,5043636,0
2015-04-15,19.446,20,19.375,19.7,3277871,0
2015-04-16,19.975,20,19.7,19.82,1128013,0
2015-04-17,20.275,20.75,18.72,19.265,4378184,0
2015-04-20,19.245,19.622,18.95,19.21,1626582,0
2015-04-21,19.25,19.5,18.5,18.875,1504503,0
2015-04-22,19.2,19.5,10.25,19.322,1406103,0
2015-04-23,19.75,21,19.377,20.15,1730787,0
2015-04-24,20.637,21.062,20.25,20.821,2251311,0
2015-04-27,20.987,24.5,20.85,24,6165114,0
2015-04-28,24,26.73,20.304,21,9791732,0
2015-04-29,21.327,23.75,19.61,23.75,6683700,0
2015-04-30,24.11,24.35,22.25,23.313,2869871,0
2015-05-01,23.11,24.95,23.11,24.38,2142730,0
2015-05-05,24.4,25.75,24.25,24.587,4591670,0
2015-05-06,24.325,24.587,21.5,21.925,4071499,0
2015-05-07,22.031,22.25,20.75,21.43,2667805,0
2015-05-08,21.438,22.4,21,22,1731454,0
2015-05-11,22.75,22.75,22,22.375,8453028,0
2015-05-12,22.242,23.25,22.242,22.54,2039836,0
2015-05-13,22.745,22.745,21.5,22.34,1350998,0
2015-05-14,22.15,22.75,20.7,22.605,1095232,0
2015-05-15,22.695,24,22.5,23.95,2348225,0
2015-05-18,23.795,25,23.6,24,2425330,0
2015-05-19,24,24.5,23.7,24,1217284,0
2015-05-20,24.02,24.1,22,22.585,2159531,0
2015-05-21,22.3,22.5,21.52,22,1489183,0
2015-05-22,22.2,22.5,21.55,21.77,912932,0
2015-05-26,21.762,22,20.75,21.087,1190683,0
2015-05-27,20.885,20.95,20,20.51,1732046,0
2015-05-28,20.51,20.75,20.25,20.55,800799,0
2015-05-29,20.55,21.28,20.399,20.625,1204856,0
2015-06-01,20.75,21,20.05,20.295,815057,0
2015-06-02,20.255,20.5,20,20.28,762102,0
2015-06-03,20.2,21.387,20.2,21.043,2440236,0
2015-06-04,21,21.75,20.81,21,1915059,0
2015-06-05,20.855,21,19.75,20.2,1974690,0
2015-06-08,19.89,20,17.25,18.75,11893613,0
2015-06-09,18.49,18.8,18,18.311,1273255,0
2015-06-10,18.35,18.5,18.12,18.24,614079,0
2015-06-11,18.15,18.25,18,18.2,1086538,0
2015-06-12,18.2,18.2,17.5,17.9,1208891,0
2015-06-15,17.55,17.77,16,16.177,3217052,0
2015-06-16,13.51,15.68,12.75,15.5,13712850,0
2015-06-17,15.9,17.975,15.35,15.5,5042558,0
2015-06-18,17.325,18.5,17.22,18.5,3922487,0
2015-06-19,18.1,19.33,16.8,18.52,4063331,0
2015-06-22,18.55,18.75,17.425,17.75,2184283,0
2015-06-23,17.75,18,17.575,17.655,582876,0
2015-06-24,17.655,18.35,17.655,18.171,901442,0
2015-06-25,18.49,19.7,18.1,19.211,2448622,0
2015-06-26,19.24,20,19,19.45,2648164,0
2015-06-29,18.574,19.4,18.18,18.3,1207796,0
2015-06-30,18.3,18.869,18.163,18.869,1165130,0
2015-07-01,18.5,19.5,18.5,19.2,1127215,0
2015-07-02,19.222,19.725,19.1,19.3,553159,0
2015-07-03,19.1,19.295,18.825,18.825,1130548,0
2015-07-06,18.575,19,17.8,18.305,2602080,0
2015-07-07,18.06,18.25,16.75,17.15,2251364,0
2015-07-08,17.035,17.5,16.375,16.8,1398893,0
2015-07-09,16.785,17.35,16.295,17.35,1131736,0
2015-07-10,17.5,17.75,17.25,17.7,1715840,0
2015-07-13,17.5,17.73,17.093,17.618,1173292,0
2015-07-14,17.622,18.5,17.622,18,507173,0
2015-07-15,17.9,18,17.42,18,670436,0
2015-07-16,18.7,19.663,18.5,18.75,2495130,0
2015-07-17,18.7,18.72,17.75,17.9,1611587,0
2015-07-20,18.02,18.2,16.5,16.875,2220879,0
2015-07-21,16.95,17.5,16.778,17,877317,0
2015-07-22,16.895,17.5,16.885,17,1378352,0
2015-07-23,17.05,17.05,16.84,16.918,524244,0
2015-07-24,16.825,16.9,16.3,16.619,757915,0
2015-07-27,16.655,16.655,15.5,15.5,1744269,0
2015-07-28,15,15.1,14.34,15,3490677,0
2015-07-29,15.055,15.2,14.838,15,799689,0
2015-07-30,14.895,15.05,14.55,14.77,546696,0
2015-07-31,14.92,15,14,15,2312919,0
2015-08-03,14.655,15.5,14.5,14.99,1113565,0
2015-08-04,15.1,15.5,14.85,14.955,397153,0
2015-08-05,14.67,15.11,14.515,15,951357,0
2015-08-06,15.305,16.75,15.305,15.976,4586665,0
2015-08-07,16.675,17.087,16.4,16.915,1321220,0
2015-08-10,17.002,17.5,17,17.35,2407356,0
2015-08-11,17.075,18.145,17.075,18,1599442,0
2015-08-12,18,18,17.25,17.36,999339,0
2015-08-13,17.55,17.55,16.55,16.7,1268027,0
2015-08-14,16.62,17,16.592,16.592,835900,0
2015-08-17,16.699,16.8,16.3,16.5,1261760,0
2015-08-18,16.44,16.45,16.055,16.2,685714,0
2015-08-19,16.2,16.5,16.055,16.1,250541,0
2015-08-20,16.075,16.145,15.75,15.992,738009,0
2015-08-21,15.1,15.745,14.93,15.64,1256229,0
2015-08-24,15.445,15.445,14.61,14.75,1341883,0
2015-08-25,14.975,15.7,14.75,15.5,1372882,0
2015-08-26,16,16,14.8,15.5,208828,0
2015-08-27,15.6,16.35,15.53,16.25,968291,0
2015-08-28,15.7,16.7,15.7,16.5,764345,0
2015-09-01,16.6,16.675,16.13,16.13,897256,0
2015-09-02,16.13,16.49,15.86,15.95,813674,0
2015-09-03,15.98,16.6,15.72,16.4,650318,0
2015-09-04,16.5,17.5,16.3,16.3,1479094,0
2015-09-07,16.75,16.8,16.11,16.2,479182,0
2015-09-08,16.65,16.7,15.75,15.9,958756,0
2015-09-09,16.1,16.125,15.815,15.815,515410,0
2015-09-10,15.815,15.815,15.3,15.65,576559,0
2015-09-11,15.55,15.65,15.25,15.27,870331,0
2015-09-14,15.25,15.345,14.76,14.76,564030,0
2015-09-15,14.75,15.245,14.55,15.245,642188,0
2015-09-16,15.345,15.345,14.76,14.768,628422,0
2015-09-17,14.88,15,14.75,14.75,417237,0
2015-09-18,14.797,15,14.797,14.825,330948,0
2015-09-21,14.825,15.25,14.76,14.875,670500,0
2015-09-22,14.875,14.875,14.5,14.56,562373,0
2015-09-23,14.8,14.9,14.35,14.696,402909,0
2015-09-24,14.35,14.488,13.26,14.12,2349771,0
2015-09-25,14.12,14.44,14.12,14.288,472978,0
2015-09-28,14.39,14.611,14.2,14.611,741918,0
2015-09-29,14.35,14.6,14.138,14.138,537553,0
2015-09-30,14.5,14.5,13.5,14.465,1164615,0
2015-10-01,14.4,14.715,14.185,14.715,219625,0
2015-10-02,14.948,16,14.948,15.75,1319289,0
2015-10-05,15.644,16.448,15.55,16.448,832258,0
2015-10-06,16.5,17.5,16.25,16.851,2569150,0
