Date,Open,High,Low,Close,Volume,OpenInt
2015-03-27,0.04431,0.04576,0.04358,0.04358,4077026,0
2015-03-30,0.04587,0.04903,0.04358,0.04358,63043538,0
2015-03-31,0.04649,0.04722,0.04358,0.04395,14539736,0
2015-04-01,0.04395,0.04685,0.04358,0.04493,17991024,0
2015-04-02,0.04358,0.04504,0.03814,0.04395,41460226,0
2015-04-07,0.04395,0.04504,0.03995,0.03995,40495947,0
2015-04-08,0.04358,0.04449,0.03723,0.04355,142467949,0
2015-04-09,0.04032,0.04424,0.03421,0.0393,77422662,0
2015-04-10,0.04398,0.04398,0.03995,0.04028,37748838,0
2015-04-13,0.04177,0.04177,0.03705,0.03814,37008392,0
2015-04-14,0.0414,0.04903,0.03995,0.04177,67026861,0
2015-04-15,0.04504,0.05303,0.04286,0.04852,30030779,0
2015-04-16,0.05256,0.05266,0.04431,0.04431,43591911,0
2015-04-17,0.04831,0.04831,0.04431,0.04831,5128144,0
2015-04-20,0.04358,0.04794,0.04021,0.04358,33873538,0
2015-04-21,0.03995,0.04358,0.03995,0.04358,11300556,0
2015-04-22,0.03995,0.04268,0.03995,0.04249,14603778,0
2015-04-23,0.04249,0.04249,0.03668,0.04104,31796971,0
2015-04-24,0.0385,0.04177,0.0385,0.03923,7786875,0
2015-04-27,0.04177,0.04903,0.03904,0.03995,34092594,0
2015-04-28,0.04685,0.04685,0.03705,0.03763,11423800,0
2015-04-29,0.0454,0.04903,0.03777,0.04576,6977748,0
2015-04-30,0.04576,0.04576,0.04358,0.04358,2581790,0
2015-05-01,0.0454,0.0454,0.03632,0.04322,34355143,0
2015-05-05,0.03868,0.04213,0.03632,0.03995,57858990,0
2015-05-06,0.03868,0.04086,0.03632,0.04086,26933332,0
2015-05-07,0.03868,0.04286,0.03632,0.04286,8718612,0
2015-05-08,0.03705,0.0414,0.03632,0.03814,17796220,0
2015-05-11,0.03995,0.0414,0.03632,0.03995,25695099,0
2015-05-12,0.0385,0.04358,0.03632,0.03632,75968348,0
2015-05-13,0.03995,0.04177,0.03872,0.03973,23060512,0
2015-05-14,0.03814,0.04249,0.03814,0.04177,25501165,0
2015-05-15,0.04177,0.04177,0.03995,0.03999,4624730,0
2015-05-18,0.03995,0.04086,0.03741,0.03814,20437040,0
2015-05-19,0.03632,0.04032,0.03632,0.03995,11539185,0
2015-05-20,0.0385,0.04249,0.03668,0.03923,51838725,0
2015-05-21,0.03912,0.03912,0.03904,0.03904,1462398,0
2015-05-22,0.0389,0.0389,0.03636,0.03636,8693356,0
2015-05-26,0.03632,0.03923,0.03632,0.03726,36212486,0
2015-05-27,0.03901,0.03901,0.03414,0.03596,30968915,0
2015-05-28,0.03414,0.03632,0.03178,0.03596,37746710,0
2015-05-29,0.03305,0.03596,0.03305,0.03596,28285215,0
2015-06-01,0.03305,0.0345,0.03269,0.03305,35864931,0
2015-06-02,0.03305,0.03628,0.03167,0.03523,66084378,0
2015-06-03,0.03959,0.04177,0.0345,0.04177,13160793,0
2015-06-04,0.04358,0.04722,0.04075,0.04358,45580520,0
2015-06-05,0.05811,0.05811,0.0454,0.0454,43057073,0
2015-06-08,0.04758,0.04758,0.04358,0.04362,4557640,0
2015-06-09,0.04358,0.05593,0.04358,0.05088,63626355,0
2015-06-10,0.05088,0.06207,0.04812,0.05085,60287271,0
2015-06-11,0.04794,0.04794,0.04195,0.04195,15175542,0
2015-06-12,0.04395,0.04594,0.04362,0.04395,19695463,0
2015-06-15,0.0454,0.0454,0.03705,0.04177,42185377,0
2015-06-16,0.03814,0.04358,0.03814,0.04286,78235215,0
2015-06-17,0.04355,0.04355,0.04032,0.04032,4896883,0
2015-06-18,0.04322,0.04355,0.04086,0.04086,10967004,0
2015-06-19,0.03995,0.04249,0.03792,0.04231,33680870,0
2015-06-22,0.04177,0.04576,0.0414,0.04576,22928502,0
2015-06-23,0.04122,0.04903,0.04122,0.04718,7973224,0
2015-06-24,0.04631,0.04903,0.04362,0.04722,12177863,0
2015-06-25,0.0454,0.04769,0.03923,0.03923,44945851,0
2015-06-26,0.04613,0.04903,0.03995,0.04358,38411977,0
2015-06-29,0.04355,0.04968,0.04355,0.04968,31007197,0
2015-06-30,0.05012,0.05012,0.04594,0.04594,5211790,0
2015-07-01,0.0454,0.04831,0.04504,0.04831,8637294,0
2015-07-02,0.04831,0.04831,0.03995,0.04293,21448194,0
2015-07-03,0.04812,0.05085,0.0454,0.05081,15833929,0
2015-07-06,0.05081,0.05448,0.04722,0.05085,47801842,0
2015-07-07,0.05085,0.05085,0.04576,0.04576,4330091,0
2015-07-08,0.04584,0.05001,0.04431,0.04867,10912941,0
2015-07-09,0.04831,0.05048,0.0454,0.04594,3751046,0
2015-07-10,0.05048,0.05048,0.04594,0.04722,17456820,0
2015-07-13,0.04976,0.05157,0.04722,0.04722,17067406,0
2015-07-14,0.04831,0.04903,0.04576,0.04903,6756316,0
2015-07-15,0.04613,0.05775,0.04613,0.05085,32625991,0
2015-07-16,0.05048,0.0523,0.04722,0.04831,34127059,0
2015-07-17,0.04903,0.05266,0.04831,0.0515,27803486,0
2015-07-20,0.0515,0.0515,0.03995,0.04903,113297660,0
2015-07-21,0.04576,0.04758,0.04467,0.04504,50989375,0
2015-07-22,0.04431,0.04431,0.04122,0.04177,20015980,0
2015-07-23,0.04358,0.04685,0.04122,0.04322,71373392,0
2015-07-24,0.04576,0.04576,0.04249,0.0454,7101638,0
2015-07-27,0.04558,0.04558,0.04268,0.04522,9031495,0
2015-07-28,0.04358,0.04358,0.03995,0.03995,19422494,0
2015-07-29,0.04286,0.04286,0.03999,0.03999,8329912,0
2015-07-30,0.04231,0.04231,0.04231,0.04231,825991,0
2015-07-31,0.0414,0.0414,0.04115,0.04115,2588329,0
2015-08-03,0.04104,0.04115,0.03995,0.03995,3503100,0
2015-08-04,0.04068,0.04068,0.03759,0.03901,17489221,0
2015-08-05,0.03992,0.04431,0.03814,0.04115,91824972,0
2015-08-06,0.03857,0.03995,0.03385,0.03959,59126748,0
2015-08-07,0.03959,0.03959,0.03632,0.03959,62694392,0
2015-08-10,0.03886,0.03886,0.03708,0.03777,27676635,0
2015-08-11,0.0377,0.0377,0.03487,0.03723,29254788,0
2015-08-12,0.03701,0.03777,0.03487,0.03596,129278643,0
2015-08-13,0.03632,0.04358,0.03632,0.03814,32561189,0
2015-08-14,0.03832,0.04213,0.03832,0.03832,3311071,0
2015-08-17,0.03959,0.03995,0.03705,0.03959,9048381,0
2015-08-18,0.03705,0.03904,0.03632,0.03632,5600677,0
2015-08-19,0.03668,0.03668,0.0345,0.0345,12473042,0
2015-08-20,0.03752,0.045,0.03668,0.03923,45403323,0
2015-08-21,0.03923,0.03923,0.03923,0.03923,3626586,0
2015-08-24,0.03923,0.04322,0.03832,0.03923,52101889,0
2015-08-25,0.0385,0.04355,0.0385,0.04032,20867059,0
2015-08-26,0.04068,0.04249,0.0385,0.0385,7736280,0
2015-08-27,0.0385,0.04068,0.03636,0.04068,12687673,0
2015-08-28,0.04068,0.04649,0.03636,0.04504,53638910,0
2015-09-01,0.04504,0.04649,0.03995,0.04242,5509361,0
2015-09-02,0.04613,0.04613,0.03995,0.03995,39830339,0
2015-09-03,0.04177,0.0454,0.04068,0.04504,24828645,0
2015-09-04,0.04467,0.05444,0.04213,0.05444,16292880,0
2015-09-07,0.05419,0.05448,0.04649,0.04649,35548183,0
2015-09-08,0.05157,0.05157,0.04576,0.05121,8329364,0
2015-09-09,0.04594,0.04903,0.04358,0.04722,59510793,0
2015-09-11,0.04583,0.04867,0.04395,0.04722,26082076,0
2015-09-14,0.04395,0.0454,0.04032,0.04177,12425741,0
2015-09-15,0.04482,0.04482,0.04449,0.04449,806718,0
2015-09-16,0.05335,0.0632,0.04812,0.05085,238833538,0
2015-09-17,0.04831,0.05081,0.04558,0.04685,20140206,0
2015-09-18,0.04685,0.05593,0.04685,0.05085,49623125,0
2015-09-21,0.05303,0.05339,0.04921,0.04979,20534438,0
2015-09-22,0.04576,0.05157,0.04249,0.04678,22197205,0
2015-09-23,0.04631,0.0523,0.04576,0.0523,46009493,0
2015-09-24,0.05325,0.05702,0.05085,0.05085,43438621,0
2015-09-25,0.05266,0.05593,0.04722,0.05201,28668466,0
2015-09-28,0.05201,0.05201,0.05085,0.05085,2705631,0
2015-09-29,0.04831,0.04849,0.04831,0.04849,3274237,0
2015-09-30,0.04903,0.04976,0.04722,0.04758,21310573,0
2015-10-01,0.04758,0.04758,0.04758,0.04758,1963822,0
2015-10-02,0.04831,0.04831,0.04449,0.04758,9451556,0
2015-10-05,0.04758,0.04758,0.04722,0.04722,5093612,0
2015-10-06,0.04722,0.04867,0.04722,0.04831,2191013,0
2015-10-07,0.04722,0.04722,0.04722,0.04722,4359540,0
2015-10-08,0.04413,0.04722,0.04413,0.04722,21876572,0
2015-10-09,0.04722,0.04903,0.04722,0.04849,8937420,0
2015-10-12,0.04722,0.04831,0.04395,0.04395,20450727,0
2015-10-13,0.04649,0.04649,0.04358,0.04358,3309692,0
2015-10-14,0.04355,0.04355,0.04068,0.04322,32225606,0
2015-10-15,0.03995,0.0454,0.03995,0.04358,30561674,0
2015-10-16,0.04649,0.04649,0.04104,0.04576,9468315,0
2015-10-19,0.0454,0.0454,0.03995,0.04213,18717963,0
2015-10-20,0.04013,0.04013,0.04013,0.04013,42946,0
2015-10-21,0.0414,0.0414,0.03741,0.03741,11701542,0
2015-10-22,0.04213,0.04286,0.04122,0.04122,24756630,0
2015-10-23,0.04431,0.04431,0.04133,0.04133,11070570,0
2015-10-26,0.0414,0.04722,0.0414,0.04358,14386077,0
2015-10-27,0.04413,0.04718,0.03995,0.04104,50421746,0
2015-10-28,0.04249,0.04249,0.03995,0.03995,14839890,0
2015-10-29,0.04213,0.04249,0.04213,0.04249,3125000,0
2015-10-30,0.04228,0.04358,0.04228,0.04358,6089025,0
2015-11-02,0.04249,0.04249,0.04242,0.04246,3556809,0
