Date,Open,High,Low,Close,Volume,OpenInt
2015-07-20,8334.49,8390,8330.33,8333.3,31900,0
2015-11-16,7411,7411,7411,7411,1514,0
2016-01-11,6922,6922,6887.94,6887.94,5300,0
2016-07-27,5839.95,5839.95,5839.2,5839.95,34900,0
2017-11-27,7049.55,7049.55,7049.55,7049.55,98500,0
2017-11-28,7054.65,7054.65,7054.65,7054.65,246774,0
2017-12-05,6997,6997,6997,6997,106535,0
2017-12-06,6919.96,6919.96,6919.96,6919.96,25900,0
2017-12-08,6932,6932,6932,6932,168100,0
2017-12-11,7047.19,7047.19,7047,7047,200571,0
2017-12-12,7027,7027,7027,7027,766512,0
2017-12-13,7078.87,7078.87,7078.87,7078.87,177200,0
2017-12-15,6982.9,6997.09,6919.07,6982.9,42400,0
2017-12-18,7162,7162,7162,7162,45887,0
2017-12-19,7194,7194,7165,7165,121259,0
2018-01-04,6445,6445,6265.9,6265.9,12792,0
2018-01-05,6642,6642,6642,6642,3200,0
2018-02-07,7560.62,7560.62,7560.62,7560.62,127900,0
2018-03-02,6925.12,6925.12,6924.63,6924.63,268100,0
2018-03-27,6799.9,6799.9,6799.9,6799.9,14500,0
