Date,Open,High,Low,Close,Volume,OpenInt
2015-12-15,3.875,3.875,3.875,3.875,230000,0
2015-12-17,4,4.35,4,4.35,43793,0
2015-12-18,4,4,4,4,30000,0
2015-12-24,4.25,4.25,4.25,4.25,0,0
2015-12-29,4.25,4.25,4.25,4.25,0,0
2015-12-30,4.25,4.25,4.25,4.25,0,0
2015-12-31,4.25,4.25,4.25,4.25,0,0
2016-01-04,4.25,4.25,4.25,4.25,0,0
2016-01-05,4.25,4.25,4.25,4.25,0,0
2016-01-06,4.25,4.25,4.25,4.25,16908,0
2016-01-07,4.25,4.25,4.25,4.25,0,0
2016-01-08,4.25,4.25,4.25,4.25,0,0
2016-01-11,4.25,4.25,4.25,4.25,0,0
2016-01-12,4.25,4.25,4.25,4.25,16908,0
2016-01-13,4.25,4.25,4.25,4.25,0,0
2016-01-14,4.25,4.25,4.25,4.25,0,0
2016-01-15,4.25,4.25,4.25,4.25,0,0
2016-01-18,4.25,4.25,4.25,4.25,0,0
2016-01-19,4.25,4.25,4.25,4.25,0,0
2016-01-20,4.25,4.35,4.25,4.25,3633,0
2016-01-21,4.25,4.35,4.25,4.25,3633,0
2016-01-22,4.25,4.25,4.25,4.25,0,0
2016-01-25,4.25,4.25,4.25,4.25,0,0
2016-01-26,4.25,4.25,4.25,4.25,0,0
2016-01-27,4.25,4.25,4.25,4.25,0,0
2016-01-28,4.25,4.25,4.25,4.25,0,0
2016-01-29,4.25,4.25,4.25,4.25,0,0
2016-02-01,4.25,4.25,4.25,4.25,0,0
2016-02-02,4.25,4.25,4.25,4.25,0,0
2016-02-03,4,4,4,4,0,0
2016-02-04,4,4,4,4,0,0
2016-02-05,4,4,4,4,0,0
2016-02-08,4,4,4,4,0,0
2016-02-09,4,4,4,4,0,0
2016-02-10,4,4,4,4,0,0
2016-02-11,4,4,4,4,0,0
2016-02-12,4,4,4,4,0,0
2016-02-15,4,4,4,4,0,0
2016-02-16,4,4,4,4,0,0
2016-02-17,4,4,4,4,0,0
2016-02-18,4,4,4,4,0,0
2016-02-19,4,4,4,4,0,0
2016-02-22,4,4,4,4,100000,0
2016-02-23,4,4,4,4,0,0
2016-02-24,4,4,4,4,0,0
2016-02-25,4,4,4,4,0,0
2016-02-26,3.875,3.875,3.875,3.875,0,0
2016-02-29,3.875,3.875,3.875,3.875,0,0
2016-03-01,3.875,4,3.5,3.875,282857,0
2016-03-02,4.125,4.125,4.125,4.125,0,0
2016-03-03,4.125,4.125,4.125,4.125,160000,0
2016-03-04,4.125,4.125,4.125,4.125,0,0
2016-03-07,4.125,4.125,4.125,4.125,0,0
2016-03-08,4.125,4.125,4.125,4.125,0,0
2016-03-09,4.125,4.125,4.125,4.125,0,0
2016-03-10,4.125,4.125,4.125,4.125,0,0
2016-03-11,4.25,4.875,4.25,4.875,420000,0
