Date,Open,High,Low,Close,Volume,OpenInt
2015-03-04,234.07,234.07,234.07,234.07,90,0
2015-03-06,238.9,239.87,237.22,237.22,14716,0
2015-03-09,238.9,238.9,238.9,238.9,1151,0
2015-03-10,237.22,237.22,236,236,507,0
2015-03-11,236,236,235.03,235.03,3881,0
2015-03-12,239.63,240.84,239.63,240.84,746,0
2015-03-13,242.05,242.05,242.05,242.05,42,0
2015-03-16,241.81,241.81,241.81,241.81,108,0
2015-03-17,245.19,245.19,243.03,243.03,1739,0
2015-03-18,247.14,247.6,246.65,247.6,5117,0
2015-03-19,247.37,248.57,245.69,248.57,1063,0
2015-03-20,251.48,252.44,251.48,252.44,5770,0
2015-03-23,252.44,252.44,250.51,252.44,2081,0
2015-03-25,252.44,252.44,252.2,252.44,2626,0
2015-03-26,251.48,251.48,251,251.23,2623,0
2015-03-27,247.85,250.98,247.6,248.57,6879,0
2015-03-30,253.98,254.39,249.06,254.39,13342,0
2015-03-31,251.06,253.9,248.57,253.9,198960,0
2015-04-01,252.06,252.06,248.1,249.55,25909,0
2015-04-02,252.06,254.39,249.19,254.39,17152,0
2015-04-07,253.69,253.9,251.48,252.3,33995,0
2015-04-08,255.74,257.01,253.41,253.41,6162,0
2015-04-09,258.73,259.98,255.1,257.14,9570,0
2015-04-10,261.88,262.85,258.36,259.22,13376,0
2015-04-13,262.85,265.42,262.61,264.52,17217,0
2015-04-14,261.16,263.96,261.16,261.16,5547,0
2015-04-15,261.4,263.82,261.16,261.16,8913,0
2015-04-16,261.16,265.27,261.16,262.36,21393,0
2015-04-17,261.16,265.74,261.16,261.16,6115,0
2015-04-20,261.16,262.97,261.16,261.16,9270,0
2015-04-21,264.29,264.29,261.16,264.22,10666,0
2015-04-22,262.74,263.75,261.16,261.16,7290,0
2015-04-23,261.16,263.75,261.16,261.16,7501,0
2015-04-24,261.16,263.75,261.16,261.16,10965,0
2015-04-27,261.16,265.03,261.16,265.03,31262,0
2015-04-28,261.16,264.29,259.22,259.22,29589,0
2015-04-29,262.12,262.12,259.22,259.22,493,0
2015-04-30,260.05,260.05,257.29,259.22,53851,0
2015-05-01,259.45,259.45,257.29,257.29,44030,0
2015-05-05,257.32,259.73,256.32,256.32,18183,0
2015-05-06,257.62,258.3,256.8,256.8,10946,0
2015-05-07,256.36,256.61,255.1,255.1,10383,0
2015-05-08,259.95,259.95,256.32,256.32,4633,0
2015-05-11,254.63,259.36,253.66,253.66,46526,0
2015-05-12,258.45,258.45,254.86,254.86,4273,0
2015-05-13,257.04,258,256.08,256.68,2981,0
2015-05-14,253.77,257.35,253.77,255.65,10019,0
2015-05-15,257.29,258.01,255.29,255.83,7099,0
2015-05-18,256.74,258.74,256.32,258.74,9482,0
2015-05-19,256.13,258.25,255.15,258.25,6052,0
2015-05-20,257.65,258.74,256.08,258.74,16208,0
2015-05-21,253.66,255.83,253.66,255.83,14318,0
2015-05-22,255.6,255.6,253.41,253.41,6522,0
2015-05-26,253.66,256.37,253.66,253.66,16708,0
2015-05-27,256.08,256.21,253.66,256.21,14699,0
2015-05-28,253.66,255.75,253.66,255.35,24621,0
2015-05-29,255.48,255.83,254.36,255.82,8210,0
2015-06-01,254.03,255.62,253.66,253.9,13638,0
2015-06-02,255.39,255.39,253.41,253.41,11711,0
2015-06-03,255.79,255.79,253.41,253.41,9316,0
2015-06-04,253.41,255.1,251.48,251.48,20567,0
2015-06-05,253.84,255.1,251.48,251.48,5931,0
2015-06-08,253.7,253.7,251.48,251.48,12834,0
2015-06-09,252.11,252.11,249.55,249.55,23262,0
2015-06-10,250.35,251.23,247.6,247.6,12348,0
2015-06-11,251.21,251.48,248.35,251.48,20646,0
2015-06-12,250.49,251.48,250.49,251.48,2855,0
2015-06-15,250.76,251,247.47,251,9890,0
2015-06-16,247.25,248.57,247.25,248.57,5598,0
2015-06-17,247.85,250.03,245.44,250.03,53789,0
2015-06-18,247.73,248.35,246.6,247.6,11745,0
2015-06-19,248.35,248.57,246.14,248.57,23807,0
2015-06-22,247.2,250.51,245.69,246.65,24287,0
2015-06-23,249.19,250.28,245.44,245.44,25648,0
2015-06-24,248.11,248.11,248.11,248.11,99,0
2015-06-25,248.57,249.55,246.07,246.07,48493,0
2015-06-26,244.99,247.6,244.99,247.6,3023,0
2015-06-29,241.81,242.41,239.4,239.4,3735,0
2015-06-30,244.11,246.15,241.81,241.81,5309,0
2015-07-01,246.76,247.6,244.01,247.37,1708,0
2015-07-02,247.6,247.6,242.78,242.78,3010,0
2015-07-03,246.89,247.6,246.55,247.6,1806,0
2015-07-06,242.97,244.18,242.97,244.18,3617,0
2015-07-07,242.47,243.8,241.81,241.81,15733,0
2015-07-08,235.07,239.87,235.07,239.87,15649,0
2015-07-09,239.48,239.48,237.95,239.48,7981,0
2015-07-10,240.65,241.81,240.65,241.81,9501,0
2015-07-13,240.69,243.99,238.9,238.9,13401,0
2015-07-14,239.63,240.9,238.43,238.58,8112,0
2015-07-15,238.56,241.81,238.56,239.87,2274,0
2015-07-16,237.17,238.13,237.17,238.13,7439,0
2015-07-17,237.17,238.41,236.97,236.97,5684,0
2015-07-20,236.97,238.33,236.97,238.07,27466,0
2015-07-21,237.17,239.59,236.97,236.97,19917,0
2015-07-22,238.33,238.33,235.56,237.45,1836,0
2015-07-23,236.19,238.24,236.19,237.94,6725,0
2015-07-24,236.24,238.33,236.13,236.13,9755,0
2015-07-27,233.47,236,232.38,234.8,17127,0
2015-07-28,234.29,234.46,234.29,234.46,1672,0
2015-07-29,234.41,236,234.41,236,13685,0
2015-07-31,233.1,236.97,233.1,236.97,13111,0
2015-08-03,235.38,235.43,232.87,232.87,3735,0
2015-08-04,234.34,234.34,229.23,232.14,26829,0
2015-08-05,230.93,232.14,228.96,232.14,11508,0
2015-08-06,232.14,232.14,227.35,230.2,4483,0
2015-08-07,230.2,232.14,227.75,230.16,7938,0
2015-08-10,230.35,233.1,227.85,233.1,16829,0
2015-08-11,230.46,233.1,230.46,233.1,10390,0
2015-08-12,230.2,232.14,227.55,227.55,8149,0
2015-08-13,232.2,233.49,229.49,230.2,27637,0
2015-08-14,233.43,234.07,229.78,234.07,4511,0
2015-08-17,229.72,233.27,229.72,229.72,8743,0
2015-08-18,228.27,229.97,228.27,229.97,6140,0
2015-08-19,228.27,230.2,224.39,224.39,18519,0
2015-08-20,222.97,225.36,222.71,222.71,18816,0
2015-08-21,218.78,218.78,215.69,215.69,3212,0
2015-08-24,206.01,209.42,199.25,203.22,30839,0
2015-08-25,200.42,208.92,200.22,205.99,35059,0
2015-08-26,205.9,206.36,202.1,204.09,22094,0
2015-08-27,205.17,210.95,205.17,209.86,16478,0
2015-08-28,215.69,219.85,211.1,211.83,108011,0
2015-09-01,213.28,213.28,207.96,207.96,7001,0
2015-09-02,212.61,212.61,207.96,210.86,12705,0
2015-09-03,214.73,215.69,212.35,215.46,8380,0
2015-09-04,212.35,214.73,208.43,208.43,5979,0
2015-09-07,210.38,213.2,210.38,210.38,2164,0
2015-09-08,207.96,213.51,207.96,213.51,13986,0
2015-09-09,222.47,222.47,218.83,218.83,13439,0
2015-09-10,220.65,220.65,216.67,216.67,6391,0
2015-09-11,215.96,221.49,215.75,221.26,13762,0
2015-09-14,213.8,217.63,213.8,217.63,9333,0
2015-09-15,220.04,220.04,215.46,219.08,8290,0
2015-09-16,220.58,220.58,215.93,216.98,2023,0
2015-09-17,221.62,221.62,215.46,215.93,7076,0
2015-09-18,218.71,218.71,212.79,212.79,31305,0
2015-09-21,212.84,212.84,211.1,211.1,4061,0
2015-09-22,210.86,211.34,206.01,206.01,55909,0
2015-09-23,206.51,207.47,205.06,205.3,15530,0
2015-09-24,207.55,207.96,203.12,203.12,10149,0
2015-09-25,207.96,207.96,206.98,206.98,6882,0
2015-09-28,206.51,208.67,204.57,204.57,22543,0
2015-09-29,199.73,204.09,199.73,204.09,4939,0
2015-09-30,207.96,209.42,207.96,209.42,10372,0
2015-10-01,210.38,210.38,208.92,208.92,7214,0
2015-10-02,209.31,209.31,209.31,209.31,707,0
2015-10-05,209.88,217.38,209.88,217.38,15113,0
2015-10-06,211.6,217.38,211.6,214.73,5288,0
2015-10-07,216.98,219.08,215.93,216.67,6325,0
2015-10-08,213.51,213.51,213.51,213.51,214,0
2015-10-09,214.15,217.14,214.15,215.93,11506,0
2015-10-12,216.35,217.63,214.15,217.63,16453,0
2015-10-13,216.35,216.35,214.97,215.69,22131,0
2015-10-14,213.54,213.54,213.54,213.54,1034,0
2015-10-15,214.73,216.17,214.73,216.17,10948,0
2015-10-16,214.97,215.93,214.13,215.69,13454,0
2015-10-19,216.17,217.14,215.71,215.71,3789,0
2015-10-20,215.11,216.15,214.01,216.15,4226,0
2015-10-21,217.43,217.88,216.42,216.42,5428,0
2015-10-22,214.24,217.63,214.24,216.07,6873,0
2015-10-23,218.98,220.52,218.6,220.52,18646,0
2015-10-26,220.62,224.39,220.62,224.39,12392,0
2015-10-27,221.02,223.46,221.02,221.49,8090,0
2015-10-28,221.72,221.73,221.72,221.73,2814,0
2015-10-29,222.3,222.94,217.87,218.55,12455,0
2015-10-30,220.34,222.23,216.17,216.17,24474,0
2015-11-02,215.69,218.6,215.69,217.63,11699,0
2015-11-03,219.96,220.82,217.63,220.82,4902,0
2015-11-04,223.04,223.04,221.02,221.02,2445,0
2015-11-05,220.07,224.39,220.07,223.92,27747,0
2015-11-06,221.81,224.39,221.61,224.39,4803,0
2015-11-09,223.12,224.15,222.47,224.15,8534,0
2015-11-10,220.04,223.18,220.04,223.18,1744,0
2015-11-11,221.56,222.78,219.56,221.67,13072,0
2015-11-12,222.11,223.43,221.02,221.02,27192,0
2015-11-13,218.41,219.56,217.63,217.63,14275,0
2015-11-16,212.79,218.6,212.3,216.55,21390,0
2015-11-17,215.51,219.56,213.76,217.14,15855,0
2015-11-18,218.77,218.77,218.77,218.77,453,0
2015-11-19,215.69,218.93,215.69,217.41,7954,0
2015-11-20,218.93,218.93,218.11,218.11,1215,0
2015-11-23,218.6,218.88,216.17,216.17,3767,0
2015-11-24,218.11,220.52,215.69,220.52,11524,0
2015-11-25,218.6,218.6,216.67,218.6,9315,0
2015-11-26,217.36,221.26,215.69,221.26,2842,0
2015-11-27,214.73,214.73,214.73,214.73,4176,0
2015-11-30,215.69,215.69,215.69,215.69,3825,0
2015-12-01,216.17,221.26,216.17,221.26,5877,0
2015-12-02,221.26,221.26,218.04,218.04,9422,0
2015-12-03,217.27,217.27,217.27,217.27,413,0
2015-12-04,213.96,218.6,213.96,218.6,23046,0
2015-12-07,218.6,218.6,215.69,215.69,8205,0
2015-12-08,213.35,216.9,211.83,212.07,12264,0
2015-12-09,212.79,218.11,211.15,217.26,6664,0
2015-12-10,214.53,215.69,209.17,211.83,80750,0
2015-12-11,212.3,214.73,209.23,210.67,2377,0
2015-12-14,211.15,211.15,208.67,208.67,7597,0
2015-12-15,209.91,212.79,209.91,212.79,1275,0
2015-12-16,215.69,217.63,215.69,217.63,14767,0
2015-12-17,218.6,218.6,213.76,214.48,16213,0
2015-12-18,216.67,216.67,216.67,216.67,5240,0
2015-12-21,211.93,217.63,210.13,217.63,9486,0
2015-12-22,216.17,217.63,213.74,217.63,1744,0
2015-12-23,217.75,221.49,215.36,217.63,7094,0
2015-12-24,219.76,219.76,219.32,219.32,1111,0
2015-12-29,219.08,222.47,218.41,220.77,38348,0
2015-12-30,220.52,220.52,218.6,220.04,20266,0
2015-12-31,218.6,222.47,218.6,221.38,1346,0
2016-01-04,218.6,220.04,216.3,220.04,37715,0
2016-01-05,219.18,221.49,215.69,218.6,7670,0
2016-01-06,221.02,221.02,216.17,218.6,22062,0
2016-01-07,217.63,217.63,210.86,217.63,18150,0
2016-01-08,217.63,217.63,211.83,217.14,88414,0
2016-01-11,217.63,217.63,211.32,217.63,19416,0
2016-01-12,217.63,217.63,212.3,217.38,19348,0
2016-01-13,217.63,219.32,212.08,219.32,38385,0
2016-01-14,213.76,217.63,213.76,217.63,26434,0
2016-01-15,213.76,214.48,209.64,212.18,13478,0
2016-01-18,209.64,214.73,209.64,214.73,14970,0
2016-01-19,214.73,214.97,211.34,214.97,44685,0
2016-01-20,210.67,212.79,205.31,206.39,5602,0
2016-01-21,207.96,210.86,204.81,210.86,39380,0
2016-01-22,212.79,217.63,212.79,215.34,40347,0
2016-01-25,218.6,218.83,212.79,217.63,49618,0
2016-01-26,209.9,213.56,208.92,212.79,6210,0
2016-01-27,213.51,216.9,212.79,216.9,15872,0
2016-01-28,216.9,216.9,212.79,216.67,17931,0
2016-01-29,215.69,223.43,215.69,223.43,26500,0
2016-02-01,220.04,221.4,217.51,217.63,39500,0
2016-02-02,216.67,217.3,215.69,215.69,27831,0
2016-02-03,212.79,215.41,209.88,209.88,51070,0
2016-02-04,208.92,214.73,208.92,213.76,37776,0
2016-02-05,210.13,213.76,209.88,213.76,16718,0
2016-02-08,209.88,212.07,208.38,211.34,17258,0
2016-02-09,206.98,208.92,205.06,205.54,58560,0
2016-02-10,210.86,210.86,205.08,205.54,10345,0
2016-02-11,202.88,208.92,202.16,206.98,37472,0
2016-02-12,205.06,206.98,199.25,199.25,29763,0
2016-02-15,209.88,209.88,203.12,203.12,4638,0
2016-02-16,209.88,209.88,204.81,205.06,2400,0
2016-02-17,206.98,211.1,205.06,211.1,33601,0
2016-02-18,212.79,214.48,210.62,211.1,91017,0
2016-02-19,210.86,212.55,207.96,212.55,50918,0
2016-02-22,218.6,220.41,211.83,217.63,47945,0
2016-02-23,217.63,219.17,214.73,216.42,19637,0
2016-02-24,215.69,218.01,213.76,214.73,76701,0
