Date,Open,High,Low,Close,Volume,OpenInt
2015-03-27,103.82,103.82,103.82,103.82,4,0
2015-03-30,103.82,104.65,102.87,102.87,7792,0
2015-03-31,102.87,102.87,102.87,102.87,5553,0
2015-04-01,102.87,102.87,102.87,102.87,10597,0
2015-04-02,101.92,101.92,101.92,101.92,11835,0
2015-04-07,102.87,102.87,102.87,102.87,1588,0
2015-04-08,103.34,103.34,101.12,101.12,20155,0
2015-04-10,101.12,101.12,101.12,101.12,6135,0
2015-04-13,101.12,101.12,101.12,101.12,7212,0
2015-04-14,100.97,100.97,100.97,100.97,10597,0
2015-04-17,103.24,103.24,101.07,101.07,18420,0
2015-04-20,100.97,101.07,100.97,101.07,18234,0
2015-04-21,101.36,101.36,100.97,100.97,4416,0
2015-04-23,100.97,100.97,100.02,100.02,13518,0
2015-04-24,100.5,100.5,100.02,100.02,9007,0
2015-04-27,100.02,100.97,100.02,100.97,1003,0
2015-04-28,100.02,100.97,94.369,94.369,512894,0
2015-04-29,100.02,100.02,100.02,100.02,471,0
2015-04-30,100.02,100.02,100.02,100.02,98,0
2015-05-01,100.02,100.02,95.317,97.193,58340,0
2015-05-05,95.317,96.884,94.369,94.369,399703,0
2015-05-06,96.739,96.739,95.826,95.826,17061,0
2015-05-07,96.255,97,96.255,96.739,7788,0
2015-05-08,95.317,95.317,95.317,95.317,2545,0
2015-05-15,95.317,96.255,95.317,96.255,31790,0
2015-05-18,96.255,96.255,96.255,96.255,106,0
2015-05-19,95.317,95.317,94.388,94.388,13251,0
2015-05-20,94.388,94.388,94.388,94.388,52,0
2015-05-21,95.317,95.317,95.172,95.172,7889,0
2015-05-22,95.164,95.164,95.164,95.164,7470,0
2015-05-26,96.255,96.255,96.255,96.255,15895,0
2015-05-27,95.317,96.163,94.606,96.163,20568,0
2015-05-29,94.417,94.417,94.417,94.417,7460,0
2015-06-01,94.53,94.53,94.53,94.53,3178,0
2015-06-04,97.193,97.851,97.193,97.851,5024,0
2015-06-05,97.851,97.851,97.851,97.851,5479,0
2015-06-08,97.193,98.136,97.193,98.136,13273,0
2015-06-09,99.426,100.97,99.092,100.24,98295,0
2015-06-10,100.24,101.69,99.56,99.56,189477,0
2015-06-11,100.46,102.87,100.46,102.87,10597,0
2015-06-12,100.97,103.82,100.97,100.97,201233,0
2015-06-15,102.38,104.74,102.38,104.74,28307,0
2015-06-16,104.41,104.41,104.41,104.41,1904,0
2015-06-17,101.92,101.92,101.92,101.92,6888,0
2015-06-18,103.14,103.82,103.14,103.82,1619169,0
2015-06-19,103.82,104.74,102.91,104.74,33087,0
2015-06-22,105.39,105.39,103.92,104.74,590740,0
2015-06-23,105.7,106.63,105.7,106.63,13141,0
2015-06-24,107.3,107.3,105.27,105.27,11670,0
2015-06-25,106.63,107.59,105.27,105.39,212180,0
2015-06-29,107.11,107.11,106.72,106.72,7647,0
2015-07-01,107.59,108.27,107.59,108.27,270321,0
2015-07-03,108.28,108.53,106.72,108.53,18891,0
2015-07-06,108.53,109.19,108.53,108.53,66053,0
2015-07-07,108.53,108.53,108.53,108.53,10597,0
2015-07-08,108.53,108.53,108.53,108.53,175904,0
2015-07-10,108.59,108.59,108.53,108.53,305254,0
2015-07-14,108.6,108.6,108.6,108.6,11137,0
2015-07-15,108.62,109.19,108.62,109.19,75041,0
2015-07-17,109,109,108.53,108.53,24884,0
2015-07-20,108.53,109.46,108.53,109,953523,0
2015-07-22,108.76,108.76,108.65,108.65,4816,0
