Date,Open,High,Low,Close,Volume,OpenInt
2011-05-02,23.164,23.173,23.056,23.056,1592,0
2011-05-03,22.905,22.905,22.468,22.468,2639,0
2011-05-04,22.587,22.587,22.072,22.072,21581,0
2011-05-05,22.314,22.362,21.974,21.974,1240,0
2011-05-06,22.694,22.748,22.353,22.595,3105,0
2011-05-09,22.679,22.701,22.498,22.701,1124,0
2011-05-10,22.679,22.874,22.633,22.874,5878,0
2011-05-11,22.451,22.459,22.353,22.459,1740,0
2011-05-12,22.283,22.633,22.072,22.633,3170,0
2011-05-13,22.133,22.26,21.941,21.989,7198,0
2011-05-16,22.087,22.26,22.087,22.26,527,0
2011-05-17,22.027,22.133,22.011,22.133,1719,0
2011-05-18,22.291,22.505,22.291,22.505,220004,0
2011-05-20,22.126,22.549,22.126,22.474,792,0
2011-05-23,22.15,22.194,22.035,22.194,1380,0
2011-05-24,22.353,22.353,22.353,22.353,527,0
2011-05-25,22.48,22.611,22.48,22.572,2639,0
2011-05-26,22.587,22.724,22.587,22.724,527,0
2011-05-27,22.943,22.989,22.943,22.943,1040,0
2011-05-31,23.012,23.459,23.012,23.459,6490,0
2011-06-01,23.132,23.132,22.846,22.846,833,0
2011-06-02,23.019,23.185,22.912,23.185,2510,0
2011-06-03,23.58,23.58,23.58,23.58,130,0
2011-06-06,23.208,23.208,23.025,23.117,2899,0
2011-06-07,23.141,23.216,23.141,23.141,2510,0
2011-06-08,22.912,22.973,22.783,22.874,1968,0
2011-06-09,22.701,22.897,22.701,22.8,3735,0
2011-06-10,22.468,22.468,22.275,22.275,266,0
2011-06-13,22.602,22.602,22.297,22.353,24345,0
2011-06-15,22.297,22.297,22.238,22.297,1000,0
2011-06-16,22.057,22.101,21.829,21.883,2639,0
2011-06-17,22.027,22.047,22.027,22.047,2149,0
2011-06-20,21.989,22.011,21.949,21.949,937,0
2011-06-21,22.223,22.223,22.169,22.169,527,0
2011-06-22,22.307,22.307,22.275,22.275,814,0
2011-06-23,21.747,21.845,21.49,21.747,3642,0
2011-06-27,21.747,22.216,21.747,22.216,8185,0
2011-06-28,22.314,22.505,22.314,22.48,6591,0
2011-06-29,22.716,22.806,22.549,22.806,7392,0
2011-06-30,22.981,22.981,22.8,22.8,5467,0
2011-07-01,23.177,23.291,23.11,23.177,4461,0
2011-07-05,23.031,23.299,23.012,23.019,5889,0
2011-07-06,22.905,22.905,22.716,22.716,5546,0
2011-07-07,22.815,22.815,22.716,22.783,661,0
2011-07-08,22.23,22.672,22.186,22.269,2097,0
2011-07-11,22.057,22.057,21.799,21.799,2502,0
2011-07-12,21.61,21.883,21.61,21.883,527,0
2011-07-13,21.908,22.216,21.908,22.202,3648,0
2011-07-14,22.15,22.15,21.908,21.908,1485,0
2011-07-15,21.755,23.291,21.755,21.899,3533,0
2011-07-19,21.785,21.883,21.589,21.785,1201,0
2011-07-20,21.974,21.974,21.845,21.899,2926,0
2011-07-21,22.095,22.33,22.095,22.254,1951,0
2011-07-22,22.186,22.314,22.11,22.11,3077,0
2011-07-25,22.065,22.557,22.065,22.498,1663,0
2011-07-26,22.58,22.58,22.384,22.384,1085,0
2011-07-27,21.717,21.876,21.535,21.876,8895,0
2011-07-28,21.822,21.93,21.49,21.49,3568,0
2011-07-29,23.079,23.079,21.642,22.126,3326,0
2011-08-01,22.11,22.11,21.921,21.921,4883,0
2011-08-02,21.731,21.731,21.518,21.55,2042,0
2011-08-03,21.314,21.314,20.984,20.984,2093,0
2011-08-04,20.512,20.512,19.68,19.921,7361,0
2011-08-05,19.421,20.029,19.059,19.983,7368,0
2011-08-08,19.201,19.201,17.734,18.34,19799,0
2011-08-09,18.165,18.558,17.672,18.241,27945,0
2011-08-10,18.226,18.424,17.679,17.977,4259,0
2011-08-11,18.438,18.771,18.196,18.438,196250,0
2011-08-12,18.724,18.724,18.724,18.724,130,0
2011-08-15,19.56,19.777,19.535,19.777,7065,0
2011-08-16,19.475,19.475,19.459,19.459,474,0
2011-08-17,19.976,19.976,19.847,19.847,693,0
2011-08-18,18.969,19.315,18.969,19.315,1613,0
2011-08-19,19.597,19.597,18.817,18.817,661,0
2011-08-22,19.369,19.369,18.96,19.194,1649,0
2011-08-23,19.278,19.633,19.278,19.633,687,0
2011-08-24,19.475,19.475,19.406,19.406,527,0
2011-08-25,19.156,19.156,19.135,19.156,394,0
2011-08-26,19.278,19.385,19.278,19.295,415,0
2011-08-29,19.962,19.962,19.962,19.962,130,0
2011-08-30,20.044,20.246,20.013,20.013,792,0
2011-08-31,20.528,20.67,20.232,20.656,4275,0
2011-09-01,21.019,21.019,21.005,21.005,266,0
2011-09-02,20.406,20.406,20.406,20.406,130,0
2011-09-06,19.544,19.921,19.295,19.861,2111,0
2011-09-07,20.473,20.512,20.473,20.512,394,0
2011-09-08,20.292,20.316,20.284,20.316,394,0
2011-09-09,19.792,19.808,19.278,19.278,1124,0
2011-09-12,19.377,19.527,18.937,18.937,2735,0
2011-09-13,19.225,19.263,19.075,19.075,394,0
2011-09-14,18.974,19.03,18.894,19.03,394,0
2011-09-15,19.551,19.604,19.551,19.604,266,0
2011-09-16,19.4,19.4,19.121,19.156,926,0
2011-09-19,18.127,18.417,18.127,18.417,266,0
2011-09-20,18.309,18.642,18.309,18.642,394,0
2011-09-21,18.19,18.19,16.401,17.831,3872,0
2011-09-22,16.606,17.005,16.059,16.059,710,0
2011-09-23,16.431,16.779,16.431,16.446,1058,0
2011-09-26,16.729,16.796,16.431,16.796,661,0
2011-09-27,17.369,17.679,17.369,17.424,3170,0
2011-09-28,17.424,17.424,17.424,17.424,130,0
2011-09-29,17.182,17.182,16.509,16.509,2494,0
2011-09-30,16.478,16.478,15.922,15.922,5415,0
2011-10-05,16.059,16.059,16.059,16.059,555,0
2011-10-06,16.588,16.588,16.588,16.588,130,0
2011-10-11,17.273,17.704,17.273,17.704,2247,0
2011-10-12,17.968,18.424,17.94,18.424,3053,0
2011-10-13,17.695,17.734,17.552,17.635,2903,0
2011-10-14,17.93,17.93,17.906,17.906,527,0
2011-10-17,17.906,17.985,17.416,17.416,1719,0
2011-10-18,17.756,18.014,17.756,18.014,540,0
2011-10-19,17.756,17.756,17.756,17.756,394,0
2011-10-20,18.294,18.294,17.31,17.574,1724,0
2011-10-21,17.899,18.096,17.899,18.096,995,0
2011-10-25,18.286,18.294,18.165,18.294,4959,0
2011-10-26,18.19,18.19,18.19,18.19,686,0
2011-10-27,19.209,19.544,18.7,19.438,1321,0
2011-10-28,19.363,19.5,19.363,19.5,266,0
2011-11-02,19.113,19.113,19.098,19.098,1574,0
2011-11-03,18.771,18.771,18.665,18.665,661,0
2011-11-08,18.688,19.201,18.658,18.658,10840,0
2011-11-09,18.417,18.417,17.416,17.96,64716,0
2011-11-10,18.212,18.212,18.212,18.212,266,0
2011-11-11,18.801,18.801,18.688,18.688,527,0
2011-11-14,18.446,18.596,18.446,18.596,1452,0
2011-11-16,18.528,18.558,18.505,18.537,5678,0
2011-11-17,18.49,18.49,17.879,17.916,858,0
2011-11-21,17.462,17.606,17.462,17.606,394,0
2011-11-22,17.408,17.501,17.408,17.501,1321,0
2011-11-23,16.869,16.893,16.869,16.893,266,0
2011-11-25,16.832,16.832,16.523,16.523,566,0
2011-11-28,17.356,17.356,17.256,17.256,304,0
2011-11-30,17.985,18.074,17.985,18.045,17037,0
2011-12-02,18.323,18.323,18.045,18.045,1970,0
2011-12-05,18.484,18.496,18.323,18.323,958,0
2011-12-06,18.417,18.65,18.401,18.65,730,0
2011-12-07,18.323,18.591,18.323,18.591,2639,0
2011-12-08,17.992,18.081,17.846,17.846,792,0
2011-12-09,18.172,18.218,18.142,18.142,3431,0
2011-12-12,17.756,17.756,17.618,17.627,3952,0
2011-12-13,17.545,17.679,17.394,17.394,3568,0
2011-12-14,17.226,17.233,17.089,17.089,6060,0
2011-12-15,17.446,17.476,17.424,17.431,2111,0
2011-12-16,17.438,17.438,17.431,17.431,1849,0
2011-12-19,17.149,17.149,16.915,16.915,4010,0
2011-12-20,17.606,17.704,17.606,17.612,9814,0
2011-12-21,17.175,17.175,17.175,17.175,130,0
2011-12-22,17.325,17.325,17.325,17.325,2639,0
2011-12-23,17.416,17.635,17.416,17.635,9322,0
2011-12-28,17.158,17.265,17.158,17.187,4094,0
2011-12-29,17.394,17.394,17.249,17.318,2629,0
2011-12-30,17.394,17.565,17.394,17.496,3235,0
2012-01-03,18.104,18.19,18.104,18.135,792,0
2012-01-04,18.362,18.362,18.323,18.323,1452,0
2012-01-05,18.172,18.172,17.998,17.998,730,0
2012-01-06,18.158,18.158,17.977,17.977,266,0
2012-01-09,18.226,18.401,18.226,18.401,2582,0
2012-01-10,18.817,18.817,18.717,18.724,3626,0
2012-01-12,18.688,18.885,18.688,18.885,661,0
2012-01-13,18.453,18.7,18.37,18.688,1784,0
2012-01-17,18.937,19.05,18.937,19.05,1321,0
2012-01-18,19.233,19.392,19.233,19.392,2247,0
2012-01-19,19.421,19.421,19.421,19.421,130,0
2012-01-20,19.468,19.468,19.468,19.468,774,0
2012-01-23,19.527,19.648,19.527,19.581,6739,0
2012-01-25,19.544,19.892,19.544,19.816,4532,0
2012-01-26,19.8,20.052,19.8,19.816,46263,0
2012-01-27,19.784,19.816,19.784,19.816,1979,0
2012-01-30,20.067,20.074,19.429,19.429,858,0
2012-01-31,19.798,19.93,19.798,19.839,5535,0
2012-02-01,20.232,20.339,20.074,20.339,1554,0
2012-02-02,20.498,20.498,20.422,20.473,10897,0
2012-02-03,20.67,20.677,20.528,20.582,2142,0
2012-02-06,20.603,20.603,20.498,20.498,1189,0
2012-02-07,20.521,20.793,20.512,20.763,7815,0
2012-02-08,20.898,20.898,20.777,20.777,821,0
2012-02-10,20.49,20.498,20.49,20.498,394,0
2012-02-13,20.656,20.763,20.656,20.716,668,0
2012-02-14,20.716,20.777,20.67,20.687,3290,0
2012-02-15,20.746,20.746,20.687,20.687,10302,0
2012-02-16,20.588,20.853,20.588,20.853,1605,0
2012-02-17,21.079,21.239,21.079,21.239,4096,0
2012-02-21,21.208,21.208,21.156,21.156,402,0
2012-02-22,21.291,21.291,21.239,21.239,1309,0
2012-02-23,21.095,21.314,21.095,21.27,964,0
2012-02-24,21.291,21.474,21.291,21.474,440,0
2012-02-27,21.27,21.27,21.073,21.111,7000,0
2012-02-28,21.337,21.634,21.337,21.634,991,0
2012-02-29,21.668,21.761,21.299,21.299,3824,0
2012-03-01,21.634,21.845,21.596,21.694,14564,0
2012-03-02,21.876,21.915,21.664,21.861,1465,0
2012-03-05,21.505,21.596,21.505,21.596,5546,0
2012-03-06,21.156,21.156,20.837,20.846,3252,0
2012-03-07,20.716,21.019,20.716,20.946,1951,0
2012-03-08,21.111,21.193,21.095,21.193,2470,0
2012-03-09,21.163,21.163,21.066,21.132,2987,0
2012-03-12,20.603,20.603,20.603,20.603,266,0
2012-03-13,20.694,21.177,20.694,21.177,1515,0
2012-03-14,21.126,21.126,20.946,21.095,1452,0
2012-03-15,21.177,21.177,21.044,21.044,2436,0
2012-03-16,21.193,21.193,21.193,21.193,237,0
2012-03-19,21.111,21.186,21.111,21.186,824,0
2012-03-20,20.723,20.832,20.723,20.832,751,0
2012-03-21,20.656,20.959,20.656,20.867,1841,0
2012-03-22,20.702,20.723,20.551,20.588,3517,0
2012-03-23,20.702,20.716,20.677,20.716,3483,0
2012-03-26,20.746,21.052,20.746,21.052,10406,0
2012-03-27,21.066,21.066,20.898,20.898,19658,0
2012-03-28,20.574,20.595,20.512,20.543,3048,0
2012-03-29,20.384,20.384,20.384,20.384,130,0
2012-03-30,20.667,20.667,20.48,20.62,2685,0
2012-04-02,20.559,20.801,20.559,20.694,1972,0
2012-04-03,20.846,20.846,20.559,20.566,6355,0
2012-04-04,20.46,20.506,20.46,20.506,752,0
2012-04-05,20.582,20.595,20.466,20.551,120824,0
2012-04-09,20.551,20.588,20.521,20.588,9310,0
2012-04-10,20.422,20.422,20.052,20.21,18136,0
2012-04-11,20.044,20.044,19.976,19.976,866,0
2012-04-12,20.308,20.39,20.21,20.246,11243,0
2012-04-13,20.216,20.216,19.906,20.021,8507,0
2012-04-16,20.132,20.132,19.808,20.112,1852,0
2012-04-17,20.036,20.096,20.013,20.096,2409,0
2012-04-18,20.112,20.112,19.687,19.687,5097,0
2012-04-19,19.74,19.983,19.74,19.954,11791,0
2012-04-20,19.882,20.253,19.882,20.21,15654,0
2012-04-23,19.732,19.732,19.535,19.574,1147,0
2012-04-24,19.954,19.954,19.816,19.816,2264,0
2012-04-25,20.187,20.187,19.77,19.816,2656,0
2012-04-26,19.754,19.847,19.717,19.847,394,0
2012-04-27,19.962,20.106,19.962,20.067,8247,0
2012-04-30,20.212,20.212,19.814,19.923,1925,0
2012-05-01,19.991,20.021,19.991,20.021,283,0
2012-05-02,19.875,19.875,19.725,19.725,309,0
2012-05-03,19.762,19.847,19.551,19.687,3633,0
2012-05-04,19.703,19.717,19.492,19.52,23753,0
2012-05-07,19.263,19.413,19.263,19.353,1297,0
2012-05-09,19.059,19.075,18.998,19.066,3094,0
