Date,Open,High,Low,Close,Volume,OpenInt
2011-05-03,28.62,28.62,28.62,28.62,1034,0
2011-05-04,28.376,28.376,28.376,28.376,1016,0
2011-05-06,28.06,28.06,28.06,28.06,898,0
2011-05-09,27.724,27.724,27.724,27.724,332,0
2011-05-10,28.016,28.114,28.016,28.114,18420,0
2011-05-12,27.483,27.483,27.464,27.464,360,0
2011-05-19,27.473,27.473,27.473,27.473,148,0
2011-05-20,27.237,27.273,27.155,27.155,1859,0
2011-05-24,26.642,26.642,26.559,26.559,992,0
2011-06-03,27.374,27.374,27.374,27.374,309,0
2011-06-07,27.446,27.446,27.437,27.446,17934,0
2011-06-14,26.767,26.823,26.767,26.823,3874,0
2011-06-16,25.576,25.64,25.576,25.64,22358,0
2011-06-28,25.64,25.64,25.64,25.64,139,0
2011-07-05,27.057,27.057,26.949,26.966,5757,0
2011-07-11,25.188,25.214,25.188,25.214,3657,0
2011-07-12,24.916,24.944,24.87,24.88,24906,0
2011-07-28,24.898,24.898,24.88,24.88,404,0
2011-07-29,24.664,24.664,24.664,24.664,313,0
2011-08-03,23.19,23.19,23.19,23.19,218,0
2011-08-08,20.75,20.75,20.22,20.22,775,0
2011-08-11,21.367,21.367,21.367,21.367,474,0
2011-08-15,22.657,22.657,22.603,22.603,1183,0
2011-08-16,22.089,22.089,22.016,22.089,218,0
2011-08-17,22.323,22.323,22.099,22.099,3194,0
2011-08-18,20.942,20.942,20.942,20.942,218,0
2011-08-19,21.031,21.031,21.031,21.031,108,0
2011-08-24,21.419,21.419,21.419,21.419,1334,0
2011-09-02,21.647,21.665,21.602,21.665,7194,0
2011-09-08,20.769,20.769,20.769,20.769,617,0
2011-09-13,19.478,19.478,19.478,19.478,554,0
2011-09-15,20.543,20.716,20.515,20.716,851,0
2011-09-20,20.136,20.136,20.136,20.136,108,0
2011-09-22,18.556,18.572,18.556,18.572,330,0
2011-09-29,19.531,19.531,19.531,19.531,1442,0
2011-10-07,19.369,19.604,19.369,19.604,1475,0
2011-10-12,21.041,21.041,21.041,21.041,879,0
2011-10-13,20.871,20.924,20.824,20.851,12970,0
2011-10-18,20.408,20.408,20.384,20.384,3764,0
2011-10-19,20.76,20.76,20.725,20.725,818,0
2011-10-20,20.338,20.338,20.338,20.338,361,0
2011-10-21,21.113,21.113,21.113,21.113,130,0
2011-10-24,21.612,21.612,21.612,21.612,343,0
2011-10-26,21.429,21.464,21.429,21.446,4825,0
2011-10-27,22.314,22.522,22.314,22.522,520,0
2011-11-04,21.14,21.14,21.14,21.14,147,0
2011-11-15,20.533,21.14,20.47,20.842,114705,0
2011-11-16,20.57,20.57,20.56,20.56,970,0
2011-11-17,20.136,20.136,20.002,20.002,2569,0
2011-11-21,19.123,19.452,18.817,19.414,18625,0
2011-11-22,19.045,19.253,18.955,19.114,5069,0
2011-11-28,19.296,19.296,19.288,19.296,3010,0
2011-11-29,19.378,19.612,19.296,19.587,9269,0
2011-11-30,20.126,20.525,20.126,20.263,11134,0
2011-12-01,20.301,20.442,20.301,20.442,1725,0
2011-12-02,20.57,20.57,20.155,20.155,4205,0
2011-12-05,20.579,20.687,20.56,20.687,1594,0
2011-12-06,20.319,20.319,20.301,20.301,1462,0
2011-12-07,20.155,20.155,20.155,20.155,596,0
2011-12-13,19.434,19.801,19.132,19.132,107797,0
2011-12-14,18.826,18.846,18.419,18.737,15486,0
2011-12-16,18.928,19.106,18.928,19.106,9909,0
2011-12-19,19.288,19.288,19.026,19.061,4151,0
2011-12-20,19.792,19.792,19.792,19.792,1218,0
2011-12-21,19.595,19.667,19.531,19.657,5091,0
2011-12-22,19.342,19.359,19.342,19.359,9499,0
2011-12-23,19.903,19.947,19.774,19.774,7963,0
2011-12-28,19.515,19.515,19.515,19.515,1179,0
2011-12-29,19.677,19.677,19.677,19.677,1442,0
2012-01-05,19.758,20.09,19.758,20.09,1375,0
2012-01-06,19.911,19.911,19.595,19.604,3673,0
2012-01-10,20.23,20.338,20.072,20.22,27895,0
2012-01-11,19.839,20.126,19.792,20.054,18357,0
2012-01-12,20.328,20.347,20.1,20.347,27570,0
2012-01-13,19.782,19.903,19.782,19.903,218,0
2012-01-17,20.1,20.239,19.839,20.126,4672,0
2012-01-18,20.283,20.505,20.263,20.496,2852,0
2012-01-19,20.976,20.976,20.588,20.716,2403,0
2012-01-20,20.588,20.697,20.588,20.697,825,0
2012-01-23,20.806,20.806,20.778,20.778,569,0
2012-01-24,20.633,20.633,20.605,20.633,665,0
2012-01-25,20.697,20.932,20.697,20.861,3083,0
2012-01-30,20.886,20.886,20.886,20.886,108,0
2012-01-31,20.896,20.904,20.806,20.851,9624,0
2012-02-01,21.401,21.401,21.302,21.302,1179,0
2012-02-02,21.455,21.455,21.455,21.455,378,0
2012-02-03,21.853,21.853,21.836,21.853,2213,0
2012-02-06,21.827,21.827,21.827,21.827,222,0
2012-02-07,21.943,21.943,21.71,21.869,2396,0
2012-02-08,22.016,22.016,22.016,22.016,886,0
2012-02-10,21.716,21.716,21.716,21.716,979,0
2012-02-14,21.455,24.113,21.024,21.753,3240,0
2012-02-16,21.338,21.908,21.338,21.637,88806,0
2012-02-23,21.692,22.116,21.692,22.116,7992,0
2012-02-24,22.487,22.54,22.487,22.54,4760,0
2012-02-27,22.107,22.333,22.107,22.333,330,0
2012-03-01,22.44,22.44,22.44,22.44,389,0
2012-03-02,22.026,22.026,22.026,22.026,116,0
2012-03-06,21.185,21.185,21.185,21.185,1331,0
2012-03-07,21.502,21.502,21.502,21.502,218,0
2012-03-09,21.898,21.999,21.844,21.898,6752,0
2012-03-12,21.98,22.071,21.836,22.071,7116,0
2012-03-13,22.136,22.323,22.107,22.169,8415,0
2012-03-14,22.222,22.304,22.08,22.089,7528,0
2012-03-15,22.16,22.359,22.107,22.26,6306,0
2012-03-16,22.566,22.585,22.45,22.458,5473,0
2012-03-19,22.458,22.749,22.458,22.721,7020,0
2012-03-20,22.43,22.43,22.185,22.386,5424,0
2012-03-21,22.195,22.359,22.195,22.251,4107,0
2012-03-22,21.953,22.035,21.889,21.889,4886,0
2012-03-23,22.359,22.359,22.333,22.333,1178,0
2012-03-26,22.711,22.813,22.576,22.657,4428,0
2012-03-27,22.775,22.775,22.467,22.467,6304,0
2012-03-28,22.376,22.376,22.169,22.333,2058,0
2012-03-30,22.27,22.45,22.27,22.45,446,0
2012-04-04,21.502,21.665,21.502,21.527,775,0
2012-04-09,21.637,21.637,21.637,21.637,828,0
2012-04-10,20.741,20.778,20.741,20.778,278,0
2012-04-13,21.312,21.312,21.312,21.312,427,0
2012-04-16,21.131,21.131,21.131,21.131,111,0
2012-04-17,21.782,21.782,21.762,21.762,771,0
2012-04-19,21.401,21.401,21.401,21.401,877,0
2012-04-23,20.942,20.96,20.924,20.96,3131,0
2012-04-25,21.844,21.844,21.844,21.844,278,0
2012-04-26,21.546,21.546,21.546,21.546,108,0
2012-04-27,22.145,22.145,21.953,21.972,4103,0
2012-04-30,21.762,21.853,21.762,21.853,5091,0
2012-05-01,21.908,22.195,21.86,22.195,4316,0
2012-05-03,21.716,21.716,21.716,21.716,108,0
2012-05-04,20.96,20.96,20.96,20.96,265,0
2012-05-08,20.716,20.725,20.687,20.725,554,0
2012-05-10,20.932,20.942,20.932,20.942,279,0
2012-05-11,20.778,20.778,20.533,20.643,554,0
2012-05-14,20.253,20.253,20.037,20.037,330,0
2012-05-17,19.469,19.469,19.204,19.214,1658,0
2012-05-18,19.078,19.078,19.026,19.078,533,0
2012-05-21,19.243,19.397,19.243,19.397,249,0
2012-05-24,19.168,19.168,19.07,19.07,6642,0
2012-05-30,18.962,18.962,18.962,18.962,258,0
2012-05-31,18.793,18.793,18.653,18.653,464,0
2012-06-01,18.359,18.881,18.086,18.375,1909,0
2012-06-04,18.375,18.384,18.375,18.384,505,0
2012-06-06,19.123,19.123,19.123,19.123,215,0
2012-06-12,18.999,18.999,18.999,18.999,360,0
2012-06-13,18.881,18.946,18.7,18.737,11309,0
2012-06-15,19.026,19.296,19.026,19.296,218,0
2012-06-18,19.369,19.369,19.369,19.369,554,0
2012-06-20,20.044,20.044,20.044,20.044,1218,0
2012-06-21,18.911,18.911,18.911,18.911,132,0
2012-06-25,18.592,18.592,18.314,18.314,1442,0
2012-06-26,18.231,18.231,18.231,18.231,154,0
2012-06-28,18.491,18.491,18.491,18.491,542,0
2012-06-29,19.524,19.577,19.524,19.577,524,0
2012-07-02,19.696,19.696,19.696,19.696,5091,0
2012-07-11,19.088,19.088,18.846,18.846,1052,0
2012-07-12,18.802,18.802,18.784,18.784,512,0
2012-07-17,19.262,19.262,19.262,19.262,5757,0
