Date,Open,High,Low,Close,Volume,OpenInt
2013-10-25,24.964,24.964,24.707,24.796,50584,0
2013-10-28,24.855,24.885,24.736,24.786,33598,0
2013-10-29,24.925,24.925,24.79,24.903,29282,0
2013-10-30,25.023,25.024,24.855,24.915,93345,0
2013-10-31,25.034,25.134,24.925,25.024,34529,0
2013-11-01,25.024,25.024,24.845,25.024,13661,0
2013-11-04,25.243,25.243,25.044,25.163,14088,0
2013-11-05,25.124,25.144,24.925,25.069,17643,0
2013-11-06,25.421,25.421,25.124,25.197,28433,0
2013-11-07,25.351,25.351,24.746,24.766,25308,0
2013-11-08,24.945,25.114,24.825,25.065,13331,0
2013-11-11,25.124,25.273,25.074,25.253,21324,0
2013-11-12,25.322,25.381,25.184,25.273,81390,0
2013-11-13,25.451,25.451,25.134,25.381,39432,0
2013-11-14,25.571,25.626,25.431,25.561,96482,0
2013-11-15,25.809,25.809,25.582,25.67,37150,0
2013-11-18,26.077,26.077,25.67,25.739,68796,0
2013-11-19,25.769,25.779,25.571,25.621,49080,0
2013-11-20,25.719,25.729,25.194,25.223,20682,0
2013-11-21,25.353,25.481,25.322,25.441,34721,0
2013-11-22,25.809,25.809,25.481,25.601,81820,0
2013-11-25,25.829,25.829,25.531,25.531,25373,0
2013-11-26,25.67,25.67,25.525,25.568,27359,0
2013-11-27,25.769,25.769,25.591,25.739,25237,0
2013-11-29,26.017,26.017,25.819,25.819,11746,0
2013-12-02,25.869,25.869,25.631,25.67,21033,0
2013-12-03,25.63,26.067,25.472,25.561,30364,0
2013-12-04,25.551,25.551,25.302,25.491,28928,0
2013-12-05,25.551,25.551,25.342,25.391,39360,0
2013-12-06,25.819,25.819,25.623,25.719,29079,0
2013-12-09,26.137,26.167,25.661,25.709,39206,0
2013-12-10,25.71,25.779,25.71,25.739,33417,0
2013-12-11,25.819,25.819,25.421,25.421,26305,0
2013-12-12,25.471,25.471,25.351,25.42,14503,0
2013-12-13,25.581,25.581,25.332,25.451,24904,0
2013-12-16,25.68,25.68,25.571,25.631,30692,0
2013-12-17,25.878,25.878,25.66,25.7,40660,0
2013-12-18,26.047,26.177,25.769,26.107,94546,0
2013-12-19,26.95,26.95,25.878,25.898,57117,0
2013-12-20,26.216,27.039,26.137,26.276,79295,0
2013-12-23,26.713,26.713,26.404,26.564,94770,0
2013-12-24,26.664,26.664,26.564,26.574,66990,0
2013-12-26,27.149,27.149,26.754,26.822,84388,0
2013-12-27,27.169,27.169,26.95,26.99,135213,0
2013-12-30,27.099,27.129,26.911,27.089,126653,0
2013-12-31,27.298,27.298,27.109,27.169,129112,0
2014-01-02,27.566,27.566,26.762,26.812,248685,0
2014-01-03,27,27,26.762,26.802,64994,0
2014-01-06,27.119,27.119,26.713,26.752,67348,0
2014-01-07,26.881,26.885,26.792,26.842,54693,0
2014-01-08,27.039,27.039,26.901,26.99,207522,0
2014-01-09,27.119,27.238,26.911,27.049,215796,0
2014-01-10,27.179,27.265,27.079,27.258,75220,0
2014-01-13,27.278,27.278,26.93,26.96,132767,0
2014-01-14,27.089,27.248,26.96,27.248,68339,0
2014-01-15,27.417,27.446,27.294,27.417,150379,0
2014-01-16,27.496,27.496,27.308,27.387,61784,0
2014-01-17,27.387,27.461,27.298,27.328,244639,0
2014-01-21,27.546,27.556,27.258,27.397,70390,0
2014-01-22,27.516,27.556,27.427,27.496,105315,0
2014-01-23,27.407,27.41,27.119,27.218,82045,0
2014-01-24,27.059,27.059,26.494,26.514,93503,0
2014-01-27,26.574,26.574,25.938,26.167,125782,0
2014-01-28,26.157,26.464,26.157,26.454,45922,0
2014-01-29,26.365,26.443,26.266,26.286,36518,0
2014-01-30,26.424,26.484,26.207,26.363,30993,0
2014-01-31,25.928,26.167,25.906,26.067,43789,0
2014-02-03,25.928,26.042,25.322,25.381,100021,0
2014-02-04,25.441,25.571,25.322,25.521,79948,0
2014-02-05,25.501,25.561,25.273,25.441,120338,0
2014-02-06,25.421,25.799,25.421,25.7,56834,0
2014-02-07,25.918,26.019,25.79,25.988,46990,0
2014-02-10,26.017,26.017,25.829,25.936,45390,0
2014-02-11,26.047,26.385,26.047,26.316,67125,0
2014-02-12,26.385,26.514,26.38,26.474,47840,0
2014-02-13,26.226,26.644,26.154,26.604,45484,0
2014-02-14,26.584,26.742,26.494,26.703,65131,0
2014-02-18,27.079,27.179,26.911,27.139,116648,0
2014-02-19,27.149,27.149,26.772,26.772,70531,0
2014-02-20,26.792,26.948,26.633,26.92,33175,0
2014-02-21,27.089,27.109,26.852,26.852,31400,0
2014-02-24,27.069,27.278,27.059,27.119,148035,0
2014-02-25,27.189,27.189,26.95,26.95,26920,0
2014-02-26,27.03,27.139,26.822,26.891,68376,0
2014-02-27,27.03,27.129,26.97,27.109,39657,0
2014-02-28,27.218,27.338,27.049,27.159,51973,0
2014-03-03,26.901,26.901,26.624,26.771,76862,0
2014-03-04,27.01,27.293,27.01,27.218,67434,0
2014-03-05,27.258,27.258,27.182,27.248,28303,0
2014-03-06,27.308,27.476,27.248,27.417,63343,0
2014-03-07,27.574,27.574,27.228,27.367,58721,0
2014-03-10,27.338,27.338,27.092,27.238,23354,0
2014-03-11,27.179,27.268,26.881,26.891,24720,0
2014-03-12,26.713,26.812,26.594,26.782,23106,0
2014-03-13,26.752,26.93,26.316,26.394,42930,0
2014-03-14,26.246,26.444,26.087,26.296,26016,0
2014-03-17,26.544,26.664,26.424,26.544,53264,0
2014-03-18,26.634,26.842,26.633,26.802,19337,0
2014-03-19,26.891,26.891,26.424,26.713,36552,0
2014-03-20,26.564,26.693,26.494,26.634,14430,0
2014-03-21,26.852,26.852,26.514,26.564,17412,0
2014-03-24,26.782,26.802,26.316,26.574,33446,0
2014-03-25,26.812,26.93,26.654,26.842,155146,0
2014-03-26,27.089,27.089,26.684,26.684,53272,0
2014-03-27,26.484,26.811,26.444,26.514,11614,0
2014-03-28,26.703,26.911,26.693,26.693,14385,0
2014-03-31,27.099,27.109,26.99,27.02,45086,0
2014-04-01,27.258,27.417,27.248,27.387,52650,0
2014-04-02,27.526,27.526,27.34,27.516,29124,0
2014-04-03,27.516,27.516,27.387,27.486,52508,0
2014-04-04,27.516,27.516,26.842,26.901,27293,0
2014-04-07,26.812,26.842,26.484,26.684,45340,0
2014-04-08,26.604,26.664,26.365,26.564,24471,0
2014-04-09,26.534,26.891,26.534,26.891,20395,0
2014-04-10,26.752,26.802,26.017,26.117,46429,0
2014-04-11,25.968,26.197,25.898,25.997,37223,0
2014-04-14,26.067,26.097,25.819,25.958,24396,0
2014-04-15,25.948,26.007,25.571,25.948,36192,0
2014-04-16,26.007,26.276,25.988,26.276,7466,0
2014-04-17,26.365,26.554,26.315,26.494,10244,0
2014-04-21,26.524,26.543,26.336,26.524,17988,0
2014-04-22,26.574,26.684,26.415,26.614,38348,0
2014-04-23,26.454,26.494,26.414,26.434,18078,0
2014-04-24,26.514,26.514,26.256,26.434,15777,0
2014-04-25,26.326,26.326,25.968,26.007,23528,0
2014-04-28,25.997,26.139,25.739,26.037,28120,0
2014-04-29,25.859,25.978,25.859,25.918,38242,0
2014-04-30,25.67,25.908,25.66,25.908,23437,0
2014-05-01,25.759,25.989,25.729,25.928,243908,0
2014-05-02,25.819,26.017,25.809,25.997,16159,0
2014-05-05,25.839,25.908,25.7,25.849,23550,0
2014-05-06,25.849,25.918,25.759,25.859,18172,0
2014-05-07,25.839,25.839,25.511,25.546,489610,0
2014-05-08,25.332,25.779,25.332,25.421,64392,0
2014-05-09,25.332,25.401,25.322,25.371,16528,0
2014-05-12,25.581,25.869,25.381,25.739,25571,0
2014-05-13,25.849,25.898,25.719,25.719,29242,0
2014-05-14,25.719,25.719,25.471,25.511,66484,0
2014-05-15,25.421,25.426,25.134,25.263,44760,0
2014-05-16,25.194,25.342,25.134,25.342,16873,0
2014-05-19,25.273,25.378,25.223,25.257,28157,0
2014-05-20,25.223,25.223,24.984,25.024,34657,0
2014-05-21,25.184,25.283,25.144,25.283,6558,0
2014-05-22,25.302,25.53,25.204,25.461,27647,0
2014-05-23,25.581,25.809,25.571,25.799,12597,0
2014-05-27,26.037,26.187,25.839,26.187,15140,0
2014-05-28,26.157,26.157,26.017,26.057,20228,0
2014-05-29,26.027,26.276,26.027,26.137,10825,0
2014-05-30,26.117,26.197,26.057,26.127,10542,0
2014-06-02,26.197,26.235,26.057,26.216,78618,0
2014-06-03,26.276,26.286,26.167,26.276,9034,0
2014-06-04,26.127,26.365,26.127,26.316,12112,0
2014-06-05,26.484,26.674,26.4,26.674,8388,0
2014-06-06,26.624,26.832,26.624,26.752,46087,0
2014-06-09,26.881,26.99,26.812,26.93,8220,0
2014-06-10,26.852,26.881,26.713,26.742,27794,0
2014-06-11,26.812,26.842,26.713,26.822,13330,0
2014-06-12,26.871,26.9,26.664,26.722,17757,0
2014-06-13,26.812,26.842,26.664,26.822,15886,0
2014-06-16,26.822,27.03,26.822,27,21050,0
2014-06-17,27.01,27.159,26.93,27.129,22648,0
2014-06-18,27.129,27.397,27.129,27.378,23206,0
2014-06-19,27.387,27.516,27.358,27.466,133918,0
2014-06-20,27.486,27.486,27.338,27.449,22647,0
2014-06-23,27.456,27.506,27.318,27.476,12981,0
2014-06-24,27.496,27.506,27.199,27.258,47408,0
2014-06-25,27.209,27.298,27.159,27.298,8800,0
2014-06-26,27.308,27.308,27.189,27.288,28149,0
2014-06-27,27.338,27.466,27.288,27.456,17549,0
2014-06-30,27.616,27.706,27.536,27.695,44743,0
2014-07-01,27.924,28.221,27.896,28.092,66105,0
2014-07-02,28.102,28.172,27.834,27.904,26686,0
2014-07-03,28.033,28.105,27.954,28.053,33235,0
2014-07-07,28.013,28.013,27.617,27.626,47093,0
2014-07-08,27.636,27.636,27.238,27.328,30014,0
2014-07-09,27.179,27.446,27.179,27.348,27928,0
2014-07-10,27.039,27.129,26.812,27.039,29966,0
2014-07-11,26.842,27.139,26.842,26.96,13499,0
2014-07-14,27.308,27.364,27.179,27.268,18714,0
2014-07-15,27.298,27.298,26.966,27,8188,0
2014-07-16,27.01,27.059,26.916,26.97,14338,0
2014-07-17,26.99,26.99,26.654,26.654,19194,0
2014-07-18,26.614,26.96,26.614,26.891,16065,0
2014-07-21,26.891,26.911,26.722,26.862,14543,0
2014-07-22,27.109,27.22,26.99,27.169,16283,0
2014-07-23,27.298,27.378,27.268,27.308,21461,0
2014-07-24,27.456,27.456,27.258,27.276,28711,0
2014-07-25,27.258,27.387,27.089,27.089,28627,0
2014-07-28,27.189,27.189,26.95,27.109,9884,0
2014-07-29,27.397,27.516,27.209,27.209,39829,0
2014-07-30,27.387,27.432,27.266,27.318,30831,0
2014-07-31,27.209,27.209,26.94,26.98,19008,0
2014-08-01,27.02,27.02,26.693,26.822,26853,0
2014-08-04,26.911,26.989,26.722,26.989,13567,0
