Date,Open,High,Low,Close,Volume,OpenInt
2012-11-12,15.79,15.79,15.776,15.776,9280,0
2012-11-13,15.783,15.783,15.783,15.783,892,0
2012-11-14,15.742,15.742,15.709,15.709,12506,0
2012-11-15,15.718,15.718,15.718,15.718,831,0
2012-11-16,15.693,15.7,15.672,15.679,4201,0
2012-11-19,15.693,15.693,15.693,15.693,528,0
2012-11-20,15.7,15.7,15.7,15.7,10816,0
2012-11-21,15.709,15.709,15.709,15.709,18124,0
2012-11-26,15.718,15.718,15.718,15.718,211,0
2012-11-27,15.718,15.718,15.718,15.718,14374,0
2012-11-28,15.734,15.734,15.734,15.734,1653,0
2012-11-29,15.742,15.742,15.742,15.742,7057,0
2012-11-30,15.752,15.752,15.752,15.752,440,0
2012-12-04,15.749,15.749,15.749,15.749,768,0
2012-12-05,15.767,15.767,15.767,15.767,562,0
2012-12-06,15.79,15.79,15.79,15.79,263,0
2012-12-07,15.812,15.812,15.812,15.812,6103,0
2012-12-10,15.812,15.812,15.812,15.812,768,0
2012-12-11,15.821,15.821,15.821,15.821,768,0
2012-12-12,15.803,15.812,15.803,15.812,1228,0
2012-12-13,15.812,15.812,15.803,15.803,1402,0
2012-12-17,15.742,15.742,15.734,15.734,2774,0
2012-12-18,15.742,15.767,15.734,15.767,81377,0
2012-12-19,15.767,15.767,15.759,15.767,3561,0
2012-12-20,15.759,15.759,15.759,15.759,211,0
2012-12-21,15.767,15.767,15.767,15.767,2532,0
2012-12-24,15.759,15.759,15.759,15.759,1272,0
2012-12-26,15.803,15.852,15.803,15.852,7171,0
2012-12-27,15.87,15.893,15.87,15.893,7699,0
2013-01-02,15.838,15.838,15.838,15.838,101,0
2013-01-03,15.838,15.838,15.838,15.838,25654,0
2013-01-04,15.862,15.862,15.852,15.852,1062,0
2013-01-07,15.862,15.862,15.862,15.862,2147,0
2013-01-08,15.87,15.87,15.852,15.852,3627,0
2013-01-09,15.869,15.869,15.869,15.869,1402,0
2013-01-10,15.884,15.884,15.884,15.884,314,0
2013-01-11,15.886,15.886,15.878,15.878,4695,0
2013-01-14,15.909,15.922,15.909,15.915,30993,0
2013-01-15,15.97,15.97,15.884,15.914,23670,0
2013-01-16,15.921,15.921,15.901,15.921,15194,0
2013-01-17,15.929,15.929,15.921,15.921,8105,0
2013-01-18,15.946,15.946,15.929,15.929,6325,0
2013-01-22,15.963,15.978,15.954,15.978,34760,0
2013-01-23,15.982,16.014,15.982,16.014,86309,0
2013-01-24,16.033,16.033,16.026,16.033,6918,0
2013-01-25,16.03,16.037,16.03,16.037,8947,0
2013-01-28,16.071,16.08,16.071,16.08,12482,0
2013-01-29,16.08,16.087,16.08,16.08,19965,0
2013-01-30,16.062,16.08,15.986,16.071,114789,0
2013-01-31,16.07,16.07,16.046,16.062,23212,0
2013-02-01,16.052,16.052,15.99,16.03,37715,0
2013-02-04,16.026,16.033,15.937,15.993,46911,0
2013-02-05,16.006,16.014,15.975,16.014,24045,0
2013-02-06,16.006,16.006,15.982,16.006,3419,0
2013-02-07,16.006,16.006,15.967,15.967,13428,0
2013-02-08,15.997,15.997,15.959,15.982,12600,0
2013-02-11,15.99,15.99,15.982,15.982,7837,0
2013-02-12,16.006,16.006,15.975,15.982,5523,0
2013-02-13,15.99,15.99,15.99,15.99,16877,0
2013-02-14,16.006,16.006,15.99,15.997,8457,0
2013-02-15,16.044,16.052,16.03,16.03,16192,0
2013-02-19,16.03,16.03,16.014,16.03,29783,0
2013-02-20,16.037,16.037,16.014,16.022,11470,0
2013-02-21,16.067,16.067,16.044,16.044,509652,0
2013-02-22,16.022,16.044,16.022,16.044,2457,0
2013-02-25,16.052,16.052,16.022,16.037,6835,0
2013-02-26,16.03,16.03,15.997,16.006,8437,0
2013-02-27,16.044,16.044,16.03,16.044,2773,0
2013-02-28,16.021,16.05,15.901,15.979,144363,0
2013-03-01,15.967,16.023,15.934,15.983,26778,0
2013-03-04,15.95,16.006,15.942,15.95,42657,0
2013-03-05,15.983,16.007,15.934,15.998,29348,0
2013-03-06,16.001,16.026,15.962,16.026,59625,0
2013-03-07,16.031,16.031,15.967,16.015,40645,0
2013-03-08,16.023,16.023,15.967,16.023,38747,0
2013-03-11,16.059,16.059,16.022,16.037,22394,0
2013-03-12,16.045,16.053,16.038,16.045,40819,0
2013-03-13,16.053,16.068,16.038,16.045,29235,0
2013-03-14,16.077,16.077,16.045,16.068,18181,0
2013-03-15,16.204,16.204,16.06,16.068,30586,0
2013-03-18,16.068,16.068,16.06,16.068,22529,0
2013-03-19,16.06,16.06,16.053,16.06,7621,0
2013-03-20,16.06,16.103,16.053,16.085,39285,0
2013-03-21,16.06,16.11,16.023,16.068,8726,0
2013-03-22,16.072,16.072,16.056,16.072,19434,0
2013-03-25,16.068,16.085,16.06,16.068,18956,0
2013-03-26,16.094,16.118,16.077,16.085,19784,0
2013-03-27,16.118,16.118,16.085,16.085,18323,0
2013-03-28,16.085,16.103,16.085,16.085,30474,0
2013-04-01,16.094,16.11,16.085,16.085,91974,0
2013-04-02,16.114,16.129,16.106,16.122,110303,0
2013-04-03,16.135,16.143,16.085,16.094,32817,0
2013-04-04,16.114,16.122,16.098,16.114,16986,0
2013-04-05,16.122,16.129,16.114,16.122,20372,0
2013-04-08,16.129,16.129,16.114,16.129,42960,0
2013-04-09,16.178,16.192,16.122,16.129,66244,0
2013-04-10,16.17,16.178,16.139,16.156,31717,0
2013-04-11,16.2,16.226,16.156,16.156,88676,0
2013-04-12,16.146,16.178,16.146,16.178,31668,0
2013-04-15,16.2,16.243,16.192,16.217,27705,0
2013-04-16,16.208,16.217,16.17,16.217,39731,0
2013-04-17,16.251,16.258,16.163,16.177,28398,0
2013-04-18,16.185,16.2,16.17,16.185,88047,0
2013-04-19,16.217,16.217,16.178,16.185,7131,0
2013-04-22,16.226,16.274,16.2,16.2,80950,0
2013-04-23,16.192,16.251,16.185,16.217,39985,0
2013-04-24,16.235,16.235,16.192,16.208,23521,0
2013-04-25,16.208,16.226,16.208,16.208,19700,0
2013-04-26,16.208,16.251,16.184,16.225,18583,0
2013-04-29,16.226,16.235,16.217,16.226,29732,0
2013-04-30,16.267,16.267,16.235,16.235,49077,0
2013-05-01,16.295,16.295,16.217,16.235,32507,0
2013-05-02,16.287,16.312,16.225,16.251,29842,0
2013-05-03,16.304,16.312,16.235,16.279,32054,0
2013-05-06,16.321,16.321,16.226,16.287,156904,0
2013-05-07,16.329,16.336,16.266,16.287,28147,0
2013-05-08,16.321,16.336,16.279,16.304,38017,0
2013-05-09,16.387,16.387,16.279,16.279,30211,0
2013-05-10,16.361,16.387,16.304,16.37,76569,0
2013-05-13,16.361,16.37,16.321,16.336,52552,0
2013-05-14,16.336,16.361,16.329,16.329,18528,0
2013-05-15,16.434,16.434,16.279,16.346,42028,0
2013-05-16,16.37,16.37,16.321,16.329,20604,0
2013-05-17,16.41,16.41,16.312,16.354,88587,0
2013-05-20,16.387,16.395,16.354,16.361,10696,0
2013-05-21,16.387,16.395,16.329,16.346,37399,0
2013-05-22,16.354,16.403,16.294,16.294,106011,0
2013-05-23,16.37,16.427,16.329,16.336,36846,0
2013-05-24,16.37,16.37,16.312,16.336,32350,0
2013-05-28,16.383,16.383,16.291,16.326,93897,0
2013-05-29,16.353,16.369,16.309,16.344,65744,0
2013-05-30,16.346,16.346,16.266,16.294,92712,0
2013-05-31,16.233,16.304,16.233,16.257,53393,0
2013-06-03,16.312,16.321,16.235,16.274,55174,0
2013-06-04,16.3,16.308,16.23,16.272,96446,0
2013-06-05,16.255,16.284,16.196,16.212,220978,0
2013-06-06,16.23,16.248,16.16,16.23,60323,0
2013-06-07,16.278,16.278,16.15,16.263,108013,0
2013-06-10,16.294,16.294,16.208,16.235,67466,0
2013-06-11,16.212,16.222,16.15,16.196,66782,0
2013-06-12,16.23,16.272,16.133,16.204,98489,0
2013-06-13,16.188,16.263,16.142,16.188,69857,0
2013-06-14,16.291,16.326,16.124,16.263,244978,0
2013-06-17,16.255,16.255,16.133,16.166,107118,0
2013-06-18,16.133,16.255,16.124,16.212,95408,0
2013-06-19,16.263,16.272,16.166,16.181,71034,0
2013-06-20,16.124,16.308,16.036,16.102,48475,0
2013-06-21,16.212,16.278,16.057,16.083,58464,0
2013-06-24,16.012,16.124,15.834,16.057,102650,0
2013-06-25,16.083,16.093,16.003,16.083,35201,0
2013-06-26,16.142,16.15,16.102,16.133,78551,0
2013-06-27,16.066,16.16,16.057,16.102,111309,0
2013-06-28,16.112,16.154,16.031,16.112,40587,0
2013-07-01,16.172,16.172,16.028,16.124,35395,0
2013-07-02,16.173,16.173,16.093,16.142,35526,0
2013-07-03,16.169,16.169,16.06,16.163,16325,0
2013-07-05,16.205,16.213,15.955,16.116,15144,0
2013-07-08,16.075,16.124,16.012,16.102,44802,0
2013-07-09,16.167,16.197,16.16,16.16,36419,0
2013-07-10,16.189,16.197,16.083,16.182,81721,0
2013-07-11,16.173,16.249,16.173,16.213,68027,0
2013-07-12,16.213,16.232,16.205,16.205,52087,0
