Date,Open,High,Low,Close,Volume,OpenInt
2010-11-16,39.04,39.04,38.238,38.448,99426,0
2010-11-17,38.553,38.701,38.481,38.537,47448,0
2010-11-18,39.073,39.198,38.985,39.135,31710,0
2010-11-19,38.709,38.797,38.448,38.791,25853,0
2010-11-22,38.475,38.622,38.04,38.481,41543,0
2010-11-23,37.867,37.867,37.432,37.574,56472,0
2010-11-24,38.126,38.174,37.961,38.166,49762,0
2010-11-26,37.629,37.725,37.551,37.614,16458,0
2010-11-29,37.543,37.709,37.276,37.694,51144,0
2010-11-30,37.269,37.606,37.187,37.417,23144,0
2010-12-01,38.263,38.425,38.063,38.372,24161,0
2010-12-02,38.418,38.993,38.418,38.985,32783,0
2010-12-03,38.822,39.151,38.75,39.11,13128,0
2010-12-06,38.837,39.024,38.75,39.009,37894,0
2010-12-07,39.412,39.412,38.851,38.851,44331,0
2010-12-08,38.86,38.954,38.608,38.829,26026,0
2010-12-09,38.94,38.94,38.64,38.807,20763,0
2010-12-10,38.837,38.962,38.724,38.962,55391,0
2010-12-13,39.192,39.395,39.057,39.151,94537,0
2010-12-14,39.726,39.829,39.277,39.34,38403,0
2010-12-15,39.252,39.309,38.829,38.893,34559,0
2010-12-16,38.993,38.993,38.694,38.962,19120,0
2010-12-17,38.885,38.885,38.608,38.656,12462,0
2010-12-20,38.758,38.962,38.615,38.791,170458,0
2010-12-21,39.277,39.277,39.049,39.119,20287,0
2010-12-22,39.087,39.119,39.024,39.119,13841,0
2010-12-23,39.554,39.554,39.057,39.177,342697,0
2010-12-27,39.001,39.26,39.001,39.252,50912,0
2010-12-28,39.373,39.373,39.135,39.185,28483,0
2010-12-29,39.703,39.703,39.498,39.608,38302,0
2010-12-30,39.625,39.641,39.498,39.641,25759,0
2010-12-31,39.599,39.902,39.599,39.893,17255,0
2011-01-03,40.318,40.389,40.019,40.137,92676,0
2011-01-04,40.491,40.491,40.011,40.269,47066,0
2011-01-05,40.239,40.476,40.208,40.445,30632,0
2011-01-06,40.422,40.422,39.876,40.019,31975,0
2011-01-07,40.027,40.052,39.616,39.884,28607,0
2011-01-10,39.766,39.766,39.42,39.717,42989,0
2011-01-11,40.027,40.027,39.781,39.86,31947,0
2011-01-12,40.437,40.498,40.208,40.476,33202,0
2011-01-13,41.029,41.029,40.431,40.484,29501,0
2011-01-14,40.404,40.603,40.318,40.561,31692,0
2011-01-18,40.748,40.748,40.398,40.539,51682,0
2011-01-19,40.682,40.855,40.225,40.365,70994,0
2011-01-20,40.208,40.208,39.686,39.932,26179,0
2011-01-21,40.052,40.225,39.813,39.884,16842,0
2011-01-24,40.019,40.216,39.813,40.145,46124,0
2011-01-25,40.052,40.129,39.805,40.129,29678,0
2011-01-26,40.358,40.358,40.129,40.303,18735,0
2011-01-27,40.192,40.192,39.916,40.083,168300,0
2011-01-28,40.083,40.083,39.177,39.277,55959,0
2011-01-31,39.949,39.949,39.34,39.481,15817,0
2011-02-01,39.925,40.184,39.703,40.097,68506,0
2011-02-02,40.372,40.372,39.916,40.065,20533,0
2011-02-03,40.278,40.278,39.899,40.2,36221,0
2011-02-04,40.216,40.216,39.891,40.208,29919,0
2011-02-07,40.603,40.603,39.946,40.603,28475,0
2011-02-08,40.506,40.506,39.813,40.115,22354,0
2011-02-09,40.065,40.065,39.349,39.523,33001,0
2011-02-10,39.569,39.703,38.816,39.177,27050,0
2011-02-11,39.633,39.633,38.63,39.142,19540,0
2011-02-14,39.498,39.498,39.268,39.395,23147,0
2011-02-15,39.245,39.26,39.057,39.104,29975,0
2011-02-16,39.238,39.616,39.127,39.546,30319,0
2011-02-18,39.829,39.971,39.735,39.899,10697,0
2011-02-22,39.185,39.331,38.709,38.784,33425,0
2011-02-23,38.993,39.049,38.63,38.932,18448,0
2011-02-24,38.976,39.087,38.553,38.916,16139,0
2011-02-25,39.403,39.569,39.324,39.562,23180,0
2011-02-28,39.798,40.001,39.759,39.932,15779,0
2011-03-01,40.231,40.231,39.523,39.616,108150,0
2011-03-02,39.741,39.891,39.577,39.711,207260,0
2011-03-03,40.058,40.327,39.932,40.287,70448,0
2011-03-04,40.335,40.343,39.909,40.145,80885,0
2011-03-07,40.358,40.603,39.75,39.829,20923,0
2011-03-08,39.986,40.145,39.909,40.019,16915,0
2011-03-09,40.083,40.208,39.962,40.161,20828,0
2011-03-10,39.508,39.686,39.223,39.3,24290,0
2011-03-11,38.909,39.381,38.909,39.356,12278,0
2011-03-14,38.553,38.622,38.284,38.622,27299,0
2011-03-15,36.928,37.685,36.574,37.598,180783,0
2011-03-16,37.393,37.449,36.401,36.738,46163,0
2011-03-17,37.519,37.762,37.386,37.653,14868,0
2011-03-18,38.213,38.498,38.213,38.433,6820,0
2011-03-21,39.11,39.395,38.885,39.356,62173,0
2011-03-22,39.3,39.3,38.94,39.135,56924,0
2011-03-23,39.096,39.467,38.829,39.387,76289,0
2011-03-24,39.694,39.79,39.331,39.759,35746,0
2011-03-25,39.458,39.641,39.356,39.356,48856,0
2011-03-28,39.381,39.412,39.223,39.223,42282,0
2011-03-29,39.127,39.356,39.04,39.3,63919,0
2011-03-30,39.703,39.941,39.598,39.869,158629,0
2011-03-31,39.854,39.949,39.797,39.885,118200,0
2011-04-01,40.2,40.349,39.946,40.278,169699,0
2011-04-04,40.335,40.476,40.231,40.311,21941,0
2011-04-05,40.231,40.467,39.986,40.327,24242,0
2011-04-06,40.484,40.688,40.484,40.642,33372,0
2011-04-07,40.422,40.506,40.083,40.262,53808,0
2011-04-08,40.72,40.738,40.445,40.586,77678,0
2011-04-11,40.663,40.663,40.161,40.231,68943,0
2011-04-12,40.208,40.208,39.891,39.986,16372,0
2011-04-13,40.358,40.461,40.097,40.115,22300,0
2011-04-14,40.246,40.586,40.208,40.529,18927,0
2011-04-15,40.38,40.634,40.343,40.539,19936,0
2011-04-18,40.137,40.137,39.539,39.899,99231,0
2011-04-19,39.932,40.161,39.932,40.161,15954,0
2011-04-20,40.748,40.791,40.603,40.72,33812,0
2011-04-21,40.981,41.083,40.885,40.973,35676,0
2011-04-25,41.083,41.155,40.767,40.981,38792,0
2011-04-26,41.313,41.32,40.998,41.224,39781,0
2011-04-27,41.359,41.572,40.965,41.508,313215,0
2011-04-28,41.368,41.5,41.256,41.414,27241,0
2011-04-29,41.669,41.761,41.523,41.669,137471,0
2011-05-02,41.755,42.044,41.596,41.682,35188,0
2011-05-03,41.565,41.565,41.116,41.217,18738,0
2011-05-04,41.359,41.359,40.656,40.862,57612,0
2011-05-05,40.688,40.688,40.097,40.239,49651,0
2011-05-06,41.051,41.083,40.484,40.603,19130,0
2011-05-09,40.824,40.932,40.612,40.918,20787,0
2011-05-10,40.941,41.248,40.918,41.217,12703,0
2011-05-11,41.06,41.06,40.343,40.476,30066,0
2011-05-12,40.327,40.714,40.161,40.663,20689,0
2011-05-13,40.642,40.688,39.994,40.192,124618,0
2011-05-16,40.137,40.318,39.909,40.044,33923,0
2011-05-17,39.86,40.254,39.79,40.246,30007,0
2011-05-18,40.294,40.799,40.294,40.704,21695,0
2011-05-19,40.989,40.989,40.663,40.885,14633,0
2011-05-20,40.682,40.855,40.437,40.579,20197,0
2011-05-23,39.932,39.954,39.711,39.909,21178,0
2011-05-24,40.208,40.231,40.019,40.129,23350,0
2011-05-25,40.083,40.327,40.011,40.225,26898,0
2011-05-26,40.208,40.529,40.161,40.461,30181,0
2011-05-27,40.714,40.949,40.696,40.83,13391,0
2011-05-31,41.611,41.611,41.224,41.492,23126,0
2011-06-01,41.414,41.414,40.696,40.738,63897,0
2011-06-02,40.998,41.155,40.688,41.013,23458,0
2011-06-03,40.642,41.161,40.612,40.918,11822,0
2011-06-06,40.72,40.876,40.476,40.539,26119,0
2011-06-07,40.748,41.051,40.748,40.791,12531,0
2011-06-08,40.704,40.704,40.38,40.389,39354,0
2011-06-09,40.603,40.83,40.413,40.758,34297,0
2011-06-10,40.445,40.445,39.86,39.962,31089,0
2011-06-13,40.2,40.2,39.741,39.954,21566,0
2011-06-14,40.529,40.673,40.389,40.554,18314,0
2011-06-15,40.145,40.169,39.562,39.649,15398,0
2011-06-16,39.426,39.649,39.127,39.508,133286,0
2011-06-17,39.837,39.837,39.562,39.608,16256,0
2011-06-20,39.26,39.523,39.26,39.42,58819,0
2011-06-21,39.735,40.052,39.678,40.027,47498,0
2011-06-22,39.766,39.932,39.577,39.577,176921,0
2011-06-23,39.324,39.49,39.024,39.49,180789,0
2011-06-24,39.584,39.678,39.245,39.373,88428,0
2011-06-27,39.192,39.686,39.135,39.625,22019,0
2011-06-28,39.686,40.035,39.686,40.035,20871,0
2011-06-29,40.216,40.445,40.088,40.38,170546,0
2011-06-30,40.684,40.995,40.684,40.953,37531,0
2011-07-01,40.729,41.346,40.729,41.313,39227,0
