Date,Open,High,Low,Close,Volume,OpenInt
2017-12-13,25.156,25.236,25.056,25.126,40294,0
2017-12-14,26.204,26.204,24.936,24.966,74204,0
2017-12-15,25.785,25.785,25.006,25.137,74359,0
2017-12-18,25.835,31.006,25.346,25.346,29274,0
2017-12-19,25.895,27.203,25.357,25.485,31346,0
2017-12-20,25.815,25.815,25.386,25.456,28334,0
2017-12-21,25.955,26.624,25.476,25.476,33330,0
2017-12-22,25.955,25.955,25.402,25.456,7778,0
2017-12-26,25.945,25.945,25.655,25.675,22442,0
2017-12-27,25.83,25.9999,25.68,25.69,18152,0
2017-12-28,25.98,25.99,25.81,25.9682,30476,0
2017-12-29,26.57,26.65,26.2017,26.21,49881,0
2018-01-02,26.74,26.85,26.375,26.66,66054,0
2018-01-03,27.15,27.56,26.8495,26.92,66113,0
2018-01-04,27.47,29.5,26.3,26.55,81702,0
2018-01-05,26.9,26.9,26.26,26.4,45848,0
2018-01-08,26.51,26.5261,26,26.25,24693,0
2018-01-09,26.44,26.44,26.16,26.2019,13460,0
2018-01-10,26.34,26.34,26,26.2111,16729,0
2018-01-11,26.25,26.3689,26.1604,26.255,13156,0
2018-01-12,26.36,26.4,26.227,26.3,14974,0
2018-01-16,26.55,26.55,26.1783,26.211,9939,0
2018-01-17,26.3,26.51,26.2216,26.42,21287,0
2018-01-18,26.51,26.51,26.16,26.1826,17425,0
2018-01-19,26.46,26.5,26.2213,26.4356,20628,0
2018-01-22,26.64,26.64,26.5036,26.6299,15708,0
2018-01-23,26.9,26.99,26.7068,26.99,23525,0
2018-01-24,27,27.15,26.9248,26.9638,13716,0
2018-01-25,26.5,27.0563,26.5,26.89,7739,0
2018-01-26,27.25,27.28,26.8963,27.28,12285,0
2018-01-29,27.32,27.32,26.9769,27.09,15003,0
2018-01-30,27.13,27.13,26.57,26.6915,12024,0
2018-01-31,26.93,26.93,26.601,26.6602,8496,0
2018-02-01,26.85,26.85,26.58,26.62,9802,0
2018-02-02,26.69,26.69,26.15,26.248,13818,0
2018-02-05,26.13,26.13,25.304,25.4302,20308,0
2018-02-06,25.15,25.43,25.0,25.43,21675,0
2018-02-07,25.46,25.5864,25.3374,25.3651,11051,0
2018-02-08,25.45,25.45,24.96,24.96,10285,0
2018-02-09,25,25,24.4479,24.9531,12139,0
2018-02-12,25,25.31,24.9,25.12,6752,0
2018-02-13,25.26,25.26,25,25.137,2990,0
2018-02-14,25.2,25.59,25.2,25.59,3808,0
2018-02-15,25.74,25.97,25.44,25.8874,7982,0
2018-02-16,26.19,26.19,25.915,26.0148,6986,0
2018-02-20,26.21,26.21,25.6178,25.73,10423,0
2018-02-21,25.59,25.98,25.59,25.6462,9460,0
2018-02-22,25.51,25.75,25.09,25.3573,9824,0
2018-02-23,25.64,25.7962,25.4227,25.7962,7311,0
2018-02-26,25.76,25.9285,25.7001,25.835,8697,0
2018-02-27,26.05,26.05,25.5222,25.5222,9045,0
2018-02-28,25.5608,25.5608,25.21,25.2192,8789,0
2018-03-01,25.23,25.23,24.53,24.755,15031,0
2018-03-02,24.72,25.16,24.59,25.16,5472,0
2018-03-05,25.59,25.59,25.0401,25.4499,9399,0
2018-03-06,25.51,25.51,25.22,25.2752,7348,0
2018-03-07,25.2,25.47,25.2,25.47,7125,0
2018-03-08,25.5,25.6376,25.4521,25.62,6209,0
2018-03-09,25.73,25.8617,25.73,25.8401,3336,0
2018-03-12,26.05,26.05,25.835,25.8861,3684,0
2018-03-13,26.02,26.02,25.7514,25.7514,3703,0
2018-03-14,25.76,25.7994,25.67,25.7671,6982,0
2018-03-15,25.6836,25.6836,25.6652,25.6652,1355,0
2018-03-16,25.595,25.595,25.36,25.39,3539,0
2018-03-19,25.36,25.36,24.98,25.2799,5718,0
2018-03-20,25.2,25.28,25.2,25.235,1223,0
2018-03-21,25.12,25.239,25.02,25.1,3659,0
2018-03-22,25,25,24.53,24.53,6208,0
2018-03-23,24.46,24.769,24.3702,24.3702,12777,0
2018-03-26,24.23,24.56,24.23,24.4915,6191,0
2018-03-27,24.81,24.81,24.25,24.2919,4946,0
2018-03-28,24.525,24.769,24.4188,24.7021,2042,0
2018-03-29,24.79,25.0381,24.79,25.0381,3096,0
