Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,7.3498,8.0681,7.2934,7.5484,11192,0
2005-02-28,7.2839,7.3216,6.6511,7.1515,17510,0
2005-03-01,7.1231,7.3879,7.1231,7.3593,3494,0
2005-03-02,7.3593,7.7373,7.3593,7.6051,18312,0
2005-03-03,7.6428,7.7941,7.5581,7.6524,30368,0
2005-03-04,7.6524,7.8413,7.6524,7.8223,34565,0
2005-03-07,7.8223,7.8223,7.7466,7.8033,19221,0
2005-03-08,7.6524,7.9169,7.6524,7.8884,15409,0
2005-03-09,7.7277,8.0303,7.6238,8.0303,13016,0
2005-03-10,8.0303,8.0303,7.6712,7.7941,21015,0
2005-03-11,7.8413,7.9357,7.7846,7.8601,4658,0
2005-03-14,7.8601,7.8601,7.7941,7.8129,6368,0
2005-03-15,7.8601,7.8601,7.8413,7.8413,376,0
2005-03-16,7.7091,7.8129,7.6335,7.6712,14622,0
2005-03-17,7.6335,7.7941,7.6238,7.7941,6658,0
2005-03-18,7.6808,7.7656,7.2082,7.2839,12906,0
2005-03-21,7.0855,7.3124,6.7922,7.2366,27140,0
2005-03-22,7.0572,7.3403,7.0572,7.3307,788,0
2005-03-23,7.1611,7.3029,6.9626,7.3029,10522,0
2005-03-24,7.3689,7.4442,7.0761,7.3593,7402,0
2005-03-28,6.9626,7.1894,6.9626,7.1894,2116,0
2005-03-29,7.1328,7.2554,6.953,7.0287,3313,0
2005-03-30,7.0761,7.0855,6.7262,6.7262,7543,0
2005-03-31,6.7643,7.0193,6.7262,7.0193,3278,0
2005-04-01,7.0383,7.1328,6.67,6.9626,6356,0
2005-04-04,6.7551,6.8209,6.6131,6.6885,5081,0
2005-04-05,7.1894,7.1986,6.5091,6.5941,9218,0
2005-04-06,6.4994,6.6131,6.0652,6.1407,26025,0
2005-04-07,6.1407,6.226,6.0368,6.1501,18275,0
2005-04-08,6.0466,6.1407,5.9423,6.1407,4322,0
2005-04-11,5.8572,5.9232,5.5549,5.5738,45672,0
2005-04-12,5.5738,5.6589,5.5738,5.6589,5081,0
2005-04-13,5.6022,5.7155,5.6022,5.7155,34931,0
2005-04-14,5.7251,6.0368,5.6686,5.7723,15575,0
2005-04-15,5.6778,6.0083,5.1958,5.6493,52874,0
2005-04-18,5.2055,5.8008,5.2055,5.8008,4975,0
2005-04-19,5.7441,5.8382,5.4794,5.5738,7833,0
2005-04-20,5.7155,5.9515,5.4512,5.4512,24306,0
2005-04-21,5.5549,5.6872,5.5266,5.5647,3802,0
2005-04-22,5.4983,5.6118,5.3376,5.4133,20208,0
2005-04-25,5.4416,5.6022,5.4039,5.4983,27789,0
2005-04-26,5.4794,5.5361,5.4794,5.5361,951,0
2005-04-27,5.5453,5.6493,5.4133,5.4133,3017,0
2005-04-28,5.4794,5.5836,5.2715,5.2902,17698,0
2005-04-29,5.2621,5.3473,5.0166,5.0541,81334,0
2005-05-02,5.0636,5.1958,5.0636,5.1393,14661,0
2005-05-03,5.1958,5.1958,4.7802,4.922,41077,0
2005-05-04,5.0166,5.0827,4.8181,5.0448,37154,0
2005-05-05,4.875,4.875,3.9205,4.0624,147001,0
2005-05-06,4.0055,4.0055,3.6842,3.7788,60484,0
2005-05-09,3.8736,3.8736,3.6842,3.76,61130,0
2005-05-10,3.7317,3.7507,3.5524,3.6842,25172,0
2005-05-11,3.59,3.7034,3.5524,3.6562,13289,0
2005-05-12,3.6936,3.7507,3.6936,3.7317,5039,0
2005-05-13,3.7788,3.7979,3.5524,3.59,26328,0
2005-05-16,3.6371,3.6842,3.5428,3.59,15105,0
2005-05-17,3.4765,3.6466,3.4576,3.5331,14035,0
2005-05-18,3.5428,3.6371,3.4483,3.4483,15105,0
2005-05-19,3.6182,3.9301,3.6182,3.826,23688,0
2005-05-20,3.8356,4.0055,3.8356,4.0055,9941,0
2005-05-23,4.0151,4.0624,3.8736,3.8736,9949,0
2005-05-24,3.8452,4.0055,3.826,3.826,25754,0
2005-05-25,4.0624,4.0624,3.8452,3.8452,8764,0
2005-05-26,3.949,3.949,3.826,3.8736,13233,0
2005-05-27,3.911,4.0342,3.911,4.0247,13071,0
2005-05-31,4.1191,4.5344,4.1191,4.5158,16140,0
2005-06-01,4.5819,4.7235,4.5252,4.7235,13898,0
2005-06-02,4.5819,4.6762,4.5252,4.6762,11711,0
2005-06-03,4.6388,4.6388,4.6105,4.6105,1948,0
2005-06-06,4.5344,4.5819,4.4213,4.4688,12174,0
2005-06-07,4.4874,4.4874,4.4401,4.459,5397,0
2005-06-08,4.459,4.459,4.1662,4.185,15984,0
2005-06-09,4.0435,4.459,4.0435,4.3267,4233,0
2005-06-10,4.1476,4.3742,4.0812,4.2513,13982,0
2005-06-13,4.1378,4.4874,4.0906,4.3362,5891,0
2005-06-14,4.5252,4.5252,4.0998,4.2703,5010,0
2005-06-15,4.308,4.4401,4.1662,4.2041,63032,0
2005-06-16,4.2419,4.6293,4.2419,4.6105,38898,0
2005-06-17,4.6293,4.6575,4.4688,4.6575,8680,0
2005-06-20,4.6575,4.6952,4.3933,4.459,6937,0
2005-06-21,4.4023,4.7143,4.2041,4.2513,18524,0
