Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,6.5327,6.5327,6.5327,6.5327,893,0
2005-02-28,6.6106,6.6177,6.5751,6.5751,1705,0
2005-03-04,6.6177,6.7169,6.6177,6.6885,3411,0
2005-03-07,6.5751,6.7382,6.5466,6.653,3244,0
2005-03-08,6.6249,6.6249,6.5327,6.5327,4476,0
2005-03-11,6.7525,6.7525,6.7525,6.7525,424,0
2005-03-14,6.5327,6.5327,6.5253,6.5327,827,0
2005-03-16,6.7314,6.7314,6.5821,6.5821,491,0
2005-03-17,6.7525,6.7595,6.7525,6.7595,5330,0
2005-03-18,6.802,6.802,6.802,6.802,215,0
2005-03-22,6.802,6.802,6.5751,6.7525,1277,0
2005-03-29,6.7382,6.8374,6.7314,6.802,2225,0
2005-03-30,6.802,6.9296,6.6177,6.9014,8246,0
2005-03-31,6.9369,6.9439,6.9369,6.9439,1491,0
2005-04-01,6.9439,6.9439,6.9439,6.9439,424,0
2005-04-04,6.5466,6.9936,6.5466,6.9936,7441,0
2005-04-05,6.9936,6.9936,6.9936,6.9936,3464,0
2005-04-06,6.7455,6.802,6.7455,6.7809,3763,0
2005-04-07,6.7809,6.7809,6.7809,6.7809,2112,0
2005-04-08,6.9583,6.9583,6.9583,6.9583,1491,0
2005-04-11,6.7809,6.7809,6.7595,6.7595,1343,0
2005-04-14,6.7525,6.9936,6.7525,6.9936,4050,0
2005-04-15,6.9936,6.9936,6.9936,6.9936,3003,0
2005-04-18,6.5253,6.9936,6.5253,6.8305,6136,0
2005-04-20,6.71,7.0363,6.71,7.0363,3968,0
2005-04-21,7.107,7.4548,7.107,7.178,5623,0
2005-04-22,7.4548,7.4548,7.4548,7.4548,424,0
2005-04-25,7.4548,7.5748,7.412,7.5748,8315,0
2005-04-26,7.4971,7.9221,7.4971,7.8106,34280,0
2005-04-27,8.2561,8.2561,7.823,8.1988,8891,0
2005-04-28,8.0722,8.0722,7.7882,7.8161,7317,0
2005-04-29,7.8956,8.0361,7.8956,8.0361,392,0
2005-05-02,7.6887,7.759,7.178,7.3552,9113,0
2005-05-03,7.4334,7.4334,6.951,7.2061,5031,0
2005-05-04,7.2776,7.2776,7.2776,7.2776,3296,0
2005-05-05,7.178,7.178,6.802,6.802,483,0
2005-05-10,6.8091,7.0714,6.7028,7.0714,1357,0
2005-05-11,7.3059,7.3059,7.2207,7.2275,3398,0
2005-05-12,7.3836,7.3836,6.9296,6.9296,2326,0
2005-05-13,7.0504,7.0504,7.0504,7.0504,185,0
2005-05-16,7.242,7.242,6.8729,6.9228,2040,0
2005-05-17,7.178,7.178,7.178,7.178,185,0
2005-05-18,7.639,7.639,7.3836,7.3836,1941,0
2005-05-20,7.3836,7.3836,7.3836,7.3836,185,0
2005-05-23,7.3059,7.3059,7.3059,7.3059,185,0
2005-05-24,7.5892,7.724,7.3482,7.5892,4297,0
2005-05-25,7.6106,7.6106,7.6106,7.6106,392,0
2005-05-26,7.6106,7.6106,7.6106,7.6106,968,0
2005-05-27,7.6887,7.6887,7.625,7.625,4248,0
2005-05-31,7.625,7.639,7.625,7.639,2651,0
2005-06-01,7.639,7.639,7.639,7.639,776,0
2005-06-02,7.4334,7.639,7.4334,7.639,2517,0
2005-06-03,7.639,7.639,7.639,7.639,392,0
2005-06-08,7.4334,7.4334,7.178,7.178,15610,0
2005-06-09,7.3765,8.3345,7.2776,7.667,37219,0
2005-06-13,7.5255,7.5612,7.3199,7.5185,2131,0
2005-06-14,7.5255,7.667,7.5255,7.667,392,0
2005-06-15,7.476,7.8161,7.476,7.6816,5817,0
2005-06-16,7.4831,7.6887,7.4831,7.6887,2131,0
2005-06-17,7.6887,7.6887,7.6106,7.6106,4807,0
2005-06-20,7.6106,7.6106,7.6106,7.6106,185,0
2005-06-21,7.6106,7.6318,7.5541,7.6318,1550,0
2005-06-22,7.4262,7.7033,7.4262,7.7033,3392,0
2005-06-27,6.9439,6.9439,6.9439,6.9439,1172,0
2005-06-28,7.3695,7.3695,7.3552,7.3552,392,0
2005-06-29,7.4476,7.4831,7.4476,7.4831,579,0
2005-06-30,7.4831,7.4831,7.4406,7.4406,579,0
2005-07-05,7.4831,7.6887,7.4831,7.5612,579,0
2005-07-06,7.6887,7.8161,7.4192,7.4192,3295,0
2005-07-07,7.6106,7.7179,7.5397,7.6106,18025,0
2005-07-08,7.8161,7.8161,7.5397,7.5397,3487,0
2005-07-12,7.5612,7.5612,7.4334,7.4334,1941,0
2005-07-14,7.4831,7.4831,7.4831,7.4831,776,0
2005-07-19,7.7809,7.7809,7.5612,7.5612,2326,0
2005-07-20,7.5541,7.6887,7.5541,7.6887,6593,0
2005-07-21,7.4334,7.6816,7.4334,7.6816,4069,0
2005-07-22,7.6887,7.6887,7.5397,7.6887,12598,0
2005-07-25,7.7882,7.8106,7.5612,7.6816,20161,0
2005-07-26,7.7955,7.7955,7.5612,7.5612,2326,0
2005-07-27,7.7955,7.7955,7.6887,7.6887,2905,0
2005-07-28,7.6887,8.1145,7.6106,8.1145,37797,0
2005-07-29,8.1988,8.5115,8.1793,8.3049,31350,0
2005-08-01,8.504,8.7594,8.504,8.5673,41478,0
2005-08-02,8.4745,8.8093,8.3497,8.8093,707,0
2005-08-04,8.8093,9.22,8.8093,8.9944,2667,0
2005-08-05,8.8443,9.22,8.6465,8.7181,99954,0
2005-08-08,8.5882,8.8882,8.5882,8.8882,10818,0
2005-08-09,8.7181,9.3479,8.7181,9.1066,10079,0
2005-08-10,9.4691,9.4751,8.9229,9.4275,10025,0
2005-08-11,9.2412,9.2412,8.873,8.873,392,0
2005-08-15,9.22,9.2276,9.22,9.2276,1823,0
2005-08-16,9.2276,9.2276,9.2276,9.2276,392,0
2005-08-17,8.9229,8.9304,8.8443,8.9304,3362,0
2005-08-18,9.0422,9.0945,8.8443,8.8443,29346,0
2005-08-22,9.0357,9.0357,9.0357,9.0357,185,0
2005-08-23,9.0357,9.1019,9.0357,9.1019,3878,0
2005-08-24,9.0718,9.22,8.9795,9.22,5040,0
2005-08-25,9.2276,9.2276,9.22,9.22,4069,0
2005-08-26,9.1066,9.1066,8.972,9.1019,37488,0
2005-08-29,9.1019,9.1019,9.1019,9.1019,392,0
2005-08-30,9.2276,9.2276,9.2276,9.2276,541,0
2005-08-31,9.2276,9.2276,8.8882,8.8882,1416,0
2005-09-01,9.2276,9.2276,9.0718,9.0718,2830,0
2005-09-06,9.0641,9.0641,9.0641,9.0641,185,0
2005-09-08,8.972,8.972,8.972,8.972,968,0
2005-09-12,9.1019,9.1019,8.9579,8.9579,1161,0
2005-09-14,9.22,9.22,9.22,9.22,185,0
2005-09-19,8.972,8.972,8.972,8.972,185,0
2005-09-22,8.9369,8.9369,8.9369,8.9369,185,0
2005-09-23,9.2276,9.2276,9.2276,9.2276,347,0
2005-09-26,8.9369,8.9795,8.9369,8.9795,591,0
2005-09-27,9.0145,9.0145,8.6532,8.6532,1620,0
2005-09-28,8.7181,8.7181,8.7181,8.7181,185,0
2005-09-30,9.0422,9.2276,9.0422,9.2276,7402,0
2005-10-03,8.8656,8.8656,8.8656,8.8656,392,0
2005-10-04,8.8656,8.8656,8.8656,8.8656,1934,0
2005-10-05,8.972,8.972,8.972,8.972,855,0
2005-10-06,8.972,8.972,8.972,8.972,5815,0
2005-10-07,8.972,8.972,8.972,8.972,185,0
2005-10-11,8.9163,8.9163,8.7594,8.7594,776,0
2005-10-12,8.745,8.745,8.574,8.574,1249,0
2005-10-13,8.4046,8.9795,8.4046,8.6532,4385,0
2005-10-18,8.7181,8.7181,8.6406,8.7181,579,0
2005-10-19,8.4046,8.7181,8.4046,8.7181,2326,0
2005-10-21,8.8443,8.972,8.8443,8.972,9108,0
2005-10-26,8.8443,8.8443,8.8443,8.8443,1705,0
2005-10-27,8.8443,8.8443,8.8443,8.8443,2326,0
2005-10-28,8.8939,8.8939,8.4339,8.7181,5813,0
2005-10-31,9.0945,9.1219,8.8656,9.1219,2559,0
