Date,Open,High,Low,Close,Volume,OpenInt
2014-04-16,21.224,21.224,21.224,21.224,100,0
2014-04-23,21.468,21.468,21.468,21.468,310,0
2014-05-07,21.468,21.468,21.468,21.468,204,0
2014-05-12,21.468,21.468,20.494,21.175,837,0
2014-05-13,21.42,21.42,20.981,21.126,3628,0
2014-05-14,21.126,21.126,20.249,20.249,2615,0
2014-05-15,17.781,17.819,17.467,17.565,498924,0
2014-05-16,17.613,17.613,17.37,17.565,10011,0
2014-05-19,17.623,17.623,17.467,17.565,9161,0
2014-05-20,17.418,17.613,17.273,17.565,28833,0
2014-05-21,17.565,17.663,17.467,17.467,222089,0
2014-05-22,17.565,17.565,17.467,17.467,13201,0
2014-05-23,17.515,17.663,17.443,17.663,11200,0
2014-05-27,17.663,17.663,17.565,17.613,5896,0
2014-05-28,17.477,17.605,17.467,17.565,13645,0
2014-05-29,17.54,17.54,17.467,17.467,12960,0
2014-05-30,17.515,17.525,17.487,17.507,1871,0
2014-06-02,17.722,17.722,17.467,17.565,15503,0
2014-06-03,17.663,17.663,17.331,17.37,13961,0
2014-06-04,17.585,17.702,17.37,17.38,14963,0
2014-06-05,18.043,18.053,17.418,17.507,8360,0
2014-06-06,17.467,17.515,17.443,17.467,10160,0
2014-06-09,17.603,17.603,17.345,17.389,28343,0
2014-06-10,17.37,17.37,17.273,17.331,8505,0
2014-06-11,17.331,17.467,17.244,17.363,3920,0
2014-06-12,17.418,17.418,17.273,17.34,9183,0
2014-06-13,17.37,17.507,17.311,17.467,29972,0
2014-06-16,17.224,17.545,17.224,17.545,27727,0
2014-06-17,17.565,17.565,17.205,17.515,25250,0
2014-06-18,17.205,17.535,17.175,17.438,18539,0
2014-06-19,17.205,17.418,17.185,17.264,14510,0
2014-06-20,17.565,17.565,15.526,15.673,71470,0
2014-06-23,15.906,16.276,15.906,16.121,43928,0
2014-06-24,16.306,16.473,16.306,16.345,6613,0
2014-06-25,16.394,16.394,16.043,16.248,11331,0
