Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,16.407,16.451,16.407,16.435,18607,0
2005-02-28,16.413,16.413,15.853,16.051,42209,0
2005-03-01,16.289,16.487,15.876,16.435,30727,0
2005-03-02,16.274,16.435,16.201,16.201,13354,0
2005-03-03,16.339,16.413,16.289,16.385,10054,0
2005-03-04,16.413,16.435,16.309,16.317,4664,0
2005-03-07,16.193,16.391,16.112,16.112,7551,0
2005-03-08,16.105,16.105,15.853,15.876,15167,0
2005-03-09,15.876,15.971,15.74,15.74,5601,0
2005-03-10,15.787,15.787,15.373,15.468,7901,0
2005-03-11,15.468,15.748,15.468,15.667,27375,0
2005-03-14,15.72,15.861,15.631,15.699,23874,0
2005-03-15,15.91,16.105,15.699,15.897,12952,0
2005-03-16,15.675,16.044,15.611,15.925,11333,0
2005-03-17,16.119,16.119,15.611,15.963,6160,0
2005-03-18,16.051,16.051,15.564,15.918,40950,0
2005-03-21,16.088,16.088,15.74,15.853,5513,0
2005-03-22,15.861,16.377,15.853,16.119,10165,0
2005-03-23,15.957,16.317,15.845,16.25,5045,0
2005-03-24,16.398,16.576,16.304,16.413,6878,0
2005-03-28,16.163,16.524,16.051,16.524,9382,0
2005-03-29,16.733,16.79,15.943,15.999,11781,0
2005-03-30,15.999,16.413,15.999,16.413,7318,0
2005-03-31,16.25,16.391,15.925,16.377,10853,0
2005-04-01,16.274,16.398,15.795,16.007,8561,0
2005-04-04,15.95,16.214,15.95,16.134,9161,0
2005-04-05,16.237,16.604,16.148,16.541,15046,0
2005-04-06,16.693,16.733,16.347,16.391,9345,0
2005-04-07,16.871,16.99,16.678,16.967,7785,0
2005-04-08,16.767,16.886,16.509,16.671,18406,0
2005-04-11,16.347,16.347,15.943,16.119,9856,0
2005-04-12,16.044,16.398,15.861,16.007,11128,0
2005-04-13,16.237,16.693,15.876,15.903,7425,0
2005-04-14,16.377,16.407,15.868,16.148,21492,0
2005-04-15,16.333,16.339,15.808,15.822,37083,0
2005-04-18,15.828,16.148,15.828,15.943,9906,0
2005-04-19,16.096,16.347,15.903,16.347,45499,0
2005-04-20,16.347,16.524,15.845,15.845,48847,0
2005-04-21,16.178,16.428,15.787,16.317,15105,0
2005-04-22,16.413,16.547,15.351,15.423,24415,0
2005-04-25,15.883,16.443,15.631,16.237,20638,0
2005-04-26,16.067,16.229,15.999,16.169,10064,0
2005-04-27,16.134,16.443,15.963,15.963,13766,0
2005-04-28,15.845,16.112,15.845,16.031,8351,0
2005-04-29,16.023,16.023,15.483,15.748,15968,0
2005-05-02,15.781,16.163,15.72,16.119,24527,0
2005-05-03,16.25,16.451,15.883,16.229,23895,0
2005-05-04,16.333,16.59,16.333,16.57,6626,0
2005-05-05,16.612,16.659,16.473,16.57,3248,0
2005-05-06,16.733,16.733,16.443,16.604,5674,0
2005-05-09,16.709,16.709,16.652,16.687,2738,0
2005-05-10,16.481,16.629,16.451,16.629,12009,0
2005-05-11,16.636,16.693,16.289,16.584,14097,0
2005-05-12,16.687,16.693,16.363,16.363,3661,0
2005-05-13,16.347,16.563,16.169,16.207,5722,0
2005-05-16,16.333,16.612,16.119,16.46,6017,0
2005-05-17,16.282,16.733,16.207,16.57,8530,0
2005-05-18,16.733,16.917,16.604,16.629,49657,0
2005-05-19,16.481,16.515,16.398,16.398,75791,0
2005-05-20,16.105,16.407,16.096,16.363,7088,0
2005-05-23,16.169,16.413,16.134,16.407,9335,0
2005-05-24,16.413,16.413,16.258,16.296,13233,0
2005-05-25,16.221,16.296,16.015,16.044,8249,0
2005-05-26,16.112,16.413,16.112,16.413,2979,0
2005-05-27,16.413,16.413,16.371,16.371,1082,0
2005-05-31,16.317,16.413,15.787,16.221,478733,0
2005-06-01,16.193,16.347,16.088,16.304,8446,0
2005-06-02,16.038,16.178,16.038,16.074,23017,0
2005-06-03,16.023,16.229,15.978,16.229,10804,0
2005-06-06,16.229,16.245,16.031,16.148,1082,0
2005-06-07,16.096,16.112,15.845,15.876,11338,0
2005-06-08,15.828,15.934,15.814,15.91,19045,0
2005-06-09,16.031,16.258,15.861,16.258,7080,0
2005-06-10,16.296,16.317,16.178,16.317,1282,0
2005-06-13,16.134,16.163,15.624,15.652,14082,0
2005-06-14,15.645,15.971,15.645,15.971,8948,0
2005-06-15,16.059,16.134,15.72,16.088,40315,0
2005-06-16,16.163,16.371,16.038,16.201,35358,0
2005-06-17,16.317,16.317,15.151,15.529,1988076,0
2005-06-20,15.564,15.74,15.521,15.645,33796,0
2005-06-21,15.74,15.868,15.706,15.787,12321,0
2005-06-22,15.828,15.828,15.667,15.781,38990,0
2005-06-23,15.74,15.801,15.468,15.468,21736,0
2005-06-24,15.491,15.631,15.395,15.513,210624,0
2005-06-27,15.55,15.64,15.351,15.557,10878,0
2005-06-28,15.543,15.683,15.423,15.496,13868,0
2005-06-29,15.468,15.468,15.306,15.468,23818,0
2005-06-30,15.468,15.468,15.217,15.217,16433,0
2005-07-01,15.343,15.483,15.343,15.439,93468,0
2005-07-05,15.306,15.733,15.306,15.543,76409,0
2005-07-06,15.594,15.763,15.461,15.483,57935,0
2005-07-07,15.364,15.483,15.364,15.483,43076,0
2005-07-08,15.543,15.564,15.468,15.543,21881,0
2005-07-11,15.72,16.044,15.543,15.713,105793,0
2005-07-12,15.631,15.713,15.55,15.64,54866,0
2005-07-13,15.557,15.611,15.496,15.611,102830,0
2005-07-14,15.617,15.876,15.617,15.837,62853,0
2005-07-15,15.652,16.074,15.652,15.814,12598,0
2005-07-18,15.787,16.112,15.787,16.105,10266,0
2005-07-19,16.207,16.326,15.992,16.326,11513,0
2005-07-20,16.229,17.087,16.214,17.049,13829,0
2005-07-21,17.101,17.101,16.495,16.687,10276,0
2005-07-22,16.716,16.805,16.57,16.761,12301,0
2005-07-25,16.879,17.043,16.428,16.46,6921,0
2005-07-26,16.428,17.043,16.428,16.932,3790,0
2005-07-27,16.829,17.322,16.829,17.322,7221,0
2005-07-28,17.359,17.411,16.871,17.232,16955,0
2005-07-29,17.353,17.484,17.005,17.205,7402,0
2005-08-01,17.138,17.353,16.843,17.02,20027,0
2005-08-02,17.07,17.197,16.665,17.197,12644,0
2005-08-03,17.005,17.005,16.894,16.909,5617,0
2005-08-04,16.909,16.909,16.096,16.178,22139,0
2005-08-05,16.347,16.347,15.781,15.95,9741,0
2005-08-08,16.096,16.096,15.828,15.845,12372,0
2005-08-09,15.971,16.481,15.971,16.347,24277,0
2005-08-10,16.46,16.46,16.229,16.274,3186,0
2005-08-11,16.112,16.201,15.963,16.119,1082,0
2005-08-12,16.023,16.023,15.757,15.978,57753,0
2005-08-15,15.943,16.428,15.814,16.398,10615,0
2005-08-16,16.385,16.473,16.193,16.258,6695,0
