Date,Open,High,Low,Close,Volume,OpenInt
2012-05-03,14.321,14.612,14.225,14.352,20431978,0
2012-05-04,14.352,14.378,14.321,14.352,9642232,0
2012-05-07,14.365,14.378,14.321,14.327,4299031,0
2012-05-08,14.327,14.352,14.321,14.321,10543136,0
2012-05-09,14.321,14.359,13.682,14.158,6633897,0
2012-05-10,13.993,14.158,13.993,14.137,712671,0
2012-05-11,14.137,14.211,13.768,13.895,409777,0
2012-05-14,13.768,13.956,13.66,13.687,563085,0
2012-05-15,13.812,13.924,13.669,13.748,820174,0
2012-05-16,13.727,14.061,13.675,14.041,491400,0
2012-05-17,13.999,13.999,13.669,13.734,448784,0
2012-05-18,13.669,13.931,13.669,13.74,548257,0
2012-05-21,14.321,14.321,13.669,13.7,207027,0
2012-05-22,13.708,13.844,13.174,13.669,513114,0
2012-05-23,13.558,13.63,13.018,13.128,774926,0
2012-05-24,13.421,13.421,13.018,13.273,300970,0
2012-05-25,13.193,14.061,13.193,13.999,470057,0
2012-05-29,14.145,14.145,13.65,13.708,148886,0
2012-05-30,13.552,13.931,13.226,13.805,241663,0
2012-05-31,13.727,13.799,13.482,13.748,563333,0
2012-06-01,13.448,13.931,13.448,13.682,534041,0
2012-06-04,13.779,13.779,13.343,13.644,179569,0
2012-06-05,13.226,13.727,13.226,13.63,355591,0
2012-06-06,13.734,13.917,13.221,13.917,242540,0
2012-06-07,13.993,14.104,13.819,14.061,249609,0
2012-06-08,14.104,14.241,13.903,14.158,2101742,0
2012-06-11,14.189,14.248,13.865,13.942,272102,0
2012-06-12,14.158,14.327,14.08,14.189,598802,0
2012-06-13,14.104,14.253,14.104,14.241,254156,0
2012-06-14,14.288,14.359,14.033,14.182,340364,0
2012-06-15,14.235,14.288,14.118,14.282,149209,0
2012-06-18,14.309,14.309,14.145,14.225,146183,0
2012-06-19,14.225,14.267,14.111,14.182,267608,0
2012-06-20,14.225,14.288,14.137,14.241,606664,0
2012-06-21,14.261,14.339,13.999,14.189,258319,0
2012-06-22,14.302,14.334,14.151,14.225,65196,0
2012-06-25,14.288,14.321,13.999,14.253,68896,0
2012-06-26,14.302,14.321,14.068,14.068,357360,0
2012-06-27,14.189,14.309,14.061,14.145,140654,0
2012-06-28,13.981,14.425,13.884,14.425,1394438,0
2012-06-29,14.515,14.607,14.425,14.6,263387,0
2012-07-02,14.612,14.972,14.583,14.906,729626,0
2012-07-03,14.931,14.978,14.906,14.939,142400,0
2012-07-05,14.88,15.288,14.88,15.023,141227,0
2012-07-06,15.466,15.466,15.004,15.055,96335,0
2012-07-09,14.997,15.198,14.887,15.128,179933,0
2012-07-10,15.211,15.211,15.008,15.008,158665,0
2012-07-11,15.134,15.272,15.035,15.089,176459,0
2012-07-12,15.224,15.284,14.677,14.796,146524,0
2012-07-13,14.813,15.068,14.813,15.023,201060,0
2012-07-16,15.076,15.134,14.978,15.043,134580,0
2012-07-17,15.187,15.193,14.887,15.004,159102,0
