Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,26.029,26.724,26.029,26.531,71874,0
2005-02-28,26.173,26.476,26.093,26.426,71444,0
2005-03-01,26.634,27.605,26.426,27.534,134746,0
2005-03-02,27.605,27.74,27.058,27.158,61898,0
2005-03-03,27.591,27.591,26.565,27.256,33242,0
2005-03-04,27.696,27.796,26.882,27.726,61640,0
2005-03-07,27.844,27.878,27.286,27.286,50698,0
2005-03-08,27.135,27.508,26.585,26.754,99344,0
2005-03-09,26.666,26.975,26.395,26.485,62860,0
2005-03-10,26.279,26.699,26.279,26.324,73217,0
2005-03-11,26.485,26.634,25.807,25.928,45753,0
2005-03-14,26.229,26.426,25.91,26.069,70327,0
2005-03-15,26.11,26.27,25.727,25.727,40489,0
2005-03-16,25.711,26.18,25.623,25.702,70202,0
2005-03-17,25.91,25.983,25.519,25.784,54247,0
2005-03-18,25.51,26.507,25.355,25.355,186376,0
2005-03-21,25.602,25.602,25.273,25.312,39131,0
2005-03-22,25.312,25.623,25.256,25.287,27025,0
2005-03-23,25.279,25.4,24.684,24.979,59052,0
2005-03-24,25.195,25.496,24.995,25.1,37568,0
2005-03-28,25.528,25.735,25.287,25.432,53755,0
2005-03-29,25.273,25.768,25.227,25.346,41770,0
2005-03-30,25.472,26.15,25.417,25.784,52482,0
2005-03-31,25.91,25.919,25.472,25.878,63952,0
2005-04-01,26.069,26.22,25.082,25.108,68633,0
2005-04-04,25.195,25.775,25.073,25.553,51115,0
2005-04-05,25.799,25.807,25.504,25.528,23323,0
2005-04-06,25.663,25.997,25.519,25.689,36957,0
2005-04-07,25.853,26.245,25.329,25.799,21744,0
2005-04-08,25.544,25.792,25.386,25.393,35860,0
2005-04-11,25.129,25.329,25.108,25.17,29607,0
2005-04-12,25.137,25.831,24.782,25.623,47695,0
2005-04-13,25.846,25.846,25.296,25.296,32517,0
2005-04-14,25.296,25.321,24.676,24.684,54248,0
2005-04-15,24.676,24.852,24.241,24.241,46212,0
2005-04-18,24.157,24.224,23.68,24.017,55500,0
2005-04-19,24.127,24.248,23.52,23.824,119100,0
2005-04-20,23.484,23.597,23.084,23.116,108820,0
2005-04-21,23.283,24.08,23.108,24.041,78755,0
2005-04-22,24.461,24.461,22.726,23.06,83061,0
2005-04-25,22.958,23.818,22.958,23.744,70624,0
2005-04-26,23.854,23.862,23.125,23.52,104153,0
2005-04-27,23.259,23.983,23.259,23.721,58064,0
2005-04-28,23.88,23.88,23.259,23.259,43526,0
2005-04-29,23.554,23.871,23.084,23.848,71102,0
2005-05-02,23.88,24.294,23.753,24.27,40858,0
2005-05-03,24.135,24.764,24.047,24.358,26132,0
2005-05-04,24.477,25.195,24.375,24.788,66438,0
2005-05-05,24.542,25.073,24.542,24.676,34193,0
2005-05-06,25.065,25.065,23.937,24.431,41590,0
2005-05-09,24.406,25.113,24.294,25.065,52676,0
2005-05-10,24.94,25.018,24.455,24.7,48277,0
2005-05-11,24.829,25.073,24.033,24.724,19939,0
2005-05-12,24.621,25.219,24.477,24.533,43619,0
2005-05-13,24.367,24.662,24.157,24.157,32219,0
2005-05-16,24.286,24.995,24.286,24.906,29365,0
2005-05-17,24.484,25.091,24.455,25.073,39712,0
2005-05-18,25.273,25.935,25.082,25.519,47004,0
2005-05-19,25.519,25.616,25.073,25.417,56575,0
2005-05-20,25.569,25.654,24.979,25.346,24904,0
2005-05-23,25.113,25.577,25.01,25.236,36133,0
2005-05-24,25.63,25.63,24.844,25.212,35264,0
2005-05-25,25.153,25.153,24.7,24.82,32611,0
2005-05-26,24.956,25.265,24.232,25.17,35732,0
2005-05-27,25.242,25.448,25.1,25.321,20722,0
2005-05-31,25.1,25.593,25.027,25.456,56509,0
2005-06-01,25.17,25.593,24.931,25.487,41458,0
2005-06-02,25.1,25.663,25.073,25.63,44819,0
2005-06-03,25.355,25.577,24.867,25.065,31187,0
2005-06-06,25.273,25.456,24.7,25.153,51428,0
2005-06-07,25.073,25.528,25.073,25.153,45929,0
2005-06-08,25.073,25.496,25.002,25.113,33220,0
2005-06-09,25.073,25.472,24.923,25.329,27787,0
2005-06-10,25.1,25.279,25.1,25.212,6284,0
2005-06-13,25.073,25.287,24.94,25.153,74524,0
2005-06-14,25.256,25.553,25.073,25.472,54781,0
2005-06-15,25.236,25.426,25.091,25.363,107276,0
2005-06-16,25.432,25.544,25.065,25.544,63308,0
2005-06-17,25.623,26.27,25.296,26.22,191078,0
2005-06-20,26.307,26.585,26.012,26.11,60458,0
2005-06-21,26.11,26.458,25.997,26.22,78891,0
2005-06-22,26.426,26.485,26.202,26.404,40741,0
2005-06-23,26.211,26.435,25.823,25.846,49901,0
2005-06-24,25.768,26.237,25.561,25.743,85101,0
2005-06-27,25.702,26.061,25.672,25.99,20835,0
2005-06-28,26.141,26.784,25.593,26.784,66600,0
2005-06-29,26.411,26.809,26.27,26.801,31972,0
2005-06-30,26.866,26.866,26.348,26.357,29092,0
2005-07-01,26.784,26.784,26.077,26.458,28383,0
2005-07-05,26.556,27.041,26.357,26.984,62913,0
2005-07-06,26.984,26.984,26.395,26.827,146518,0
2005-07-07,26.27,26.747,26.27,26.585,57331,0
2005-07-08,26.612,27.502,26.531,27.446,94397,0
2005-07-11,27.525,28.259,26.866,27.94,74340,0
2005-07-12,27.894,28.616,27.661,28.06,78569,0
2005-07-13,27.687,28.116,27.158,27.256,99910,0
2005-07-14,27.455,27.778,25.894,26.754,76841,0
2005-07-15,26.485,27.166,26.101,26.565,32602,0
2005-07-18,26.186,26.54,25.799,25.799,56521,0
2005-07-19,25.885,26.874,25.807,26.801,31108,0
2005-07-20,26.467,27.542,26.279,27.39,21430,0
2005-07-21,27.218,27.265,25.951,26.085,39420,0
2005-07-22,26.077,27.041,26.077,27.032,35136,0
2005-07-25,26.849,27.542,26.194,26.202,33182,0
2005-07-26,26.451,28.251,26.426,27.405,109351,0
2005-07-27,27.382,28.075,26.657,26.849,76241,0
2005-07-28,27.107,27.441,26.507,26.914,45082,0
2005-07-29,26.716,27.583,26.467,26.585,90038,0
2005-08-01,26.649,27.405,26.54,27.041,56970,0
2005-08-02,27.041,27.591,27.041,27.286,50751,0
2005-08-03,27.218,27.534,26.961,27.39,29026,0
2005-08-04,27.107,27.107,26.507,26.675,41104,0
2005-08-05,26.634,26.77,25.553,25.752,69488,0
2005-08-08,25.943,26.27,25.784,26.15,37550,0
2005-08-09,25.974,26.331,25.831,26.202,61486,0
2005-08-10,26.299,26.675,25.784,26.141,74563,0
2005-08-11,26.085,26.603,25.958,26.492,37178,0
2005-08-12,26.324,26.324,25.63,25.966,39008,0
2005-08-15,25.711,26.523,25.593,26.237,48358,0
2005-08-16,26.038,26.261,25.227,25.63,104639,0
2005-08-17,25.465,25.768,25.058,25.456,51777,0
2005-08-18,25.432,25.553,24.956,25.321,112971,0
2005-08-19,25.187,25.638,24.94,24.94,30597,0
2005-08-22,25.187,25.504,25.044,25.465,26561,0
2005-08-23,25.279,25.432,24.915,25.377,46601,0
2005-08-24,25.296,25.869,25.027,25.137,36353,0
2005-08-25,25.377,25.702,25.073,25.487,34051,0
2005-08-26,25.329,25.44,24.964,24.979,40519,0
2005-08-29,24.852,25.329,24.446,25.144,41403,0
2005-08-30,25.195,25.569,24.948,25.465,86516,0
2005-08-31,25.227,26.061,25.082,25.966,59013,0
2005-09-01,25.958,27.015,25.768,26.451,95531,0
2005-09-02,26.426,26.642,26.229,26.348,36703,0
2005-09-06,26.467,26.866,26.451,26.666,51216,0
2005-09-07,26.619,26.947,26.324,26.619,33968,0
2005-09-08,26.42,26.514,26.069,26.299,20934,0
2005-09-09,26.159,26.642,26.159,26.507,19244,0
2005-09-12,26.467,27.432,26.467,27.006,52369,0
2005-09-13,27.023,27.023,26.507,26.666,38462,0
2005-09-14,26.836,26.866,26.523,26.573,44319,0
2005-09-15,27.058,27.058,26.069,26.467,44749,0
2005-09-16,26.724,27.463,26.357,27.446,245922,0
2005-09-19,27.359,27.455,26.054,26.173,61302,0
2005-09-20,26.254,26.523,25.487,25.68,43950,0
2005-09-21,25.553,25.814,25.256,25.504,52052,0
2005-09-22,25.279,25.792,25.236,25.593,26324,0
2005-09-23,25.465,26.012,25.273,26.012,16534,0
2005-09-26,26.331,26.348,25.553,26.038,23561,0
2005-09-27,26.093,26.093,25.321,25.846,21268,0
2005-09-28,25.974,25.974,24.995,25.17,32889,0
2005-09-29,25.018,25.846,24.746,25.846,41400,0
2005-09-30,25.487,25.997,25.363,25.869,47185,0
2005-10-03,26.012,26.202,25.528,26.038,57313,0
2005-10-04,26.211,26.27,25.37,25.409,48318,0
2005-10-05,25.279,25.417,24.286,24.333,81133,0
2005-10-06,24.406,24.581,24.127,24.461,78475,0
2005-10-07,24.733,24.755,24.135,24.606,52465,0
2005-10-10,24.82,24.82,24.198,24.446,48342,0
2005-10-11,24.668,24.668,23.897,23.897,89431,0
2005-10-12,23.889,24.302,23.489,23.943,70273,0
2005-10-13,23.88,24.256,23.626,23.848,56128,0
2005-10-14,24.033,24.422,23.673,24.143,37107,0
2005-10-17,24.232,24.477,23.952,24.358,70801,0
2005-10-18,24.439,24.492,23.862,24.08,32534,0
2005-10-19,23.88,25.393,23.84,25.242,129739,0
2005-10-20,25.17,25.417,24.351,24.915,46514,0
2005-10-21,24.484,25.265,24.484,24.715,21468,0
2005-10-24,24.906,25.426,24.852,25.17,44143,0
2005-10-25,25.073,25.162,24.232,24.708,47517,0
2005-10-26,24.47,25.355,24.127,24.461,44724,0
2005-10-27,24.708,24.708,23.802,23.802,59668,0
2005-10-28,23.937,25.242,23.84,25.035,52845,0
2005-10-31,25.091,25.623,24.956,25.623,80412,0
2005-11-01,25.377,25.807,25.321,25.609,87731,0
2005-11-02,25.689,26.202,25.426,26.15,65186,0
2005-11-03,26.27,26.27,25.878,26.085,41618,0
2005-11-04,26.211,26.211,25.759,26.11,24038,0
2005-11-07,25.831,26.331,25.814,26.324,27250,0
2005-11-08,26.02,26.118,25.768,26.02,24719,0
2005-11-09,26.15,26.285,25.903,26.11,14282,0
2005-11-10,26.261,26.395,25.609,26.389,39894,0
2005-11-11,26.159,27.05,26.069,26.922,42431,0
2005-11-14,26.866,27.065,26.15,26.27,53265,0
2005-11-15,26.27,26.331,25.338,25.638,48873,0
2005-11-16,25.853,25.853,24.574,24.844,71064,0
2005-11-17,25.121,25.121,24.724,25.002,74252,0
2005-11-18,25.377,25.593,24.873,25.4,49316,0
2005-11-21,25.219,25.99,25.153,25.958,23681,0
2005-11-22,25.775,26.291,25.287,26.291,44188,0
2005-11-23,26.077,26.54,25.974,26.404,31620,0
2005-11-25,26.642,26.642,26.186,26.373,19164,0
2005-11-28,26.18,26.603,25.577,25.585,61495,0
2005-11-29,25.862,26.046,25.287,25.536,61374,0
2005-11-30,25.536,25.878,25.17,25.719,83730,0
2005-12-01,25.878,26.666,25.432,26.467,93810,0
2005-12-02,26.22,26.619,25.935,26.565,49323,0
2005-12-05,26.373,26.573,25.99,26.168,71726,0
2005-12-06,26.411,26.649,26.069,26.261,74333,0
2005-12-07,26.069,26.565,25.735,25.974,92240,0
2005-12-08,25.838,26.485,25.694,25.951,55925,0
2005-12-09,26.141,26.485,25.838,26.389,44213,0
2005-12-12,26.492,26.747,26.348,26.675,74872,0
2005-12-13,26.73,26.747,26.324,26.747,29118,0
2005-12-14,26.747,26.947,26.523,26.93,51471,0
2005-12-15,27.006,27.006,25.983,26.168,77184,0
2005-12-16,26.573,26.573,25.743,26.02,261829,0
2005-12-19,26.229,26.229,25.321,25.544,77733,0
2005-12-20,25.528,26.126,25.386,25.694,92986,0
2005-12-21,25.577,25.869,25.544,25.585,44835,0
2005-12-22,25.743,25.903,25.536,25.784,24293,0
2005-12-23,25.585,26.061,25.487,25.743,30627,0
2005-12-27,25.623,25.814,25.073,25.113,96298,0
2005-12-28,25.386,25.752,25.265,25.585,47350,0
2005-12-29,25.472,26.085,24.964,25.663,107614,0
2005-12-30,25.472,25.593,25.219,25.279,77308,0
2006-01-03,25.577,25.869,25.17,25.869,67693,0
2006-01-04,25.807,25.974,25.585,25.974,49094,0
2006-01-05,25.862,25.91,25.689,25.735,14829,0
2006-01-06,25.862,26.061,25.496,25.823,36668,0
2006-01-09,25.862,25.958,25.609,25.943,35073,0
2006-01-10,25.711,26.046,25.711,26.046,35178,0
2006-01-11,25.846,25.878,25.338,25.869,70101,0
2006-01-12,25.68,25.784,25.472,25.593,30350,0
2006-01-13,25.585,25.903,25.569,25.853,46362,0
2006-01-17,25.919,26.134,25.553,25.958,134974,0
2006-01-18,25.792,26.046,25.694,26.046,32013,0
2006-01-19,25.919,26.348,25.759,26.348,28453,0
2006-01-20,26.365,26.365,25.472,25.487,39406,0
2006-01-23,25.672,25.99,25.472,25.869,35712,0
2006-01-24,25.273,25.759,24.915,25.63,85460,0
2006-01-25,25.456,25.853,25.296,25.585,73471,0
2006-01-26,25.672,26.34,25.593,26.34,44524,0
2006-01-27,26.315,26.411,26.15,26.279,61402,0
2006-01-30,26.229,26.229,25.178,25.212,68887,0
2006-01-31,25.091,25.544,24.806,25.035,115501,0
2006-02-01,24.836,25.448,24.836,25.312,70734,0
2006-02-02,25.203,25.338,24.755,24.972,57586,0
2006-02-03,24.873,25.711,24.82,25.265,89794,0
2006-02-06,25.153,25.536,24.873,25.121,104022,0
2006-02-07,24.915,25.265,24.882,24.906,70713,0
2006-02-08,25.113,25.432,24.859,25.329,64356,0
2006-02-09,25.227,25.768,25.212,25.321,51668,0
2006-02-10,25.329,25.743,25.065,25.672,33590,0
2006-02-13,25.472,25.623,25.178,25.37,61359,0
2006-02-14,25.504,25.928,25.187,25.878,47089,0
2006-02-15,25.702,25.997,25.504,25.997,40318,0
2006-02-16,25.885,26.168,25.073,25.943,38123,0
2006-02-17,26.141,26.141,25.553,25.702,47152,0
2006-02-21,25.553,25.711,25.178,25.519,39299,0
2006-02-22,25.646,25.869,25.386,25.814,69579,0
2006-02-23,25.638,25.966,25.504,25.623,44666,0
2006-02-24,25.609,25.869,25.409,25.838,55041,0
2006-02-27,25.719,26.168,25.702,26.159,47794,0
2006-02-28,25.951,26.11,25.561,25.623,48770,0
2006-03-01,25.63,25.727,25.346,25.711,38437,0
2006-03-02,25.456,25.672,25.17,25.616,51830,0
2006-03-03,25.304,25.553,25.153,25.187,28965,0
2006-03-06,25.178,25.219,24.915,25.121,54074,0
2006-03-07,24.956,25.195,24.104,24.566,84351,0
2006-03-08,24.499,24.684,24.358,24.446,85046,0
2006-03-09,24.294,24.733,24.294,24.324,51870,0
2006-03-10,24.333,24.708,24.175,24.7,57722,0
2006-03-13,24.613,25.108,24.613,24.797,86357,0
2006-03-14,24.806,25.219,24.524,25.162,112810,0
2006-03-15,25.219,25.4,25.051,25.296,70665,0
2006-03-16,25.472,25.472,25.195,25.304,84726,0
2006-03-17,25.44,25.472,25.17,25.393,249610,0
2006-03-20,25.472,25.472,24.986,25.393,48692,0
2006-03-21,25.279,25.448,24.507,24.606,64725,0
2006-03-22,24.59,25.195,24.499,25.065,43732,0
2006-03-23,24.964,25.137,24.859,25.027,56916,0
2006-03-24,25.027,25.432,24.906,25.409,47644,0
2006-03-27,25.236,25.465,25.137,25.37,49838,0
2006-03-28,25.249,25.426,25.1,25.242,50653,0
2006-03-29,25.227,25.869,25.1,25.869,53785,0
2006-03-30,25.719,25.799,25.44,25.702,17492,0
2006-03-31,25.831,25.831,25.37,25.719,55459,0
2006-04-03,25.638,25.775,25.432,25.519,39185,0
2006-04-04,25.417,25.768,25.37,25.585,55464,0
2006-04-05,25.585,25.585,25.256,25.426,60265,0
2006-04-06,25.561,25.569,25.082,25.487,129865,0
2006-04-07,25.561,25.638,24.948,24.995,116344,0
2006-04-10,24.906,25.448,24.873,25.17,122992,0
2006-04-11,25.082,25.265,24.47,24.549,43571,0
2006-04-12,24.399,24.724,24.399,24.598,85502,0
2006-04-13,24.581,24.948,24.492,24.733,23812,0
2006-04-17,24.477,24.724,23.633,23.818,48882,0
2006-04-18,23.728,24.581,23.46,24.581,215115,0
2006-04-19,24.644,24.797,24.08,24.668,212672,0
2006-04-20,24.549,24.549,23.983,24.08,41889,0
2006-04-21,24.422,24.422,23.529,23.673,89744,0
2006-04-24,23.579,24.198,23.283,23.322,96731,0
2006-04-25,23.238,23.283,22.988,23.229,92089,0
2006-04-26,23.108,23.468,23.108,23.356,47774,0
2006-04-27,23.179,23.721,23.068,23.142,62965,0
2006-04-28,22.98,23.419,22.98,23.17,64536,0
2006-05-01,23.163,23.46,23.029,23.163,70494,0
2006-05-02,23.163,23.484,23.084,23.443,87018,0
2006-05-03,23.562,23.802,23.41,23.68,97705,0
2006-05-04,23.554,23.99,23.554,23.848,53742,0
2006-05-05,23.831,24.324,23.831,24.157,56922,0
2006-05-08,24.157,24.278,23.579,23.906,38688,0
2006-05-09,23.761,23.96,23.505,23.588,43211,0
2006-05-10,23.484,23.633,23.259,23.379,25814,0
2006-05-11,23.259,23.386,22.935,22.958,94612,0
2006-05-12,22.995,23.163,22.918,23.004,144840,0
2006-05-15,22.809,23.33,22.809,23.093,100028,0
2006-05-16,23.179,23.402,23.06,23.212,46236,0
2006-05-17,22.973,23.275,22.817,23.149,124122,0
2006-05-18,23.108,23.339,22.98,23.021,51998,0
2006-05-19,22.927,23.649,22.927,23.52,99720,0
2006-05-22,23.307,23.848,23.052,23.588,77902,0
2006-05-23,23.753,23.862,23.038,23.076,88387,0
2006-05-24,23.06,23.618,22.83,23.529,154701,0
2006-05-25,23.713,23.713,23.243,23.52,71450,0
2006-05-26,23.618,23.705,23.283,23.373,55687,0
2006-05-30,23.283,23.364,22.918,22.951,122244,0
2006-05-31,22.884,23.292,22.83,23.251,110470,0
2006-06-01,23.373,23.818,23.06,23.728,82781,0
2006-06-02,23.854,23.854,23.125,23.562,66621,0
2006-06-05,23.443,23.484,22.83,22.91,151796,0
2006-06-06,23.012,23.179,22.838,23.149,136976,0
2006-06-07,23.229,23.81,23.068,23.633,116550,0
2006-06-08,23.443,24.241,23.33,23.943,114081,0
2006-06-09,23.975,24.175,23.81,23.824,77805,0
2006-06-12,23.761,23.88,23.435,23.497,53805,0
2006-06-13,23.497,23.88,23.283,23.419,60684,0
2006-06-14,23.379,23.554,23.093,23.46,102789,0
2006-06-15,23.656,24.232,23.611,24.157,59190,0
2006-06-16,24.096,24.111,23.744,23.889,422783,0
2006-06-19,23.999,23.999,23.021,23.149,88696,0
2006-06-20,23.068,23.427,22.927,22.927,93680,0
2006-06-21,22.884,23.402,22.824,23.292,123489,0
2006-06-22,23.149,23.179,22.893,23.093,51198,0
2006-06-23,22.966,23.084,22.732,22.884,74677,0
2006-06-26,22.98,23.315,22.849,23.243,65463,0
2006-06-27,23.299,23.364,22.966,23.068,104852,0
2006-06-28,23.125,23.229,22.995,23.203,82246,0
2006-06-29,23.373,24.406,23.283,24.406,105158,0
2006-06-30,24.342,24.455,23.975,24.358,175410,0
2006-07-03,24.256,24.342,24.087,24.342,39314,0
2006-07-05,24.08,24.263,23.665,23.81,104716,0
2006-07-06,23.848,24.135,23.618,23.88,42958,0
2006-07-07,23.753,23.77,23.468,23.52,68480,0
2006-07-10,23.529,23.656,23.393,23.545,65410,0
2006-07-11,23.419,23.84,23.259,23.84,86412,0
2006-07-12,23.778,23.786,23.203,23.299,78682,0
2006-07-13,23.116,23.356,22.866,23.076,82082,0
2006-07-14,23.076,23.156,22.849,22.866,65884,0
2006-07-17,23.451,23.451,22.809,23.044,39835,0
2006-07-18,23.084,23.512,22.943,23.512,103681,0
2006-07-19,23.689,24.278,23.497,24.175,113277,0
2006-07-20,24.278,24.278,23.33,23.489,82331,0
2006-07-21,23.348,23.393,22.902,23.116,61471,0
2006-07-24,23.125,23.84,23.125,23.57,113922,0
2006-07-25,23.597,24.278,23.33,23.967,189526,0
2006-07-26,23.81,24.181,23.41,23.889,54084,0
2006-07-27,23.88,24.157,23.512,23.641,38296,0
2006-07-28,23.77,24.59,23.656,24.542,58559,0
2006-07-31,24.143,24.422,23.862,24.367,94578,0
2006-08-01,24.157,24.27,23.618,23.871,61135,0
2006-08-02,24.071,24.071,23.633,23.802,124412,0
2006-08-03,23.588,23.831,23.529,23.761,201474,0
2006-08-04,23.88,24.127,23.427,23.802,150040,0
2006-08-07,23.626,23.698,23.46,23.68,39558,0
2006-08-08,23.736,23.862,23.052,23.093,126503,0
2006-08-09,23.322,23.77,23.076,23.195,79933,0
2006-08-10,23.052,23.641,23.052,23.402,34634,0
2006-08-11,23.315,23.33,22.988,23.203,33295,0
2006-08-14,23.386,23.721,22.973,23.364,91558,0
2006-08-15,23.656,23.871,23.484,23.744,72095,0
2006-08-16,23.802,23.952,23.626,23.795,128611,0
2006-08-17,23.68,23.952,23.665,23.802,113119,0
2006-08-18,23.914,23.914,23.597,23.862,85954,0
2006-08-21,23.736,23.802,22.951,23.665,177775,0
2006-08-22,23.603,23.802,23.512,23.68,33364,0
2006-08-23,23.761,23.802,23.149,23.212,28960,0
2006-08-24,23.33,23.451,23.179,23.379,97357,0
2006-08-25,23.275,23.641,23.275,23.419,41556,0
2006-08-28,23.489,23.713,23.322,23.562,55866,0
2006-08-29,23.57,23.618,23.243,23.497,84343,0
2006-08-30,23.641,23.713,23.299,23.484,99052,0
2006-08-31,23.603,23.736,23.46,23.497,62455,0
2006-09-01,23.588,23.698,23.315,23.673,44795,0
2006-09-05,23.761,23.96,23.673,23.871,150612,0
2006-09-06,23.698,23.786,23.489,23.562,69040,0
2006-09-07,23.489,23.597,23.339,23.339,47674,0
2006-09-08,23.393,23.41,23.212,23.386,38165,0
2006-09-11,23.221,23.52,23.221,23.373,26759,0
2006-09-12,23.451,23.778,23.402,23.68,96148,0
2006-09-13,23.626,23.81,23.597,23.761,74686,0
2006-09-14,23.753,23.753,23.476,23.641,91771,0
2006-09-15,23.802,23.81,23.626,23.736,189421,0
2006-09-18,23.611,23.88,23.348,23.761,101476,0
2006-09-19,23.795,23.795,23.142,23.554,78861,0
2006-09-20,23.786,23.854,23.579,23.744,62663,0
2006-09-21,23.871,23.871,23.364,23.603,43050,0
2006-09-22,23.489,23.68,23.299,23.41,84276,0
2006-09-25,23.402,23.999,23.364,23.818,112058,0
2006-09-26,23.862,23.99,23.728,23.943,40339,0
2006-09-27,23.802,24.175,23.802,24.071,75754,0
2006-09-28,24.071,24.324,23.952,24.256,115997,0
2006-09-29,24.294,24.294,23.626,23.626,84037,0
2006-10-02,23.545,23.618,23.125,23.179,64016,0
2006-10-03,23.125,23.489,23.1,23.307,52149,0
2006-10-04,23.243,23.831,23.243,23.721,62866,0
2006-10-05,23.802,24.063,23.68,24.047,100550,0
2006-10-06,23.914,23.99,23.736,23.914,61431,0
2006-10-09,23.824,24.071,23.673,23.952,105550,0
2006-10-10,24.041,24.041,23.68,23.897,35440,0
2006-10-11,23.77,23.937,23.402,23.597,80448,0
2006-10-12,23.721,23.871,23.468,23.761,82238,0
2006-10-13,23.713,23.999,23.713,23.88,86719,0
2006-10-16,23.824,24.232,23.824,24.119,61018,0
2006-10-17,23.906,24.104,23.77,24.047,49496,0
2006-10-18,24.111,24.315,23.929,24.08,112049,0
2006-10-19,24.143,24.351,23.929,24.216,89141,0
2006-10-20,24.358,24.358,23.96,24.063,94395,0
2006-10-23,23.673,23.967,23.468,23.673,90285,0
2006-10-24,23.698,23.698,23.315,23.588,112110,0
2006-10-25,23.656,23.705,23.435,23.705,131148,0
2006-10-26,23.77,23.906,23.512,23.862,107075,0
2006-10-27,23.736,23.906,23.537,23.603,63677,0
2006-10-30,23.307,23.848,23.307,23.848,44526,0
2006-10-31,23.57,23.88,23.497,23.81,73005,0
2006-11-01,23.862,23.862,23.243,23.283,172839,0
2006-11-02,23.108,23.505,23.108,23.203,76863,0
2006-11-03,23.33,24.127,23.156,24.127,239521,0
2006-11-06,24.157,24.676,24.157,24.507,224484,0
2006-11-07,24.739,25.027,24.477,24.515,125529,0
2006-11-08,24.286,24.812,24.175,24.733,81620,0
2006-11-09,24.715,24.836,24.606,24.733,128896,0
2006-11-10,24.684,24.806,24.59,24.788,49794,0
2006-11-13,24.668,24.979,24.668,24.773,79257,0
2006-11-14,24.644,25.448,24.636,25.448,123468,0
2006-11-15,25.472,25.958,25.37,25.958,123027,0
2006-11-16,25.775,26.291,25.775,26.279,111276,0
2006-11-17,26.279,26.507,26.159,26.467,234529,0
2006-11-20,26.54,26.54,25.719,26.307,91604,0
2006-11-21,26.348,26.365,25.903,25.935,127337,0
2006-11-22,26.101,26.101,25.838,25.885,53477,0
2006-11-24,26.038,26.168,25.894,26.118,24436,0
