Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,7.31,7.8837,7.2822,7.3748,145311,0
2005-02-28,7.4766,7.6524,7.0139,7.0973,164250,0
2005-03-01,7.273,7.3471,7.0786,7.1343,80846,0
2005-03-02,7.0973,7.1712,6.977,6.9861,41812,0
2005-03-03,6.9491,7.3378,6.9491,7.2822,38100,0
2005-03-04,7.3562,7.3655,7.125,7.125,34750,0
2005-03-07,6.977,7.0509,6.9678,6.977,28608,0
2005-03-08,7.0695,7.0878,6.9306,7.0139,45250,0
2005-03-09,6.9306,6.9861,6.8752,6.8844,44955,0
2005-03-10,6.8473,6.9584,6.8473,6.8473,15828,0
2005-03-11,6.8011,6.977,6.7085,6.7085,35421,0
2005-03-14,6.7085,6.9399,6.6901,6.9306,24061,0
2005-03-15,7.0139,7.0417,6.8011,7.0417,38665,0
2005-03-16,7.0417,7.0417,6.8289,6.903,40222,0
2005-03-17,6.8289,7.0695,6.8104,7.0139,18096,0
2005-03-18,7.1157,7.1157,6.7085,6.9491,58393,0
2005-03-21,7.0417,7.1065,6.8565,6.8565,26219,0
2005-03-22,6.8289,6.9306,6.7826,6.7826,2494,0
2005-03-23,6.7641,6.7641,6.5975,6.6069,9576,0
2005-03-24,6.5698,6.7085,6.1626,6.2182,53988,0
2005-03-28,6.2182,6.2182,6.0424,6.1164,61280,0
2005-03-29,6.0331,6.1071,5.9312,5.9776,23516,0
2005-03-30,5.8943,6.0794,5.1078,5.5983,152750,0
2005-03-31,5.5427,5.552,5.3208,5.4316,164404,0
2005-04-01,5.4595,5.8943,5.4502,5.8481,50968,0
2005-04-04,5.8295,6.0331,5.7925,5.8851,54972,0
2005-04-05,5.922,6.0146,5.8757,5.9129,46229,0
2005-04-06,6.0053,6.0146,5.9129,5.9499,8725,0
2005-04-07,5.8204,5.8204,5.5148,5.5335,51028,0
2005-04-08,5.4686,5.7925,5.1634,5.663,69426,0
2005-04-11,5.5796,5.5796,5.3113,5.3113,36329,0
2005-04-12,5.1447,5.8204,4.9597,5.5611,65418,0
2005-04-13,5.5057,5.663,5.4316,5.4502,25655,0
2005-04-14,5.4964,5.4964,5.2559,5.2559,24980,0
2005-04-15,5.339,5.339,5.0893,5.0986,19854,0
2005-04-18,5.0986,5.2188,5.0893,5.2188,29589,0
2005-04-19,5.3021,5.339,5.1817,5.2651,33523,0
2005-04-20,5.3021,5.7833,5.0893,5.2651,138608,0
2005-04-21,5.3854,6.0607,5.3854,6.0053,83236,0
2005-04-22,5.9405,5.9405,5.5704,5.5796,42019,0
2005-04-25,5.5704,5.5704,5.339,5.3577,26383,0
2005-04-26,5.3577,5.4316,5.1078,5.1356,63327,0
2005-04-27,5.0893,5.552,5.0893,5.5427,33286,0
2005-04-28,5.5704,5.5704,5.3669,5.3669,30678,0
2005-04-29,5.3761,5.4872,5.3208,5.339,40187,0
2005-05-02,5.3854,5.6444,5.339,5.5704,50468,0
2005-05-03,5.589,5.6074,5.3113,5.3761,25308,0
