Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,15.529,15.573,15.358,15.539,396632,0
2005-02-28,15.573,15.6,15.376,15.394,443524,0
2005-03-01,15.404,15.583,15.331,15.376,873175,0
2005-03-02,15.313,15.457,15.279,15.279,380122,0
2005-03-03,15.376,15.376,15.069,15.115,580411,0
2005-03-04,15.232,15.232,14.738,14.81,1088636,0
2005-03-07,14.81,14.925,14.709,14.898,801991,0
2005-03-08,14.964,15.188,14.81,15.171,705230,0
2005-03-09,15.124,15.198,14.916,14.925,338426,0
2005-03-10,14.845,14.954,14.577,14.586,493589,0
2005-03-11,14.557,14.845,14.512,14.774,882872,0
2005-03-14,14.853,15.198,14.783,14.916,802910,0
2005-03-15,14.973,15,14.369,14.529,864223,0
2005-03-16,14.405,14.62,14.395,14.512,910666,0
2005-03-17,14.539,14.664,14.448,14.628,360805,0
2005-03-18,14.765,14.765,14.296,14.395,572926,0
2005-03-21,14.359,14.439,14.314,14.405,374283,0
2005-03-22,14.405,14.557,14.342,14.378,354526,0
2005-03-23,14.322,14.484,14.296,14.387,341015,0
2005-03-24,14.405,14.853,14.405,14.439,275605,0
2005-03-28,14.457,14.577,14.439,14.557,259082,0
2005-03-29,14.448,14.738,14.43,14.457,400856,0
2005-03-30,14.52,14.862,14.52,14.836,454022,0
2005-03-31,14.818,14.898,14.602,14.664,604539,0
2005-04-01,14.673,14.792,14.448,14.448,651437,0
2005-04-04,14.448,14.738,14.405,14.691,487060,0
2005-04-05,14.783,14.783,14.512,14.586,453173,0
2005-04-06,14.638,14.765,14.567,14.673,451840,0
2005-04-07,14.62,14.836,14.547,14.81,569376,0
2005-04-08,14.792,14.944,14.792,14.818,351820,0
2005-04-11,14.792,14.925,14.774,14.818,273482,0
2005-04-12,14.774,15,14.646,14.916,477258,0
2005-04-13,14.87,15,14.673,14.898,440747,0
2005-04-14,14.944,15.198,14.699,14.756,427765,0
2005-04-15,14.792,14.845,14.296,14.457,689694,0
2005-04-18,14.405,14.484,14.25,14.369,415454,0
2005-04-19,14.405,14.475,14.196,14.422,621956,0
2005-04-20,14.314,14.43,14.171,14.287,644221,0
2005-04-21,14.359,14.935,14.306,14.774,408988,0
2005-04-22,14.699,14.792,14.223,14.395,900454,0
2005-04-25,14.448,14.681,14.322,14.681,264854,0
2005-04-26,14.512,14.681,14.278,14.296,599224,0
2005-04-27,14.853,16.07,14.765,15.665,1303577,0
2005-04-28,15.557,15.763,15.241,15.349,994422,0
2005-04-29,15.259,15.683,15.249,15.476,827869,0
2005-05-02,15.448,15.702,15.439,15.702,580756,0
2005-05-03,15.617,16.024,15.565,15.873,484040,0
2005-05-04,15.834,16.024,15.711,15.952,447742,0
2005-05-05,15.944,16.294,15.843,16.195,792620,0
2005-05-06,16.124,16.249,16.06,16.169,438553,0
2005-05-09,16.133,16.294,15.891,16.284,479575,0
2005-05-10,16.169,16.313,16.042,16.042,432082,0
2005-05-11,16.024,16.176,15.737,16.042,436458,0
2005-05-12,16.024,16.115,15.744,15.917,467741,0
2005-05-13,15.843,16.015,15.674,15.763,432039,0
2005-05-16,15.863,16.204,15.754,16.078,650561,0
2005-05-17,15.987,16.519,15.987,16.473,752470,0
2005-05-18,16.422,17.06,16.341,17.044,2546892,0
2005-05-19,16.951,17.016,16.583,16.941,705810,0
2005-05-20,16.998,16.998,16.655,16.951,233503,0
2005-05-23,16.818,17.138,16.809,16.959,562197,0
2005-05-24,16.978,17.105,16.809,16.978,335211,0
2005-05-25,16.932,16.941,16.436,16.483,470215,0
2005-05-26,16.436,17.242,16.429,17.113,950343,0
2005-05-27,17.185,17.267,16.924,17.223,493052,0
2005-05-31,16.628,17.322,16.628,17.122,741282,0
2005-06-01,17.087,17.411,17.06,17.355,454526,0
2005-06-02,17.401,17.619,17.276,17.554,450457,0
2005-06-03,17.493,17.518,17.285,17.312,306043,0
2005-06-06,17.303,17.509,17.276,17.466,423974,0
2005-06-07,17.509,17.581,17.383,17.484,329323,0
2005-06-08,17.44,17.509,17.242,17.345,408657,0
2005-06-09,17.373,17.781,17.303,17.671,334481,0
2005-06-10,17.716,17.716,17.176,17.176,544385,0
2005-06-13,17.13,17.166,16.951,17.087,411541,0
2005-06-14,17.078,17.122,16.906,17.06,458853,0
2005-06-15,17.13,17.204,16.698,16.924,480971,0
