Date,Open,High,Low,Close,Volume,OpenInt
2017-08-03,0.71,0.79,0.71,0.71,112200,0
2017-08-04,0.71,0.71,0.65,0.68,63000,0
2017-08-07,0.632,0.65,0.5,0.65,18916,0
2017-08-08,0.65,0.65,0.64,0.64,17900,0
2017-08-09,0.65,0.75,0.65,0.71,36700,0
2017-08-10,0.65,0.65,0.65,0.65,400,0
2017-08-11,0.65,0.65,0.64,0.65,400,0
2017-08-14,0.55,0.65,0.53,0.65,8600,0
2017-08-15,0.6,0.6,0.592,0.6,5100,0
2017-08-16,0.6,0.6,0.6,0.6,100,0
2017-08-17,0.6,0.6,0.6,0.6,2100,0
2017-08-18,0.59,0.6,0.59,0.6,5000,0
2017-08-21,0.6,0.6,0.59,0.59,800,0
2017-08-22,0.59,0.59,0.58,0.58,6500,0
2017-08-23,0.54,0.54,0.54,0.54,600,0
2017-08-24,0.55,0.59,0.4122,0.59,16001,0
2017-08-25,0.55,0.59,0.498,0.59,21300,0
2017-08-28,0.59,0.6,0.51,0.51,35097,0
2017-08-29,0.5,0.5,0.4964,0.5,15000,0
2017-08-30,0.65,0.6501,0.55,0.65,31400,0
2017-08-31,0.62,0.9,0.6,0.9,16600,0
2017-09-01,0.81,0.81,0.78,0.8,2300,0
2017-09-05,0.69,0.6912,0.69,0.691,1600,0
2017-09-06,0.691,0.691,0.68,0.68,200,0
2017-09-07,0.8799,0.8799,0.7,0.82,10900,0
2017-09-08,0.9,0.9,0.64,0.82,4800,0
2017-09-12,0.5708,0.82,0.55,0.8,3700,0
2017-09-13,0.8,0.8,0.72,0.8,1000,0
2017-09-14,0.8,0.8,0.75,0.75,700,0
2017-09-15,0.75,0.75,0.75,0.75,100,0
2017-09-19,0.6,0.64,0.6,0.64,600,0
2017-09-20,0.62,0.62,0.5408,0.5408,1100,0
2017-09-21,0.56,0.56,0.492,0.5,11400,0
2017-09-22,0.43,0.65,0.38,0.65,5100,0
2017-09-25,0.64,0.64,0.64,0.64,100,0
2017-09-26,0.63,0.63,0.2114,0.59,24450,0
2017-09-27,0.55,0.55,0.2113,0.49,10000,0
2017-09-28,0.65,0.65,0.245,0.65,4200,0
2017-09-29,0.6,0.6,0.5,0.5,600,0
2017-10-02,0.5,0.5,0.5,0.5,1350,0
2017-10-04,0.5,0.5,0.5,0.5,1000,0
2017-10-05,0.5,0.5,0.5,0.5,1000,0
2017-10-06,0.5,0.5,0.5,0.5,1000,0
2017-10-09,0.5,0.5,0.49,0.49,3500,0
2017-10-10,0.65,0.65,0.5479,0.55,16131,0
2017-10-11,0.55,0.645,0.55,0.645,4600,0
2017-10-12,0.63,0.63,0.63,0.63,300,0
2017-10-16,0.6,0.69,0.6,0.69,825,0
2017-10-17,0.75,0.75,0.63,0.63,200,0
2017-10-18,0.6,0.6,0.6,0.6,100,0
2017-10-20,0.55,0.55,0.55,0.55,8900,0
2017-10-23,0.55,0.55,0.4976,0.4976,18838,0
2017-10-26,0.5,0.5,0.49,0.49,1300,0
2017-10-27,0.49,0.5,0.47,0.49,15400,0
2017-10-30,0.57,0.5703,0.53,0.55,2400,0
2017-10-31,0.7,0.7,0.6,0.6,2400,0
2017-11-01,0.595,0.595,0.595,0.595,1275,0
2017-11-02,0.595,0.595,0.595,0.595,100,0
2017-11-03,0.5775,0.5948,0.5675,0.57,9100,0
2017-11-06,0.59,0.75,0.59,0.7,37856,0
2017-11-07,0.75,0.86,0.6,0.7,117349,0
2017-11-08,0.78,1.05,0.78,0.9955,120702,0
2017-11-09,1,1.25,0.8999,0.9,49872,0
2017-11-10,0.8,0.91,0.5,0.82,14917,0
2017-11-13,0.6,0.6253,0.55,0.58,35356,0
2017-11-14,0.58,0.58,0.52,0.52,32149,0
2017-11-15,0.5,0.5,0.5,0.5,100,0
2017-11-17,0.55,0.6017,0.5,0.584,5945,0
2017-11-20,0.74,0.75,0.6457,0.74,7954,0
2017-11-21,0.85,0.9,0.85,0.9,4800,0
2017-11-22,0.47,0.767,0.47,0.767,10820,0
2017-11-24,0.76,0.76,0.76,0.76,110,0
2017-11-27,0.8,0.85,0.76,0.84,4000,0
2017-11-28,0.85,0.85,0.8,0.84,13887,0
2017-11-29,0.874,1,0.8303,0.9,23999,0
2017-11-30,0.93,0.95,0.85,0.93,22300,0
2017-12-01,0.88,0.98,0.88,0.9,26400,0
2017-12-04,0.9,0.9,0.8,0.8,4540,0
2017-12-05,0.8,1.01,0.75,0.8099,43641,0
2017-12-06,1.02,1.21,0.7,0.8,28914,0
2017-12-07,0.79,0.8,0.75,0.8,1500,0
2017-12-08,0.9,0.9,0.9,0.9,3084,0
2017-12-11,0.89,0.9,0.85,0.85,9900,0
2017-12-12,0.8,0.8,0.7615,0.8,4000,0
2017-12-13,0.7215,0.8,0.72,0.8,3500,0
2017-12-14,0.73,0.8329,0.61,0.7,1000,0
2017-12-15,0.73,0.73,0.73,0.73,500,0
2017-12-18,0.79,0.79,0.75,0.75,11000,0
2017-12-19,0.55,0.798,0.55,0.798,19972,0
2017-12-20,0.66,0.7,0.65,0.7,3190,0
2017-12-22,0.73,0.755,0.73,0.755,5300,0
2017-12-26,0.74,0.74,0.7387,0.7387,400,0
2017-12-28,0.65,0.65,0.57795,0.6,11301,0
2018-01-03,0.65,0.8,0.65,0.8,3500,0
2018-01-05,0.51,0.75,0.51,0.75,20000,0
2018-01-09,0.74,0.75,0.74,0.75,2033,0
2018-01-10,0.75,0.75,0.75,0.75,100,0
2018-01-16,1.2,1.2,0.7,0.7101,3717,0
2018-01-17,0.75,0.75,0.71,0.71,1145,0
2018-01-18,0.85,0.95,0.7,0.9,24845,0
2018-01-19,0.9,0.9,0.9,0.9,1000,0
2018-01-22,1.09,1.0901,1.09,1.0901,1668,0
2018-01-23,0.99,0.9999,0.8,0.97,2310,0
2018-01-24,0.85,0.85,0.85,0.85,1018,0
2018-01-25,0.85,1.38,0.8499,1.38,4865,0
2018-01-26,0.986,1.07,0.85,1.065,6692,0
2018-01-30,0.9997,0.9997,0.9004,0.95,1503,0
2018-01-31,0.96,1.2,0.96,1.2,1300,0
2018-02-01,1.1,1.2,1.1,1.2,1855,0
2018-02-02,0.9,0.9,0.9,0.9,610,0
2018-02-06,0.8,0.89,0.8,0.85,8140,0
2018-02-07,0.82,0.82,0.82,0.82,200,0
2018-02-08,0.8,0.8,0.8,0.8,1390,0
2018-02-09,0.9,0.9,0.9,0.9,100,0
2018-02-14,0.78,0.7889,0.76,0.7889,1960,0
2018-02-20,0.66,1.15,0.51,0.7986,1800,0
2018-02-21,0.75,0.75,0.75,0.75,310,0
2018-02-23,0.76,0.76,0.75,0.75,800,0
2018-02-27,0.78,0.781,0.78,0.78,824,0
2018-03-01,0.8,0.8,0.7999,0.7999,598,0
2018-03-07,0.75,0.8025,0.75,0.8025,900,0
2018-03-08,0.75,0.75,0.75,0.75,300,0
2018-03-09,0.75,0.7533,0.75,0.7533,800,0
2018-03-12,0.71,0.71,0.7,0.7031,1400,0
2018-03-14,0.7,0.7031,0.7,0.7031,1410,0
2018-03-15,0.8,0.8,0.7999,0.8,2100,0
2018-03-16,0.7,0.7035,0.7,0.7031,1000,0
2018-03-19,0.7,0.7,0.7,0.7,400,0
2018-03-22,0.62,0.62,0.61,0.61,2100,0
2018-03-23,0.61,0.61,0.61,0.61,300,0
2018-03-26,0.55,0.55,0.55,0.55,3700,0
2018-03-27,0.9,0.9,0.52,0.6,3350,0
2018-03-28,0.76,1.2,0.5683,0.6,3764,0
2018-03-29,0.67,0.67,0.67,0.67,100,0
