Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,3.2095,3.2802,3.2095,3.2625,529583,0
2005-02-28,3.2358,3.2978,3.2006,3.2802,435203,0
2005-03-01,3.2625,3.4041,3.2625,3.3775,603141,0
2005-03-02,3.3154,3.5189,3.2978,3.4128,378441,0
2005-03-03,3.3952,3.457,3.2802,3.3775,308243,0
2005-03-04,3.3952,3.3952,3.3154,3.3596,175957,0
2005-03-07,3.3244,3.3952,3.2358,3.3596,178898,0
2005-03-08,3.3952,3.3952,3.3067,3.3067,211749,0
2005-03-09,3.2978,3.3332,3.2182,3.2625,162066,0
2005-03-10,3.2358,3.2625,3.2006,3.2536,146253,0
2005-03-11,3.2006,3.3067,3.174,3.2449,208462,0
2005-03-14,3.2273,3.2802,3.1388,3.1829,221761,0
2005-03-15,3.2006,3.2095,3.0414,3.0944,244821,0
2005-03-16,3.0944,3.1475,3.0238,3.0326,199559,0
2005-03-17,2.9884,3.068,2.9797,3.0414,199714,0
2005-03-18,3.0768,3.0768,2.9441,2.9973,238837,0
2005-03-21,2.9706,3.1917,2.9441,3.174,278373,0
2005-03-22,3.1564,3.2095,3.0414,3.0414,257409,0
2005-03-23,3.0238,3.0503,2.9,2.9175,302945,0
2005-03-24,2.9619,3.0944,2.9175,2.9619,169379,0
2005-03-28,2.9441,3.0061,2.8736,2.9797,163567,0
2005-03-29,3.0238,3.068,2.9441,3.0414,107428,0
2005-03-30,3.0238,3.0944,2.9973,3.068,113937,0
2005-03-31,3.0414,3.1036,2.9706,3.0857,201705,0
2005-04-01,3.068,3.1388,2.9441,2.9706,126696,0
2005-04-04,2.9706,3.068,2.9531,3.0238,75943,0
2005-04-05,2.9973,3.0414,2.9441,2.9884,83014,0
2005-04-06,3.0414,3.068,2.9706,3.015,96094,0
2005-04-07,2.9884,3.0414,2.9706,2.9973,52630,0
2005-04-08,2.9797,2.9973,2.9175,2.9266,76310,0
2005-04-11,2.9266,2.9619,2.9088,2.9266,76252,0
2005-04-12,2.9175,3.0414,2.9088,2.9973,109748,0
2005-04-13,3.0238,3.0238,2.9088,2.9088,144604,0
2005-04-14,2.9088,2.9441,2.9,2.9088,94793,0
2005-04-15,2.9088,2.9353,2.8736,2.9,99612,0
2005-04-18,2.9088,2.9441,2.8736,2.9,113607,0
2005-04-19,2.9,2.9973,2.9,2.9706,146623,0
2005-04-20,2.9706,2.9797,2.8823,2.9,95854,0
2005-04-21,2.9,2.9706,2.9,2.9706,82847,0
2005-04-22,2.9441,2.9706,2.9266,2.9706,77234,0
2005-04-25,2.9441,2.9973,2.9441,2.9973,47747,0
2005-04-26,2.9706,3.0326,2.9441,2.9441,99056,0
2005-04-27,2.9441,2.9973,2.9088,2.9441,52424,0
2005-04-28,2.9353,2.9619,2.6702,2.7497,468722,0
2005-04-29,2.7497,2.8294,2.7233,2.7233,360205,0
2005-05-02,2.7233,2.8736,2.6967,2.8646,84931,0
2005-05-03,2.7233,2.9088,2.7142,2.8471,359792,0
2005-05-04,2.838,2.9619,2.8116,2.9088,120210,0
2005-05-05,2.9175,2.9706,2.8116,2.9175,125404,0
2005-05-06,2.8823,2.9353,2.7762,2.8294,122794,0
2005-05-09,2.8471,2.9266,2.7938,2.9266,81385,0
2005-05-10,2.9,2.9531,2.8028,2.8204,81261,0
2005-05-11,2.8028,2.8559,2.7319,2.7762,137973,0
2005-05-12,2.7762,2.8294,2.7762,2.8116,34892,0
2005-05-13,2.785,2.8294,2.7233,2.7673,120350,0
2005-05-16,2.7762,2.8028,2.7142,2.7319,134703,0
2005-05-17,2.7319,2.8116,2.7142,2.8116,51125,0
2005-05-18,2.8116,2.8294,2.7673,2.7938,86925,0
2005-05-19,2.7584,2.8471,2.7584,2.7938,65651,0
2005-05-20,2.7584,2.8028,2.7057,2.7233,169214,0
2005-05-23,2.7233,2.7762,2.7057,2.7584,462320,0
2005-05-24,2.7497,2.8294,2.7497,2.8116,195277,0
2005-05-25,2.8116,2.838,2.8028,2.8116,80405,0
2005-05-26,2.8028,2.838,2.8028,2.8294,58010,0
2005-05-27,2.8294,2.8294,2.8028,2.8204,67791,0
2005-05-31,2.8294,2.8646,2.8028,2.838,413713,0
2005-06-01,2.8646,2.9088,2.8559,2.9088,128148,0
2005-06-02,2.9088,2.9353,2.8823,2.9353,152648,0
2005-06-03,2.9088,2.9441,2.8911,2.9088,70997,0
2005-06-06,2.8911,2.9441,2.8911,2.9266,125527,0
2005-06-07,2.9706,3.0061,2.9531,2.9797,134307,0
2005-06-08,2.9797,3.0238,2.9531,2.9884,111747,0
2005-06-09,3.0061,3.0503,2.9441,3.0414,102917,0
2005-06-10,3.0503,3.068,3.015,3.0503,73218,0
2005-06-13,3.068,3.1121,2.9797,3.0326,124250,0
2005-06-14,3.015,3.0591,2.9973,3.0326,139925,0
2005-06-15,2.9973,3.0414,2.9441,2.9884,172729,0
2005-06-16,2.9884,3.0326,2.9706,3.0061,134971,0
2005-06-17,3.0414,3.0414,2.9441,2.9619,166221,0
2005-06-20,2.9441,2.9706,2.9441,2.9441,87444,0
2005-06-21,2.9619,3.0414,2.9353,3.0061,110529,0
2005-06-22,3.0414,3.0591,2.9706,3.0503,89532,0
2005-06-23,3.0414,3.0414,2.9441,2.9441,151004,0
2005-06-24,2.9266,3.0061,2.9,2.9706,531323,0
2005-06-27,2.9441,3.0238,2.9353,2.9619,111525,0
2005-06-28,2.9531,3.015,2.9441,3.0061,95620,0
2005-06-29,3.0414,3.1036,2.9797,3.0238,148685,0
2005-06-30,3.015,3.068,2.9884,2.9884,121904,0
2005-07-01,2.9797,3.0326,2.9706,3.0238,97450,0
2005-07-05,2.9706,3.0944,2.9706,3.0944,97057,0
