Date,Open,High,Low,Close,Volume,OpenInt
2005-10-07,12.191,12.606,11.302,11.302,1154,0
2005-10-10,10.865,10.865,10.865,10.865,1379,0
2005-10-11,10.651,10.865,10.651,10.865,4484,0
2005-10-12,10.865,10.865,10.865,10.865,1838,0
2005-10-13,10.869,12.809,10.869,12.573,809,0
2005-10-14,11.953,11.953,11.953,11.953,2417,0
2005-10-17,11.736,11.953,11.736,11.953,11977,0
2005-10-18,12.596,12.922,12.436,12.922,1612,0
2005-10-20,11.736,11.736,11.736,11.736,787,0
2005-10-21,11.519,11.626,11.302,11.302,4832,0
2005-10-24,11.019,11.298,11.002,11.011,4211,0
2005-10-25,11.288,11.288,11.288,11.288,809,0
2005-10-26,11.011,11.011,11.011,11.011,2073,0
2005-10-27,10.865,10.865,10.865,10.865,2297,0
2005-10-28,10.865,10.865,10.865,10.865,920,0
2005-10-31,10.865,10.865,10.865,10.865,228,0
2005-11-01,10.861,10.861,10.861,10.861,228,0
2005-11-04,10.606,10.606,10.606,10.606,228,0
2005-11-07,10.541,10.541,10.404,10.404,2297,0
2005-11-08,10.215,10.6,10.215,10.432,5522,0
2005-11-09,10.027,10.865,10.027,10.865,1379,0
2005-11-11,10.709,10.709,10.709,10.709,228,0
2005-11-14,10.432,10.432,10.432,10.432,2100,0
2005-11-17,10.428,10.428,10.322,10.322,462,0
2005-11-22,10.432,10.432,10.432,10.432,2100,0
2005-11-23,10.432,10.432,10.432,10.432,1845,0
2005-12-01,10.432,10.456,10.322,10.322,2417,0
2005-12-05,10.322,10.322,10.322,10.322,228,0
2005-12-06,10.428,10.428,10.367,10.367,5751,0
2005-12-09,10.432,10.432,10.432,10.432,8931,0
2005-12-12,10.476,10.476,10.476,10.476,11503,0
2005-12-13,10.456,10.456,10.456,10.456,693,0
2005-12-14,10.46,10.46,10.46,10.46,228,0
2005-12-15,10.757,10.757,10.432,10.432,1154,0
2005-12-16,10.432,10.432,10.344,10.344,5694,0
2005-12-20,10.388,10.388,10.344,10.344,3000,0
2005-12-22,10.344,10.344,10.344,10.344,228,0
2005-12-28,10.353,10.353,10.353,10.353,1154,0
2005-12-29,10.344,10.344,10.344,10.344,228,0
2005-12-30,10.344,10.432,10.302,10.302,5172,0
2006-01-03,10.215,10.215,10.215,10.215,228,0
2006-01-05,10.344,10.432,10.344,10.432,15877,0
2006-01-06,10.344,10.344,10.344,10.344,2297,0
2006-01-19,10.16,10.322,10.16,10.322,462,0
2006-01-25,10.215,10.215,10.215,10.215,1042,0
2006-01-26,10.16,10.16,10.16,10.16,228,0
2006-01-30,10.11,10.11,10.11,10.11,462,0
2006-01-31,10.215,10.215,10.005,10.009,4145,0
2006-02-02,9.996,9.996,9.996,9.996,462,0
2006-02-07,9.849,9.849,9.796,9.796,706,0
2006-02-08,9.796,9.8,9.796,9.8,920,0
2006-02-09,9.796,9.796,9.796,9.796,11503,0
2006-02-13,9.779,9.779,9.779,9.779,230,0
2006-02-14,9.684,9.684,9.684,9.684,462,0
2006-02-15,9.698,9.698,9.698,9.698,462,0
2006-02-16,9.67,9.67,9.67,9.67,466,0
2006-02-17,9.775,9.775,9.775,9.775,2297,0
2006-02-23,9.688,9.688,9.566,9.649,2991,0
