Date,Open,High,Low,Close,Volume,OpenInt
2011-06-23,7.6035,7.6138,7.4949,7.5622,112886,0
2011-06-24,7.7722,7.7722,7.3944,7.5561,88639,0
2011-06-27,7.4045,7.5923,7.4045,7.5742,26087,0
2011-06-28,7.4045,7.6496,7.3995,7.6194,27085,0
2011-06-29,7.6393,7.6393,7.3944,7.5867,39965,0
2011-06-30,7.522,8.1611,7.522,7.5499,23137,0
2011-07-01,7.6083,7.6496,7.4198,7.6496,30002,0
2011-07-05,7.6496,7.6496,7.5011,7.5213,16666,0
2011-07-06,7.6519,7.6519,7.5205,7.5205,7062,0
2011-07-07,7.7772,7.7772,7.5483,7.6035,15292,0
2011-07-08,7.6233,7.6233,7.5483,7.5867,5193,0
2011-07-11,7.4345,7.8694,7.4345,7.5827,82710,0
2011-07-12,7.4949,7.5483,7.4145,7.464,55341,0
2011-07-13,7.4547,7.6138,7.4198,7.451,80453,0
2011-07-14,7.4407,7.4949,7.2721,7.4445,14981,0
2011-07-15,7.4198,7.4198,7.3185,7.3185,54150,0
2011-07-18,7.2659,7.4105,6.9813,7.1853,40800,0
2011-07-19,7.2915,7.4167,7.1391,7.3376,34709,0
2011-07-20,7.2463,7.3539,7.1391,7.1597,39363,0
2011-07-21,7.1193,7.1391,7.0113,7.1025,18432,0
2011-07-22,7.062,7.3687,6.9406,7.3231,19505,0
2011-07-25,6.9242,7.2659,6.894,7.0936,51992,0
2011-07-26,7.0032,7.3696,7.0032,7.2012,25984,0
2011-07-27,7.2967,7.2967,7.0113,7.0834,17749,0
2011-07-28,7.1808,7.1808,7.0298,7.0708,10405,0
2011-07-29,6.9053,7.0401,6.6271,6.6271,33280,0
2011-08-01,6.8846,7.1494,6.6294,6.9091,48640,0
2011-08-02,6.9091,6.9091,6.774,6.8839,8382,0
2011-08-03,6.8846,6.8846,6.3237,6.7832,46414,0
2011-08-04,6.8301,6.8417,6.3768,6.4756,61438,0
2011-08-05,6.6294,6.7107,5.1094,6.5126,79455,0
2011-08-08,6.374,6.8846,6.1905,6.6334,135838,0
2011-08-09,6.7574,6.8846,5.8743,6.5017,35024,0
2011-08-10,5.8694,6.6039,5.8694,6.3846,33888,0
2011-08-11,6.6244,6.6802,6.3795,6.4305,21702,0
2011-08-12,6.8846,6.8846,6.1448,6.5072,24612,0
2011-08-15,6.5072,6.8321,6.3129,6.6497,36023,0
2011-08-16,6.6294,6.7574,6.6294,6.7574,12679,0
2011-08-17,6.7574,6.7574,6.4764,6.6802,14329,0
2011-08-18,6.4658,6.7053,6.2469,6.2469,13409,0
2011-08-19,6.382,6.382,6.1208,6.2671,34788,0
2011-08-22,6.3237,6.5981,6.1191,6.1191,10256,0
2011-08-23,6.1191,6.7316,5.8743,6.5731,36733,0
2011-08-24,6.6294,6.7316,6.1191,6.578,26336,0
2011-08-25,6.4608,6.5981,6.2263,6.5472,23898,0
2011-08-26,6.382,6.6231,6.1678,6.5487,24250,0
2011-08-29,6.6294,6.8687,6.374,6.6696,33671,0
2011-08-30,6.7469,6.8846,6.5017,6.838,17493,0
2011-08-31,6.96,6.96,6.7399,6.7455,7941,0
2011-09-01,6.6536,6.9622,6.5447,6.9455,17541,0
2011-09-02,6.9218,7.0401,6.5256,6.6863,15593,0
2011-09-06,6.8839,6.8839,6.7053,6.8781,9833,0
2011-09-07,6.8839,7.0708,6.6586,6.9206,67651,0
2011-09-08,6.8301,7.0452,6.6321,7.0246,26707,0
2011-09-09,6.8673,7.0032,6.6321,6.9716,14935,0
2011-09-12,6.8896,6.8896,6.4756,6.5126,20873,0
2011-09-13,6.7476,6.8623,6.5282,6.6996,12255,0
2011-09-14,6.685,6.8102,6.5024,6.5336,21253,0
2011-09-15,6.6011,6.774,6.5126,6.758,10344,0
2011-09-16,6.5391,6.8102,6.4812,6.4812,28344,0
2011-09-19,6.4501,6.7996,6.4445,6.6067,32742,0
2011-09-20,6.7107,6.8102,6.5912,6.7163,39333,0
2011-09-21,6.7218,6.7267,6.3973,6.4338,18313,0
2011-09-22,6.3456,6.4602,5.7448,5.9171,39873,0
2011-09-23,5.9015,6.0999,5.5777,6.0112,25988,0
2011-09-26,6.3714,6.4501,5.9015,6.3973,28755,0
2011-09-27,6.5024,6.7901,6.408,6.7901,120018,0
2011-09-28,6.4756,6.7637,6.2722,6.6231,62645,0
2011-09-29,6.6683,6.6683,6.1365,6.2933,34963,0
2011-09-30,6.2162,6.5786,6.1939,6.5731,697988,0
2011-10-03,6.5956,6.8417,6.1262,6.1262,74518,0
2011-10-04,6.1262,6.7531,6.0112,6.6996,62803,0
2011-10-05,6.648,6.9146,6.5807,6.9146,30008,0
2011-10-06,6.7845,6.8574,6.6426,6.847,63139,0
2011-10-07,6.7107,6.8896,6.6426,6.7371,39610,0
2011-10-10,6.7845,6.8839,6.5391,6.8301,38177,0
2011-10-11,6.9032,6.9032,6.6633,6.8623,48788,0
2011-10-12,6.9032,6.9032,6.6905,6.8673,27308,0
2011-10-13,6.5234,6.9032,6.5024,6.7901,17795,0
2011-10-14,6.6683,6.9032,6.6536,6.7845,15874,0
2011-10-17,6.8206,6.8417,6.3714,6.5077,20975,0
2011-10-18,6.7637,6.9032,6.5181,6.7901,36007,0
2011-10-19,6.6996,6.6996,6.1889,6.22,41032,0
2011-10-20,6.3243,6.5807,6.1781,6.288,13505,0
2011-10-21,6.3456,6.361,6.241,6.241,18271,0
2011-10-24,6.3035,6.4968,6.1889,6.4968,22225,0
2011-10-25,6.531,6.531,6.0052,6.2092,24393,0
2011-10-26,6.2984,6.3559,6.0528,6.241,25656,0
2011-10-27,6.3661,6.8357,6.2252,6.7421,98773,0
2011-10-28,6.5853,6.7637,6.4756,6.7637,33483,0
2011-10-31,6.6439,7.1499,6.5515,6.7886,76620,0
