Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,14.684,14.857,14.684,14.857,3309,0
2005-02-28,14.642,14.642,14.474,14.511,1553,0
2005-03-01,14.474,14.709,14.466,14.709,4058,0
2005-03-02,14.659,14.755,14.659,14.755,1412,0
2005-03-04,15.027,15.027,14.693,14.829,4735,0
2005-03-07,14.857,14.857,14.791,14.791,338,0
2005-03-08,14.719,15.045,14.719,14.885,14456,0
2005-03-10,14.719,14.719,14.539,14.65,1484,0
2005-03-16,14.964,14.964,14.65,14.65,252,0
2005-03-17,14.483,14.596,14.483,14.596,430,0
2005-03-21,14.642,14.642,14.642,14.642,129,0
2005-03-24,14.875,14.875,14.755,14.755,338,0
2005-03-29,14.558,14.65,14.539,14.65,1293,0
2005-03-30,14.684,14.684,14.642,14.642,3465,0
2005-04-01,14.719,14.719,14.642,14.642,1012,0
2005-04-04,14.605,14.605,14.379,14.379,1693,0
2005-04-05,14.456,14.456,14.456,14.456,792,0
2005-04-06,14.642,14.867,14.642,14.867,1014,0
2005-04-07,14.65,14.65,14.65,14.65,792,0
2005-04-08,14.885,15.081,14.8,14.8,2114,0
2005-04-11,15.072,15.072,14.932,14.932,1221,0
2005-04-12,14.857,14.904,14.81,14.857,3945,0
2005-04-13,15.064,15.072,14.857,14.857,2484,0
2005-04-15,14.719,14.719,14.456,14.642,1604,0
2005-04-18,14.642,14.642,14.642,14.642,650,0
2005-04-20,14.642,14.684,14.456,14.684,24350,0
2005-04-21,14.379,14.466,14.379,14.466,1802,0
2005-04-22,14.709,14.709,14.709,14.709,646,0
2005-04-26,14.37,14.65,14.24,14.65,1467,0
2005-04-27,14.549,14.549,14.549,14.549,104,0
2005-04-29,14.549,14.549,14.501,14.501,2815,0
2005-05-02,14.501,14.511,14.288,14.288,3066,0
2005-05-03,14.279,14.633,14.279,14.403,2141,0
2005-05-10,14.511,14.511,14.511,14.511,287,0
2005-05-11,14.52,14.642,14.42,14.642,3377,0
2005-05-12,14.297,14.297,14.279,14.279,903,0
2005-05-13,15.525,15.525,14.279,14.642,2316,0
2005-05-16,14.279,14.279,14.279,14.279,105,0
2005-05-18,14.288,14.288,14.288,14.288,863,0
2005-05-19,14.387,14.387,14.387,14.387,104,0
2005-05-23,14.288,14.474,14.288,14.474,565,0
2005-05-24,14.288,14.288,14.288,14.288,104,0
2005-05-25,14.269,14.269,14.07,14.185,3442,0
2005-05-26,14.112,14.195,14.112,14.195,450,0
2005-05-27,15.081,15.081,14.13,14.13,752,0
2005-05-31,14.221,14.221,14.213,14.213,903,0
2005-06-01,14.203,14.203,14.203,14.203,3516,0
2005-06-02,14.203,14.203,14.203,14.203,203,0
2005-06-03,14.231,14.231,14.231,14.231,565,0
2005-06-06,14.203,14.203,14.203,14.203,2421,0
2005-06-07,13.97,13.97,13.97,13.97,1644,0
2005-06-09,14.105,14.105,14.079,14.087,2596,0
2005-06-10,14.017,14.105,13.923,14.105,9588,0
2005-06-13,14.063,14.195,14.063,14.195,407,0
2005-06-15,14.185,14.185,14.185,14.185,193,0
2005-06-16,14.195,14.195,14.07,14.185,2052,0
2005-06-21,14.148,14.185,14.148,14.185,1468,0
2005-06-22,14.13,14.13,13.58,13.58,4735,0
2005-06-23,13.779,13.779,13.779,13.779,104,0
2005-06-30,13.933,13.933,13.933,13.933,273,0
2005-07-01,14.148,14.185,14.112,14.112,2404,0
2005-07-05,14.185,14.195,14.157,14.157,3195,0
2005-07-06,14.195,14.195,14.195,14.195,2596,0
2005-07-07,14.185,14.185,14.185,14.185,258,0
2005-07-08,13.999,13.999,13.762,13.762,2256,0
2005-07-12,14.177,14.177,14.177,14.177,745,0
2005-07-14,14.185,14.185,13.98,13.98,327,0
2005-07-15,14.139,14.139,14.139,14.139,231,0
2005-07-18,13.98,14.007,13.98,14.007,672,0
2005-07-19,14.185,14.185,13.989,13.989,2815,0
2005-07-20,13.989,13.989,13.97,13.97,1661,0
2005-07-21,14.017,14.195,14.017,14.017,3775,0
2005-07-25,14.105,14.105,14.105,14.105,1129,0
2005-07-26,14.13,14.195,14.079,14.195,7357,0
2005-07-27,14.096,14.195,14.096,14.195,6299,0
2005-07-28,14.105,14.105,14.105,14.105,104,0
2005-07-29,14.195,14.195,14.177,14.195,6719,0
2005-08-01,14.148,14.148,14.148,14.148,450,0
2005-08-02,14.148,14.25,14.148,14.25,1239,0
2005-08-03,14.26,14.26,14.195,14.195,338,0
2005-08-04,14.195,14.24,14.195,14.195,5992,0
2005-08-05,14.203,14.203,14.203,14.203,2141,0
2005-08-09,14.24,14.36,14.203,14.203,2367,0
2005-08-11,14.195,14.195,14.195,14.195,409,0
2005-08-12,14.203,14.203,14.203,14.203,4283,0
2005-08-15,14.105,14.105,14.105,14.105,450,0
2005-08-16,14.105,14.185,14.063,14.063,19163,0
2005-08-19,14.063,14.063,14.063,14.063,207,0
2005-08-22,14.063,14.063,14.063,14.063,338,0
2005-08-23,13.98,13.98,13.98,13.98,648,0
2005-08-24,13.97,13.97,13.97,13.97,231,0
2005-08-26,14.044,14.063,13.97,14.053,2141,0
2005-08-30,14.017,14.017,14.017,14.017,1129,0
2005-08-31,14.053,14.063,14.026,14.063,3901,0
2005-09-01,14.063,14.063,14.035,14.035,1129,0
2005-09-02,14.185,14.185,14.185,14.185,1237,0
2005-09-06,14.063,14.063,14.063,14.063,1804,0
2005-09-07,14.112,14.112,14.112,14.112,338,0
2005-09-08,14.063,14.063,14.035,14.035,957,0
2005-09-09,14.167,14.167,14.167,14.167,2815,0
2005-09-12,14.035,14.035,14.035,14.035,338,0
2005-09-13,14.177,14.177,14.053,14.167,2665,0
2005-09-15,14.053,14.148,14.053,14.148,450,0
2005-09-16,14.053,14.053,14.053,14.053,210,0
2005-09-19,14.157,14.157,14.157,14.157,104,0
2005-09-21,14.053,14.053,14.035,14.035,1280,0
2005-09-22,14.035,14.035,14.035,14.035,2141,0
2005-09-23,13.753,13.798,13.489,13.489,8200,0
2005-09-26,13.744,13.744,13.744,13.744,661,0
2005-09-27,13.97,13.97,13.753,13.942,12340,0
2005-09-28,14.017,14.017,13.97,13.97,4171,0
2005-09-29,13.97,13.97,13.598,13.816,8229,0
2005-09-30,14.007,14.007,13.999,13.999,672,0
2005-10-04,13.923,14.148,13.923,14.148,9724,0
2005-10-12,14.148,14.148,14.044,14.044,436,0
2005-10-13,13.97,13.97,13.961,13.961,531,0
2005-10-14,14.017,14.017,13.999,14.017,2141,0
2005-10-18,14.017,14.063,14.017,14.063,1645,0
2005-10-19,13.923,13.923,13.923,13.923,1770,0
2005-10-20,14.017,14.017,14.017,14.017,593,0
2005-10-21,14.017,14.044,14.017,14.044,1392,0
2005-10-24,14.063,14.139,14.063,14.063,1938,0
2005-10-25,14.139,14.195,14.139,14.195,5772,0
2005-10-26,14.269,14.269,14.269,14.269,1129,0
2005-10-27,14.269,14.456,14.157,14.456,4526,0
2005-10-31,14.403,14.403,14.403,14.403,238,0
2005-11-01,14.053,14.053,13.309,13.753,1803,0
2005-11-02,13.753,13.886,13.753,13.753,903,0
2005-11-03,14.007,14.007,14.007,14.007,104,0
2005-11-08,14.185,14.185,14.185,14.185,231,0
2005-11-09,14.185,14.185,14.017,14.185,4253,0
2005-11-10,14.017,14.105,14.017,14.105,7035,0
2005-11-14,14.017,14.148,14.017,14.148,1353,0
2005-11-15,14.017,14.017,14.017,14.017,231,0
2005-11-17,14.139,14.139,14.139,14.139,7328,0
2005-11-18,14.185,14.185,14.185,14.185,792,0
2005-11-21,14.185,14.185,14.185,14.185,338,0
2005-11-25,14.185,14.52,14.148,14.52,11275,0
2005-11-29,14.456,14.456,14.456,14.456,1391,0
2005-11-30,14.411,14.411,13.762,13.961,4320,0
2005-12-01,14.07,14.185,14.07,14.185,390,0
2005-12-05,14.105,14.185,14.105,14.185,231,0
2005-12-06,14.112,14.13,14.112,14.13,903,0
2005-12-07,14.105,14.185,14.105,14.185,792,0
2005-12-08,14.148,14.148,14.148,14.148,1129,0
2005-12-12,14.148,14.148,14.148,14.148,338,0
2005-12-15,14.157,14.157,14.157,14.157,297,0
2005-12-16,14.157,14.157,14.157,14.157,706,0
2005-12-19,14.177,14.177,14.148,14.148,2523,0
2005-12-20,14.177,14.185,14.177,14.185,5065,0
2005-12-21,14.157,14.157,14.157,14.157,338,0
2005-12-22,14.157,14.185,14.157,14.185,1353,0
2005-12-27,14.177,14.185,14.177,14.185,327,0
2005-12-28,14.177,14.185,14.177,14.185,3463,0
2005-12-29,14.177,14.177,14.07,14.148,6637,0
2005-12-30,14.07,14.087,14.063,14.063,680,0
2006-01-03,14.044,14.044,14.044,14.044,565,0
2006-01-04,14.063,14.195,14.053,14.195,4485,0
2006-01-06,14.185,14.195,14.177,14.195,4194,0
2006-01-09,14.231,14.231,14.231,14.231,450,0
2006-01-10,14.203,14.633,14.203,14.633,12340,0
2006-01-11,14.633,14.633,14.411,14.501,5134,0
2006-01-12,14.633,14.633,14.568,14.568,1239,0
2006-01-13,14.511,14.675,14.511,14.578,3083,0
2006-01-17,14.586,14.675,14.586,14.586,5749,0
2006-01-18,14.675,14.675,14.675,14.675,104,0
2006-01-19,14.675,15.072,14.675,15.072,5581,0
2006-01-20,15.072,15.081,14.37,14.37,7518,0
2006-01-23,15.045,15.045,14.213,14.26,1577,0
2006-01-24,14.456,14.456,14.195,14.195,1477,0
2006-01-25,14.456,14.456,14.456,14.456,104,0
2006-01-26,14.403,14.403,14.195,14.387,1802,0
2006-01-27,14.288,14.288,14.157,14.185,809,0
2006-01-30,14.403,14.403,14.157,14.157,348,0
2006-01-31,14.195,14.195,14.195,14.195,1095,0
2006-02-01,14.394,14.394,14.195,14.195,2268,0
2006-02-02,14.403,14.403,14.177,14.177,967,0
2006-02-06,14.342,14.342,14.185,14.185,1129,0
2006-02-07,14.185,14.342,14.177,14.342,3155,0
2006-02-08,14.342,14.342,14.203,14.25,1012,0
2006-02-09,14.447,14.447,14.177,14.342,5391,0
2006-02-10,14.342,14.342,14.177,14.203,1521,0
2006-02-13,14.456,14.456,14.334,14.334,870,0
2006-02-14,14.447,14.447,14.437,14.437,231,0
2006-02-16,14.195,14.195,14.195,14.195,338,0
2006-02-17,14.195,14.195,14.177,14.177,847,0
2006-02-21,14.177,14.177,14.177,14.177,338,0
2006-02-22,14.269,14.269,14.269,14.269,104,0
2006-02-23,14.195,14.195,14.195,14.195,672,0
2006-02-24,14.017,14.177,13.951,14.177,7881,0
2006-02-28,14.185,14.195,14.185,14.195,670,0
2006-03-02,14.195,14.195,14.195,14.195,104,0
2006-03-06,14.177,14.177,14.177,14.177,1417,0
2006-03-07,14.195,14.24,14.177,14.24,1316,0
2006-03-08,14.269,14.269,14.177,14.195,1915,0
2006-03-09,14.269,14.269,14.269,14.269,174,0
2006-03-13,14.203,14.203,14.195,14.195,2256,0
2006-03-14,14.195,14.24,14.195,14.195,1239,0
2006-03-16,14.25,14.25,14.25,14.25,364,0
2006-03-17,14.112,14.112,13.229,13.923,4512,0
2006-03-20,13.57,14.185,13.499,14.177,5912,0
2006-03-22,13.653,13.653,13.653,13.653,104,0
2006-03-23,14.148,14.185,14.148,14.185,6316,0
2006-03-24,14.185,14.185,14.185,14.185,198,0
2006-03-27,14.185,14.185,14.185,14.185,231,0
2006-03-28,14.185,14.185,13.98,14.063,2728,0
2006-03-29,14.105,14.185,14.105,14.185,5073,0
2006-03-30,14.185,14.185,14.185,14.185,903,0
2006-03-31,14.185,14.185,14.035,14.177,3484,0
2006-04-03,14.177,14.177,14.079,14.105,1972,0
2006-04-04,13.989,14.185,13.989,14.185,8677,0
2006-04-05,14.185,14.185,14.185,14.185,2065,0
2006-04-06,14.195,14.195,14.195,14.195,3848,0
2006-04-07,14.13,14.177,14.13,14.177,1353,0
2006-04-10,14.087,14.087,14.087,14.087,1012,0
2006-04-11,13.527,14.105,13.527,13.97,1540,0
2006-04-12,13.951,14.079,13.951,14.079,901,0
2006-04-17,13.645,13.671,13.645,13.671,3043,0
2006-04-18,13.663,13.663,13.663,13.663,450,0
2006-04-19,13.816,13.923,13.816,13.923,3238,0
2006-04-24,13.762,13.762,13.762,13.762,565,0
2006-04-25,13.753,14.07,13.753,14.07,2325,0
2006-05-01,13.942,14.017,13.942,14.017,1017,0
2006-05-02,13.97,14.105,13.961,14.105,2378,0
2006-05-03,13.999,14.121,13.999,14.121,2031,0
2006-05-04,14.063,14.063,13.833,13.833,5422,0
2006-05-05,14.148,14.279,14.148,14.279,24269,0
2006-05-08,14.37,14.411,14.37,14.411,4283,0
2006-05-09,14.411,14.411,14.195,14.195,5526,0
2006-05-10,14.044,14.044,14.044,14.044,1129,0
2006-05-11,14.403,14.483,14.167,14.167,1151,0
2006-05-12,14.063,14.063,14.063,14.063,1467,0
2006-05-15,14.063,15.165,14.063,15.165,17210,0
2006-05-16,14.867,14.867,14.857,14.857,5163,0
2006-05-17,15.027,15.027,15.027,15.027,104,0
2006-05-18,15.027,15.027,14.838,14.848,2251,0
2006-05-19,14.719,14.719,14.719,14.719,104,0
2006-05-22,14.65,14.65,14.65,14.65,104,0
2006-05-24,14.429,14.429,14.429,14.429,104,0
2006-05-25,14.659,14.675,14.659,14.675,2603,0
2006-05-26,14.549,14.667,14.549,14.667,362,0
2006-05-31,14.65,14.659,14.642,14.642,1211,0
2006-06-05,14.633,14.642,14.633,14.642,231,0
2006-06-08,14.633,14.633,14.633,14.633,104,0
2006-06-09,14.429,14.429,14.429,14.429,117,0
2006-06-12,14.633,14.633,14.633,14.633,672,0
2006-06-13,14.642,14.642,14.642,14.642,792,0
2006-06-14,14.387,14.387,14.387,14.387,111,0
2006-06-19,14.203,14.203,13.445,13.616,10171,0
2006-06-20,13.635,13.753,13.635,13.753,2602,0
2006-06-21,13.798,14.177,13.771,14.177,3155,0
2006-06-22,14.07,14.157,14.07,14.157,1290,0
2006-06-23,14.177,14.394,14.167,14.394,1002,0
2006-06-26,14.148,14.148,14.148,14.148,174,0
2006-06-27,14.36,14.642,14.36,14.642,1706,0
