Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,3.0023,3.2613,3.0023,3.0503,11865,0
2005-02-28,3.0982,3.0982,2.9256,2.9256,26731,0
2005-03-01,2.9256,3.0694,2.8776,3.0694,14898,0
2005-03-02,3.0982,3.0982,2.9256,2.9735,5223,0
2005-03-03,2.9543,3.0119,2.8776,2.9256,29827,0
2005-03-04,2.9256,2.9447,2.8296,2.8776,29843,0
2005-03-07,2.7913,2.916,2.6474,2.6858,49737,0
2005-03-08,2.6474,2.8968,2.6474,2.8392,55671,0
2005-03-09,2.7049,2.8488,2.7049,2.7337,59815,0
2005-03-10,2.6954,2.82,2.6954,2.7049,12213,0
2005-03-11,2.657,2.8488,2.657,2.7817,36226,0
2005-03-14,2.6954,2.7721,2.6858,2.6858,5265,0
2005-03-15,2.6858,2.7721,2.6858,2.7433,4087,0
2005-03-16,2.7721,2.82,2.7145,2.7625,18974,0
2005-03-17,2.7817,2.7817,2.7817,2.7817,1147,0
2005-03-18,2.868,2.868,2.8488,2.868,4796,0
2005-03-21,2.8776,2.8776,2.7337,2.7433,2288,0
2005-03-22,2.6954,2.7049,2.6954,2.6954,521,0
2005-03-23,2.6954,2.6954,2.6858,2.6858,2711,0
2005-03-24,2.7337,2.7337,2.6858,2.6858,9591,0
2005-03-28,2.6858,2.6858,2.5898,2.609,36844,0
2005-03-29,2.868,3.1845,2.6666,2.7145,527705,0
2005-03-30,2.8296,2.8584,2.6186,2.6666,34068,0
2005-03-31,2.6858,2.6954,2.5994,2.6762,12625,0
2005-04-01,2.6474,2.6858,2.6474,2.6858,56401,0
2005-04-04,2.6282,2.657,2.5419,2.5419,28070,0
2005-04-05,2.7241,2.7337,2.5515,2.7337,19235,0
2005-04-06,2.8296,2.8968,2.7529,2.82,19704,0
2005-04-07,2.82,2.82,2.7817,2.7817,1355,0
2005-04-08,3.0023,3.0407,2.8105,3.0215,71268,0
2005-04-11,3.1558,3.1654,2.7145,2.8009,42837,0
2005-04-12,2.7337,2.7337,2.6186,2.6186,13240,0
2005-04-13,2.5515,2.6858,2.5515,2.6858,4765,0
2005-04-14,2.6858,2.6858,2.5707,2.5707,9800,0
2005-04-15,2.6666,2.7049,2.5707,2.6762,17957,0
2005-04-18,2.6858,2.6858,2.5419,2.5419,28044,0
2005-04-19,2.5898,2.6954,2.5898,2.6954,3075,0
2005-04-20,2.6954,2.6954,2.6954,2.6954,1043,0
2005-04-21,2.6378,2.7817,2.6378,2.7817,6184,0
2005-04-22,2.8776,2.8776,2.5994,2.6282,9070,0
2005-04-25,2.6282,2.7433,2.6282,2.7433,2656,0
2005-04-26,2.5802,2.9639,2.5802,2.9639,13160,0
2005-04-27,2.7433,2.9735,2.7433,2.8776,10321,0
2005-04-28,2.9352,2.9352,2.8776,2.8776,5838,0
2005-04-29,2.609,2.868,2.609,2.7337,17082,0
2005-05-02,2.6474,2.7241,2.6474,2.6474,20069,0
2005-05-03,2.5035,2.7049,2.5035,2.6954,33912,0
2005-05-04,2.657,2.657,2.5515,2.5707,2653,0
2005-05-05,2.609,2.609,2.5419,2.5419,14828,0
2005-05-06,2.5419,2.6858,2.5419,2.6666,79994,0
2005-05-09,2.4939,2.8296,2.4939,2.5898,10372,0
