Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,9.968,10.203,9.968,10.203,103427,0
2005-02-28,10.24,10.377,10.02,10.377,188968,0
2005-03-01,10.367,10.43,10.211,10.412,323110,0
2005-03-02,10.32,10.457,10.25,10.377,173949,0
2005-03-03,10.457,10.467,10.348,10.448,118718,0
2005-03-04,10.412,10.603,10.32,10.566,174802,0
2005-03-07,10.678,10.749,10.504,10.66,108652,0
2005-03-08,10.695,10.695,10.33,10.495,124006,0
2005-03-09,10.339,10.448,10.195,10.24,104581,0
2005-03-10,10.25,10.276,9.975,10.066,143961,0
2005-03-11,9.968,10.058,9.922,10.011,129664,0
2005-03-14,9.884,10.176,9.865,10.176,108414,0
2005-03-15,10.186,10.367,9.931,10.156,52364,0
2005-03-16,10.095,10.147,9.838,10.122,48414,0
2005-03-17,10.186,10.186,9.3584,10.011,131694,0
2005-03-18,9.96,10.085,9.2937,9.984,253642,0
2005-03-21,10.095,10.095,9.855,9.893,66858,0
2005-03-22,9.803,9.803,9.584,9.62,113116,0
2005-03-23,9.4756,9.648,9.3299,9.538,154913,0
2005-03-24,9.648,9.865,9.557,9.648,119529,0
2005-03-28,9.557,9.865,9.548,9.829,105285,0
2005-03-29,9.822,9.913,9.4656,9.875,162143,0
2005-03-30,9.913,10.038,9.748,10.011,375722,0
2005-03-31,9.913,10.03,9.875,10.001,217132,0
2005-04-01,10.066,10.066,9.668,9.72,63581,0
2005-04-04,9.767,10.048,9.593,10.038,135325,0
2005-04-05,10.058,10.058,9.822,9.975,101992,0
2005-04-06,10.011,10.011,9.785,9.838,74407,0
2005-04-07,9.748,9.893,9.566,9.729,104204,0
2005-04-08,9.702,9.748,9.4183,9.52,113900,0
2005-04-11,9.548,9.548,9.1928,9.2291,82389,0
2005-04-12,9.1928,9.2291,8.8651,9.0379,198227,0
2005-04-13,8.9202,9.2475,8.884,8.9202,107325,0
2005-04-14,8.884,9.2291,8.738,8.7646,53741,0
2005-04-15,8.7472,8.7472,8.0004,8.0732,130897,0
2005-04-18,8.0732,8.5282,7.9914,8.2371,127998,0
2005-04-19,8.2371,8.4374,7.8367,7.873,176623,0
2005-04-20,7.9731,8.1918,7.3543,7.4089,247710,0
2005-04-21,7.5728,8.219,7.418,8.0914,321603,0
2005-04-22,7.9457,8.1097,7.9002,8.0097,185863,0
2005-04-25,8.0914,8.0914,7.873,8.0188,76657,0
2005-04-26,7.9369,8.0097,7.873,7.9095,120180,0
2005-04-27,7.8641,8.0732,7.5088,7.7365,146867,0
2005-04-28,7.5088,7.5088,7.2724,7.2724,388102,0
2005-04-29,7.3633,7.3815,7.154,7.263,142357,0
2005-05-02,7.2267,7.2813,7.154,7.2813,121272,0
2005-05-03,7.2449,7.2813,7.1721,7.2724,97595,0
2005-05-04,7.5363,7.5452,6.2438,6.5531,983148,0
2005-05-05,6.5531,6.6079,6.3439,6.5169,240535,0
2005-05-06,6.5988,6.9355,6.4988,6.8447,195151,0
2005-05-09,6.8992,7.0537,6.7992,7.0449,303877,0
2005-05-10,7.0811,7.1448,6.8264,6.9538,181802,0
2005-05-11,6.9175,6.9265,6.6443,6.7536,128545,0
2005-05-12,6.7536,6.8447,6.2257,6.3531,223612,0
2005-05-13,6.3986,6.535,6.3348,6.417,112162,0
2005-05-16,6.3715,6.7716,6.3715,6.708,137337,0
2005-05-17,6.7627,6.7716,6.4621,6.7354,173014,0
2005-05-18,6.7716,6.9447,6.5988,6.708,153127,0
2005-05-19,6.7261,7.263,6.0072,7.0084,444183,0
2005-05-20,7.0449,7.1084,6.6988,6.7443,156961,0
2005-05-23,6.6535,7.1448,6.6535,6.8626,119190,0
2005-05-24,6.9538,7.2995,6.8173,7.0175,194607,0
2005-05-25,7.072,7.4544,6.9175,7.0902,179468,0
2005-05-26,7.1177,7.345,6.9627,7.3267,212543,0
2005-05-27,7.263,7.3267,7.1721,7.236,72164,0
2005-05-31,7.3723,7.582,7.2813,7.3179,275085,0
