Date,Open,High,Low,Close,Volume,OpenInt
2015-07-01,18.75,24.975,18.75,24.975,1320,0
2015-07-02,22.875,22.875,18.75,18.75,80,0
2015-07-06,21.25,24.975,21.25,21.875,480,0
2015-07-07,21.25,21.25,16.25,16.25,1640,0
2015-07-08,17,17,14.5,15,560,0
2015-07-09,15,15,7.75,15,1560,0
2015-07-10,12.5,13.125,12.5,12.5,240,0
2015-07-13,12.75,12.8,12.75,12.8,160,0
2015-07-14,12.75,12.75,12.5,12.5,120,0
2015-07-15,11.875,11.875,9.375,9.375,1960,0
2015-07-16,11.5,13.125,11.25,11.25,160,0
2015-07-17,11.25,11.25,10.625,10.625,480,0
2015-07-20,10.5,10.5,10.5,10.5,40,0
2015-07-21,11.25,12.5,10.775,10.775,400,0
2015-07-22,10.775,11.85,10.775,11.742,200,0
2015-07-23,11.25,11.25,11.25,11.25,240,0
2015-07-24,11.25,12.625,11.25,12.625,720,0
2015-07-27,10.625,10.625,10.625,10.625,320,0
2015-07-28,10.625,10.625,10.625,10.625,0,0
2015-07-29,9.525,10.25,9.4275,10,600,0
2015-07-30,10,10,10,10,40,0
2015-07-31,9.375,9.375,9.375,9.375,40,0
2015-08-03,9.375,9.375,9.375,9.375,240,0
2015-08-04,9,9.035,8.9,8.9,200,0
2015-08-05,8.85,14.875,8.725,12.75,360,0
2015-08-06,13.125,13.125,12.5,12.5,760,0
2015-08-07,12.5,12.5,12.5,12.5,0,0
2015-08-10,10,10.152,10,10,240,0
2015-08-11,10,11.25,10,10,440,0
2015-08-12,10,10,9.375,9.375,4200,0
2015-08-13,9.375,9.375,9.375,9.375,0,0
2015-08-14,8.845,8.845,8.75,8.75,200,0
2015-08-17,9.975,9.975,9.975,9.975,40,0
2015-08-18,9.975,9.975,9.25,9.25,160,0
2015-08-19,9,9,8,8.35,1280,0
2015-08-20,9,9,8.5,8.5,440,0
2015-08-21,8.5,8.5,8.5,8.5,0,0
2015-08-24,8.5,8.5,8.5,8.5,0,0
2015-08-25,8.5,8.5,8.5,8.5,0,0
2015-08-26,8.5,8.5,8.5,8.5,0,0
2015-08-27,7.5,7.625,7.125,7.125,160,0
2015-08-28,7.125,7.125,7.125,7.125,0,0
2015-08-31,7.125,7.125,7.125,7.125,0,0
2015-09-01,7.5,7.5,7.5,7.5,400,0
2015-09-02,7.5,7.5,7.5,7.5,0,0
2015-09-03,7.5,7.5,7.5,7.5,80,0
2015-09-04,7.5,7.5,7.5,7.5,0,0
2015-09-08,7.5,7.5,7.5,7.5,0,0
2015-09-09,6.75,6.75,6.75,6.75,400,0
2015-09-10,6.75,6.75,6.75,6.75,0,0
2015-09-11,7.375,7.5,6.775,7.5,960,0
2015-09-14,7.5,8.25,7.125,8.25,2440,0
2015-09-15,8.25,8.25,8.25,8.25,80,0
2015-09-16,7.75,8.25,7.75,8.125,720,0
2015-09-17,7.75,7.75,7.25,7.25,320,0
2015-09-18,7.25,7.25,7.25,7.25,160,0
2015-09-21,7.925,8.125,7.925,8.125,160,0
2015-09-22,8,8,7.5,7.5,1120,0
2015-09-23,7.5,7.5,7.5,7.5,120,0
2015-09-24,7.25,7.5,7.25,7.475,400,0
2015-09-25,7.5,8,7.375,7.975,360,0
2015-09-28,8,8,7.5,7.95,720,0
2015-09-29,7.5,7.5,7.25,7.25,800,0
2015-09-30,7.7,7.7,7.375,7.375,160,0
2015-10-01,7.125,7.5,7.125,7.375,1280,0
2015-10-02,6.875,6.875,6.875,6.875,240,0
2015-10-05,7.25,7.25,6.4,6.425,400,0
2015-10-06,6.875,7.25,6.4,6.4,560,0
2015-10-07,6.4,6.4,6.4,6.4,0,0
2015-10-08,6.275,6.275,6.25,6.25,280,0
2015-10-09,6.755,6.755,5.9,5.9,1240,0
2015-10-12,6.25,6.275,6.25,6.275,80,0
2015-10-13,5.9,8.125,5.9,8.125,800,0
2015-10-14,8.125,8.75,7.75,8.75,3000,0
2015-10-15,8.75,9.375,8.75,9.375,1240,0
2015-10-16,9.375,9.375,9,9.375,920,0
2015-10-19,9.375,10.25,8.75,9,2320,0
2015-10-20,9,9,9,9,0,0
2015-10-21,8.2,8.75,8.2,8.75,600,0
2015-10-22,8.75,8.75,8.75,8.75,320,0
2015-10-23,7.575,7.875,7.5,7.875,1040,0
2015-10-26,7.75,7.75,7.75,7.75,160,0
2015-10-27,7.6725,7.6725,7.6725,7.6725,200,0
2015-10-28,7.6725,7.6725,7.6725,7.6725,0,0
2015-10-29,7.5,8.575,7.44,8.075,1960,0
2015-10-30,8.625,8.625,8.625,8.625,640,0
2015-11-02,8,8.125,8,8.125,1200,0
2015-11-03,7.55,7.65,7.475,7.65,520,0
2015-11-04,7.65,7.65,7.65,7.65,0,0
2015-11-05,7.325,8.6,6.875,8.6,240,0
2015-11-06,8.6,8.6,8.6,8.6,0,0
2015-11-09,8.6,8.6,8.6,8.6,0,0
2015-11-10,6.875,7.5,6.875,7.5,560,0
2015-11-11,8.125,8.125,8.125,8.125,200,0
2015-11-12,8.125,8.125,8.125,8.125,0,0
2015-11-13,8.625,8.625,8.625,8.625,120,0
2015-11-16,8.225,8.225,8.125,8.125,200,0
2015-11-17,8.125,8.125,8.125,8.125,0,0
2015-11-18,8,8,8,8,120,0
2015-11-19,8,8,5.525,5.875,800,0
2015-11-20,7.75,7.875,7.75,7.875,440,0
2015-11-23,7.875,7.875,7.875,7.875,0,0
2015-11-24,8.75,9.75,8.465,9.25,5040,0
2015-11-25,9.75,9.75,8.525,9.25,880,0
2015-11-27,9.75,9.75,9.75,9.75,240,0
