Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,12.528,12.618,12.144,12.577,855979,0
2005-02-28,12.562,12.945,12.562,12.945,83259,0
2005-03-01,12.983,13.297,12.953,13.297,46711,0
2005-03-02,13.059,13.066,12.945,12.945,29446,0
2005-03-03,13.29,13.423,12.961,13.29,52575,0
2005-03-04,13.565,13.565,13.047,13.087,33860,0
2005-03-07,13.087,13.123,12.945,13.123,46220,0
2005-03-08,13.115,13.184,13.087,13.087,51516,0
2005-03-09,13.102,13.179,13.087,13.102,20844,0
2005-03-10,13.087,13.166,13.047,13.16,43804,0
2005-03-11,13.026,13.138,13.005,13.066,28662,0
2005-03-14,13.041,13.317,13.041,13.264,13188,0
2005-03-15,13.152,13.339,13.152,13.339,27852,0
2005-03-16,13.2,13.411,13.2,13.392,24409,0
2005-03-17,13.5,13.5,13.331,13.411,12828,0
2005-03-18,13.508,13.508,13.297,13.459,62794,0
2005-03-21,13.339,13.377,13.297,13.317,27746,0
2005-03-22,13.492,15.166,13.492,13.858,130491,0
2005-03-23,13.606,13.661,13.297,13.297,44922,0
2005-03-24,13.354,13.647,13.354,13.542,15494,0
2005-03-28,13.31,13.668,13.304,13.542,45502,0
2005-03-29,13.754,13.816,13.661,13.733,33546,0
2005-03-30,13.992,14.236,13.816,14.2,40876,0
2005-03-31,14.236,14.678,14.11,14.264,60010,0
2005-04-01,14.341,14.348,13.675,13.754,15713,0
2005-04-04,13.689,14.433,13.675,14.242,60362,0
2005-04-05,14.242,14.291,14,14.131,18426,0
2005-04-06,14.333,14.558,13.647,13.795,66628,0
2005-04-07,13.787,14.06,13.719,13.984,67592,0
2005-04-08,13.907,13.941,13.719,13.719,30150,0
2005-04-11,13.719,13.78,13.606,13.647,20437,0
2005-04-12,13.654,13.816,13.647,13.726,19768,0
2005-04-13,13.787,13.787,13.647,13.647,15784,0
2005-04-14,13.647,13.647,13.108,13.416,35799,0
2005-04-15,13.613,13.613,12.905,12.913,56091,0
2005-04-18,12.709,13.411,12.549,13.406,136800,0
2005-04-19,13.508,13.508,12.809,12.938,60986,0
2005-04-20,12.879,12.879,12.073,12.459,87129,0
2005-04-21,12.466,12.802,12.417,12.57,25854,0
2005-04-22,12.352,12.597,12.285,12.394,20137,0
2005-04-25,12.52,13.047,12.247,13.047,58346,0
2005-04-26,13.166,13.697,13.115,13.621,37798,0
2005-04-27,13.452,13.733,13.297,13.675,82080,0
2005-04-28,13.542,13.682,13.542,13.64,32564,0
2005-04-29,13.668,13.78,13.331,13.78,19740,0
2005-05-02,13.572,13.754,13.317,13.523,36248,0
2005-05-03,13.901,13.901,12.562,12.562,72656,0
2005-05-04,13.094,13.102,12.701,12.905,17111,0
2005-05-05,13.005,13.019,12.647,12.879,45343,0
2005-05-06,12.969,13.416,12.926,13.324,36408,0
2005-05-09,13.324,13.324,13.054,13.256,31062,0
2005-05-10,13.047,13.054,12.094,12.197,50899,0
2005-05-11,12.352,12.59,12.285,12.59,64540,0
2005-05-12,12.459,12.633,12.459,12.597,121660,0
2005-05-13,13.184,13.184,12.459,12.473,30833,0
