Date,Open,High,Low,Close,Volume,OpenInt
2018-01-30,10.01,10.09,10,10.07,787621,0
2018-01-31,10.28,10.28,10.06,10.07,119535,0
2018-02-01,10.13,10.13,10.04,10.05,20876,0
2018-02-02,10.05,10.18,10.05,10.06,24927,0
2018-02-05,10.1,10.11,10.08,10.08,5877,0
2018-02-06,10.02,10.05,10.02,10.02,72912,0
2018-02-07,10.01,10.02,9.94,10.02,55932,0
2018-02-08,10.025,10.06,10.02,10.02,14270,0
2018-02-09,10.07,10.07,10.05,10.05,7750,0
2018-02-12,10.06,10.08,10.06,10.08,7900,0
2018-02-13,10.03,10.05,10.03,10.05,5057,0
2018-02-14,10.0621,10.0621,10.05,10.05,24820,0
2018-02-15,10.05,10.1,10.05,10.1,8739,0
2018-02-16,10.098,10.1,10.06,10.1,2609,0
2018-02-20,10.1,10.11,10.05,10.11,34198,0
2018-02-21,10.0999,10.25,10.05,10.1,69800,0
2018-02-22,10.15,10.15,10.15,10.15,270,0
2018-02-23,10.1472,10.15,10.1472,10.15,2095,0
2018-02-26,10.17,10.17,10.1,10.1,1640,0
2018-02-27,10.11,10.19,10.11,10.19,47526,0
2018-02-28,10.2,10.2,10.16,10.16,22010,0
2018-03-01,10.16,10.16,10.15,10.15,28800,0
2018-03-05,10.2,10.2,10.2,10.2,100,0
2018-03-06,10.2,10.2,10.15,10.2,2350,0
2018-03-08,10.1627,10.1631,10.1627,10.1631,200,0
2018-03-09,10.16,10.162,10.16,10.162,2000,0
2018-03-12,10.15,10.15,10.15,10.15,150,0
2018-03-16,10.1999,10.1999,10.1999,10.1999,510,0
2018-03-19,10.2,10.2,10.2,10.2,120,0
2018-03-20,10.1001,10.19,10.1001,10.19,600,0
2018-03-21,10.1,10.17,10.1,10.17,1610,0
