Date,Open,High,Low,Close,Volume,OpenInt
2017-11-02,4.6,4.6,3.68,4.5,39014,0
2017-11-06,4.89,4.89,4.2501,4.4975,17826,0
2017-11-07,4.58,4.6,4.5,4.5042,14447,0
2017-11-08,4.55,4.7,4.5,4.7,5547,0
2017-11-09,4.25,4.695,4.25,4.5,7105,0
2017-11-10,4.5,4.7,4.28,4.61,18950,0
2017-11-13,4.5,4.64,4.5,4.5,4940,0
2017-11-14,4.4,4.67,4.4,4.58,2857,0
2017-11-15,4.6,4.64,4.2701,4.59,6757,0
2017-11-16,4.5015,4.65,4.5,4.5,2657,0
2017-11-17,4.66,4.67,4.37,4.67,8096,0
2017-11-20,4.6,4.67,4.55,4.67,6980,0
2017-11-21,4.5,4.6,4.5,4.6,3483,0
2017-11-22,4.5,4.67,4.5,4.6,5832,0
2017-11-24,4.5,4.58,4.5,4.54,4927,0
2017-11-27,4.6,4.6,4.525,4.55,4171,0
2017-11-28,4.55,4.6,4.5,4.55,7907,0
2017-11-29,4.4,4.6,4.02,4.55,233936,0
2017-11-30,4.55,4.77,4.25,4.65,73593,0
2017-12-01,4.79,4.79,4.28,4.28,17916,0
2017-12-04,4.56,4.67,4.36,4.5,16622,0
2017-12-05,4.467,4.65,4.4,4.44,44113,0
2017-12-06,4.32,4.6,4.3,4.6,8480,0
2017-12-07,4.2585,4.6,4.2585,4.55,9224,0
2017-12-08,4.14,4.55,4.14,4.5,14180,0
2017-12-11,4.58,4.58,4.44,4.49,13956,0
2017-12-12,4.5,4.6,4.4,4.49,11695,0
2017-12-13,4.55,4.6,4.4289,4.47,31658,0
2017-12-14,4.47,4.6,4.4,4.48,16881,0
2017-12-15,4.72,4.72,4.22,4.22,45707,0
2017-12-18,4.37,4.67,4.3,4.5,18743,0
2017-12-19,4.65,4.65,4.5,4.5,540,0
2017-12-20,4.61,4.66,4.5201,4.595,4159,0
2017-12-21,4.59,4.63,4.49,4.5,2780,0
2017-12-22,4.59,4.66,4.4601,4.62,2806,0
2017-12-26,4.6,4.6,4.6,4.6,839,0
2017-12-27,4.6,4.67,4.1602,4.67,6701,0
2017-12-28,4.65,4.8999,4.32,4.68,12711,0
2017-12-29,4.68,4.9,4.43,4.68,11833,0
2018-01-02,4.68,4.68,4.52,4.52,1765,0
2018-01-03,4.43,4.8,4.4,4.61,44173,0
2018-01-04,4.68,4.68,4.48,4.6401,8507,0
2018-01-05,4.645,4.67,4.55,4.67,10856,0
2018-01-09,4.62,4.68,4.6,4.67,6100,0
2018-01-10,3.74,4.72,3.74,4.69,5730,0
2018-01-11,4.68,4.68,4.68,4.68,118,0
2018-01-12,4.68,4.9,4.5715,4.87,7781,0
2018-01-16,4.86,4.9,4.47,4.47,9339,0
2018-01-17,4.63,4.63,4.33,4.45,4706,0
2018-01-18,4.63,4.68,4.45,4.54,6437,0
2018-01-19,4.6699,4.88,4.5,4.68,48086,0
2018-01-22,4.67,4.67,4.5,4.52,11737,0
2018-01-23,4.65,4.67,4.5001,4.65,12936,0
2018-01-24,4.55,4.68,4.22,4.64,9727,0
2018-01-25,4.35,4.4,4.35,4.3912,6008,0
2018-01-26,4.39,4.57,4.2,4.44,8170,0
2018-01-29,4.64,4.64,4.55,4.55,294,0
2018-01-30,4.35,4.7166,4.35,4.7166,10852,0
2018-01-31,4.5848,4.78,4.54,4.7,6964,0
2018-02-01,4.68,4.68,4.49,4.49,305,0
2018-02-02,4.57,4.68,4.57,4.68,605,0
2018-02-05,4.68,4.68,4.38,4.55,4779,0
2018-02-06,4.56,4.78,4.5389,4.74,3775,0
2018-02-07,4.45,4.68,4.45,4.58,2692,0
2018-02-08,4.6,4.8,4.6,4.7852,2752,0
2018-02-09,4.79,4.8,4.6776,4.8,2576,0
2018-02-12,4.8,4.8,4.685,4.74,6824,0
2018-02-13,4.6,4.6,4.6,4.6,253,0
2018-02-14,4.6,4.6,4.5,4.6,3300,0
2018-02-15,4.6,4.8,4.269,4.62,3536,0
2018-02-20,4.5799,4.5799,4.3,4.3,381,0
2018-02-21,4.5999,4.5999,4.34,4.34,400,0
2018-02-22,4.6,4.6,4.34,4.34,310,0
2018-02-23,4.5,4.7999,4.4,4.5,2122,0
2018-02-26,4.55,4.55,4.3,4.3,200,0
2018-02-27,4.54,4.54,4.54,4.54,210,0
2018-02-28,4.55,4.8,4.55,4.78,12823,0
2018-03-01,4.6,4.8,4.6,4.75,1820,0
2018-03-02,4.67,4.8,4.43,4.43,460,0
2018-03-05,4.3,4.76,4.26,4.65,9142,0
2018-03-06,4.62,4.65,4.315,4.38,9224,0
2018-03-07,4.45,4.7,4.2,4.34,8911,0
2018-03-08,4.47,4.48,4.04,4.44,38162,0
2018-03-09,4.44,4.66,4.1,4.6,35454,0
2018-03-12,4.6,4.6,4.5,4.6,43174,0
2018-03-13,4.29,4.7,4.29,4.65,55160,0
2018-03-14,4.52,4.52,4.49,4.49,723,0
2018-03-15,4.38,4.6,4.2601,4.31,2640,0
2018-03-16,4.42,4.79,4.42,4.79,582,0
2018-03-19,4.45,4.45,4.45,4.45,129,0
2018-03-20,4.37,4.6,4.33,4.33,904,0
2018-03-21,4.85,4.9,4.65,4.8,182634,0
2018-03-22,4.78,4.849,4.75,4.81,55556,0
2018-03-23,4.8,4.849,4.628,4.7,22020,0
2018-03-26,4.68,4.8609,4.35,4.54,24226,0
2018-03-27,4.53,4.8699,4.41,4.76,5455,0
2018-03-28,4.75,4.85,4.42,4.77,31232,0
2018-03-29,4.76,4.87,4.59,4.76,87700,0
