Date,Open,High,Low,Close,Volume,OpenInt
2015-02-18,11.221,11.943,11.203,11.943,25708,0
2015-02-19,12.08,12.125,11.582,11.854,22097,0
2015-02-20,12.453,12.453,11.854,12.216,28174,0
2015-02-23,12.171,12.298,12.171,12.244,13136,0
2015-02-24,12.253,12.253,12.06,12.208,20752,0
2015-02-25,12.208,12.208,11.765,11.775,28700,0
2015-02-26,11.765,11.9,11.364,11.765,36027,0
2015-02-27,11.765,12.016,11.681,11.808,23116,0
2015-03-02,12.216,12.216,11.943,12.189,31275,0
2015-03-03,12.125,12.316,12.107,12.208,50944,0
2015-03-04,12.721,14.368,12.244,14.368,412309,0
2015-03-05,14.377,14.387,13.131,13.818,181788,0
2015-03-06,13.573,14.614,13.538,14.163,192506,0
2015-03-09,14.163,15.067,14.027,15.057,161123,0
2015-03-10,15.077,15.112,14.477,14.696,77134,0
2015-03-11,15.248,15.248,14.532,15.248,77577,0
2015-03-12,15.158,15.51,14.986,15.383,85203,0
2015-03-13,15.4,15.491,15.039,15.122,55521,0
2015-03-16,15.491,16.217,15.149,16.217,208727,0
2015-03-17,15.856,16.352,15.856,16.271,103537,0
2015-03-18,16.145,16.315,16.127,16.315,53423,0
2015-03-19,16.235,16.443,16.162,16.281,81240,0
2015-03-20,16.226,16.38,15.628,15.729,134883,0
2015-03-23,15.445,16.389,15.4,16.389,124287,0
2015-03-24,16.398,16.67,16.181,16.57,107510,0
2015-03-25,16.615,16.634,15.856,16.172,133007,0
2015-03-26,16.198,16.306,16.054,16.226,35653,0
2015-03-27,16.091,16.315,15.944,16.009,37529,0
2015-03-30,16.063,16.297,15.863,15.89,71305,0
2015-03-31,15.856,16.251,15.846,16.217,46690,0
2015-04-01,16.127,16.127,15.872,16.127,62474,0
2015-04-02,16.127,16.306,16.035,16.306,65454,0
2015-04-06,16.306,17.667,16.306,17.621,340850,0
2015-04-07,17.667,18.554,17.634,18.481,501400,0
2015-04-08,18.391,18.573,17.303,18.091,374296,0
2015-04-09,18.119,18.564,17.813,18.554,161848,0
2015-04-10,18.681,20.385,18.573,20.084,567348,0
2015-04-13,20.385,22.014,20.293,21.499,894182,0
2015-04-14,21.879,22.414,21.517,22.242,537989,0
2015-04-15,22.323,22.802,21.798,22.258,372710,0
2015-04-16,22.478,22.56,16.796,17.221,1710814,0
2015-04-17,17.258,18.799,17.221,18.446,572868,0
2015-04-20,18.818,19.017,17.33,17.638,397205,0
2015-04-21,17.657,18.273,17.657,18.073,160297,0
2015-04-22,18.01,19.733,17.894,19.497,218449,0
2015-04-23,19.887,20.385,19.452,20.283,277938,0
2015-04-24,20.44,21.018,20.113,20.328,304316,0
2015-04-27,20.466,21.408,20.328,21.172,444275,0
2015-04-28,21.563,21.563,18.845,21.255,531365,0
2015-04-29,21.245,21.563,20.113,21.118,224401,0
2015-04-30,21.063,21.218,19.939,20.003,234997,0
2015-05-01,19.633,21.037,19.624,20.729,226500,0
2015-05-04,20.845,21.245,20.385,20.675,200338,0
2015-05-05,21.199,21.97,20.836,21.654,576179,0
2015-05-06,21.925,23.01,21.001,22.966,384279,0
2015-05-07,23.01,23.103,22.014,23.075,313708,0
2015-05-08,23.193,24.823,22.551,24.48,631811,0
2015-05-11,24.814,25.73,24.551,25.72,647376,0
2015-05-12,25.811,26.708,25.476,26.319,496156,0
2015-05-13,26.724,28.041,26.364,27.987,798814,0
2015-05-14,28.085,29.88,24.914,27.777,1366717,0
2015-05-15,28.928,28.928,26.48,28.249,344647,0
2015-05-18,28.639,30.598,28.167,30.515,719416,0
2015-05-19,30.923,32.229,30.189,31.377,760761,0
2015-05-20,31.732,32.067,28.565,29.754,925284,0
2015-05-21,29.754,29.825,26.444,27.84,922969,0
2015-05-22,27.207,27.884,26.117,27.43,468984,0
2015-05-26,27.207,28.993,26.352,28.012,307683,0
2015-05-27,28.203,29.909,28.031,29.863,320007,0
2015-05-28,29.927,31.287,29.137,30.045,338916,0
2015-05-29,30.351,31.013,29.745,30.654,200472,0
2015-06-01,31.269,31.324,29.392,30.171,330595,0
2015-06-02,30.498,30.994,30.073,30.815,163442,0
2015-06-03,30.878,31.713,30.815,31.26,305670,0
2015-06-04,31.042,31.758,30.868,31.35,207972,0
2015-06-05,31.098,31.215,29.264,29.817,392235,0
2015-06-08,29.7,30.787,29.156,29.9,139050,0
2015-06-09,29.927,30.315,29.473,30.27,122750,0
2015-06-10,30.054,30.834,29.672,30.444,125762,0
2015-06-11,30.834,33.01,30.761,31.749,378673,0
2015-06-12,32.211,32.376,31.197,31.804,119975,0
2015-06-15,32.094,33.455,30.878,33.074,333018,0
2015-06-16,33.544,36.084,33.18,35.511,888015,0
2015-06-17,36.173,39.358,35.83,38.651,883163,0
2015-06-18,39.011,40.02,32.808,34.596,1488111,0
2015-06-19,34.859,37.101,34.859,35.738,819645,0
2015-06-22,36.492,38.28,36.282,37.589,587855,0
2015-06-23,37.452,38.993,36.365,38.95,399749,0
2015-06-24,39.448,40.327,38.405,40.065,430719,0
2015-06-25,40.583,40.583,36.645,38.162,782595,0
2015-06-26,38.441,39.13,37.354,38.097,1514574,0
2015-06-29,35.62,37.471,33.654,34.816,693497,0
2015-06-30,35.593,38.27,35.043,37.598,475813,0
2015-07-01,38.993,39.149,37.309,37.744,309530,0
2015-07-02,37.725,38.993,37.725,38.905,330041,0
2015-07-06,38.252,39.448,38.134,39.349,435350,0
2015-07-07,39.205,39.784,35.414,37.118,910179,0
2015-07-08,35.013,35.458,30.162,30.58,1244962,0
