Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,6.728,6.7838,6.644,6.6721,158947,0
2005-02-28,6.693,6.693,6.5743,6.6512,235935,0
2005-03-01,6.6581,6.7699,6.5883,6.7141,132974,0
2005-03-02,6.6512,6.7,6.5812,6.5883,93949,0
2005-03-03,6.6233,6.6721,6.5465,6.6023,88490,0
2005-03-04,6.707,6.7352,6.5883,6.686,111164,0
2005-03-07,6.6164,6.7419,6.6093,6.686,85733,0
2005-03-08,6.6093,6.6721,6.6093,6.637,94409,0
2005-03-09,6.686,6.686,6.5674,6.5954,99718,0
2005-03-10,6.5603,6.7,6.5603,6.6023,152230,0
2005-03-11,6.6512,6.6512,6.5674,6.6093,100733,0
2005-03-14,6.6651,6.7,6.5743,6.6581,99583,0
2005-03-15,6.7,6.8606,6.644,6.644,135580,0
2005-03-16,6.637,6.7419,6.5883,6.5954,75735,0
2005-03-17,6.6651,6.7,6.5812,6.679,67941,0
2005-03-18,6.7,6.7,6.5465,6.5883,359135,0
2005-03-21,6.6651,6.686,6.5327,6.6164,115745,0
2005-03-22,6.6721,6.8186,6.5327,6.5883,103931,0
2005-03-23,6.6164,6.6164,6.5185,6.5256,87673,0
2005-03-24,6.6093,6.6164,6.5185,6.5327,208408,0
2005-03-28,6.5465,6.6023,6.5256,6.5674,137397,0
2005-03-29,6.5115,6.5883,6.5115,6.5327,88815,0
2005-03-30,6.5883,6.693,6.5397,6.679,79505,0
2005-03-31,6.5883,6.6651,6.5256,6.644,177923,0
2005-04-01,6.693,6.693,6.5115,6.5397,189337,0
2005-04-04,6.5603,6.5603,6.5115,6.5115,191404,0
2005-04-05,6.5115,6.6164,6.5115,6.5743,47988,0
2005-04-06,6.637,6.7211,6.6023,6.6164,42218,0
2005-04-07,6.6023,6.7,6.5327,6.6651,23629,0
2005-04-08,6.637,6.6512,6.5743,6.5743,82041,0
2005-04-11,6.5603,6.644,6.5115,6.5743,73989,0
2005-04-12,6.5603,6.8954,6.5532,6.8255,151594,0
2005-04-13,6.8885,6.8885,6.5883,6.7211,76924,0
2005-04-14,6.7211,6.7211,6.5397,6.5532,172861,0
2005-04-15,6.5532,6.6023,6.5046,6.5115,100284,0
2005-04-18,6.5812,6.6581,6.4975,6.5185,135319,0
2005-04-19,6.5256,6.6023,6.4346,6.5883,59815,0
2005-04-20,6.5327,6.5883,6.4906,6.5115,137873,0
2005-04-21,6.5115,6.7,6.4696,6.644,75383,0
2005-04-22,6.728,6.728,6.3581,6.365,121828,0
2005-04-25,6.4346,6.4346,6.3161,6.3931,89513,0
2005-04-26,6.3442,6.4346,6.3442,6.365,90774,0
2005-04-27,6.33,6.4208,6.33,6.3442,80349,0
2005-04-28,6.2953,6.4487,6.2953,6.3371,87564,0
2005-04-29,6.3442,6.3931,6.3442,6.3788,153229,0
2005-05-02,6.4141,6.5046,6.3931,6.5046,104090,0
2005-05-03,6.4141,6.6164,6.3931,6.5046,78887,0
2005-05-04,6.5397,6.7419,6.4975,6.686,150820,0
2005-05-05,6.6721,6.686,6.5883,6.6093,74968,0
2005-05-06,6.686,6.686,6.4975,6.5256,159679,0
2005-05-09,6.4906,6.679,6.4696,6.6721,84943,0
2005-05-10,6.5532,6.637,6.4277,6.5046,69822,0
2005-05-11,6.5465,6.644,6.3442,6.5046,93644,0
2005-05-12,6.6023,6.6093,6.3581,6.3581,149382,0
2005-05-13,6.365,6.4906,6.3581,6.3581,91262,0
2005-05-16,6.5674,6.5883,6.4696,6.5812,139889,0
2005-05-17,6.4975,6.6093,6.4836,6.5674,178864,0
2005-05-18,6.6233,6.8606,6.5743,6.7628,198018,0
2005-05-19,6.7,6.8467,6.6303,6.679,124920,0
2005-05-20,6.7419,6.7419,6.4836,6.5532,126013,0
2005-05-23,6.6581,6.6721,6.4975,6.5603,91053,0
2005-05-24,6.6303,6.6303,6.4346,6.4906,122655,0
2005-05-25,6.4626,6.4696,6.3581,6.3581,213552,0
