Date,Open,High,Low,Close,Volume,OpenInt
2016-06-10,24.016,24.046,23.929,23.929,6364,0
2016-06-13,23.919,23.919,23.919,23.919,210,0
2016-06-14,23.835,23.854,23.679,23.685,4466,0
2016-06-15,23.796,23.967,23.796,23.919,1156,0
2016-06-16,23.779,23.91,23.779,23.91,3488,0
2016-06-17,23.916,24.006,23.864,23.996,7829,0
2016-06-20,24.111,24.111,24.082,24.082,682,0
2016-06-21,24.016,24.016,23.95,24.016,1095,0
2016-06-22,23.958,23.958,23.806,23.806,1272,0
2016-06-23,23.986,24.072,23.958,24.072,1902,0
2016-06-24,23.844,24.053,23.73,23.859,2733,0
2016-06-27,23.75,23.796,23.568,23.781,3136,0
2016-06-28,24.032,24.288,24.024,24.288,2071,0
2016-06-29,24.51,24.578,24.51,24.578,426,0
2016-07-06,24.928,24.928,24.928,24.928,115,0
2016-07-07,24.71,24.742,24.71,24.742,630,0
2016-07-08,25.004,25.004,25.004,25.004,222,0
2016-07-11,25.094,25.094,25.008,25.008,519,0
2016-07-12,25.173,25.173,25.094,25.153,1355,0
2016-07-13,25.247,25.247,25.232,25.232,1072,0
2016-07-14,25.094,25.094,25.094,25.094,401,0
2016-07-15,25.038,25.055,25.038,25.048,850,0
2016-07-18,25.219,25.333,25.219,25.325,1313,0
2016-07-19,25.306,25.315,25.296,25.296,592,0
2016-07-20,25.505,25.505,25.481,25.505,2180,0
2016-07-21,25.571,25.571,25.543,25.543,420,0
2016-07-22,25.882,25.882,25.882,25.882,135,0
2016-07-25,25.866,25.866,25.866,25.866,210,0
2016-07-26,25.752,25.752,25.658,25.658,300,0
2016-07-27,25.61,25.61,25.6,25.607,967,0
2016-07-28,25.82,25.876,25.801,25.853,5467,0
2016-07-29,26.263,26.268,26.229,26.239,2482,0
2016-08-01,26.229,26.229,26.106,26.229,2365,0
2016-08-02,25.972,25.972,25.743,25.762,2017,0
2016-08-03,25.733,25.733,25.448,25.448,2204,0
2016-08-04,25.59,25.59,25.531,25.562,19756,0
2016-08-05,25.505,25.505,25.448,25.448,315,0
2016-08-08,25.562,25.562,25.5,25.5,2267,0
2016-08-09,25.581,25.83,25.581,25.81,2309,0
2016-08-10,25.886,25.886,25.886,25.886,120,0
2016-08-11,25.953,25.953,25.668,25.668,6622,0
2016-08-12,25.959,26,25.959,26,1312,0
2016-08-15,26.067,26.067,25.981,25.981,5706,0
2016-08-16,25.916,25.916,25.668,25.686,3266,0
2016-08-17,25.649,25.711,25.448,25.711,2896,0
2016-08-18,25.752,25.752,25.678,25.714,829,0
2016-08-19,25.629,25.801,25.629,25.801,546,0
2016-08-22,25.61,25.61,25.61,25.61,1062,0
2016-08-23,25.771,25.771,25.771,25.771,331,0
2016-08-24,25.724,25.724,25.667,25.668,1933,0
2016-08-25,25.733,25.781,25.714,25.714,6648,0
2016-08-26,25.801,25.801,25.247,25.371,524,0
2016-08-29,25.448,25.685,25.448,25.668,2788,0
2016-08-30,25.658,25.658,25.505,25.533,1748,0
2016-08-31,25.752,25.752,25.477,25.477,3541,0
2016-09-01,25.391,25.429,25.391,25.429,326,0
