Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,18.595,18.804,18.58,18.764,69594,0
2005-02-28,18.741,18.757,18.58,18.722,84854,0
2005-03-01,18.602,18.796,18.595,18.764,94563,0
2005-03-02,18.653,18.804,18.632,18.632,91321,0
2005-03-03,18.7,18.886,18.632,18.886,121493,0
2005-03-04,18.877,18.921,18.707,18.921,71401,0
2005-03-07,18.967,18.996,18.846,18.877,99076,0
2005-03-08,19.008,19.016,18.855,18.928,101015,0
2005-03-09,18.928,19.052,18.812,18.812,120885,0
2005-03-10,18.928,19.157,18.921,18.928,178476,0
2005-03-11,19.04,19.157,18.928,18.996,69094,0
2005-03-14,19.106,19.157,18.913,18.996,76130,0
2005-03-15,18.95,19.142,18.95,18.973,56132,0
2005-03-16,18.891,18.996,18.722,18.861,92072,0
2005-03-17,18.812,18.877,18.611,18.646,72203,0
2005-03-18,18.779,18.839,18.543,18.727,180639,0
2005-03-21,18.839,18.921,18.669,18.715,56556,0
2005-03-22,18.653,18.921,18.653,18.741,85481,0
2005-03-23,18.831,18.831,18.438,18.543,73332,0
2005-03-24,18.707,18.727,18.528,18.534,42210,0
2005-03-28,18.438,18.66,18.403,18.588,49700,0
2005-03-29,18.478,18.7,18.35,18.438,45000,0
2005-03-30,18.602,18.722,18.478,18.676,52739,0
2005-03-31,18.693,18.693,18.344,18.543,140077,0
2005-04-01,18.588,18.588,18.321,18.47,94422,0
2005-04-04,18.513,18.669,18.364,18.55,60879,0
2005-04-05,18.431,18.693,18.431,18.611,38085,0
2005-04-06,18.676,18.812,18.58,18.779,63620,0
2005-04-07,18.638,18.855,18.588,18.823,36581,0
2005-04-08,18.727,18.734,18.438,18.485,61763,0
2005-04-11,18.566,18.566,18.359,18.371,52468,0
2005-04-12,18.364,18.66,18.313,18.558,136578,0
2005-04-13,18.513,18.653,18.226,18.447,88383,0
2005-04-14,18.461,18.58,18.329,18.371,59098,0
2005-04-15,18.438,18.461,18.217,18.313,77947,0
2005-04-18,18.321,18.55,18.201,18.438,87463,0
2005-04-19,18.289,18.55,18.145,18.289,82856,0
2005-04-20,18.359,18.359,17.935,17.965,57281,0
2005-04-21,18.145,18.478,17.996,18.128,100213,0
2005-04-22,18.086,18.241,17.861,18.105,97264,0
2005-04-25,18.275,18.35,18.04,18.329,60950,0
2005-04-26,18.359,18.47,17.958,18.016,71163,0
2005-04-27,17.958,18.263,17.884,18.003,48886,0
2005-04-28,18.092,18.256,17.921,18.092,82589,0
2005-04-29,18.046,18.275,17.884,18.173,58296,0
2005-05-02,18.105,18.388,18.105,18.364,62917,0
2005-05-03,18.226,18.447,18.217,18.41,90988,0
2005-05-04,18.506,18.611,18.321,18.492,131304,0
2005-05-05,18.611,18.616,18.18,18.431,161255,0
2005-05-06,18.513,18.513,18.16,18.38,67291,0
2005-05-09,18.208,18.47,18.16,18.47,100866,0
2005-05-10,18.47,18.47,18.145,18.193,160340,0
2005-05-11,18.173,18.249,17.892,18.121,123812,0
2005-05-12,18.217,18.275,17.908,17.935,74675,0
2005-05-13,17.921,18.046,17.789,17.87,43260,0
2005-05-16,17.996,18.208,17.81,18.201,62204,0
2005-05-17,18.098,18.35,18.031,18.313,55592,0
2005-05-18,18.173,18.344,18.053,18.145,82910,0
2005-05-19,18.016,18.208,17.989,18.184,69311,0
2005-05-20,18.053,18.35,18.053,18.297,54604,0
2005-05-23,18.344,18.364,18.249,18.313,112057,0
2005-05-24,18.396,18.438,18.226,18.321,52654,0
