Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,20.139,20.352,20.139,20.352,4376,0
2005-02-28,20.338,20.338,20.338,20.338,1148,0
2005-03-07,20.331,20.331,20.133,20.31,1479,0
2005-03-14,20.094,20.233,20.094,20.233,1643,0
2005-03-15,20.094,20.094,20.094,20.094,158,0
2005-03-16,20.094,20.094,20.094,20.094,1049,0
2005-03-18,20.367,20.367,20.094,20.094,1269,0
2005-03-23,20.094,20.094,20.094,20.094,158,0
2005-03-24,20.094,20.094,20.094,20.094,3950,0
2005-03-28,20.094,20.094,20.094,20.094,241,0
2005-03-30,20.208,20.208,20.208,20.208,158,0
2005-04-07,20.094,20.094,20.094,20.094,332,0
2005-04-13,20.238,20.238,20.125,20.125,579,0
2005-04-14,20.246,20.4,20.246,20.4,4329,0
2005-04-15,20.4,20.49,20.4,20.43,2316,0
2005-04-18,20.706,20.706,20.605,20.605,1304,0
2005-04-19,20.706,20.706,20.246,20.246,5526,0
2005-04-20,20.697,20.697,20.697,20.697,158,0
2005-04-21,20.628,20.628,20.36,20.36,1855,0
2005-04-22,20.664,20.664,20.664,20.664,332,0
2005-04-26,20.688,20.706,20.688,20.706,1804,0
2005-04-28,20.246,20.246,20.246,20.246,158,0
2005-05-02,20.246,20.55,20.246,20.55,1276,0
2005-05-03,20.246,20.706,20.246,20.706,988,0
2005-05-04,20.278,20.55,20.246,20.55,4177,0
2005-05-11,20.742,21.123,20.644,21.123,25447,0
2005-05-13,22.477,22.477,22.074,22.074,4926,0
2005-05-16,20.712,21.313,20.712,21.313,972,0
2005-05-17,21.305,21.305,21.305,21.305,129,0
2005-05-19,21.313,21.313,21.313,21.313,2362,0
2005-05-20,20.605,20.628,20.246,20.246,2838,0
2005-05-24,20.171,20.688,19.982,20.612,2603,0
2005-05-25,19.95,19.95,19.95,19.95,256,0
2005-06-08,19.942,19.942,19.942,19.942,2380,0
2005-06-14,20.156,20.156,20.156,20.156,332,0
2005-06-15,19.942,20.316,19.942,20.316,394,0
2005-06-16,20.36,20.36,20.36,20.36,296,0
2005-06-17,20.094,20.094,19.805,19.805,12876,0
2005-06-20,20.148,20.148,20.018,20.018,8016,0
2005-06-21,19.789,19.789,19.789,19.789,1181,0
2005-06-22,19.447,19.789,19.447,19.789,3215,0
2005-06-23,19.895,19.895,19.888,19.895,394,0
2005-06-24,19.447,19.447,19.447,19.447,129,0
2005-06-27,19.967,19.967,19.967,19.967,129,0
2005-06-29,19.562,19.562,19.562,19.562,2362,0
2005-06-30,19.447,19.562,19.447,19.562,852,0
2005-07-06,19.786,19.786,19.761,19.761,1313,0
2005-07-13,19.455,19.455,19.447,19.447,1313,0
2005-07-15,19.691,19.691,19.691,19.691,129,0
