Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,7.0444,7.0444,7.0444,7.0444,3935,0
2005-02-28,7.1071,7.1071,7.0234,7.0234,9557,0
2005-03-01,7.0376,7.253,7.0234,7.253,9171,0
2005-03-02,7.2946,7.2946,7.1835,7.1835,3613,0
2005-03-03,7.0862,7.0862,7.0862,7.0862,1195,0
2005-03-04,7.0931,7.0931,7.0652,7.0652,1082,0
2005-03-07,7.0514,7.2113,7.0444,7.2113,4320,0
2005-03-10,7.1209,7.1209,7.0862,7.0862,1440,0
2005-03-11,7.0234,7.3022,7.0234,7.1626,12324,0
2005-03-14,7.2044,7.2044,7.0652,7.1487,2238,0
2005-03-15,7.0234,7.0234,6.9401,6.9401,7442,0
2005-03-16,6.8984,6.8984,6.8984,6.8984,1056,0
2005-03-21,7.0028,7.0028,6.8705,6.8705,2402,0
2005-03-30,6.8567,6.8567,6.8567,6.8567,364,0
2005-04-04,6.9611,6.9611,6.9611,6.9611,1920,0
2005-04-05,6.9611,7.0028,6.9611,6.9611,6725,0
2005-04-06,6.8567,6.8567,6.8567,6.8567,24248,0
2005-04-07,6.8429,6.9193,6.8219,6.8984,8150,0
2005-04-08,6.7939,6.8775,6.7524,6.8775,1679,0
2005-04-11,6.8356,6.8356,6.8356,6.8356,287,0
2005-04-12,6.8705,6.8705,6.8705,6.8705,601,0
2005-04-14,6.7107,6.7107,6.6759,6.7035,3362,0
2005-04-15,6.648,6.6897,6.6202,6.6897,2761,0
2005-04-18,6.6064,6.6064,6.6064,6.6064,632,0
2005-04-19,6.801,7.1071,6.7107,6.7107,57418,0
2005-04-21,6.8219,6.8219,6.7107,6.7107,3352,0
2005-04-25,6.9124,6.9124,6.6273,6.6273,44684,0
2005-04-26,6.9193,6.9401,6.7524,6.9401,2170,0
2005-04-29,6.8775,6.8775,6.8775,6.8775,2402,0
2005-05-02,6.8984,6.8984,6.8984,6.8984,481,0
2005-05-03,6.7107,6.7107,6.509,6.5575,10676,0
2005-05-04,6.6273,6.6273,6.4741,6.4741,7683,0
2005-05-05,6.5715,6.5854,6.4672,6.5854,50387,0
2005-05-09,6.5854,6.5854,6.4326,6.5508,1440,0
2005-05-10,6.2865,6.509,6.2865,6.2865,4369,0
2005-05-11,6.3004,6.4951,6.029,6.1335,21371,0
2005-05-12,6.4672,6.488,6.4672,6.488,2587,0
2005-05-13,6.384,6.6411,6.384,6.5436,6634,0
2005-05-16,6.5715,6.5854,6.5508,6.5508,1476,0
2005-05-17,6.5508,6.5854,6.5508,6.5854,16086,0
2005-05-18,6.5854,6.5854,6.5785,6.5785,2161,0
2005-05-19,6.4253,6.4253,6.4253,6.4253,1151,0
2005-05-25,6.5298,6.5298,6.5298,6.5298,718,0
2005-05-26,6.5785,6.6411,6.5785,6.6411,7442,0
2005-05-31,6.5854,6.5854,6.5854,6.5854,1196,0
2005-06-01,6.5854,6.5854,6.5854,6.5854,4683,0
2005-06-02,6.5508,6.5508,6.4672,6.4672,2279,0
2005-06-03,6.509,6.509,6.4951,6.4951,543,0
2005-06-06,6.5785,6.5785,6.4951,6.4951,2036,0
2005-06-07,6.4672,6.4951,6.4672,6.4951,1106,0
2005-06-09,6.4672,6.4672,6.4672,6.4672,238,0
2005-06-10,6.5854,6.5854,6.5854,6.5854,481,0
2005-06-13,6.509,6.5159,6.2656,6.384,7793,0
2005-06-14,6.488,6.5854,6.488,6.5854,7325,0
2005-06-15,6.3073,6.3768,6.3073,6.3768,2161,0
2005-06-21,6.3558,6.3558,6.2585,6.2585,960,0
2005-06-23,6.2585,6.2725,6.2585,6.2585,3409,0
2005-06-27,6.3212,6.3212,6.3212,6.3212,794,0
2005-06-28,6.3142,6.5436,6.3142,6.37,4739,0
2005-06-30,6.5368,6.5436,6.2794,6.2794,3068,0
2005-07-05,6.5298,6.5298,6.3558,6.5159,4210,0
2005-07-06,6.5159,6.5159,6.5159,6.5159,238,0
2005-07-07,6.3073,6.5298,6.3073,6.5298,1007,0
2005-07-08,6.5436,6.5436,6.5436,6.5436,238,0
2005-07-11,6.4253,6.5508,6.4253,6.5508,5207,0
2005-07-12,6.4253,6.648,6.4253,6.648,481,0
2005-07-13,6.6688,6.8497,6.6688,6.8497,2519,0
2005-07-14,6.8984,7.0999,6.8984,7.0444,5526,0
2005-07-15,7.142,7.2044,7.1071,7.1071,7549,0
2005-07-18,7.1626,7.1835,7.0028,7.1626,1669,0
2005-07-19,7.1626,7.3093,7.1626,7.3093,718,0
2005-07-21,7.2875,7.2875,7.2459,7.2875,3217,0
2005-07-22,7.4135,7.4481,7.3022,7.4481,3591,0
2005-07-25,7.4551,7.5384,7.4067,7.5384,10164,0
2005-07-26,7.5384,7.6021,7.5384,7.6021,5278,0
2005-07-27,7.6221,7.6221,7.6221,7.6221,718,0
2005-07-28,7.6554,7.8655,7.6554,7.8218,4803,0
2005-07-29,7.6348,7.9284,7.6348,7.9284,2402,0
2005-08-01,7.9491,7.9899,7.9491,7.9899,4414,0
2005-08-02,8.0326,8.0326,8.0184,8.0326,9274,0
2005-08-03,8.0326,8.0677,8.0326,8.0677,1990,0
2005-08-04,8.0677,8.0813,8.0454,8.0454,4398,0
2005-08-05,8.0813,8.0813,8.0326,8.0326,11046,0
2005-08-08,8.0111,8.0111,7.552,7.7691,5744,0
2005-08-09,7.7947,7.801,7.7947,7.801,1440,0
2005-08-10,7.6221,7.6221,7.6221,7.6221,238,0
2005-08-11,8.0256,8.0256,8.0184,8.0184,960,0
2005-08-12,7.7826,7.7826,7.762,7.762,1007,0
2005-08-15,7.6554,7.762,7.6554,7.762,907,0
2005-08-17,7.6554,7.6554,7.6221,7.6221,3456,0
2005-08-18,7.6554,7.6983,7.6554,7.6983,1297,0
2005-08-19,7.7407,7.7407,7.7407,7.7407,481,0
2005-08-22,7.6554,7.6554,7.6554,7.6554,1442,0
2005-08-25,7.6554,7.6554,7.6554,7.6554,1440,0
2005-08-26,7.6554,7.6554,7.6554,7.6554,5173,0
2005-08-29,7.8513,7.8513,7.8513,7.8513,238,0
2005-08-30,7.9004,7.9213,7.9004,7.9213,1196,0
2005-08-31,7.9284,7.9355,7.9213,7.9213,8990,0
2005-09-01,8.0326,8.2126,8.0326,8.2126,4561,0
2005-09-02,8.0326,8.0326,8.0326,8.0326,1584,0
2005-09-06,8.0326,8.0326,8.0326,8.0326,3724,0
2005-09-07,8.0326,8.0326,8.0326,8.0326,718,0
2005-09-08,7.8289,7.8289,7.8289,7.8289,996,0
2005-09-12,8.234,8.234,8.234,8.234,238,0
2005-09-13,8.234,8.234,8.234,8.234,589,0
2005-09-15,8.0326,8.0326,8.0184,8.0184,853,0
2005-09-16,7.8218,7.8218,7.8218,7.8218,1140,0
2005-09-21,7.7056,7.7056,7.5449,7.5449,3896,0
2005-09-23,7.5165,7.5591,7.4551,7.4551,14171,0
2005-09-27,7.5384,7.5878,7.5235,7.5235,960,0
2005-09-28,7.5878,7.6841,7.5878,7.6348,2642,0
2005-09-29,7.5384,7.5384,7.5384,7.5384,1584,0
2005-09-30,7.5878,7.9284,7.5734,7.8727,3118,0
2005-10-03,7.801,7.801,7.6761,7.6841,2256,0
2005-10-04,7.7691,7.8369,7.7691,7.8369,1440,0
2005-10-05,7.7826,7.7883,7.7826,7.7826,1920,0
2005-10-06,7.7826,7.7826,7.6483,7.6483,1967,0
2005-10-12,7.5165,7.5165,7.5165,7.5165,2938,0
2005-10-13,7.5165,7.5165,7.4348,7.4348,1920,0
2005-10-14,7.4135,7.4135,7.4135,7.4135,5568,0
2005-10-17,7.4135,7.72,7.4135,7.72,31918,0
2005-10-19,7.4955,7.8218,7.4955,7.8218,1252,0
2005-10-20,7.72,7.72,7.4551,7.4616,1877,0
2005-10-21,7.7262,7.7333,7.6221,7.6221,1712,0
2005-10-24,7.6221,7.9142,7.6221,7.9142,1272,0
2005-10-25,7.8218,7.8218,7.72,7.72,1756,0
2005-10-26,7.7883,7.7883,7.72,7.72,3723,0
2005-10-27,7.762,7.7826,7.762,7.762,8042,0
2005-10-28,7.762,7.762,7.6554,7.6554,4204,0
2005-10-31,7.8075,7.9142,7.6761,7.7826,6769,0
2005-11-01,7.9683,7.9683,7.8218,7.9683,1236,0
2005-11-02,8.0111,8.0111,8.0111,8.0111,287,0
2005-11-03,7.8655,7.8655,7.8655,7.8655,238,0
2005-11-04,8.0326,8.0748,7.8289,7.8289,1777,0
2005-11-07,8.1218,8.234,8.1218,8.234,1679,0
2005-11-08,8.2556,8.2762,7.9062,8.1354,8040,0
2005-11-09,8.2762,8.2762,8.1354,8.1354,2881,0
2005-11-10,8.3229,8.686,8.3229,8.686,10085,0
2005-11-11,9.0543,9.0829,8.7825,9.0615,12508,0
2005-11-14,9.1232,9.1232,9.0615,9.0615,10915,0
2005-11-15,9.0615,9.0615,8.7325,8.9291,13851,0
2005-11-16,8.7476,8.7476,8.6716,8.6716,1502,0
2005-11-17,8.6716,8.8326,8.6716,8.8112,4194,0
2005-11-18,8.6099,8.6501,8.6099,8.6099,1920,0
2005-11-21,8.5044,8.6501,8.5044,8.6501,3295,0
2005-11-23,8.6501,8.6501,8.5474,8.5474,2642,0
2005-11-29,8.846,8.846,8.7762,8.7762,718,0
2005-11-30,8.7476,8.7476,8.7476,8.7476,238,0
2005-12-01,8.7476,8.7691,8.7476,8.7476,2860,0
2005-12-02,8.7691,8.8532,8.7476,8.8532,3601,0
2005-12-05,9.1723,9.1723,8.9426,8.9426,4683,0
2005-12-06,8.9497,8.9497,8.7557,8.7557,718,0
2005-12-13,8.8532,8.957,8.8532,8.9006,15641,0
2005-12-14,8.8532,8.8532,8.5536,8.7476,7031,0
2005-12-16,8.7476,8.7476,8.7476,8.7476,238,0
2005-12-21,8.6501,8.6501,8.6501,8.6501,718,0
2005-12-27,8.6501,8.6501,8.3519,8.3519,1920,0
2005-12-28,8.3378,8.3378,8.2484,8.316,2161,0
2006-01-03,8.2054,8.2054,7.9355,8.0326,10185,0
2006-01-04,8.0382,8.0382,7.9062,7.9062,960,0
2006-01-05,8.0326,8.0326,8.0326,8.0326,481,0
2006-01-06,7.9284,7.9284,7.9284,7.9284,718,0
2006-01-10,8.234,8.234,8.0326,8.0326,485,0
2006-01-13,8.2701,8.2762,8.2126,8.2762,1679,0
2006-01-19,8.0454,8.0454,8.0454,8.0454,481,0
2006-01-20,8.0326,8.234,8.0326,8.234,718,0
2006-01-23,8.0748,8.1354,8.0748,8.1354,718,0
2006-01-24,8.191,8.3579,8.191,8.3378,15430,0
2006-01-26,8.2961,8.2961,8.2126,8.2126,1440,0
2006-01-30,8.3378,8.3378,8.3378,8.3378,960,0
2006-01-31,8.2961,8.2961,8.2961,8.2961,238,0
2006-02-01,8.3378,8.3378,8.3378,8.3378,481,0
2006-02-02,8.2961,8.3378,8.2961,8.3378,4515,0
2006-02-06,8.2961,8.2961,8.2961,8.2961,794,0
2006-02-07,8.2961,8.2961,8.1354,8.1354,3770,0
2006-02-08,8.3378,8.3378,8.3378,8.3378,238,0
2006-02-13,8.1712,8.1712,8.1712,8.1712,314,0
2006-02-14,8.1712,8.1712,8.1712,8.1712,783,0
2006-02-15,8.5751,8.5751,8.5751,8.5751,601,0
2006-02-16,8.4833,8.4833,8.4833,8.4833,972,0
2006-02-17,8.4833,8.4833,8.4833,8.4833,238,0
2006-02-21,8.3448,8.4425,8.3448,8.4425,4417,0
2006-02-22,8.541,8.7405,8.541,8.7405,6964,0
2006-02-24,8.541,8.541,8.541,8.541,1440,0
2006-02-27,8.7825,9.4698,8.7825,9.3039,22714,0
2006-02-28,9.3039,9.576,9.3039,9.576,6739,0
2006-03-01,9.576,9.709,9.57,9.709,11946,0
2006-03-02,9.881,9.979,9.881,9.979,7634,0
2006-03-03,10.173,10.576,10.173,10.576,12089,0
2006-03-06,10.18,10.639,10.18,10.293,8310,0
2006-03-07,10.293,10.293,10.193,10.271,1633,0
2006-03-08,10.193,10.193,10.193,10.193,599,0
2006-03-09,10.133,10.293,10.133,10.293,5594,0
2006-03-10,10.293,10.293,10.271,10.271,3601,0
2006-03-13,10.271,10.271,10.207,10.245,1633,0
2006-03-14,10.271,10.293,10.257,10.265,7011,0
2006-03-15,10.111,10.479,10.111,10.2,8516,0
2006-03-16,10.098,10.459,10.098,10.452,2881,0
2006-03-17,10.2,10.41,10.2,10.41,1421,0
2006-03-20,10.439,10.5,10.293,10.293,7926,0
2006-03-21,10.271,10.5,10.271,10.396,4406,0
2006-03-22,10.293,10.293,10.251,10.251,840,0
2006-03-27,10.286,10.286,10.271,10.286,2161,0
2006-03-28,10.396,10.396,10.347,10.347,1491,0
2006-03-29,10.493,10.778,10.382,10.778,13416,0
2006-03-30,10.822,11.843,10.822,11.557,24848,0
2006-03-31,11.752,11.911,11.571,11.571,20794,0
2006-04-03,11.731,11.878,11.53,11.634,18678,0
2006-04-04,11.634,11.634,11.41,11.571,5695,0
2006-04-05,11.698,11.872,11.357,11.53,2185,0
2006-04-06,11.613,11.878,11.551,11.822,10809,0
2006-04-07,11.843,12.342,11.765,12.342,24814,0
2006-04-10,12.301,12.301,12.122,12.253,9280,0
2006-04-11,12.232,12.232,12.105,12.105,2402,0
2006-04-12,12.105,12.105,11.911,11.911,10512,0
2006-04-17,11.712,11.858,10.87,10.973,9940,0
2006-04-18,10.877,11.106,10.459,10.459,3503,0
2006-04-19,10.749,10.749,10.376,10.452,8500,0
2006-04-20,10.446,10.619,10.207,10.23,7804,0
2006-04-21,10.133,10.133,10.09,10.09,1400,0
2006-04-24,9.979,10.033,9.819,9.896,14298,0
2006-04-25,9.881,9.881,9.791,9.861,6243,0
2006-04-26,9.758,9.833,9.724,9.833,5051,0
2006-04-27,9.702,9.833,9.702,9.833,6201,0
2006-04-28,9.833,9.833,9.784,9.784,4406,0
2006-05-01,10.619,10.619,9.665,9.811,48262,0
2006-05-02,9.688,9.881,9.688,9.763,6051,0
2006-05-03,9.758,9.875,9.758,9.875,8200,0
2006-05-04,10.133,10.133,9.811,9.811,3799,0
2006-05-05,9.881,9.881,9.833,9.861,2702,0
2006-05-08,9.881,10.18,9.881,10.133,17174,0
2006-05-09,10.23,10.23,10.098,10.105,1443,0
2006-05-10,10.133,10.154,10.127,10.133,7797,0
2006-05-11,10.154,10.154,9.861,9.999,2765,0
2006-05-12,10.013,10.2,9.937,10.033,26364,0
2006-05-15,10.2,10.2,10.055,10.055,3229,0
2006-05-16,9.881,10.127,9.881,9.972,4570,0
2006-05-17,9.833,9.987,9.784,9.881,8710,0
2006-05-18,9.709,9.791,9.709,9.791,5008,0
2006-05-19,9.819,9.819,9.819,9.819,481,0
2006-05-22,9.819,9.819,9.751,9.751,1282,0
2006-05-23,9.881,9.881,9.861,9.881,5805,0
2006-05-24,9.881,10.033,9.881,10.033,9284,0
2006-05-25,9.881,9.881,9.881,9.881,1600,0
2006-05-26,9.881,9.881,9.758,9.758,5649,0
2006-05-30,9.688,9.758,9.688,9.758,1442,0
2006-05-31,9.797,9.811,9.797,9.811,1855,0
2006-06-01,9.811,10.013,9.811,9.861,18910,0
2006-06-05,9.758,9.777,9.758,9.758,3218,0
2006-06-06,9.758,9.758,9.758,9.758,806,0
2006-06-07,9.673,9.673,9.673,9.673,530,0
2006-06-08,9.673,9.688,9.673,9.688,5110,0
2006-06-09,9.688,9.688,9.688,9.688,4206,0
2006-06-12,9.673,9.673,9.673,9.673,355,0
2006-06-13,9.673,9.91,9.673,9.875,7146,0
2006-06-14,9.896,9.896,9.896,9.896,399,0
2006-06-15,10.118,10.133,10.02,10.133,17067,0
2006-06-19,9.777,10.007,9.658,9.999,27425,0
2006-06-21,9.93,9.93,9.93,9.93,666,0
2006-06-23,9.758,9.758,9.758,9.758,7040,0
2006-06-26,9.758,9.758,9.758,9.758,287,0
2006-06-27,10.133,10.133,10.133,10.133,202,0
2006-06-29,9.791,9.791,9.688,9.688,2002,0
2006-06-30,10.154,10.257,10.154,10.154,3509,0
2006-07-03,10.154,10.154,10.154,10.154,540,0
2006-07-05,10.133,10.18,10.133,10.18,2190,0
2006-07-06,10.007,10.007,10.007,10.007,313,0
2006-07-10,10.133,10.133,10.013,10.047,1654,0
2006-07-11,9.881,9.881,9.881,9.881,2338,0
2006-07-12,9.743,9.758,9.743,9.758,16422,0
2006-07-13,9.636,9.636,9.636,9.636,276,0
2006-07-17,9.591,10.013,9.591,9.636,5265,0
2006-07-18,9.604,10.133,9.513,9.513,3403,0
2006-07-19,9.52,9.694,9.3667,9.3667,12466,0
2006-07-20,9.4351,9.556,9.4351,9.443,11630,0
2006-07-21,9.4499,9.644,8.5474,8.8871,56904,0
2006-07-24,8.9078,9.3253,8.8942,9.2627,6599,0
2006-07-25,9.3181,9.4579,9.2914,9.3529,7146,0
