Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,21.226,21.226,20.86,20.86,28071,0
2005-02-28,21.051,21.051,20.766,20.813,48310,0
2005-03-01,20.785,21.291,20.766,21.217,52171,0
2005-03-02,21.226,22.191,21.226,21.961,9377,0
2005-03-03,21.951,21.961,21.837,21.876,4973,0
2005-03-04,21.951,22.018,21.769,22.009,28226,0
2005-03-07,22.105,22.24,21.722,22.009,17579,0
2005-03-08,21.884,22.24,21.884,22.056,57750,0
2005-03-09,22.201,22.201,21.913,22.154,11494,0
2005-03-10,21.788,21.922,21.358,21.398,4583,0
2005-03-11,21.348,21.368,21.329,21.358,11637,0
2005-03-14,21.329,21.329,20.86,20.957,29917,0
2005-03-15,20.976,21.061,20.909,21.061,14712,0
2005-03-16,20.967,21.236,20.918,21.148,10963,0
2005-03-17,20.976,21.1,20.937,21.1,14932,0
2005-03-18,21.1,21.388,21.051,21.08,15983,0
2005-03-21,20.909,21.051,20.86,20.86,8138,0
2005-03-22,21.244,21.244,19.999,20.343,82276,0
2005-03-23,20.239,20.431,20.191,20.336,80674,0
2005-03-24,20.343,21.129,20.268,20.718,13899,0
2005-03-28,20.61,20.61,20.381,20.381,17120,0
2005-03-29,20.297,20.401,20.104,20.114,20621,0
2005-03-30,19.884,20.86,19.884,20.431,8763,0
2005-03-31,20.381,20.431,19.828,19.828,3501,0
2005-04-01,19.618,20.239,19.618,20.22,11777,0
2005-04-04,20.23,20.23,19.856,20.104,7278,0
2005-04-05,19.932,21.244,19.932,20.967,54852,0
2005-04-06,20.736,20.785,20.63,20.718,1203,0
2005-04-07,20.602,20.927,20.602,20.927,33439,0
2005-04-08,20.62,20.899,20.62,20.766,8936,0
2005-04-11,20.766,20.794,20.431,20.431,2823,0
2005-04-12,20.297,20.527,20.297,20.479,4442,0
2005-04-13,20.563,20.736,20.451,20.65,17336,0
2005-04-14,20.65,20.679,20.592,20.592,7371,0
2005-04-15,20.582,20.699,20.508,20.527,25622,0
2005-04-18,20.498,20.67,20.498,20.66,76516,0
2005-04-19,20.451,20.823,20.451,20.794,7841,0
2005-04-20,20.679,20.794,20.63,20.794,4036,0
2005-04-21,20.803,21.051,20.766,21.041,17491,0
2005-04-22,21.051,21.769,20.431,20.756,149329,0
2005-04-25,20.766,20.813,20.708,20.756,18115,0
2005-04-26,20.563,20.957,20.336,20.391,55548,0
2005-04-27,20.343,20.957,20.326,20.937,76776,0
2005-04-28,20.957,20.957,20.21,20.794,17458,0
2005-04-29,20.957,20.957,20.479,20.508,16459,0
2005-05-02,20.582,20.679,20.239,20.239,3386,0
2005-05-03,20.573,20.718,20.22,20.679,22791,0
2005-05-04,20.689,20.689,20.47,20.67,13162,0
2005-05-05,20.67,20.679,20.63,20.66,20589,0
2005-05-06,20.431,20.766,20.287,20.67,12830,0
2005-05-09,20.381,21.041,20.381,20.985,3058,0
2005-05-10,21.041,21.492,20.967,21.444,7796,0
2005-05-11,21.167,21.676,21.167,21.56,31753,0
2005-05-12,21.434,22.056,21.434,21.712,85163,0
2005-05-13,22.085,22.145,21.54,21.704,29887,0
2005-05-16,21.53,21.732,21.244,21.501,10202,0
2005-05-17,21.501,21.501,21.167,21.167,11023,0
2005-05-18,21.311,21.51,21.291,21.319,14909,0
2005-05-19,21.339,21.434,21.148,21.358,13109,0
2005-05-20,21.358,21.55,21.158,21.226,39979,0
2005-05-23,21.148,21.339,20.985,20.985,62460,0
2005-05-24,20.88,21.197,20.88,20.995,5620,0
2005-05-25,20.889,20.985,20.823,20.899,4495,0
2005-05-26,20.803,20.967,20.699,20.918,10606,0
2005-05-27,20.995,21.07,20.86,21.07,5352,0
2005-05-31,20.86,21.378,20.86,21.311,11704,0
2005-06-01,21.226,22.297,21.12,22.268,26292,0
2005-06-02,22.297,23.156,22.21,22.633,44588,0
2005-06-03,22.477,23.1,22.477,23.09,9102,0
2005-06-06,23.1,23.1,22.249,23.061,20135,0
2005-06-07,22.957,23.28,22.633,23.252,33572,0
2005-06-08,22.89,23.252,22.89,23.242,19753,0
2005-06-09,23.242,23.838,23.052,23.674,30046,0
2005-06-10,23.674,23.683,23.473,23.683,13108,0
2005-06-13,23.674,23.674,23.465,23.533,8578,0
2005-06-14,23.445,23.445,22.967,22.986,20095,0
2005-06-15,23.29,23.3,23.09,23.139,15923,0
2005-06-16,23.206,23.683,23.156,23.683,40032,0
2005-06-17,23.683,24.056,23.493,24.018,30484,0
2005-06-20,23.961,23.961,23.876,23.961,33569,0
2005-06-21,23.923,23.923,23.416,23.751,10841,0
2005-06-22,23.799,23.914,23.493,23.914,34032,0
2005-06-23,23.923,23.923,23.119,23.436,13974,0
2005-06-24,23.28,23.493,22.986,23.234,662947,0
2005-06-27,23.206,23.206,22.352,22.937,43945,0
2005-06-28,22.735,23.196,22.687,23.119,20919,0
2005-06-29,22.918,23.206,22.918,23.196,16691,0
2005-06-30,23.043,23.206,22.536,22.967,19185,0
2005-07-01,22.812,22.967,22.526,22.822,20388,0
2005-07-05,22.822,23.139,22.812,23.08,16975,0
2005-07-06,23.148,23.206,22.937,22.996,32444,0
2005-07-07,23.1,23.148,22.497,23.016,51645,0
2005-07-08,23.016,23.061,22.477,22.765,21423,0
2005-07-11,22.706,23.206,22.706,23.119,29784,0
2005-07-12,22.918,23.206,22.774,22.918,41636,0
