Date,Open,High,Low,Close,Volume,OpenInt
2016-09-28,25.562,25.562,24.733,24.733,7195,0
2016-09-30,24.783,24.783,24.783,24.783,100,0
2016-10-03,24.683,24.683,24.683,24.683,804,0
2016-10-04,24.577,24.577,24.577,24.577,1014,0
2016-10-05,24.753,24.754,24.753,24.754,2026,0
2016-10-06,24.645,24.645,24.645,24.645,110,0
2016-11-01,23.717,23.717,23.717,23.717,305,0
2016-11-02,24.674,24.674,23.352,23.352,9555,0
2016-11-09,24.557,24.557,24.542,24.542,3105,0
2016-11-10,24.963,24.963,24.963,24.963,354,0
2016-11-14,25.809,25.809,25.809,25.809,4906,0
2016-11-16,27.023,27.023,27.023,27.023,305,0
2016-11-21,26.393,26.393,26.393,26.393,330,0
2016-11-22,26.579,26.708,26.579,26.708,385,0
2016-11-23,27.003,27.003,27.003,27.003,241,0
2016-11-28,27.211,27.211,26.697,26.697,6689,0
2016-11-29,26.737,26.737,26.737,26.737,760,0
2016-12-01,26.891,26.891,26.891,26.891,709,0
2016-12-02,26.639,26.639,26.427,26.541,609,0
2016-12-05,25.385,26.531,25.385,26.531,204,0
2016-12-08,27.771,27.803,27.771,27.803,305,0
2016-12-12,28.119,28.119,27.803,27.803,256,0
2016-12-14,27.518,27.606,27.518,27.535,2325,0
2016-12-15,27.626,27.626,27.566,27.566,8970,0
2016-12-16,27.686,27.686,27.566,27.566,3432,0
2016-12-19,27.537,27.537,27.537,27.537,100,0
2016-12-20,27.813,27.813,27.813,27.813,891,0
2016-12-21,27.823,27.823,27.744,27.744,260,0
2016-12-22,27.744,27.744,27.458,27.498,1499,0
2016-12-23,27.557,27.557,27.557,27.557,720,0
2016-12-28,27.582,27.582,27.582,27.582,168,0
2016-12-29,27.413,27.413,27.413,27.413,977,0
2016-12-30,27.383,27.383,27.366,27.366,419,0
2017-01-03,27.333,27.333,27.333,27.333,100,0
2017-01-09,27.383,27.383,27.383,27.383,102,0
2017-01-10,27.642,27.642,27.642,27.642,258,0
2017-01-13,27.73,27.73,27.622,27.622,359,0
2017-01-17,27.332,27.332,27.332,27.332,201,0
2017-01-18,27.225,27.315,27.225,27.314,575,0
2017-01-24,27.285,27.285,27.285,27.285,304,0
2017-01-25,27.672,27.672,27.483,27.483,1500,0
2017-01-30,27.156,27.156,27.156,27.156,102,0
2017-02-01,27.373,27.373,27.334,27.334,727,0
2017-02-02,27.284,27.285,27.284,27.285,492,0
2017-02-03,27.73,27.73,27.73,27.73,2566,0
2017-02-06,27.483,27.483,27.483,27.483,555,0
2017-02-08,27.225,27.225,27.225,27.225,203,0
2017-02-09,27.809,27.809,27.809,27.809,555,0
2017-02-10,27.968,28.018,27.849,28.013,2596,0
2017-02-14,28.028,28.028,28.028,28.028,100,0
2017-02-15,28.088,28.251,28.088,28.251,1191,0
2017-02-16,28.226,28.226,28.226,28.226,304,0
2017-02-17,28.236,28.236,28.214,28.214,266,0
2017-02-21,29.701,29.701,28.374,28.464,2438,0
2017-02-23,28.226,28.226,28.048,28.136,1576,0
2017-02-27,28.176,28.364,28.176,28.364,485,0
2017-02-28,28.136,28.136,27.897,27.918,1981,0
2017-03-01,28.492,28.492,28.492,28.492,253,0
2017-03-03,28.126,28.126,28.038,28.078,479,0
2017-03-08,27.789,27.789,27.73,27.73,369,0
2017-03-09,27.75,27.75,27.632,27.632,253,0
2017-03-10,27.522,27.552,27.51,27.551,3958,0
2017-03-13,27.71,27.71,27.71,27.71,180,0
2017-03-14,27.632,27.632,27.632,27.632,198,0
2017-03-16,28.048,28.078,28.048,28.068,2049,0
2017-03-17,28.176,28.176,28.176,28.176,1006,0
2017-03-20,28.176,28.176,27.968,28.008,2019,0
2017-03-24,27.503,27.632,27.503,27.592,1886,0
2017-03-27,27.493,27.493,27.493,27.493,379,0
2017-03-31,28.186,28.186,28.186,28.186,683,0
2017-04-11,27.802,27.802,27.664,27.781,466,0
2017-04-20,27.921,28.041,27.921,28.041,338,0
2017-04-25,28.687,28.716,28.687,28.716,262,0
2017-04-27,28.836,28.836,28.826,28.826,3148,0
2017-05-01,28.547,28.547,28.547,28.547,190,0
2017-05-02,28.547,28.547,28.547,28.547,503,0
2017-05-04,28.289,28.289,28.19,28.19,863,0
2017-05-09,28.35,28.35,28.299,28.299,826,0
2017-05-17,27.814,27.814,27.495,27.495,1419,0
2017-05-18,27.684,27.684,27.684,27.684,918,0
2017-05-22,27.971,27.971,27.971,27.971,651,0
2017-05-24,28.1,28.1,28.003,28.003,305,0
2017-05-25,28.269,28.269,28.13,28.13,1947,0
2017-05-26,28.269,28.269,28.269,28.269,1712,0
2017-05-30,28.017,28.017,28.017,28.017,205,0
2017-06-02,28.666,28.766,28.637,28.766,537,0
2017-06-06,28.368,28.597,28.368,28.557,2408,0
2017-06-08,28.682,28.682,28.655,28.655,228,0
2017-06-09,29.053,29.053,29.053,29.053,805,0
2017-06-12,28.866,28.866,28.866,28.866,21733,0
2017-06-13,28.982,28.982,28.982,28.982,202,0
2017-06-15,28.736,28.964,28.736,28.964,1752,0
2017-06-20,28.736,28.736,28.554,28.554,705,0
2017-06-28,28.081,28.904,28.081,28.904,523,0
2017-06-29,28.993,28.993,28.954,28.954,2996,0
2017-06-30,28.716,28.716,28.686,28.686,303,0
2017-07-03,28.7,28.7,28.7,28.7,100,0
2017-07-05,28.595,28.595,28.595,28.595,201,0
2017-07-06,28.466,28.525,28.466,28.525,1175,0
2017-07-07,28.675,28.675,28.675,28.675,332,0
2017-07-11,28.545,28.655,28.485,28.515,5905,0
2017-07-18,28.795,28.923,28.795,28.923,382,0
2017-07-27,29.213,29.213,29.213,29.213,3013,0
2017-07-31,28.943,28.954,28.943,28.954,502,0
2017-08-03,28.665,28.665,28.665,28.665,171,0
2017-08-07,28.585,28.715,28.585,28.665,302,0
2017-08-11,27.817,27.817,27.749,27.786,1090,0
2017-08-21,27.49,27.49,27.49,27.49,201,0
2017-08-28,27.809,27.809,27.767,27.767,302,0
2017-09-06,28.028,28.067,28.028,28.067,216,0
2017-09-25,29.055,29.055,29.055,29.055,352,0
2017-09-28,29.9,29.94,29.9,29.92,5425,0
2017-09-29,29.98,30.127,29.98,30.067,737,0
2017-10-02,30.162,30.202,30.162,30.202,1145,0
2017-10-13,30.091,30.091,30.091,30.091,196,0
2017-10-17,30.01,30.01,30.01,30.01,214,0
2017-10-19,30.023,30.023,30.023,30.023,140,0
2017-10-30,30.023,30.023,29.979,29.979,977,0
2017-10-31,30.401,30.401,30.401,30.401,165,0
2017-12-01,30.686,30.686,30.686,30.686,257,0
2017-12-04,30.974,30.974,30.92,30.92,370,0
2017-12-08,31.419,31.419,30.721,30.721,641,0
2017-12-14,30.34,30.34,30.34,30.34,201504,0
2017-12-20,31.044,31.044,31.044,31.044,201,0
2017-12-21,31.219,31.219,31.219,31.219,471,0
2017-12-22,31.069,31.069,31.069,31.069,160,0
2017-12-26,31.166,31.229,31.166,31.229,612,0
2017-12-27,31.22,31.22,31.22,31.22,200,0
2017-12-28,31.205,31.205,31.205,31.205,100,0
2017-12-29,31.71,31.71,31.71,31.71,587,0
2018-01-02,31.239,31.31,31.239,31.27,626,0
2018-01-03,31.27,31.3452,31.27,31.2748,3341,0
2018-01-08,31.533,31.533,31.533,31.533,200,0
2018-01-09,33.19,33.19,31.5645,31.5645,277,0
2018-01-10,31.3999,31.5029,31.3999,31.5029,258,0
2018-01-11,32.075,32.075,32.075,32.075,150251,0
2018-01-12,32.2009,32.2009,32.2009,32.2009,151,0
2018-01-22,32.3901,32.4633,32.3801,32.4633,735,0
2018-01-23,32.85,32.85,32.73,32.76,960,0
2018-01-25,32.45,32.4599,32.45,32.4599,200551,0
2018-01-26,32.71,32.71,32.71,32.71,113,0
2018-01-30,32.27,32.27,32.1214,32.1214,5053,0
2018-02-01,32.165,32.165,32.165,32.165,201,0
2018-02-02,31.73,31.73,31.73,31.73,317,0
2018-02-07,31.95,31.95,31.95,31.95,505,0
2018-02-09,29.21,29.75,29.21,29.75,5110,0
2018-02-12,30.042,30.042,30.042,30.042,202,0
2018-02-13,30.255,30.255,30.255,30.255,201,0
2018-02-15,31.12,31.1871,31.11,31.1871,201181,0
2018-02-27,31.255,31.255,31.255,31.255,100,0
2018-03-01,30.722,30.722,30.5981,30.5981,384,0
2018-03-02,30.91,30.91,30.9086,30.9086,251,0
2018-03-20,32.08,32.08,32.08,32.08,6800,0
2018-03-23,31.3251,31.3661,31.29,31.29,647,0
2018-03-26,31.37,31.37,31.37,31.37,400,0
