Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,7.4492,7.665,7.4095,7.5899,124851,0
2005-02-28,7.524,7.612,7.3697,7.3697,90940,0
2005-03-01,7.3567,7.5194,7.3567,7.4797,261204,0
2005-03-02,7.5991,7.6033,7.4049,7.4797,212834,0
2005-03-03,7.4797,8.1761,7.4797,7.9908,246550,0
2005-03-04,8.079,8.2773,7.9734,8.0702,220631,0
2005-03-07,8.2729,8.2773,7.9822,8.0042,231946,0
2005-03-08,7.9206,8.1232,7.9072,7.9998,95973,0
2005-03-09,7.8896,8.726,7.8765,8.3433,372563,0
2005-03-10,8.1802,8.7535,8.1802,8.6471,565384,0
2005-03-11,8.6207,8.7707,8.6207,8.7182,266146,0
2005-03-14,8.8009,9.1088,8.6871,8.8369,630018,0
2005-03-15,8.7884,8.8325,8.3829,8.4489,429872,0
2005-03-16,8.4796,8.4842,8.321,8.3697,293881,0
2005-03-17,8.2597,8.4446,8.0484,8.4005,184520,0
2005-03-18,8.2551,8.4796,8.1761,8.2463,224206,0
2005-03-21,8.1537,8.4315,8.1143,8.3344,155813,0
2005-03-22,8.3258,8.4622,8.3168,8.3521,69260,0
2005-03-23,8.3521,8.3521,8.1054,8.2507,145057,0
2005-03-24,8.2818,8.3433,8.1802,8.2113,86032,0
2005-03-28,8.1451,8.286,8.1451,8.286,64663,0
2005-03-29,8.1362,8.286,8.0702,8.1274,195509,0
2005-03-30,8.1008,8.3743,8.1008,8.3697,241146,0
2005-03-31,8.3609,8.3743,8.2773,8.3475,150657,0
2005-04-01,8.3475,8.4796,8.2245,8.2683,106379,0
2005-04-04,8.2067,8.5019,8.1054,8.5019,161115,0
2005-04-05,8.4446,8.6826,8.4446,8.6253,157867,0
2005-04-06,8.6033,8.8983,8.6033,8.7671,195878,0
2005-04-07,8.8453,8.9124,8.8055,8.8936,94664,0
2005-04-08,8.9124,8.9349,8.4094,8.6166,155387,0
2005-04-11,8.6736,8.7045,8.2421,8.4796,71256,0
2005-04-12,8.4973,8.9349,8.4403,8.7802,163306,0
2005-04-13,8.6952,8.9948,8.5902,8.6517,153386,0
2005-04-14,8.6517,8.6917,8.4315,8.4403,118353,0
2005-04-15,8.4973,8.6253,8.1408,8.2333,178379,0
2005-04-18,8.2551,8.4005,8.0437,8.3566,115764,0
2005-04-19,8.5768,8.6605,8.4931,8.6605,64325,0
2005-04-20,8.5857,8.6033,7.9688,8.2199,178381,0
2005-04-21,8.2903,8.33,8.0968,8.2773,82970,0
2005-04-22,8.189,8.189,7.6074,7.7573,188613,0
2005-04-25,7.6604,8.0393,7.5991,8.0129,179011,0
2005-04-26,8.0524,8.0524,7.7309,7.8279,81282,0
2005-04-27,7.7573,7.872,7.4534,7.6958,124310,0
2005-04-28,7.7043,7.8279,7.4668,7.5943,120922,0
2005-04-29,7.6913,7.8584,7.4668,7.7884,87163,0
2005-05-02,7.7704,8.0087,7.6385,7.8322,67399,0
2005-05-03,7.8849,8.1981,7.8849,8.0658,130856,0
2005-05-04,8.1274,8.3127,7.9822,8.2773,92871,0
2005-05-05,8.2992,8.3651,8.0745,8.3609,54486,0
2005-05-06,8.3829,8.427,8.0745,8.0745,90763,0
2005-05-09,8.1101,8.5329,7.9513,8.4756,134722,0
2005-05-10,8.3743,8.4315,8.2597,8.3037,98018,0
2005-05-11,8.3521,8.3697,8.2154,8.3392,63830,0
2005-05-12,8.3127,8.4358,8.3127,8.3651,66891,0
2005-05-13,8.4931,8.4931,8.0968,8.2245,77196,0
2005-05-16,8.1537,8.1628,8.0042,8.1628,80644,0
2005-05-17,8.1318,8.2597,8.1232,8.1934,54054,0
2005-05-18,8.2992,8.6871,8.1761,8.6605,103558,0
2005-05-19,8.9077,9.606,8.7884,9.3809,578829,0
2005-05-20,9.4324,9.4963,9.08,9.4453,352979,0
2005-05-23,9.577,9.591,9.4493,9.532,214476,0
2005-05-24,9.559,9.577,9.3809,9.4814,153083,0
2005-05-25,9.541,9.541,9.1759,9.4047,193407,0
2005-05-26,9.3362,9.506,9.3362,9.506,194587,0
2005-05-27,9.587,10.193,9.511,10.059,471940,0
2005-05-31,10.338,10.82,10.069,10.418,883712,0
2005-06-01,10.509,10.997,10.426,10.966,562628,0
2005-06-02,10.956,11.091,10.841,11.005,433327,0
2005-06-03,10.914,11.313,10.168,10.541,589514,0
2005-06-06,10.374,10.863,10.369,10.636,291973,0
2005-06-07,10.533,10.997,10.528,10.588,288365,0
2005-06-08,10.593,11.324,10.505,11.184,492864,0
2005-06-09,11.282,11.355,10.975,11.291,306144,0
2005-06-10,11.336,11.341,11.009,11.154,154560,0
2005-06-13,11.04,11.04,10.546,10.997,436035,0
2005-06-14,11.032,11.116,10.832,10.98,157211,0
2005-06-15,10.937,11.107,10.697,11.037,189332,0
2005-06-16,11.121,11.171,10.854,10.988,184800,0
2005-06-17,11.098,11.098,10.629,10.894,277668,0
2005-06-20,10.922,11.04,10.879,10.932,186634,0
2005-06-21,11.014,11.014,10.836,10.875,124741,0
2005-06-22,10.859,10.918,10.546,10.687,243209,0
2005-06-23,10.606,10.725,9.732,9.832,652399,0
2005-06-24,9.758,9.777,9.1481,9.4642,609050,0
2005-06-27,9.294,9.4364,8.9815,9.1759,463616,0
2005-06-28,9.2039,9.828,9.2039,9.769,325395,0
2005-06-29,9.845,10.083,9.693,9.823,259334,0
2005-06-30,9.786,10.163,9.577,9.577,175080,0
2005-07-01,9.74,9.836,9.537,9.766,137971,0
2005-07-05,9.646,10.026,9.646,10.017,225117,0
2005-07-06,10.026,10.127,9.675,9.983,135566,0
2005-07-07,9.689,9.969,9.567,9.849,151333,0
2005-07-08,9.988,10.311,9.74,10.23,159854,0
2005-07-11,10.329,10.76,10.315,10.541,266900,0
2005-07-12,10.528,10.593,9.895,10.324,140589,0
