Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,10.727,11.014,10.531,10.734,166824,0
2005-02-28,11.022,11.884,10.827,11.061,108202,0
2005-03-01,11.022,11.129,10.677,10.751,60555,0
2005-03-02,10.93,10.938,10.705,10.81,45330,0
2005-03-03,10.827,11.129,10.81,10.864,30535,0
2005-03-04,11.129,11.129,10.721,10.971,41864,0
2005-03-07,10.978,11,10.495,10.971,91054,0
2005-03-08,10.917,11.129,10.81,11.129,59089,0
2005-03-09,11.129,11.129,10.971,11.084,42384,0
2005-03-10,11.113,11.113,10.81,10.818,28867,0
2005-03-11,10.902,10.917,10.78,10.909,16453,0
2005-03-14,10.888,11.022,10.81,11,31287,0
2005-03-15,11.077,11.349,11.022,11.296,160057,0
2005-03-16,11.505,11.568,11.349,11.455,79088,0
2005-03-17,11.621,11.621,10.894,10.938,94829,0
2005-03-18,10.938,11.478,10.938,11.331,59233,0
2005-03-21,11.621,11.621,11.249,11.349,100338,0
2005-03-22,11.666,11.724,11.322,11.724,87234,0
2005-03-23,11.884,12.202,11.621,11.922,108025,0
2005-03-24,12.473,12.701,11.832,12.324,193667,0
2005-03-28,12.564,13.347,12.422,12.671,293109,0
2005-03-29,12.968,13.451,12.718,12.868,163382,0
2005-03-30,13.514,13.514,12.983,13.179,137093,0
2005-03-31,13.423,13.506,13.081,13.331,182091,0
2005-04-01,13.374,13.374,11.955,12.415,316070,0
2005-04-04,12.564,12.968,12.431,12.701,76045,0
2005-04-05,12.693,12.945,11.349,11.808,249894,0
2005-04-06,11.682,12.135,10.568,11.485,328318,0
2005-04-07,11.47,12.096,11.191,11.97,94767,0
2005-04-08,12.286,12.383,12.045,12.264,103387,0
2005-04-11,12.49,12.693,12.415,12.504,103147,0
2005-04-12,12.768,12.768,12.324,12.376,141126,0
2005-04-13,12.324,12.701,12.16,12.264,74390,0
2005-04-14,11.996,12.644,11.848,11.914,122027,0
2005-04-15,10.978,11.808,10.082,10.594,250408,0
2005-04-18,10.183,10.594,9.2892,10.425,351335,0
2005-04-19,10.425,11.621,10.372,10.888,90249,0
2005-04-20,11.289,11.289,10.265,10.395,104136,0
2005-04-21,10.311,10.51,9.993,10.502,76481,0
2005-04-22,10.538,10.538,9.934,10.257,32342,0
2005-04-25,9.843,10.054,9.618,9.901,109779,0
2005-04-26,9.73,10.158,9.4573,9.767,72417,0
2005-04-27,9.73,10.265,9.601,10.207,87668,0
2005-04-28,10.131,10.395,10.131,10.274,37341,0
2005-04-29,10.402,10.834,10.298,10.705,53369,0
2005-05-02,10.842,11.289,10.705,11.129,36121,0
2005-05-03,11.331,11.447,10.963,11.317,75165,0
2005-05-04,11.485,11.884,11.47,11.674,101502,0
2005-05-05,11.884,12.11,11.695,11.794,49528,0
2005-05-06,11.884,11.884,10.677,11.197,129023,0
2005-05-09,11.077,11.757,10.955,11.597,53726,0
2005-05-10,11.757,12.061,11.349,12.028,46937,0
2005-05-11,11.97,12.816,11.349,11.505,76871,0
2005-05-12,11.824,11.824,11.113,11.226,13188,0
2005-05-13,11.283,11.485,10.81,11.053,49497,0
2005-05-16,11.349,11.349,10.734,10.888,41354,0
2005-05-17,10.727,10.93,10.601,10.677,69551,0
2005-05-18,11.283,11.283,10.81,10.864,49353,0
2005-05-19,11.283,11.283,11.077,11.241,64945,0
2005-05-20,11.757,11.884,11.349,11.832,48837,0
2005-05-23,11.914,12.431,11.914,12.431,60986,0
2005-05-24,12.521,12.559,11.621,12.251,46995,0
2005-05-25,12.264,12.504,11.884,12.16,48584,0
2005-05-26,12.376,12.431,12.21,12.376,68445,0
2005-05-27,12.513,12.701,12.391,12.564,53666,0
2005-05-31,12.726,12.913,12.619,12.734,40223,0
2005-06-01,12.701,12.959,12.659,12.701,27506,0
2005-06-02,12.945,12.945,12.651,12.8,28116,0
2005-06-03,12.809,12.809,12.544,12.651,14172,0
2005-06-06,12.659,12.701,12.34,12.422,20814,0
2005-06-07,12.49,12.49,12.186,12.356,21629,0
2005-06-08,12.482,12.482,12.135,12.482,15760,0
2005-06-09,12.538,12.777,12.242,12.552,24776,0
2005-06-10,12.362,12.559,12.151,12.151,18870,0
2005-06-13,12.135,12.473,12.135,12.399,10555,0
2005-06-14,12.945,14.011,11.884,13.149,134467,0
2005-06-15,13.685,13.685,13.111,13.514,108025,0
2005-06-16,13.514,13.514,13.058,13.368,49722,0
2005-06-17,13.347,13.361,12.824,13.134,73090,0
2005-06-20,13.579,14.049,13.397,14.033,177122,0
2005-06-21,13.445,14.231,13.445,13.959,94941,0
