Date,Open,High,Low,Close,Volume,OpenInt
2017-06-22,19.491,19.491,19.491,19.491,128,0
2017-06-23,19.501,19.501,19.501,19.501,178,0
2017-06-26,19.58,19.699,19.58,19.699,203,0
2017-06-27,19.709,19.709,19.709,19.709,152,0
2017-06-29,19.807,19.807,19.807,19.807,575,0
2017-07-05,19.827,19.847,19.827,19.827,278,0
2017-07-10,19.689,19.689,19.689,19.689,101,0
2017-07-11,19.649,19.649,19.649,19.649,101,0
2017-08-01,19.896,19.896,19.896,19.896,1264,0
2017-08-07,19.62,19.62,19.596,19.596,275,0
2017-08-08,19.699,19.699,19.699,19.699,955,0
2017-08-11,19.086,19.086,19.061,19.061,641,0
2017-08-16,19.273,19.273,19.273,19.273,354,0
2017-08-18,18.809,18.809,18.809,18.809,321,0
2017-08-23,18.849,18.859,18.841,18.854,4798,0
2017-08-24,18.918,18.977,18.909,18.977,3442,0
2017-08-25,19.002,19.002,19.002,19.002,241,0
2017-08-30,19.017,19.115,19.017,19.115,7297,0
2017-08-31,19.293,19.293,19.271,19.271,221,0
2017-09-05,19.195,19.195,19.175,19.175,613,0
2017-09-06,19.323,19.333,19.319,19.331,538,0
2017-09-08,19.234,19.234,19.18,19.2,2448,0
2017-09-11,19.462,19.465,19.443,19.462,1915,0
2017-09-13,19.699,19.699,19.699,19.699,150,0
2017-09-14,19.679,19.679,19.674,19.674,923,0
2017-09-15,19.689,19.778,19.689,19.778,1308,0
2017-09-18,19.867,19.897,19.851,19.868,4886,0
2017-09-19,19.896,19.901,19.876,19.876,8797,0
2017-09-20,19.936,19.946,19.916,19.946,2366,0
2017-09-21,19.979,19.979,19.979,19.979,122,0
2017-09-25,20.053,20.182,20.053,20.179,2773,0
2017-09-26,20.271,20.331,20.271,20.331,3780,0
2017-09-27,20.509,20.628,20.507,20.628,3017,0
2017-09-28,20.624,20.624,20.624,20.624,504,0
2017-09-29,20.757,20.787,20.736,20.777,6002,0
2017-10-02,20.876,20.876,20.863,20.863,463,0
2017-10-03,20.985,20.985,20.985,20.985,1412,0
2017-10-04,21.074,21.104,20.965,21.015,1201,0
2017-10-06,20.965,20.975,20.965,20.975,1011,0
2017-10-09,20.886,20.886,20.866,20.866,336,0
2017-10-11,20.995,20.995,20.995,20.995,336,0
2017-10-13,21.005,21.005,20.927,20.946,3506,0
2017-10-16,20.885,20.885,20.885,20.885,179,0
2017-10-17,20.965,20.965,20.836,20.836,254,0
2017-10-18,20.993,20.993,20.993,20.993,126,0
2017-10-19,20.896,20.926,20.883,20.916,2679,0
2017-10-20,21.045,21.045,21.03,21.03,459,0
2017-10-23,20.946,20.946,20.946,20.946,315,0
2017-10-24,20.936,20.946,20.926,20.926,1829,0
2017-10-25,20.727,20.894,20.727,20.894,1227,0
2017-10-26,20.955,20.955,20.926,20.926,353,0
2017-10-30,20.826,20.826,20.6,20.678,1705,0
2017-10-31,20.836,20.846,20.836,20.846,892,0
2017-11-01,21.005,21.005,20.668,20.668,866,0
2017-11-02,20.814,20.817,20.814,20.817,2563,0
2017-11-03,20.777,20.777,20.767,20.777,1349,0
2017-11-06,20.708,20.777,20.708,20.777,1103,0
2017-11-07,20.549,20.549,20.549,20.549,262,0
2017-11-09,20.499,20.499,20.446,20.446,8673,0
2017-11-10,20.489,20.489,20.486,20.489,718,0
2017-11-14,20.38,20.381,20.36,20.36,3344,0
2017-11-15,20.36,20.36,20.268,20.291,4170,0
2017-11-16,20.598,20.707,20.597,20.698,2315,0
2017-11-17,20.638,20.757,20.638,20.757,2490,0
2017-11-20,20.757,20.846,20.757,20.844,4576,0
2017-11-21,21.035,21.035,21.035,21.035,307,0
2017-11-22,21.099,21.099,21.064,21.074,1087,0
2017-11-27,21.01,21.01,21.01,21.01,122,0
2017-11-28,21.124,21.124,21.094,21.114,1156,0
2017-11-29,21.575,21.6,21.558,21.6,10981,0
2017-11-30,21.632,21.638,21.543,21.56,2967,0
2017-12-01,21.243,21.243,21.243,21.243,1677,0
2017-12-04,21.6,21.6,21.538,21.56,4402,0
2017-12-05,21.481,21.481,21.335,21.335,1330,0
2017-12-06,21.283,21.283,21.223,21.223,496,0
2017-12-07,21.218,21.253,21.218,21.227,1509,0
2017-12-08,21.223,21.223,21.223,21.223,310,0
2017-12-11,21.184,21.184,21.184,21.184,1210,0
2017-12-12,21.253,21.253,21.184,21.184,771,0
2017-12-14,21.263,21.263,21.084,21.084,4128,0
2017-12-15,21.154,21.332,21.154,21.332,1059,0
2017-12-18,21.573,21.573,21.486,21.529,3566,0
2017-12-19,21.541,21.541,21.511,21.511,2185,0
2017-12-20,21.491,21.511,21.441,21.481,5837,0
2017-12-21,21.61,21.61,21.605,21.605,972,0
2017-12-22,21.5,21.52,21.498,21.5,822,0
2017-12-26,21.4777,21.4777,21.4777,21.4777,316,0
2017-12-27,21.55,21.55,21.5176,21.5176,1119,0
2017-12-29,21.52,21.52,21.5165,21.5165,948,0
2018-01-03,21.61,21.61,21.49,21.54,1133,0
2018-01-04,21.6,21.6,21.55,21.56,16699,0
2018-01-05,21.59,21.71,21.59,21.61,33027,0
2018-01-08,21.645,21.645,21.645,21.645,136,0
2018-01-09,21.84,21.84,21.797,21.797,1906,0
2018-01-10,21.68,21.78,21.68,21.75,16114,0
2018-01-11,21.87,22.095,21.8675,22.095,3877,0
2018-01-12,22.19,22.2899,22.15,22.15,3435,0
2018-01-16,22.4,22.41,22.04,22.0953,2852,0
2018-01-17,22.0699,22.2094,22.0699,22.1,1502,0
2018-01-18,21.96,21.99,21.959,21.97,3033,0
2018-01-19,22.08,22.14,22.08,22.13,1075,0
