Date,Open,High,Low,Close,Volume,OpenInt
2018-02-05,5,5,3.2111,3.54,231073,0
2018-02-06,3.61,4.45,3.5,4.34,367932,0
2018-02-07,4.17,4.62,4.1,4.1,129458,0
2018-02-08,4.289,4.29,3.9,4.1005,63586,0
2018-02-09,4.27,4.32,3.79,4.055,150799,0
2018-02-12,4.1,4.21,3.8,3.9195,36075,0
2018-02-13,4.01,4.1,3.6,3.88,83388,0
2018-02-14,3.96,3.96,3.6,3.66,53467,0
2018-02-15,3.6,3.78,3.34,3.69,43699,0
2018-02-16,3.675,3.6751,3.3,3.5,58888,0
2018-02-20,3.51,3.7418,3.51,3.51,59838,0
2018-02-21,3.78,3.78,3.35,3.47,44356,0
2018-02-22,3.75,3.75,3.2,3.4337,68127,0
2018-02-23,3.44,3.44,3.12,3.3132,42730,0
2018-02-26,3.41,3.5,3.351,3.49,76389,0
2018-02-27,3.5,3.6419,3.4068,3.6419,41529,0
2018-02-28,3.57,3.95,3.57,3.95,76290,0
2018-03-01,3.95,4.1,3.7,3.98,65916,0
2018-03-02,4,4.0314,3.8675,4,37821,0
2018-03-05,3.8802,3.98,3.71,3.98,22190,0
2018-03-06,3.88,4.02,3.801,4,43939,0
2018-03-07,3.9699,3.99,3.85,3.98,56137,0
2018-03-08,3.98,3.99,3.8878,3.98,14232,0
2018-03-09,3.99,4.1,3.98,4.1,125912,0
2018-03-12,4.15,4.15,3.831,4.1,71104,0
2018-03-13,3.9602,4.034,3.9599,4,43003,0
2018-03-14,4,4.07,3.935,4.01,37147,0
2018-03-15,4.09,4.13,4.046,4.13,82272,0
2018-03-16,4.15,4.5,4.1499,4.48,131639,0
2018-03-19,4.5,4.9369,4.43,4.58,372695,0
2018-03-20,4.62,4.78,4.41,4.78,186995,0
2018-03-21,4.85,4.96,4.7001,4.85,277347,0
2018-03-22,4.85,5.25,4.75,5.21,407992,0
2018-03-23,5.45,5.75,4.6,4.94,512961,0
2018-03-26,5,5,4.62,4.8,93108,0
2018-03-27,4.9,5.25,4.8,5.21,161326,0
2018-03-28,5.25,5.3,5.01,5.25,103925,0
2018-03-29,5.5,5.5,5.2,5.32,59532,0
