Date,Open,High,Low,Close,Volume,OpenInt
1990-03-26,0.9148,0.9148,0.9003,0.9003,59500,0
1990-03-27,0.9148,0.9148,0.9003,0.9003,533300,0
1990-03-28,0.9003,0.9148,0.8711,0.8711,965230,0
1990-03-29,0.9076,0.9076,0.8859,0.8931,379038,0
1990-03-30,0.8859,0.9076,0.8859,0.9076,299708,0
1990-04-02,0.9003,0.9076,0.9003,0.9003,255631,0
1990-04-03,0.9148,0.9148,0.9003,0.9003,1167967,0
1990-04-04,0.9076,0.9076,0.9003,0.9076,398872,0
1990-04-05,0.9076,0.9076,0.9076,0.9076,50686,0
1990-04-06,0.9076,0.9148,0.9076,0.9076,744854,0
1990-04-09,0.9148,0.9148,0.9003,0.9076,330555,0
1990-04-10,0.9003,0.9003,0.8423,0.9003,2490197,0
1990-04-11,0.9076,0.9076,0.9003,0.9003,160869,0
1990-04-12,0.9076,0.9076,0.9003,0.9003,398872,0
1990-04-16,0.9148,0.9148,0.8711,0.8711,244612,0
1990-04-17,0.8711,0.9003,0.8639,0.8711,751465,0
1990-04-18,0.8859,0.8859,0.8639,0.8639,81540,0
1990-04-19,0.8639,0.8859,0.8639,0.8711,1339857,0
1990-04-20,0.8711,0.8859,0.8639,0.8711,764685,0
1990-04-23,0.8567,0.8711,0.8496,0.8496,1170174,0
1990-04-24,0.8639,0.8639,0.8639,0.8639,74924,0
1990-04-25,0.8639,0.8711,0.8639,0.8711,330555,0
1990-04-26,0.8711,0.8711,0.8639,0.8711,202744,0
1990-04-27,0.8711,0.9076,0.8711,0.9003,1022520,0
1990-04-30,0.9076,0.9148,0.9003,0.9148,171887,0
1990-05-01,0.9076,0.9148,0.9076,0.9076,226983,0
1990-05-02,0.9148,0.9148,0.9076,0.9076,244612,0
1990-05-03,0.9222,0.9439,0.9148,0.9439,469391,0
1990-05-04,0.9439,0.951,0.9439,0.951,145446,0
1990-05-07,0.9439,0.951,0.9439,0.951,182912,0
1990-05-08,0.9439,0.951,0.9439,0.9439,262241,0
1990-05-09,0.951,0.951,0.9439,0.951,220371,0
1990-05-10,0.9439,0.951,0.9366,0.9439,379038,0
1990-05-11,0.9656,0.9729,0.951,0.9729,1811453,0
1990-05-14,0.9729,1.0236,0.951,1.0236,678741,0
1990-05-15,1.0092,1.0455,1.0092,1.0455,1095247,0
1990-05-16,1.0455,1.0527,1.0309,1.0455,1641766,0
1990-05-17,1.0455,1.0455,1.0236,1.0236,268853,0
1990-05-18,1.0236,1.0527,1.0236,1.0383,813169,0
1990-05-21,1.0309,1.1254,1.0309,1.0963,2765660,0
1990-05-22,1.0963,1.0963,1.0455,1.0892,2117771,0
1990-05-23,1.0892,1.0892,1.0672,1.0672,145446,0
1990-05-24,1.0672,1.0963,1.0672,1.0892,319541,0
1990-05-25,1.0455,1.0819,1.0236,1.0819,539908,0
1990-05-29,1.0819,1.1254,1.0819,1.0963,539908,0
1990-05-30,1.1326,1.1326,1.0892,1.1109,403279,0
1990-05-31,1.1109,1.1109,1.0819,1.0819,233594,0
1990-06-01,1.0892,1.0892,1.0527,1.0527,37464,0
1990-06-04,1.0527,1.0672,1.0455,1.0672,96961,0
1990-06-05,1.0672,1.0672,1.0383,1.0455,747060,0
1990-06-06,1.0309,1.0527,1.0236,1.0527,334965,0
1990-06-07,1.0819,1.1326,1.0527,1.0672,1873157,0
1990-06-08,1.0672,1.0819,1.0455,1.06,1187801,0
1990-06-11,1.0672,1.0892,1.0309,1.0672,1822472,0
1990-06-12,1.0672,1.0672,1.0672,1.0672,37464,0
1990-06-13,1.0892,1.0892,1.0672,1.0819,134427,0
1990-06-14,1.0892,1.0892,1.0892,1.0892,37464,0
1990-06-15,1.0672,1.1254,1.0672,1.0963,901318,0
1990-06-18,1.1254,1.1254,1.0819,1.0819,275465,0
1990-06-19,1.0672,1.0892,1.0527,1.0892,1132710,0
1990-06-20,1.0963,1.0963,1.0892,1.0892,257835,0
1990-06-21,1.0963,1.1109,1.0892,1.0892,246815,0
1990-06-22,1.1109,1.1109,1.0892,1.1109,244612,0
1990-06-25,1.1254,1.1326,1.1109,1.1254,306313,0
1990-06-26,1.147,1.169,1.1326,1.1326,381243,0
1990-06-27,1.1326,1.1544,1.1254,1.1254,427520,0
