Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,1.9175,1.9175,1.7824,1.7824,1303,0
2005-02-28,1.7654,1.8837,1.7062,1.7062,3823,0
2005-03-01,1.8837,1.8837,1.7062,1.7062,1957,0
2005-03-02,1.7484,1.9258,1.7062,1.8245,2604,0
2005-03-03,1.7484,1.8161,1.6978,1.6978,2013,0
2005-03-04,1.7316,1.7316,1.7316,1.7316,2722,0
2005-03-07,1.7908,1.8583,1.6978,1.7824,7932,0
2005-03-08,1.8498,1.8498,1.6725,1.6894,10181,0
2005-03-10,1.6894,1.7908,1.6725,1.7908,4407,0
2005-03-11,1.6894,1.6894,1.6811,1.6811,947,0
2005-03-15,1.6811,1.6811,1.6725,1.6725,1185,0
2005-03-17,1.6725,1.6725,1.6556,1.6556,913,0
2005-03-21,1.6471,1.6471,1.5288,1.6048,12432,0
2005-03-22,1.6725,1.6725,1.6725,1.6725,355,0
2005-03-23,1.6725,1.7316,1.6725,1.7231,4261,0
2005-03-24,1.5795,1.5795,1.5795,1.5795,238,0
2005-03-28,1.5712,1.5712,1.3938,1.4782,21487,0
2005-03-30,1.436,1.495,1.436,1.495,2462,0
2005-03-31,1.4866,1.4866,1.4866,1.4866,355,0
2005-04-01,1.5035,1.5543,1.5035,1.5543,11838,0
2005-04-04,1.8583,1.8583,1.5965,1.6048,1658,0
2005-04-05,1.5628,1.6217,1.5628,1.5628,1066,0
2005-04-06,1.5628,1.5628,1.5288,1.5288,2960,0
2005-04-07,1.5288,1.5372,1.5288,1.5372,472,0
2005-04-08,1.6048,1.6134,1.6048,1.6048,3907,0
2005-04-11,1.6556,1.6556,1.6471,1.6471,3642,0
2005-04-12,1.5372,1.5372,1.5372,1.5372,593,0
2005-04-13,1.5372,1.5372,1.5372,1.5372,1185,0
2005-04-15,1.5458,1.5458,1.5458,1.5458,1303,0
2005-04-19,1.5458,1.5458,1.5458,1.5458,355,0
2005-04-20,1.5543,1.5628,1.5458,1.5458,2842,0
2005-04-22,1.5712,1.5712,1.5204,1.5204,2368,0
2005-04-25,1.5204,1.5204,1.5204,1.5204,1659,0
2005-04-27,1.5035,1.5035,1.5035,1.5035,239,0
2005-05-02,1.4445,1.4445,1.4445,1.4445,2368,0
2005-05-05,1.5204,1.664,1.5204,1.664,1185,0
2005-05-06,1.4445,1.4445,1.4445,1.4445,13560,0
2005-05-09,1.4529,1.4529,1.4529,1.4529,5958,0
2005-05-10,1.4529,1.4529,1.4529,1.4529,1185,0
2005-05-12,1.3853,1.5458,1.3853,1.5458,5328,0
2005-05-13,1.3768,1.3768,1.2839,1.2839,7968,0
2005-05-17,1.436,1.436,1.436,1.436,1658,0
2005-05-18,1.436,1.436,1.436,1.436,1185,0
2005-05-19,1.5965,1.6048,1.588,1.6048,4025,0
2005-05-20,1.4445,1.5712,1.3515,1.5712,4500,0
2005-05-23,1.5204,1.6048,1.5204,1.5204,2960,0
2005-05-24,1.5204,1.6217,1.5204,1.6217,2368,0
2005-05-25,1.6217,1.6217,1.5204,1.5204,6866,0
2005-05-26,1.5204,1.5204,1.5204,1.5204,947,0
2005-05-27,1.6048,1.6048,1.5458,1.5458,1303,0
2005-05-31,1.5628,1.5628,1.4782,1.4782,1421,0
2005-06-01,1.5204,1.5204,1.5204,1.5204,197,0
2005-06-03,1.6387,1.6978,1.6387,1.6894,17242,0
2005-06-07,1.6894,1.6894,1.6894,1.6894,2486,0
2005-06-08,1.664,1.664,1.664,1.664,887,0
2005-06-09,1.664,1.74,1.664,1.74,4256,0
2005-06-10,1.6894,1.7062,1.6894,1.6894,2902,0
2005-06-13,1.664,1.664,1.664,1.664,238,0
2005-06-15,1.6725,1.7654,1.6725,1.6894,5415,0
2005-06-16,1.7654,1.7738,1.7654,1.7738,1775,0
2005-06-21,1.5628,1.6556,1.5628,1.6556,2604,0
2005-06-22,1.5712,1.6725,1.5712,1.6725,2237,0
2005-06-24,1.5628,1.5795,1.5628,1.5628,2918,0
2005-06-27,1.7738,1.7738,1.664,1.664,10656,0
2005-06-28,1.5628,1.5628,1.5628,1.5628,1185,0
