Date,Open,High,Low,Close,Volume,OpenInt
2012-10-03,18.431,18.431,18.301,18.366,32942,0
2012-10-04,18.336,18.366,18.301,18.366,81851,0
2012-10-05,18.4,18.4,18.33,18.374,20649,0
2012-10-08,18.366,18.374,18.35,18.35,18726,0
2012-10-09,18.336,18.374,18.301,18.374,33320,0
2012-10-10,18.374,18.374,18.33,18.374,22459,0
2012-10-11,18.374,18.374,18.336,18.374,65214,0
2012-10-12,18.374,18.374,18.358,18.371,20480,0
2012-10-15,18.374,18.466,18.336,18.38,83829,0
2012-10-16,18.374,18.374,18.336,18.366,54808,0
2012-10-17,18.374,18.684,18.343,18.515,12168,0
2012-10-18,18.473,18.53,18.406,18.53,33385,0
2012-10-19,18.481,18.587,18.406,18.587,15507,0
2012-10-22,18.515,18.515,18.489,18.514,19708,0
2012-10-23,18.481,18.481,18.406,18.481,18384,0
2012-10-24,18.445,18.625,18.38,18.61,23477,0
2012-10-25,18.61,18.689,18.481,18.648,24846,0
2012-10-26,18.618,18.684,18.495,18.495,23854,0
2012-10-31,18.618,18.618,18.457,18.618,2642,0
2012-11-01,18.694,18.694,18.406,18.406,2247,0
2012-11-02,18.453,18.453,18.445,18.451,2642,0
2012-11-05,18.515,18.644,18.451,18.481,8205,0
2012-11-06,18.684,18.684,18.451,18.552,8595,0
2012-11-07,18.53,18.538,18.53,18.538,2052,0
2012-11-08,18.473,18.594,18.445,18.473,13211,0
2012-11-09,18.515,18.515,18.502,18.502,2017,0
2012-11-12,18.508,18.515,18.466,18.515,9599,0
2012-11-13,18.445,18.451,18.38,18.38,23109,0
2012-11-14,18.502,18.502,18.202,18.336,20431,0
2012-11-15,18.366,18.374,18.191,18.194,13471,0
2012-11-16,18.228,18.473,18.184,18.336,28511,0
2012-11-19,18.495,18.495,18.157,18.336,22669,0
2012-11-20,18.405,18.406,18.157,18.202,4311,0
2012-11-21,18.4,18.406,18.202,18.387,3914,0
2012-11-23,18.206,18.265,18.194,18.265,19064,0
2012-11-26,18.194,18.374,18.171,18.309,12294,0
2012-11-27,18.394,18.394,18.194,18.265,10385,0
2012-11-28,18.234,18.301,18.215,18.265,10710,0
2012-11-29,18.22,18.374,18.215,18.343,32412,0
2012-11-30,18.343,18.343,18.163,18.309,6005,0
2012-12-03,18.343,18.343,18.172,18.172,17942,0
2012-12-04,18.194,18.336,18.163,18.336,16159,0
2012-12-05,18.272,18.343,18.202,18.228,6607,0
2012-12-06,18.202,18.206,18.194,18.202,5200,0
2012-12-07,18.177,18.19,18.112,18.112,18988,0
2012-12-10,18.206,18.243,18.128,18.243,2035,0
2012-12-11,18.12,18.12,17.998,18.12,10710,0
2012-12-12,18.228,18.234,18.157,18.157,6254,0
2012-12-13,18.099,18.157,18.056,18.068,6159,0
2012-12-14,18.151,18.151,18.151,18.151,1299,0
2012-12-17,18.014,18.12,17.991,18.092,12210,0
2012-12-18,18.163,18.163,18.048,18.048,4419,0
2012-12-19,18.029,18.157,17.977,18.093,3854,0
2012-12-20,18.112,18.157,18.092,18.157,2100,0
2012-12-21,18.265,18.265,18.092,18.092,1270,0
2012-12-24,18.157,18.247,18.092,18.247,1686,0
2012-12-26,18.177,18.202,18.177,18.202,2580,0
2012-12-27,18.202,18.206,18.048,18.048,4651,0
2012-12-28,18.157,18.157,18.12,18.12,1016,0
2012-12-31,18.22,18.301,18.092,18.092,8238,0
2013-01-02,18.309,18.336,18.265,18.265,2088,0
2013-01-03,18.481,18.481,18.228,18.336,6223,0
2013-01-04,18.366,18.38,18.228,18.38,2088,0
2013-01-07,18.38,18.416,18.35,18.416,694,0
2013-01-08,18.423,18.423,18.272,18.319,8868,0
2013-01-09,18.336,18.343,18.292,18.336,6241,0
2013-01-11,18.481,18.481,18.316,18.322,3918,0
2013-01-15,18.316,18.316,18.309,18.314,2851,0
2013-01-16,18.515,18.515,18.309,18.326,2023,0
2013-01-17,18.301,18.304,18.12,18.177,14184,0
2013-01-18,18.177,18.272,18.157,18.272,8687,0
2013-01-22,18.445,18.445,18.194,18.278,4311,0
2013-01-23,18.322,18.322,18.322,18.322,140,0
2013-01-24,18.26,18.265,18.194,18.194,3924,0
2013-01-25,18.272,18.301,18.243,18.243,3198,0
2013-01-28,18.202,18.243,18.157,18.184,7124,0
