Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,10.48,10.48,10.47,10.47,1113,0
2005-02-28,10.47,10.48,10.452,10.47,43004,0
2005-03-01,10.47,10.534,10.47,10.497,24385,0
2005-03-02,10.443,10.506,10.443,10.47,15797,0
2005-03-07,10.525,10.525,10.515,10.515,442,0
2005-03-08,10.47,10.497,10.47,10.48,26927,0
2005-03-09,10.443,10.443,10.443,10.443,7120,0
2005-03-10,10.497,10.515,10.443,10.443,8789,0
2005-03-11,10.515,10.534,10.48,10.515,3404,0
2005-03-14,10.534,10.534,10.515,10.515,1447,0
2005-03-15,10.515,10.525,10.497,10.515,93125,0
2005-03-16,10.399,10.47,10.399,10.452,7232,0
2005-03-17,10.443,10.47,10.427,10.47,2424,0
2005-03-18,10.38,10.452,10.38,10.38,5338,0
2005-03-21,10.38,10.38,10.38,10.38,3117,0
2005-03-22,10.389,10.389,10.389,10.389,2672,0
2005-03-23,10.371,10.443,10.345,10.38,17582,0
2005-03-24,10.238,10.238,10.144,10.144,1558,0
2005-03-28,10.021,10.047,9.948,9.958,2004,0
2005-03-29,9.958,9.984,9.84,9.84,9485,0
2005-03-30,9.859,9.967,9.859,9.967,1781,0
2005-03-31,9.933,9.948,9.933,9.933,3117,0
2005-04-01,9.967,9.975,9.967,9.975,442,0
2005-04-04,9.916,9.975,9.887,9.975,1781,0
2005-04-05,9.896,9.896,9.896,9.896,2171,0
2005-04-06,9.933,9.933,9.916,9.916,8455,0
2005-04-07,9.925,9.933,9.916,9.916,8069,0
2005-04-08,9.948,10.057,9.948,9.992,11477,0
2005-04-11,9.992,10.104,9.992,10.104,667,0
2005-04-12,10.031,10.031,10.031,10.031,721,0
2005-04-13,10.001,10.001,10.001,10.001,533,0
2005-04-14,10.001,10.001,10.001,10.001,1113,0
2005-04-15,10.011,10.011,10.001,10.001,2682,0
2005-04-18,10.047,10.047,10.031,10.047,2449,0
2005-04-19,10.113,10.229,10.113,10.229,3811,0
2005-04-20,10.113,10.255,10.113,10.136,1861,0
2005-04-21,10.182,10.182,10.154,10.154,1335,0
2005-04-22,10.219,10.219,10.121,10.121,6140,0
2005-04-25,10.308,10.308,10.255,10.255,442,0
2005-04-26,10.229,10.246,10.229,10.246,1335,0
2005-04-27,10.246,10.543,10.246,10.543,15526,0
2005-04-28,10.47,10.497,10.443,10.443,1558,0
2005-04-29,10.515,10.515,10.38,10.389,1558,0
2005-05-02,10.443,10.443,10.389,10.389,2554,0
2005-05-03,10.399,10.399,10.399,10.399,442,0
2005-05-04,10.38,10.461,10.38,10.461,5370,0
2005-05-05,10.38,10.38,10.38,10.38,442,0
2005-05-06,10.354,10.461,10.354,10.461,1502,0
2005-05-09,10.38,10.497,10.38,10.497,20250,0
2005-05-13,10.497,10.497,10.461,10.461,891,0
2005-05-16,10.515,10.515,10.38,10.399,29265,0
2005-05-18,10.515,10.515,10.427,10.427,4258,0
