Date,Open,High,Low,Close,Volume,OpenInt
2015-06-12,25.408,26.65,24.307,25.483,13080639,0
2015-06-15,25.733,25.733,23.741,25.449,1228872,0
2015-06-16,25.016,25.491,24.583,24.725,460001,0
2015-06-17,24.509,24.883,23.383,23.559,685081,0
2015-06-18,22.783,24.324,22.492,23.866,664433,0
2015-06-19,24.117,24.692,23.874,24.441,236723,0
2015-06-22,24.567,24.583,23.741,23.79,215715,0
2015-06-23,23.782,24.408,23.625,23.95,311543,0
2015-06-24,23.95,24.101,23.324,23.601,272616,0
2015-06-25,23.782,24.391,23.225,23.292,259171,0
2015-06-26,23.534,23.675,23.066,23.534,526025,0
2015-06-29,23.434,23.434,22.859,22.909,272256,0
2015-06-30,23.117,23.675,22.992,23.659,151808,0
2015-07-01,24.101,24.492,23.125,23.316,151253,0
2015-07-02,23.258,23.908,23.258,23.758,260492,0
2015-07-06,23.459,23.732,23.033,23.075,281139,0
2015-07-07,23.117,23.749,23.117,23.701,556156,0
2015-07-08,23.576,25.116,23.234,24.808,346322,0
2015-07-09,25.408,27.491,24.467,27.458,715452,0
2015-07-10,27.949,29.031,26.683,28.64,1442548,0
2015-07-13,28.881,29.481,26.7,27.424,708730,0
2015-07-14,27.258,27.915,25.433,25.791,498804,0
2015-07-15,25.742,26.315,23.95,24.117,308565,0
2015-07-16,23.858,26.616,23.324,26.398,535869,0
2015-07-17,26.282,27.074,25.082,25.549,300825,0
2015-07-20,25.708,26.331,25.2,25.8,356044,0
2015-07-21,25.907,27.016,25.183,26.683,218596,0
2015-07-22,26.766,26.965,25.857,26.049,317631,0
2015-07-23,25.999,26.658,25.999,26.275,115481,0
2015-07-24,26.133,26.348,25.733,26.041,126764,0
2015-07-27,25.924,26.074,25.442,25.582,237923,0
2015-07-28,25.832,27.458,25.491,27.182,159295,0
2015-07-29,27.441,29.047,27.124,28.682,400821,0
2015-07-30,28.741,28.923,27.598,28.464,189307,0
2015-07-31,28.415,29.773,28.415,28.556,503217,0
2015-08-03,28.632,29.957,28.564,29.356,568836,0
2015-08-04,29.283,29.673,26.99,27.415,636104,0
2015-08-05,27.474,28.733,25.508,26.041,493253,0
2015-08-06,26.041,26.864,23.942,26.2,908945,0
2015-08-07,27.074,27.424,25.091,26.233,971501,0
2015-08-10,26.432,27.316,25.242,26.298,292422,0
2015-08-11,26.216,26.948,25.725,26.267,173885,0
2015-08-12,25.758,26.692,25.25,26.307,133967,0
2015-08-13,27.358,27.358,25.091,25.349,218715,0
2015-08-14,25.191,25.742,24.242,24.883,181623,0
2015-08-17,24.908,25.242,24.516,25.091,354965,0
2015-08-18,25.141,25.599,24.759,25.074,194948,0
2015-08-19,24.908,25.208,24.075,24.209,279579,0
2015-08-20,24.084,24.307,23.251,23.316,439235,0
2015-08-21,22.951,23.866,22.642,23.092,457961,0
2015-08-24,21.659,23.225,20.843,22.309,682845,0
2015-08-25,23.041,23.542,21.151,21.659,682800,0
2015-08-26,22.333,22.426,20.643,22.392,793119,0
2015-08-27,22.809,23.584,22.434,23.041,265294,0
2015-08-28,22.909,23.841,22.859,23.601,207312,0
2015-08-31,23.55,23.758,22.751,22.792,213314,0
2015-09-01,22.458,22.692,22.042,22.309,186305,0
2015-09-02,22.584,23.066,22.4,22.8,228560,0
2015-09-03,22.717,23.159,22.259,22.342,191228,0
2015-09-04,22.118,22.975,22.118,22.783,187266,0
2015-09-08,23.05,23.625,22.742,23.176,714732,0
2015-09-09,23.234,23.874,22.717,22.775,209954,0
2015-09-10,22.642,23.366,22.642,22.942,116432,0
2015-09-11,22.775,23.749,22.742,23.732,122204,0
2015-09-14,23.692,23.9,22.742,23.016,435873,0
2015-09-15,22.968,23.208,22.783,22.9,164578,0
2015-09-16,22.809,23.307,22.609,22.7,402981,0
2015-09-17,22.584,22.826,22.001,22.192,258210,0
2015-09-18,21.951,22.484,21.401,21.401,1089022,0
2015-09-21,21.634,21.993,20.851,21.367,478968,0
2015-09-22,21.034,21.409,20.592,21.334,288702,0
2015-09-23,21.3,21.708,21.093,21.468,191828,0
2015-09-24,21.25,21.509,20.885,21.234,177074,0
2015-09-25,21.401,21.46,21.076,21.217,203472,0
2015-09-28,21.042,21.042,20.151,20.318,404016,0
2015-09-29,20.302,20.376,19.576,19.784,255091,0
2015-09-30,19.951,20.559,19.66,19.977,1659584,0
2015-10-01,20.076,20.227,19.535,19.985,390737,0
2015-10-02,19.767,20.485,19.385,20.318,369610,0
2015-10-05,20.401,21.951,20.36,21.791,489085,0
2015-10-06,21.65,22.675,21.642,21.985,252809,0
2015-10-07,22.126,22.826,21.683,22.809,263973,0
2015-10-08,23.058,23.925,22.826,23.741,405503,0
2015-10-09,23.717,24.143,23.476,23.908,365047,0
2015-10-12,23.807,23.849,23.242,23.434,336308,0
2015-10-13,23.208,23.275,22.809,22.9,237443,0
2015-10-14,22.909,22.951,21.943,22.317,196629,0
2015-10-15,22.234,22.834,22.05,22.367,214877,0
2015-10-16,22.492,22.892,22.209,22.742,310910,0
2015-10-19,22.726,22.859,22.326,22.659,167819,0
2015-10-20,22.575,22.609,21.634,21.884,127836,0
2015-10-21,21.842,21.901,21.001,21.175,380653,0
2015-10-22,21.334,21.452,20.952,21.234,131327,0
2015-10-23,21.359,22.292,21.001,21.418,173581,0
2015-10-26,21.376,21.518,21.042,21.367,148972,0
