Date,Open,High,Low,Close,Volume,OpenInt
2010-03-23,22.174,22.331,22.174,22.296,13079,0
2010-03-24,22.174,22.174,21.929,21.946,17885,0
2010-03-25,22.349,22.357,21.876,21.876,23686,0
2010-03-26,21.911,22.042,21.77,21.866,29224,0
2010-03-29,21.999,22.323,21.999,22.271,11881,0
2010-03-30,22.349,22.472,22.191,22.2,15712,0
2010-03-31,22.165,22.384,22.165,22.278,23519,0
2010-04-01,22.569,22.84,22.559,22.805,21929,0
2010-04-05,23.05,23.331,23.033,23.295,43839,0
2010-04-06,23.392,23.489,23.312,23.366,11039,0
2010-04-07,23.366,23.401,23.146,23.181,125536,0
2010-04-08,23.007,23.165,22.858,23.165,10365,0
2010-04-09,23.128,23.383,23.128,23.331,12312,0
2010-04-12,23.375,23.489,23.225,23.225,19354,0
2010-04-13,23.295,23.295,22.927,23.138,6823,0
2010-04-14,23.305,23.375,23.174,23.331,5065,0
2010-04-15,23.338,23.338,23.225,23.287,2020,0
2010-04-16,23.041,23.121,22.541,22.735,11218,0
2010-04-19,22.594,22.655,22.357,22.655,18320,0
2010-04-20,23.104,23.165,23.033,23.076,14685,0
2010-04-21,23.2,23.2,22.927,22.971,8163,0
2010-04-22,22.76,23.016,22.735,23.016,39621,0
2010-04-23,22.893,23.331,22.893,23.331,2875,0
2010-04-26,23.392,23.558,23.392,23.392,14939,0
2010-04-27,23.156,23.287,22.682,22.875,7150,0
2010-04-28,22.918,22.963,22.779,22.963,13133,0
2010-04-29,23.208,23.225,22.998,22.998,4535,0
2010-04-30,23.023,23.174,22.787,22.787,13952,0
2010-05-03,22.902,22.902,22.498,22.674,11503,0
2010-05-04,22.419,22.419,21.675,21.736,16351,0
2010-05-05,21.043,21.604,20.78,21.428,14130,0
2010-05-06,21.183,21.56,12.427,20.587,25663,0
2010-05-07,20.228,20.991,20.228,20.525,13001,0
2010-05-10,22.024,22.024,21.481,21.594,2054,0
2010-05-11,21.56,22.139,21.56,21.972,17049,0
2010-05-12,22.488,22.498,22.314,22.401,5699,0
2010-05-13,22.559,22.647,22.252,22.271,13280,0
2010-05-14,21.727,21.981,21.472,21.71,3042,0
2010-05-17,21.42,21.639,20.737,20.965,6931,0
2010-05-18,21.341,21.428,20.683,20.683,5419,0
2010-05-19,20.369,20.369,19.65,20.036,5866,0
2010-05-20,19.045,19.238,19.035,19.045,4642,0
2010-05-21,19.063,19.718,18.72,19.545,16967,0
2010-05-24,19.614,19.702,19.465,19.465,6714,0
2010-05-25,18.511,19.203,18.432,19.203,11395,0
2010-05-26,20.088,20.167,19.966,19.966,7795,0
2010-05-27,20.369,20.553,20.079,20.553,2110,0
2010-05-28,20.508,20.649,20.508,20.649,15541,0
2010-06-01,20.342,20.816,20.342,20.577,5234,0
2010-06-02,20.606,20.86,20.606,20.86,5130,0
2010-06-03,20.894,20.894,20.683,20.683,685,0
2010-06-04,20.369,20.369,20.113,20.113,815,0
