Date,Open,High,Low,Close,Volume,OpenInt
2010-10-04,43.839,43.839,43.38,43.38,37221,0
2010-10-05,43.882,44.049,43.623,44.049,5149,0
2010-10-06,44.088,44.288,43.922,44.288,69103,0
2010-10-07,44.548,44.548,44.131,44.364,18036,0
2010-10-08,44.381,44.892,44.315,44.748,10392,0
2010-10-11,44.448,44.465,44.257,44.465,54102,0
2010-10-12,44.34,44.34,44.181,44.298,7852,0
2010-10-13,45.291,45.584,45.224,45.458,4726,0
2010-10-14,45.342,45.342,44.59,44.855,28071,0
2010-10-15,46.544,46.544,44.59,45.142,12265,0
2010-10-18,45.199,46.368,44.949,45.634,46035,0
2010-10-19,45.317,45.858,44.649,44.674,6872,0
2010-10-20,45.426,45.677,45.093,45.233,10937,0
2010-10-21,45.409,45.759,45.093,45.433,14816,0
2010-10-22,45.467,45.717,45.384,45.509,7639,0
2010-10-25,46.152,46.486,46.152,46.242,17784,0
2010-10-26,45.867,46.077,45.625,45.968,16224,0
2010-10-27,45.15,45.174,44.657,45.174,10024,0
2010-10-28,46.085,46.176,44.807,44.816,5729,0
2010-10-29,45.334,45.618,45.268,45.608,6813,0
2010-11-01,46.152,46.377,45.951,45.951,19593,0
2010-11-02,46.477,47.154,46.477,47.028,24350,0
2010-11-03,47.096,47.345,46.636,47.345,59147,0
2010-11-04,48.031,48.256,47.455,48.238,18241,0
2010-11-05,47.865,48.088,47.865,48.023,19898,0
2010-11-08,48.047,48.941,48.047,48.516,7750,0
2010-11-09,48.848,49.099,47.957,47.972,16809,0
2010-11-10,48.556,48.925,48.147,48.925,13614,0
2010-11-11,48.689,48.689,48.315,48.633,11688,0
2010-11-12,47.42,47.446,46.695,46.878,55029,0
2010-11-15,46.736,47.296,46.66,46.66,13603,0
2010-11-16,46.112,46.112,45.093,45.233,12608,0
2010-11-17,44.548,44.791,44.457,44.674,18663,0
2010-11-18,45.625,46.043,45.625,45.876,15136,0
2010-11-19,45.759,45.793,45.291,45.776,13021,0
2010-11-22,45.893,46.009,45.426,45.851,6269,0
2010-11-23,44.373,45.159,44.373,44.991,40527,0
2010-11-24,45.099,45.768,45.099,45.717,12089,0
2010-11-26,45.142,45.558,45.142,45.433,8820,0
2010-11-29,45.817,45.817,45.342,45.776,7483,0
2010-11-30,45.935,46.193,45.809,46.009,11599,0
2010-12-01,46.176,46.946,46.176,46.819,11862,0
2010-12-02,46.477,47.171,46.477,47.105,14086,0
2010-12-03,46.544,46.969,46.519,46.969,25344,0
2010-12-06,46.552,46.611,46.385,46.385,1630,0
2010-12-07,46.886,46.911,46.469,46.469,4730,0
2010-12-08,46.353,46.353,45.926,46.103,7209,0
2010-12-09,45.926,45.926,45.625,45.677,6014,0
2010-12-10,45.793,46.018,45.793,45.918,12946,0
2010-12-13,46.103,46.559,46.103,46.427,7036,0
2010-12-14,46.486,46.51,46.16,46.16,9618,0
2010-12-15,45.926,46.201,45.902,45.902,2060,0
2010-12-16,45.426,45.509,45.241,45.376,8283,0
2010-12-17,45.926,45.951,45.699,45.926,29209,0
2010-12-20,45.282,45.476,45.282,45.366,1658,0
2010-12-21,45.482,46.059,45.482,46.051,5018,0
2010-12-22,45.985,46.036,45.977,46.009,5795,0
2010-12-23,45.893,45.893,45.517,45.526,5629,0
2010-12-27,45.526,45.592,45.282,45.592,3656,0
2010-12-28,45.041,45.041,44.748,45.024,7599,0
2010-12-29,45.326,45.467,45.25,45.433,2408,0
2010-12-30,45.584,45.699,45.45,45.5,3589,0
2010-12-31,45.918,45.993,45.902,45.985,8569,0
2011-01-03,46.529,47.798,46.427,46.469,15716,0
2011-01-04,47.136,47.145,46.76,47.07,17672,0
2011-01-05,47.188,47.555,47.188,47.488,4526,0
