Date,Open,High,Low,Close,Volume,OpenInt
2007-05-11,18.548,18.557,18.514,18.557,12608,0
2007-05-14,18.631,18.631,18.584,18.584,10417,0
2007-05-15,18.489,18.8,18.489,18.548,14473,0
2007-05-16,18.896,18.906,18.716,18.906,37826,0
2007-05-17,18.896,18.915,18.762,18.861,42651,0
2007-05-18,19.091,19.118,18.878,18.941,21271,0
2007-05-21,19.091,19.208,18.978,19.144,42903,0
2007-05-22,19.308,19.318,18.997,19.091,140126,0
2007-05-23,19.172,19.181,18.697,18.752,108108,0
2007-05-24,18.725,18.771,18.259,18.342,42433,0
2007-05-25,18.514,18.706,18.514,18.697,123350,0
2007-05-29,18.828,18.868,18.602,18.706,43418,0
2007-05-30,18.48,18.716,18.305,18.716,60085,0
2007-05-31,18.924,18.969,18.843,18.851,63922,0
2007-06-01,19.073,19.073,18.933,19.026,38267,0
2007-06-04,18.969,18.988,18.868,18.978,14802,0
2007-06-05,18.988,19.1,18.969,19.026,14802,0
2007-06-06,19.016,19.016,18.706,18.725,21817,0
2007-06-07,18.818,18.878,18.426,18.461,28615,0
2007-06-08,18.507,18.843,18.507,18.836,18966,0
2007-06-11,18.906,19.054,18.828,18.978,19079,0
2007-06-12,18.868,18.886,18.697,18.697,13706,0
2007-06-13,18.969,18.997,18.828,18.941,15242,0
2007-06-14,19.082,19.261,19.073,19.234,14691,0
2007-06-15,19.37,19.48,19.37,19.453,24012,0
2007-06-18,19.545,19.627,19.471,19.528,22146,0
2007-06-19,19.611,19.772,19.545,19.709,35303,0
2007-06-20,19.912,19.974,19.636,19.673,42433,0
2007-06-21,19.856,19.983,19.727,19.983,39032,0
2007-06-22,19.974,19.983,19.79,19.856,14913,0
2007-06-25,19.93,19.93,19.582,19.645,27959,0
2007-06-26,19.719,19.754,19.563,19.62,13485,0
2007-06-27,19.563,19.754,19.499,19.754,18750,0
2007-06-28,19.828,20.065,19.754,20.018,10193,0
2007-06-29,20.111,20.164,19.892,19.892,28397,0
2007-07-02,20.401,20.401,20.13,20.357,16336,0
2007-07-03,20.503,20.686,20.503,20.659,14144,0
2007-07-05,20.777,20.777,20.438,20.53,29603,0
2007-07-06,20.65,20.967,20.65,20.967,47256,0
2007-07-09,21.133,21.333,21.114,21.297,104821,0
2007-07-10,21.187,21.241,20.949,20.959,36294,0
2007-07-11,20.94,21.022,20.749,20.959,36402,0
2007-07-12,21.039,21.451,21.039,21.451,62277,0
2007-07-13,21.543,21.577,21.396,21.56,32345,0
2007-07-16,21.56,21.56,21.269,21.325,67869,0
2007-07-17,21.698,21.698,21.178,21.251,27411,0
2007-07-18,20.985,21.03,20.758,20.895,49780,0
2007-07-19,21.133,21.232,21.114,21.232,40679,0
2007-07-20,21.287,21.287,20.985,21.048,55810,0
2007-07-23,21.351,21.351,21.178,21.26,46926,0
2007-07-24,21.187,21.196,20.621,20.667,46160,0
2007-07-25,20.94,21.048,20.585,20.795,31141,0
2007-07-26,20.732,20.732,19.79,20.183,76970,0
2007-07-27,20.183,20.294,19.838,19.921,29166,0
2007-07-30,20.111,20.484,20.065,20.456,34100,0
2007-07-31,20.886,20.886,20.303,20.303,55153,0
2007-08-01,20.083,20.083,19.573,19.993,93307,0
2007-08-02,19.974,20.018,19.8,19.974,18526,0
